"2018-03-14 at 17:06"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 17:06:01 428.59 18.15 7.82 51.03 58.61 0.0512 0.0618
2018-03-14 17:06:02 426.35 18.13 7.80 51.02 58.61 0.0511 0.0618
2018-03-14 17:06:03 428.58 18.11 7.79 51.02 58.60 0.0514 0.0618
2018-03-14 17:06:04 429.49 18.10 7.78 51.02 58.60 0.0514 0.0617
2018-03-14 17:06:05 431.18 18.13 7.80 51.02 58.61 0.0515 0.0618
2018-03-14 17:06:06 431.00 18.10 7.78 51.02 58.62 0.0516 0.0618
2018-03-14 17:06:07 430.98 18.09 7.77 51.03 58.62 0.0515 0.0617
2018-03-14 17:06:08 432.53 18.08 7.76 51.04 58.60 0.0517 0.0617
2018-03-14 17:06:09 433.25 18.10 7.78 51.02 58.62 0.0517 0.0617
2018-03-14 17:06:10 433.68 18.07 7.76 51.02 58.61 0.0518 0.0617
2018-03-14 17:06:11 434.36 18.08 7.76 51.02 58.63 0.0518 0.0617
2018-03-14 17:06:12 434.64 18.07 7.75 51.02 58.60 0.0519 0.0616
2018-03-14 17:06:13 434.08 18.06 7.75 51.02 58.60 0.0518 0.0617
2018-03-14 17:06:14 437.58 18.10 7.78 51.02 58.60 0.0521 0.0618
2018-03-14 17:06:15 436.01 18.05 7.70 51.03 58.46 0.0517 0.0613
2018-03-14 17:06:16 437.05 18.03 7.68 51.02 58.43 0.0519 0.0614
2018-03-14 17:06:17 438.12 18.01 7.67 51.02 58.46 0.0521 0.0614
2018-03-14 17:06:18 438.40 18.03 7.69 51.02 58.47 0.0520 0.0614
2018-03-14 17:06:19 438.77 18.00 7.66 51.02 58.47 0.0522 0.0614
2018-03-14 17:06:20 439.64 18.03 7.69 51.02 58.48 0.0522 0.0614
2018-03-14 17:06:21 439.63 17.97 7.64 51.02 58.49 0.0522 0.0613
2018-03-14 17:06:22 441.39 18.00 7.66 51.02 58.48 0.0524 0.0614
