"2018-03-14 at 15:03"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 15:03:42 394.61 21.18 9.92 50.99 57.88 0.0477 0.0682
2018-03-14 15:03:43 394.88 21.21 9.93 50.99 57.87 0.0477 0.0682
2018-03-14 15:03:44 395.33 21.20 9.92 51.02 57.84 0.0477 0.0681
2018-03-14 15:03:45 397.23 21.16 9.89 51.02 57.81 0.0479 0.0680
2018-03-14 15:03:46 397.22 21.09 9.84 51.04 57.83 0.0479 0.0679
2018-03-14 15:03:47 398.98 21.08 9.82 51.02 57.78 0.0480 0.0678
2018-03-14 15:03:48 398.77 21.05 9.80 51.02 57.75 0.0479 0.0677
2018-03-14 15:03:49 400.02 21.03 9.77 50.99 57.73 0.0480 0.0676
2018-03-14 15:03:50 400.10 21.00 9.75 51.02 57.73 0.0480 0.0676
2018-03-14 15:03:51 401.31 20.96 9.73 51.02 57.74 0.0482 0.0675
2018-03-14 15:03:52 401.64 20.90 9.68 51.04 57.72 0.0482 0.0673
2018-03-14 15:03:53 402.60 20.85 9.64 51.02 57.73 0.0483 0.0672
2018-03-14 15:03:54 403.98 20.84 9.64 51.02 57.71 0.0484 0.0672
2018-03-14 15:03:55 403.00 20.81 9.61 51.02 57.72 0.0483 0.0671
2018-03-14 15:03:56 403.49 20.76 9.58 50.99 57.70 0.0483 0.0670
2018-03-14 15:03:57 405.20 20.79 9.60 50.99 57.69 0.0485 0.0671
2018-03-14 15:03:59 404.56 20.78 9.59 50.99 57.70 0.0484 0.0671
2018-03-14 15:04:00 405.73 20.76 9.57 51.02 57.70 0.0485 0.0670
2018-03-14 15:04:01 405.86 20.75 9.57 51.02 57.72 0.0486 0.0670
2018-03-14 15:04:02 406.26 20.74 9.57 51.02 57.72 0.0486 0.0670
2018-03-14 15:04:03 407.74 20.72 9.55 50.99 57.72 0.0487 0.0669
2018-03-14 15:04:04 407.08 20.69 9.53 50.99 57.72 0.0487 0.0669
2018-03-14 15:04:05 407.46 20.66 9.51 50.99 57.73 0.0487 0.0668
2018-03-14 15:04:06 408.49 20.68 9.52 50.99 57.72 0.0488 0.0668
2018-03-14 15:04:07 409.14 20.65 9.51 50.99 57.73 0.0489 0.0668
2018-03-14 15:04:08 409.56 20.61 9.48 51.04 57.73 0.0489 0.0667
2018-03-14 15:04:09 410.17 20.55 9.43 51.02 57.75 0.0490 0.0666
2018-03-14 15:04:10 410.36 20.58 9.45 50.99 57.72 0.0490 0.0666
2018-03-14 15:04:11 410.00 20.53 9.41 50.99 57.71 0.0489 0.0665
2018-03-14 15:04:12 410.70 20.54 9.42 50.99 57.72 0.0490 0.0665
2018-03-14 15:04:13 411.26 20.55 9.44 50.99 57.74 0.0491 0.0666
2018-03-14 15:04:14 411.01 20.61 9.47 50.99 57.73 0.0490 0.0667
2018-03-14 15:04:15 412.03 20.61 9.47 51.02 57.72 0.0491 0.0667
2018-03-14 15:04:16 412.05 20.56 9.44 51.04 57.73 0.0491 0.0666
2018-03-14 15:04:17 411.10 20.54 9.42 50.99 57.72 0.0490 0.0665
2018-03-14 15:04:18 412.91 20.50 9.40 50.99 57.73 0.0492 0.0665
2018-03-14 15:04:19 412.49 20.46 9.37 50.99 57.73 0.0492 0.0664
2018-03-14 15:04:20 413.02 20.52 9.41 50.99 57.73 0.0492 0.0665
2018-03-14 15:04:21 412.91 20.52 9.41 50.99 57.75 0.0492 0.0665
2018-03-14 15:04:22 413.15 20.55 9.44 51.02 57.75 0.0492 0.0666
2018-03-14 15:04:23 413.25 20.53 9.42 51.04 57.75 0.0492 0.0665
2018-03-14 15:04:24 414.27 20.56 9.44 50.99 57.75 0.0493 0.0666
2018-03-14 15:04:25 413.80 20.55 9.43 50.99 57.73 0.0493 0.0666
2018-03-14 15:04:26 414.25 20.57 9.44 50.99 57.72 0.0493 0.0666
2018-03-14 15:04:27 413.78 20.55 9.44 50.99 57.74 0.0493 0.0666
2018-03-14 15:04:28 415.10 20.56 9.44 50.99 57.73 0.0494 0.0666
2018-03-14 15:04:29 414.97 20.56 9.44 51.02 57.76 0.0494 0.0666
2018-03-14 15:04:30 414.83 20.57 9.45 51.04 57.75 0.0494 0.0666
2018-03-14 15:04:31 414.09 20.58 9.46 51.02 57.76 0.0493 0.0667
2018-03-14 15:04:32 414.60 20.61 9.48 50.99 57.73 0.0493 0.0667
2018-03-14 15:04:33 415.36 20.63 9.49 50.99 57.75 0.0494 0.0668
2018-03-14 15:04:34 415.12 20.66 9.51 50.99 57.73 0.0494 0.0668
2018-03-14 15:04:35 414.87 20.67 9.52 50.99 57.73 0.0494 0.0668
2018-03-14 15:04:36 415.95 20.67 9.52 51.02 57.75 0.0495 0.0668
2018-03-14 15:04:37 414.98 20.68 9.53 51.04 57.76 0.0494 0.0669
2018-03-14 15:04:38 414.68 20.69 9.54 51.02 57.75 0.0494 0.0669
2018-03-14 15:04:39 415.54 20.74 9.57 51.02 57.73 0.0494 0.0670
2018-03-14 15:04:40 415.81 20.72 9.56 50.99 57.73 0.0494 0.0670
2018-03-14 15:04:41 416.02 20.74 9.57 50.99 57.75 0.0495 0.0670
2018-03-14 15:04:42 415.16 20.74 9.57 50.99 57.73 0.0494 0.0670
2018-03-14 15:04:43 415.42 20.76 9.58 50.99 57.73 0.0494 0.0670
2018-03-14 15:04:44 415.62 20.75 9.58 50.99 57.75 0.0494 0.0670
2018-03-14 15:04:45 415.96 20.78 9.61 51.04 57.76 0.0495 0.0671
2018-03-14 15:04:46 416.15 20.78 9.60 51.02 57.75 0.0495 0.0671
2018-03-14 15:04:47 416.68 20.79 9.61 50.99 57.73 0.0495 0.0671
2018-03-14 15:04:48 416.20 20.81 9.62 50.99 57.73 0.0495 0.0672
