"2018-03-14 at 15:35"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 15:35:14 415.54 26.20 12.73 50.99 56.37 0.0483 0.0771
2018-03-14 15:35:15 415.08 26.12 12.66 51.02 56.26 0.0481 0.0767
2018-03-14 15:35:16 417.22 26.17 12.68 51.04 56.25 0.0483 0.0768
2018-03-14 15:35:17 419.89 26.18 12.71 51.04 56.33 0.0486 0.0769
2018-03-14 15:35:18 414.46 25.85 12.49 51.04 56.26 0.0481 0.0762
2018-03-14 15:35:19 419.08 26.04 12.60 51.02 56.21 0.0484 0.0765
2018-03-14 15:35:20 419.25 26.01 12.59 51.02 56.26 0.0485 0.0765
2018-03-14 15:35:21 416.83 25.82 12.48 50.99 56.27 0.0483 0.0762
2018-03-14 15:35:22 418.21 25.92 12.52 51.02 56.20 0.0484 0.0763
2018-03-14 15:35:23 417.43 25.93 12.51 51.02 56.15 0.0482 0.0762
2018-03-14 15:35:24 420.71 26.04 12.58 51.02 56.15 0.0485 0.0764
2018-03-14 15:35:25 420.71 26.00 12.59 51.04 56.28 0.0486 0.0765
2018-03-14 15:35:26 421.31 25.98 12.62 51.02 56.43 0.0488 0.0767
2018-03-14 15:35:27 422.04 25.95 12.57 51.02 56.31 0.0488 0.0765
2018-03-14 15:35:28 419.15 26.01 12.57 51.02 56.19 0.0484 0.0764
2018-03-14 15:35:29 423.18 26.08 12.62 50.99 56.20 0.0488 0.0766
2018-03-14 15:35:30 422.95 26.01 12.57 51.02 56.17 0.0487 0.0764
2018-03-14 15:35:31 422.09 26.06 12.60 51.02 56.18 0.0487 0.0765
2018-03-14 15:35:32 423.26 26.12 12.64 51.04 56.23 0.0488 0.0767
2018-03-14 15:35:33 420.95 25.96 12.55 51.04 56.22 0.0486 0.0764
2018-03-14 15:35:34 426.52 26.29 12.78 51.02 56.34 0.0492 0.0772
2018-03-14 15:35:36 421.09 26.01 12.59 51.02 56.26 0.0486 0.0765
2018-03-14 15:35:37 426.24 26.29 12.75 50.99 56.26 0.0491 0.0771
2018-03-14 15:35:38 424.29 26.14 12.64 51.02 56.16 0.0488 0.0767
2018-03-14 15:35:39 426.62 26.11 12.64 51.04 56.21 0.0491 0.0767
2018-03-14 15:35:40 427.67 26.09 12.63 51.04 56.25 0.0492 0.0767
2018-03-14 15:35:41 427.26 26.18 12.69 51.04 56.26 0.0492 0.0769
2018-03-14 15:35:42 425.30 26.11 12.64 51.02 56.21 0.0490 0.0767
2018-03-14 15:35:43 427.57 26.23 12.69 51.02 56.16 0.0491 0.0769
2018-03-14 15:35:44 426.24 26.15 12.65 50.99 56.19 0.0490 0.0767
2018-03-14 15:35:45 430.12 26.22 12.72 51.02 56.27 0.0494 0.0770
2018-03-14 15:35:46 429.11 26.09 12.64 51.02 56.28 0.0494 0.0767
2018-03-14 15:35:47 429.24 26.09 12.64 51.04 56.24 0.0493 0.0767
2018-03-14 15:35:48 429.07 26.04 12.62 51.04 56.31 0.0494 0.0766
2018-03-14 15:35:49 430.69 25.81 12.46 51.02 56.20 0.0494 0.0760
2018-03-14 15:35:50 433.10 25.96 12.56 51.02 56.25 0.0497 0.0764
2018-03-14 15:35:51 431.59 25.92 12.54 51.02 56.29 0.0496 0.0764
2018-03-14 15:35:52 430.54 25.78 12.45 51.02 56.26 0.0495 0.0761
2018-03-14 15:35:53 430.50 25.63 12.34 51.02 56.16 0.0494 0.0756
2018-03-14 15:35:54 435.43 25.70 12.43 51.02 56.34 0.0499 0.0760
2018-03-14 15:35:55 430.69 25.42 12.25 51.04 56.30 0.0495 0.0754
2018-03-14 15:35:56 435.63 25.47 12.27 51.02 56.27 0.0499 0.0754
2018-03-14 15:35:57 434.16 25.23 12.11 51.02 56.19 0.0497 0.0748
2018-03-14 15:35:58 431.70 25.08 12.00 51.02 56.15 0.0494 0.0745
2018-03-14 15:35:59 435.02 25.10 12.05 50.99 56.25 0.0498 0.0747
2018-03-14 15:36:00 435.43 24.89 11.93 51.02 56.30 0.0499 0.0743
2018-03-14 15:36:01 436.73 24.84 11.88 51.02 56.20 0.0499 0.0741
2018-03-14 15:36:02 435.70 24.77 11.84 51.04 56.24 0.0499 0.0740
2018-03-14 15:36:03 435.60 24.63 11.74 51.04 56.20 0.0498 0.0736
2018-03-14 15:36:04 436.07 24.73 11.81 51.02 56.21 0.0499 0.0738
2018-03-14 15:36:05 439.36 24.74 11.83 51.02 56.24 0.0502 0.0739
2018-03-14 15:36:06 435.64 24.49 11.66 51.02 56.19 0.0498 0.0733
2018-03-14 15:36:07 440.28 24.56 11.71 50.99 56.24 0.0503 0.0735
2018-03-14 15:36:08 437.42 24.33 11.56 51.02 56.20 0.0500 0.0730
2018-03-14 15:36:09 438.76 24.35 11.59 51.02 56.24 0.0501 0.0731
2018-03-14 15:36:10 439.29 24.29 11.55 51.04 56.25 0.0502 0.0730
2018-03-14 15:36:11 440.83 24.28 11.54 51.02 56.23 0.0503 0.0729
2018-03-14 15:36:12 439.92 24.25 11.52 51.02 56.22 0.0502 0.0729
2018-03-14 15:36:13 442.17 24.27 11.53 51.02 56.24 0.0504 0.0729
2018-03-14 15:36:14 440.25 24.31 11.54 51.02 56.19 0.0502 0.0729
2018-03-14 15:36:15 442.94 24.36 11.58 51.02 56.22 0.0505 0.0731
2018-03-14 15:36:16 443.17 24.37 11.59 51.02 56.20 0.0505 0.0731
2018-03-14 15:36:17 442.54 24.39 11.60 51.04 56.22 0.0504 0.0731
2018-03-14 15:36:18 442.94 24.29 11.55 51.02 56.24 0.0505 0.0730
2018-03-14 15:36:19 443.80 24.32 11.57 51.02 56.24 0.0505 0.0730
2018-03-14 15:36:20 441.76 24.27 11.51 51.02 56.18 0.0503 0.0728
2018-03-14 15:36:21 445.56 24.36 11.59 51.02 56.26 0.0507 0.0731
2018-03-14 15:36:22 442.96 24.18 11.46 51.02 56.18 0.0504 0.0727
2018-03-14 15:36:23 448.48 24.35 11.58 51.02 56.23 0.0509 0.0731
2018-03-14 15:36:24 444.36 24.18 11.46 51.04 56.20 0.0506 0.0727
2018-03-14 15:36:25 448.77 24.30 11.55 51.04 56.24 0.0510 0.0730
2018-03-14 15:36:26 445.00 24.07 11.40 51.02 56.22 0.0506 0.0725
