"2018-03-14 at 15:38"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 15:38:27 414.86 23.14 10.79 51.02 56.16 0.0480 0.0705
2018-03-14 15:38:28 417.16 23.23 10.87 51.02 56.22 0.0483 0.0707
2018-03-14 15:38:29 415.76 23.16 10.83 51.02 56.23 0.0481 0.0706
2018-03-14 15:38:30 419.31 23.20 10.86 51.02 56.27 0.0485 0.0707
2018-03-14 15:38:31 416.89 23.13 10.79 51.02 56.16 0.0482 0.0704
2018-03-14 15:38:32 422.82 23.25 10.87 51.04 56.19 0.0487 0.0707
2018-03-14 15:38:33 421.48 23.20 10.83 51.02 56.16 0.0486 0.0706
2018-03-14 15:38:34 421.82 23.22 10.84 51.02 56.15 0.0486 0.0706
2018-03-14 15:38:35 424.11 23.28 10.88 51.02 56.15 0.0488 0.0707
2018-03-14 15:38:36 421.92 23.25 10.86 51.02 56.16 0.0486 0.0707
2018-03-14 15:38:37 425.60 23.28 10.90 51.02 56.24 0.0490 0.0708
2018-03-14 15:38:38 425.57 23.27 10.90 51.02 56.24 0.0490 0.0708
2018-03-14 15:38:39 424.87 23.22 10.85 51.04 56.18 0.0489 0.0706
2018-03-14 15:38:40 428.54 23.31 10.90 51.02 56.15 0.0492 0.0708
2018-03-14 15:38:41 429.97 23.33 10.90 51.02 56.12 0.0493 0.0708
2018-03-14 15:38:42 429.92 23.35 10.92 51.02 56.12 0.0493 0.0708
2018-03-14 15:38:43 431.42 23.28 10.87 51.02 56.12 0.0494 0.0707
2018-03-14 15:38:44 432.17 23.30 10.89 51.02 56.15 0.0495 0.0708
2018-03-14 15:38:45 432.20 23.31 10.90 51.04 56.15 0.0495 0.0708
2018-03-14 15:38:46 434.01 23.24 10.86 51.04 56.16 0.0496 0.0707
2018-03-14 15:38:47 435.02 23.24 10.85 51.02 56.13 0.0497 0.0706
2018-03-14 15:38:48 434.70 23.22 10.85 51.02 56.16 0.0497 0.0706
2018-03-14 15:38:49 435.43 23.18 10.82 51.02 56.15 0.0498 0.0705
2018-03-14 15:38:50 438.15 23.29 10.90 51.02 56.18 0.0500 0.0708
2018-03-14 15:38:51 437.72 23.26 10.88 51.02 56.20 0.0500 0.0708
2018-03-14 15:38:52 439.58 23.31 10.90 51.02 56.16 0.0501 0.0708
2018-03-14 15:38:53 439.35 23.35 10.94 51.04 56.20 0.0501 0.0709
