"2018-03-14 at 18:30"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 18:30:14 433.96 16.58 6.95 51.03 60.46 0.0534 0.0597
2018-03-14 18:30:15 434.70 16.60 6.96 51.04 60.43 0.0535 0.0598
2018-03-14 18:30:16 436.01 16.55 6.93 51.03 60.46 0.0537 0.0597
2018-03-14 18:30:17 435.44 16.57 6.94 51.02 60.46 0.0535 0.0597
2018-03-14 18:30:18 435.95 16.56 6.93 51.02 60.46 0.0537 0.0597
2018-03-14 18:30:19 437.23 16.53 6.91 51.00 60.46 0.0538 0.0596
2018-03-14 18:30:20 437.23 16.53 6.91 51.00 60.46 0.0538 0.0596
2018-03-14 18:30:21 438.38 16.56 6.93 51.00 60.46 0.0538 0.0597
2018-03-14 18:30:22 438.35 16.57 6.95 51.02 60.48 0.0540 0.0598
2018-03-14 18:30:23 438.91 16.51 6.89 51.03 60.46 0.0539 0.0595
2018-03-14 18:30:24 439.86 16.52 6.90 51.02 60.44 0.0540 0.0596
2018-03-14 18:30:25 440.89 16.51 6.89 51.02 60.46 0.0541 0.0596
2018-03-14 18:30:26 441.00 16.52 6.90 51.00 60.44 0.0541 0.0596
2018-03-14 18:30:27 441.45 16.51 6.89 51.00 60.46 0.0541 0.0596
2018-03-14 18:30:29 442.18 16.51 6.87 51.02 60.37 0.0540 0.0594
2018-03-14 18:30:30 441.74 16.43 6.75 51.02 60.15 0.0539 0.0590
2018-03-14 18:30:31 442.42 16.44 6.75 51.02 60.12 0.0540 0.0591
2018-03-14 18:30:32 443.59 16.47 6.77 51.03 60.12 0.0540 0.0592
2018-03-14 18:30:33 444.33 16.44 6.76 51.02 60.15 0.0542 0.0591
2018-03-14 18:30:34 446.32 16.48 6.79 51.02 60.17 0.0543 0.0592
2018-03-14 18:30:35 445.52 16.45 6.77 50.99 60.19 0.0543 0.0592
2018-03-14 18:30:36 446.08 16.44 6.77 51.02 60.21 0.0543 0.0592
2018-03-14 18:30:37 446.28 16.44 6.77 51.02 60.22 0.0544 0.0592
2018-03-14 18:30:38 447.58 16.44 6.78 51.02 60.25 0.0545 0.0592
2018-03-14 18:30:39 449.15 16.45 6.79 51.04 60.26 0.0546 0.0592
2018-03-14 18:30:40 447.76 16.42 6.76 51.02 60.27 0.0545 0.0592
2018-03-14 18:30:41 449.04 16.44 6.78 51.02 60.27 0.0547 0.0592
2018-03-14 18:30:42 448.75 16.41 6.75 51.02 60.26 0.0546 0.0591
2018-03-14 18:30:43 450.50 16.46 6.79 51.02 60.26 0.0548 0.0593
2018-03-14 18:30:44 449.92 16.45 6.79 51.02 60.28 0.0547 0.0592
2018-03-14 18:30:45 451.20 16.44 6.78 51.02 60.29 0.0549 0.0592
2018-03-14 18:30:46 451.69 16.45 6.80 51.03 60.31 0.0549 0.0593
2018-03-14 18:30:47 451.99 16.42 6.77 51.02 60.29 0.0550 0.0592
2018-03-14 18:30:48 452.71 16.46 6.81 51.02 60.31 0.0550 0.0594
2018-03-14 18:30:49 453.99 16.46 6.82 51.02 60.33 0.0551 0.0593
2018-03-14 18:30:50 452.97 16.42 6.78 51.02 60.33 0.0550 0.0592
2018-03-14 18:30:51 454.33 16.49 6.84 51.02 60.35 0.0552 0.0595
2018-03-14 18:30:52 454.72 16.46 6.82 51.02 60.35 0.0552 0.0593
2018-03-14 18:30:53 455.67 16.44 6.81 51.02 60.37 0.0553 0.0594
2018-03-14 18:30:54 455.49 16.46 6.84 51.02 60.40 0.0554 0.0594
2018-03-14 18:30:55 456.37 16.48 6.85 51.02 60.40 0.0554 0.0594
2018-03-14 18:30:56 456.80 16.43 6.80 51.02 60.38 0.0555 0.0593
2018-03-14 18:30:57 458.06 16.48 6.85 50.99 60.39 0.0555 0.0594
2018-03-14 18:30:58 458.12 16.50 6.87 51.02 60.40 0.0556 0.0595
2018-03-14 18:30:59 458.56 16.47 6.84 51.02 60.40 0.0556 0.0594
2018-03-14 18:31:00 459.18 16.51 6.88 51.02 60.43 0.0557 0.0596
2018-03-14 18:31:01 459.95 16.47 6.84 51.02 60.40 0.0557 0.0594
2018-03-14 18:31:02 460.34 16.50 6.86 51.02 60.38 0.0558 0.0595
2018-03-14 18:31:03 460.68 16.54 6.90 51.02 60.38 0.0558 0.0596
2018-03-14 18:31:04 459.83 16.52 6.89 51.02 60.40 0.0557 0.0595
2018-03-14 18:31:05 462.03 16.55 6.91 51.02 60.40 0.0560 0.0597
2018-03-14 18:31:06 462.22 16.54 6.91 51.02 60.41 0.0559 0.0596
2018-03-14 18:31:07 462.48 16.56 6.92 51.02 60.42 0.0560 0.0596
2018-03-14 18:31:08 464.36 16.58 6.94 51.04 60.43 0.0562 0.0598
2018-03-14 18:31:09 464.48 16.59 6.95 51.02 60.44 0.0562 0.0598
2018-03-14 18:31:10 464.52 16.59 6.96 51.02 60.46 0.0562 0.0597
2018-03-14 18:31:11 464.54 16.59 6.96 51.02 60.46 0.0562 0.0598
2018-03-14 18:31:12 465.23 16.61 6.98 51.02 60.45 0.0563 0.0598
