"2018-03-14 at 18:12"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 18:12:50 420.03 18.81 8.65 49.29 59.84 0.0519 0.0650
2018-03-14 18:12:51 421.49 18.86 8.69 49.34 59.82 0.0521 0.0650
2018-03-14 18:12:52 423.55 18.87 8.69 49.39 59.80 0.0521 0.0651
2018-03-14 18:12:53 423.81 18.91 8.72 49.46 59.78 0.0521 0.0651
2018-03-14 18:12:54 422.60 18.92 8.73 49.50 59.78 0.0520 0.0651
2018-03-14 18:12:55 423.49 18.93 8.73 49.52 59.77 0.0521 0.0652
2018-03-14 18:12:56 424.03 18.91 8.71 49.55 59.76 0.0521 0.0650
2018-03-14 18:12:57 424.93 18.91 8.71 49.59 59.78 0.0522 0.0651
2018-03-14 18:12:58 424.76 18.91 8.72 49.65 59.79 0.0522 0.0651
2018-03-14 18:12:59 425.27 18.91 8.72 49.70 59.80 0.0523 0.0651
2018-03-14 18:13:00 425.52 18.92 8.73 49.75 59.80 0.0522 0.0651
2018-03-14 18:13:01 426.01 18.96 8.75 49.80 59.79 0.0524 0.0652
2018-03-14 18:13:02 425.79 18.93 8.74 49.83 59.80 0.0523 0.0651
2018-03-14 18:13:03 426.95 18.94 8.75 49.87 59.81 0.0524 0.0652
2018-03-14 18:13:04 427.08 18.95 8.76 49.90 59.81 0.0524 0.0652
2018-03-14 18:13:05 426.35 18.97 8.76 49.93 59.81 0.0523 0.0652
2018-03-14 18:13:06 426.95 18.95 8.76 49.99 59.82 0.0524 0.0652
2018-03-14 18:13:07 427.69 18.95 8.75 50.06 59.81 0.0525 0.0652
2018-03-14 18:13:08 429.09 18.97 8.77 50.09 59.81 0.0526 0.0652
2018-03-14 18:13:09 428.46 18.95 8.75 50.13 59.79 0.0525 0.0651
2018-03-14 18:13:10 429.12 19.01 8.79 50.14 59.79 0.0525 0.0653
2018-03-14 18:13:11 428.44 18.99 8.78 50.18 59.79 0.0524 0.0652
2018-03-14 18:13:12 428.02 18.97 8.77 50.26 59.80 0.0524 0.0652
2018-03-14 18:13:13 428.79 18.99 8.79 50.28 59.82 0.0526 0.0652
2018-03-14 18:13:14 428.56 18.98 8.78 50.34 59.82 0.0524 0.0652
2018-03-14 18:13:15 430.38 19.00 8.80 50.39 59.82 0.0527 0.0653
2018-03-14 18:13:16 429.90 18.99 8.79 50.44 59.83 0.0526 0.0652
2018-03-14 18:13:17 430.53 18.98 8.78 50.45 59.83 0.0527 0.0652
2018-03-14 18:13:18 430.66 18.98 8.78 50.49 59.83 0.0527 0.0652
2018-03-14 18:13:19 430.68 18.97 8.77 50.50 59.82 0.0527 0.0651
2018-03-14 18:13:20 430.83 18.96 8.77 50.54 59.83 0.0527 0.0651
2018-03-14 18:13:21 430.04 18.96 8.77 50.58 59.84 0.0526 0.0651
2018-03-14 18:13:22 431.48 18.98 8.78 50.62 59.82 0.0527 0.0651
2018-03-14 18:13:23 432.58 18.99 8.79 50.64 59.81 0.0528 0.0652
2018-03-14 18:13:24 432.50 18.97 8.77 50.65 59.81 0.0528 0.0651
2018-03-14 18:13:25 432.90 18.97 8.77 50.67 59.81 0.0528 0.0651
2018-03-14 18:13:26 432.30 18.97 8.77 50.69 59.82 0.0528 0.0651
2018-03-14 18:13:27 433.10 18.97 8.77 50.74 59.83 0.0529 0.0651
2018-03-14 18:13:28 433.10 18.97 8.77 50.74 59.83 0.0529 0.0651
2018-03-14 18:13:29 433.03 18.97 8.78 50.76 59.84 0.0529 0.0651
2018-03-14 18:13:30 433.48 18.98 8.78 50.80 59.84 0.0529 0.0651
2018-03-14 18:13:31 433.56 18.98 8.78 50.83 59.81 0.0529 0.0651
2018-03-14 18:13:32 433.90 18.96 8.77 50.82 59.82 0.0529 0.0651
2018-03-14 18:13:33 434.79 18.95 8.75 50.83 59.81 0.0529 0.0650
2018-03-14 18:13:34 434.82 18.95 8.75 50.89 59.81 0.0530 0.0650
2018-03-14 18:13:35 435.37 18.95 8.76 50.90 59.82 0.0531 0.0651
2018-03-14 18:13:36 435.35 18.91 8.73 50.94 59.84 0.0530 0.0650
2018-03-14 18:13:37 435.38 18.93 8.75 50.96 59.84 0.0530 0.0650
2018-03-14 18:13:38 436.11 18.92 8.73 51.00 59.82 0.0531 0.0650
2018-03-14 18:13:39 436.37 18.88 8.70 51.00 59.82 0.0531 0.0648
2018-03-14 18:13:40 436.98 18.90 8.72 51.02 59.80 0.0531 0.0649
2018-03-14 18:13:41 436.75 18.85 8.68 51.04 59.81 0.0532 0.0648
2018-03-14 18:13:42 436.84 18.80 8.63 51.06 59.80 0.0531 0.0646
2018-03-14 18:13:43 436.98 18.79 8.63 51.08 59.81 0.0532 0.0647
2018-03-14 18:13:44 437.38 18.74 8.59 51.13 59.81 0.0532 0.0644
2018-03-14 18:13:45 439.36 18.68 8.54 51.15 59.81 0.0535 0.0643
2018-03-14 18:13:46 444.83 18.44 8.35 51.13 59.79 0.0539 0.0635
2018-03-14 18:13:47 450.24 18.21 8.16 51.12 59.78 0.0544 0.0631
2018-03-14 18:13:48 450.87 18.20 8.15 51.12 59.79 0.0543 0.0632
2018-03-14 18:13:49 446.49 18.32 8.26 51.13 59.80 0.0539 0.0636
2018-03-14 18:13:50 442.22 18.49 8.39 51.15 59.80 0.0535 0.0640
2018-03-14 18:13:51 436.70 18.68 8.54 51.15 59.80 0.0530 0.0644
2018-03-14 18:13:52 432.01 18.85 8.67 51.19 59.78 0.0526 0.0648
2018-03-14 18:13:53 428.15 18.95 8.75 51.17 59.78 0.0522 0.0651
2018-03-14 18:13:54 426.12 19.07 8.84 51.17 59.78 0.0522 0.0653
2018-03-14 18:13:55 424.24 19.15 8.90 51.16 59.79 0.0519 0.0655
2018-03-14 18:13:56 422.05 19.22 8.96 51.15 59.81 0.0517 0.0657
2018-03-14 18:13:58 419.90 19.26 8.99 51.15 59.80 0.0516 0.0658
2018-03-14 18:13:59 419.84 19.33 9.05 51.19 59.82 0.0515 0.0659
2018-03-14 18:14:00 418.71 19.35 9.07 51.20 59.82 0.0515 0.0660
2018-03-14 18:14:01 417.48 19.38 9.09 51.20 59.82 0.0514 0.0661
2018-03-14 18:14:02 417.95 19.45 9.14 51.17 59.83 0.0514 0.0662
2018-03-14 18:14:03 417.52 19.46 9.15 51.17 59.83 0.0514 0.0663
2018-03-14 18:14:04 417.31 19.49 9.17 51.16 59.82 0.0513 0.0663
2018-03-14 18:14:05 416.91 19.54 9.21 51.16 59.81 0.0513 0.0665
2018-03-14 18:14:06 417.44 19.57 9.23 51.17 59.82 0.0514 0.0664
2018-03-14 18:14:07 412.91 19.44 9.05 51.19 59.48 0.0503 0.0656
2018-03-14 18:14:08 412.00 19.63 9.10 51.20 59.12 0.0505 0.0661
2018-03-14 18:14:09 416.89 19.92 9.35 51.17 59.23 0.0509 0.0668
2018-03-14 18:14:10 416.54 19.90 9.36 51.16 59.34 0.0509 0.0668
2018-03-14 18:14:11 417.35 19.86 9.34 51.15 59.36 0.0509 0.0666
2018-03-14 18:14:12 414.31 19.77 9.21 51.15 59.11 0.0503 0.0661
2018-03-14 18:14:13 414.86 19.94 9.33 51.16 59.09 0.0508 0.0669
2018-03-14 18:14:14 421.85 20.10 9.54 51.17 59.47 0.0515 0.0674
2018-03-14 18:14:15 419.50 19.86 9.41 51.17 59.63 0.0514 0.0669
2018-03-14 18:14:16 397.49 19.80 9.37 51.16 59.66 0.0485 0.0669
2018-03-14 18:14:17 375.11 19.85 9.41 51.15 59.68 0.0472 0.0670
2018-03-14 18:14:18 372.08 19.81 9.38 51.12 59.69 0.0470 0.0669
2018-03-14 18:14:19 374.08 19.82 9.39 51.12 59.68 0.0473 0.0670
2018-03-14 18:14:20 375.79 19.83 9.39 51.12 59.68 0.0474 0.0670
2018-03-14 18:14:21 375.44 19.83 9.39 51.12 59.69 0.0474 0.0670
2018-03-14 18:14:22 375.72 19.83 9.40 51.13 59.71 0.0474 0.0670
2018-03-14 18:14:23 376.41 19.82 9.39 51.15 59.72 0.0475 0.0670
2018-03-14 18:14:24 376.62 19.84 9.41 51.10 59.70 0.0475 0.0670
2018-03-14 18:14:25 377.43 19.85 9.42 51.10 59.70 0.0476 0.0670
2018-03-14 18:14:26 377.51 19.83 9.40 51.08 59.70 0.0476 0.0670
2018-03-14 18:14:27 376.60 19.79 9.36 51.08 59.67 0.0475 0.0669
