"2018-03-14 at 18:17"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 18:17:50 414.48 18.50 8.60 51.02 60.64 0.0519 0.0648
2018-03-14 18:17:51 410.90 18.43 8.58 51.04 60.78 0.0514 0.0648
2018-03-14 18:17:52 411.45 18.53 8.70 51.02 60.94 0.0520 0.0650
2018-03-14 18:17:53 409.89 18.29 8.46 51.02 60.75 0.0514 0.0643
2018-03-14 18:17:54 410.75 18.30 8.44 51.02 60.62 0.0515 0.0643
2018-03-14 18:17:55 411.89 18.43 8.53 51.02 60.59 0.0516 0.0645
2018-03-14 18:17:56 413.29 18.43 8.53 51.02 60.57 0.0518 0.0646
2018-03-14 18:17:57 413.11 18.49 8.57 51.02 60.55 0.0516 0.0646
2018-03-14 18:17:58 414.56 18.47 8.57 51.03 60.58 0.0518 0.0646
2018-03-14 18:17:59 415.14 18.46 8.55 51.02 60.58 0.0519 0.0646
2018-03-14 18:18:00 415.27 18.48 8.57 51.02 60.58 0.0519 0.0647
2018-03-14 18:18:01 415.20 18.46 8.57 51.02 60.60 0.0519 0.0646
2018-03-14 18:18:02 417.05 18.50 8.58 50.99 60.57 0.0520 0.0647
2018-03-14 18:18:03 416.68 18.50 8.58 50.99 60.55 0.0520 0.0647
2018-03-14 18:18:04 417.16 18.51 8.60 51.02 60.57 0.0520 0.0648
2018-03-14 18:18:05 418.18 18.50 8.59 51.02 60.59 0.0522 0.0647
2018-03-14 18:18:06 417.77 18.51 8.60 51.02 60.58 0.0521 0.0648
2018-03-14 18:18:07 418.19 18.53 8.60 51.02 60.55 0.0521 0.0647
2018-03-14 18:18:08 420.06 18.56 8.63 51.02 60.54 0.0523 0.0648
2018-03-14 18:18:09 420.80 18.57 8.64 51.02 60.56 0.0523 0.0648
2018-03-14 18:18:10 420.03 18.53 8.60 51.02 60.53 0.0523 0.0647
2018-03-14 18:18:11 421.20 18.56 8.61 51.02 60.48 0.0523 0.0648
2018-03-14 18:18:12 420.99 18.61 8.65 51.02 60.49 0.0523 0.0649
2018-03-14 18:18:13 421.91 18.58 8.64 51.03 60.51 0.0524 0.0649
2018-03-14 18:18:14 421.91 18.58 8.64 51.02 60.53 0.0524 0.0649
2018-03-14 18:18:15 422.89 18.62 8.67 51.02 60.52 0.0526 0.0650
2018-03-14 18:18:16 424.91 18.65 8.69 51.00 60.52 0.0527 0.0650
2018-03-14 18:18:17 424.36 18.65 8.69 51.00 60.49 0.0526 0.0650
2018-03-14 18:18:18 426.39 18.66 8.70 50.99 60.50 0.0528 0.0650
2018-03-14 18:18:19 427.26 18.64 8.69 51.02 60.51 0.0529 0.0650
2018-03-14 18:18:20 427.68 18.64 8.69 51.03 60.54 0.0530 0.0650
2018-03-14 18:18:21 428.44 18.62 8.68 51.02 60.55 0.0530 0.0649
2018-03-14 18:18:22 428.45 18.62 8.67 51.02 60.54 0.0531 0.0650
2018-03-14 18:18:23 429.36 18.61 8.66 51.02 60.54 0.0531 0.0649
2018-03-14 18:18:24 430.41 18.58 8.64 51.02 60.52 0.0532 0.0648
2018-03-14 18:18:25 430.74 18.62 8.67 51.02 60.53 0.0532 0.0650
2018-03-14 18:18:26 430.29 18.62 8.68 51.02 60.54 0.0532 0.0650
2018-03-14 18:18:27 430.42 18.60 8.66 51.03 60.54 0.0532 0.0649
2018-03-14 18:18:28 431.92 18.59 8.65 51.03 60.51 0.0534 0.0649
2018-03-14 18:18:29 432.78 18.58 8.64 51.02 60.54 0.0535 0.0648
2018-03-14 18:18:31 433.24 18.59 8.65 51.02 60.53 0.0534 0.0649
2018-03-14 18:18:32 433.09 18.60 8.66 51.02 60.53 0.0535 0.0649
2018-03-14 18:18:33 433.27 18.59 8.65 50.99 60.54 0.0535 0.0649
2018-03-14 18:18:34 434.40 18.59 8.65 51.02 60.54 0.0536 0.0649
2018-03-14 18:18:35 434.18 18.57 8.63 51.02 60.55 0.0536 0.0648
2018-03-14 18:18:36 434.62 18.58 8.65 51.03 60.57 0.0536 0.0649
2018-03-14 18:18:37 436.07 18.56 8.64 51.02 60.57 0.0538 0.0649
2018-03-14 18:18:38 435.24 18.58 8.65 51.02 60.57 0.0537 0.0649
2018-03-14 18:18:39 437.91 18.58 8.65 51.02 60.55 0.0539 0.0649
2018-03-14 18:18:40 436.95 18.59 8.66 50.99 60.58 0.0539 0.0650
2018-03-14 18:18:41 437.53 18.60 8.67 51.02 60.59 0.0539 0.0649
2018-03-14 18:18:42 437.70 18.58 8.65 51.02 60.57 0.0540 0.0649
2018-03-14 18:18:43 437.67 18.62 8.68 51.03 60.55 0.0539 0.0650
2018-03-14 18:18:44 439.23 18.59 8.65 51.02 60.55 0.0541 0.0649
2018-03-14 18:18:45 440.58 18.60 8.66 51.02 60.53 0.0541 0.0649
2018-03-14 18:18:46 440.87 18.59 8.65 50.99 60.55 0.0542 0.0649
2018-03-14 18:18:47 440.98 18.61 8.67 50.99 60.57 0.0542 0.0650
2018-03-14 18:18:48 441.15 18.61 8.67 51.00 60.58 0.0542 0.0650
2018-03-14 18:18:49 441.29 18.63 8.69 51.02 60.57 0.0542 0.0650
2018-03-14 18:18:50 441.79 18.63 8.68 51.02 60.55 0.0543 0.0651
2018-03-14 18:18:51 442.20 18.66 8.72 51.02 60.57 0.0543 0.0651
2018-03-14 18:18:52 442.45 18.61 8.68 51.02 60.59 0.0544 0.0650
2018-03-14 18:18:53 443.71 18.63 8.68 51.02 60.55 0.0544 0.0650
2018-03-14 18:18:54 444.13 18.63 8.69 50.99 60.57 0.0546 0.0651
2018-03-14 18:18:55 444.92 18.68 8.73 50.99 60.57 0.0546 0.0652
2018-03-14 18:18:56 444.42 18.64 8.70 51.02 60.58 0.0545 0.0650
2018-03-14 18:18:57 445.89 18.66 8.72 51.03 60.59 0.0547 0.0651
2018-03-14 18:18:58 445.14 18.63 8.69 51.03 60.57 0.0546 0.0650
2018-03-14 18:18:59 447.10 18.68 8.73 51.02 60.56 0.0548 0.0652
2018-03-14 18:19:00 447.13 18.66 8.71 51.02 60.55 0.0548 0.0650
2018-03-14 18:19:01 447.08 18.65 8.70 50.99 60.55 0.0547 0.0650
2018-03-14 18:19:02 447.43 18.62 8.68 50.99 60.55 0.0548 0.0650
2018-03-14 18:19:03 448.30 18.64 8.70 51.02 60.56 0.0549 0.0650
2018-03-14 18:19:04 448.43 18.60 8.67 51.03 60.58 0.0549 0.0649
2018-03-14 18:19:05 448.36 18.58 8.64 51.02 60.53 0.0548 0.0648
2018-03-14 18:19:06 449.52 18.60 8.65 51.02 60.49 0.0549 0.0649
2018-03-14 18:19:07 449.69 18.63 8.67 51.02 60.49 0.0549 0.0650
2018-03-14 18:19:08 448.93 18.57 8.62 51.02 60.51 0.0549 0.0648
2018-03-14 18:19:09 450.71 18.56 8.62 51.02 60.53 0.0550 0.0648
2018-03-14 18:19:10 450.91 18.56 8.62 51.02 60.52 0.0551 0.0648
2018-03-14 18:19:11 451.62 18.57 8.63 51.02 60.53 0.0552 0.0649
2018-03-14 18:19:12 452.54 18.56 8.63 51.02 60.55 0.0551 0.0648
2018-03-14 18:19:13 451.79 18.53 8.60 51.02 60.54 0.0552 0.0647
2018-03-14 18:19:14 452.30 18.50 8.58 51.02 60.52 0.0552 0.0647
2018-03-14 18:19:15 453.87 18.54 8.61 51.02 60.53 0.0553 0.0648
2018-03-14 18:19:16 454.28 18.51 8.59 51.02 60.55 0.0553 0.0647
2018-03-14 18:19:17 453.51 18.51 8.59 51.02 60.55 0.0553 0.0648
2018-03-14 18:19:18 453.51 18.51 8.59 51.02 60.55 0.0553 0.0648
2018-03-14 18:19:19 453.73 18.48 8.57 51.02 60.55 0.0553 0.0646
2018-03-14 18:19:20 454.97 18.51 8.59 51.03 60.57 0.0555 0.0647
2018-03-14 18:19:21 455.91 18.48 8.58 51.02 60.59 0.0556 0.0646
2018-03-14 18:19:22 456.02 18.50 8.58 51.02 60.56 0.0555 0.0647
2018-03-14 18:19:23 456.17 18.48 8.55 51.00 60.50 0.0555 0.0646
2018-03-14 18:19:24 456.44 18.53 8.60 50.99 60.53 0.0556 0.0648
2018-03-14 18:19:25 457.90 18.52 8.60 51.02 60.54 0.0556 0.0647
2018-03-14 18:19:26 456.37 18.49 8.57 51.02 60.52 0.0556 0.0646
2018-03-14 18:19:27 457.95 18.52 8.59 51.02 60.54 0.0557 0.0647
2018-03-14 18:19:28 458.34 18.48 8.55 51.03 60.50 0.0556 0.0645
2018-03-14 18:19:29 459.32 18.52 8.56 51.02 60.40 0.0557 0.0646
2018-03-14 18:19:30 459.33 18.56 8.58 51.02 60.36 0.0556 0.0646
2018-03-14 18:19:31 460.48 18.55 8.57 51.02 60.35 0.0558 0.0646
2018-03-14 18:19:32 461.48 18.54 8.57 51.02 60.37 0.0559 0.0646
2018-03-14 18:19:33 461.27 18.55 8.59 51.02 60.40 0.0559 0.0647
