Mar 15 2018 at 7:30:30
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Clear, high PAR, light wind
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.14	19.48	67.86	0.00	0.0626	11.37	500.3	407.60	0.0741	662.9	11.933	23.77	14.08	1.46
	1.16	19.48	67.86	0.00	0.0627	11.37	500.3	407.68	0.0743	663.8	11.949	23.80	14.10	1.46
	2.22	19.44	67.86	0.00	0.0626	11.36	500.0	407.32	0.0744	667.3	12.012	23.92	14.18	1.46
	3.16	19.49	67.86	0.00	0.0626	11.37	500.1	407.50	0.0745	667.4	12.013	23.93	14.19	1.46
	4.22	19.48	67.86	0.00	0.0625	11.36	499.9	407.34	0.0748	671.0	12.079	24.06	14.27	1.46
	5.16	19.48	67.86	0.00	0.0627	11.38	500.6	407.93	0.0748	670.7	12.072	24.04	14.26	1.46
	6.16	19.49	67.86	0.00	0.0627	11.38	500.5	407.87	0.0752	673.5	12.123	24.15	14.33	1.46
	7.16	19.49	67.86	0.00	0.0625	11.30	497.2	405.08	0.0754	694.3	12.498	24.89	14.80	1.46
	8.16	19.49	67.86	0.00	0.0625	11.36	499.8	407.25	0.0753	676.7	12.181	24.26	14.40	1.46
	9.16	19.49	67.86	0.00	0.0626	11.38	500.5	407.86	0.0756	680.6	12.252	24.40	14.49	1.46
	10.16	19.49	67.86	0.00	0.0625	11.36	499.9	407.34	0.0755	679.5	12.231	24.36	14.46	1.46
	11.16	19.48	67.86	0.00	0.0626	11.38	500.6	407.87	0.0757	682.0	12.276	24.45	14.52	1.46
	12.16	19.49	67.86	0.00	0.0625	11.33	498.4	406.15	0.0758	684.8	12.326	24.55	14.58	1.46
	13.16	19.49	67.86	0.00	0.0627	11.39	501.2	408.39	0.0759	686.1	12.350	24.60	14.61	1.46
	14.16	19.49	67.86	0.00	0.0626	11.39	501.1	408.32	0.0760	686.7	12.360	24.62	14.63	1.46
	15.16	19.51	67.89	0.00	0.0626	11.37	500.2	407.42	0.0760	688.0	12.383	24.66	14.66	1.46
	16.16	19.51	67.86	0.00	0.0626	11.37	500.3	407.69	0.0762	688.9	12.399	24.70	14.68	1.46
	17.14	19.49	67.86	0.00	0.0626	11.37	500.2	407.58	0.0761	689.3	12.408	24.72	14.69	1.46
	18.16	19.51	67.86	0.00	0.0625	11.37	500.1	407.52	0.0763	691.5	12.447	24.79	14.74	1.46
	19.14	19.49	67.86	0.00	0.0626	11.36	499.9	407.33	0.0764	692.1	12.457	24.81	14.75	1.46
	20.16	19.53	67.86	0.00	0.0626	11.37	500.3	407.70	0.0766	693.7	12.486	24.87	14.79	1.46
	21.14	19.53	67.86	0.00	0.0626	11.36	499.7	407.20	0.0767	696.1	12.530	24.96	14.84	1.46
	22.16	19.53	67.86	0.00	0.0626	11.36	499.8	407.31	0.0767	696.0	12.528	24.96	14.84	1.46
	23.23	19.53	67.86	0.00	0.0625	11.35	499.5	407.08	0.0767	697.5	12.554	25.01	14.87	1.46
	24.16	19.53	67.86	0.00	0.0625	11.35	499.4	406.98	0.0771	700.0	12.599	25.10	14.93	1.46
	25.23	19.53	67.86	0.00	0.0625	11.34	498.9	406.58	0.0772	702.1	12.637	25.17	14.97	1.46
	26.16	19.53	67.86	0.00	0.0624	11.33	498.5	406.21	0.0776	708.7	12.756	25.41	15.12	1.46
	27.14	19.53	67.86	0.00	0.0624	11.33	498.6	406.31	0.0774	705.9	12.706	25.31	15.06	1.46
	28.16	19.53	67.89	0.00	0.0625	11.34	499.1	406.61	0.0774	704.7	12.684	25.26	15.03	1.47
	29.22	19.54	67.86	0.00	0.0625	11.34	499.0	406.71	0.0774	705.1	12.692	25.29	15.04	1.47
	30.16	19.54	67.86	0.00	0.0625	11.35	499.2	406.87	0.0776	708.2	12.748	25.40	15.11	1.46
	31.22	19.54	67.86	0.00	0.0624	11.33	498.4	406.22	0.0778	709.8	12.776	25.45	15.14	1.46
	32.16	19.54	67.86	0.00	0.0623	11.30	497.0	405.04	0.0786	718.0	12.923	25.75	15.32	1.46
	33.16	19.54	67.86	0.00	0.0624	11.33	498.4	406.15	0.0779	711.8	12.813	25.53	15.19	1.46
	34.16	19.54	67.86	0.00	0.0624	11.32	498.3	406.09	0.0780	712.8	12.831	25.56	15.21	1.47
	35.16	19.53	67.86	0.00	0.0624	11.32	498.0	405.81	0.0782	717.7	12.919	25.74	15.32	1.47
	36.16	19.56	67.86	0.00	0.0624	11.33	498.4	406.21	0.0782	716.3	12.893	25.69	15.29	1.46
	37.16	19.58	67.86	0.00	0.0622	11.32	498.2	406.06	0.0786	720.4	12.968	25.84	15.38	1.47
	38.16	19.58	67.89	0.00	0.0623	11.30	497.3	405.22	0.0791	724.7	13.044	25.98	15.47	1.47
	39.16	19.56	67.86	0.00	0.0623	11.31	497.7	405.67	0.0784	718.7	12.936	25.77	15.34	1.47
	40.16	19.56	67.86	0.00	0.0623	11.31	497.5	405.50	0.0788	724.5	13.041	25.98	15.46	1.47
	41.16	19.56	67.86	0.00	0.0623	11.28	496.2	404.40	0.0795	739.2	13.306	26.51	15.78	1.47
	42.16	19.56	67.89	0.00	0.0623	11.30	497.4	405.22	0.0790	726.6	13.079	26.05	15.51	1.47
	43.16	19.56	67.86	0.00	0.0622	11.30	497.2	405.19	0.0789	726.1	13.070	26.04	15.50	1.47
	44.16	19.54	67.86	0.00	0.0622	11.30	497.1	405.10	0.0791	724.9	13.048	25.99	15.47	1.47
	45.16	19.58	67.86	0.00	0.0622	11.29	496.7	404.82	0.0789	728.3	13.109	26.12	15.55	1.47
	46.14	19.58	67.86	0.00	0.0623	11.29	496.9	405.00	0.0791	728.6	13.114	26.13	15.55	1.47
	47.16	19.59	67.86	0.00	0.0623	11.27	496.1	404.37	0.0791	731.2	13.161	26.22	15.61	1.47
	48.14	19.58	67.84	0.00	0.0622	11.28	496.2	404.58	0.0797	732.4	13.184	26.28	15.63	1.47
	49.16	19.59	67.88	0.00	0.0622	11.26	495.5	403.76	0.0795	735.4	13.238	26.37	15.70	1.47
	50.14	19.58	67.86	0.00	0.0621	11.26	495.5	403.89	0.0797	736.3	13.254	26.41	15.72	1.47
	51.16	19.59	67.86	0.00	0.0621	11.25	495.0	403.46	0.0800	740.1	13.323	26.55	15.80	1.47
	52.16	19.59	67.86	0.00	0.0621	11.26	495.5	403.86	0.0797	737.1	13.267	26.44	15.73	1.47
	53.16	19.59	67.86	0.00	0.0620	11.24	494.7	403.23	0.0797	743.1	13.376	26.65	15.86	1.47
	54.16	19.59	67.86	0.00	0.0619	11.23	494.2	402.82	0.0820	753.7	13.566	27.03	16.08	1.47
	55.16	19.59	67.86	0.00	0.0620	11.22	493.7	402.44	0.0801	742.4	13.364	26.63	15.85	1.47
	56.22	19.59	67.86	0.00	0.0619	11.23	494.0	402.66	0.0801	741.0	13.338	26.58	15.82	1.47
	57.16	19.59	67.84	0.00	0.0618	11.21	493.1	402.11	0.0810	747.0	13.445	26.80	15.94	1.47
	58.16	19.59	67.86	0.00	0.0619	11.19	492.6	401.50	0.0801	741.6	13.349	26.60	15.83	1.47
	59.16	19.61	67.86	0.00	0.0618	11.17	491.4	400.57	0.0805	749.2	13.486	26.87	15.99	1.47
	60.16	19.59	67.86	0.00	0.0618	11.18	492.1	401.15	0.0802	742.7	13.369	26.64	15.85	1.47
	61.16	19.63	67.86	0.00	0.0617	11.19	492.4	401.42	0.0805	743.6	13.384	26.67	15.87	1.47
	62.16	19.59	67.86	0.00	0.0618	11.17	491.6	400.72	0.0804	744.9	13.407	26.71	15.90	1.47
	63.16	19.61	67.86	0.00	0.0616	11.16	490.9	400.21	0.0804	745.9	13.427	26.75	15.92	1.47
	64.16	19.63	67.86	0.00	0.0617	11.16	491.2	400.44	0.0806	746.6	13.438	26.78	15.94	1.47
	65.16	19.63	67.86	0.00	0.0616	11.15	490.6	399.95	0.0820	759.8	13.677	27.25	16.21	1.47
	66.16	19.63	67.86	0.00	0.0609	11.09	488.0	397.85	0.0821	786.3	14.154	28.21	16.75	1.47
	67.16	19.63	67.86	0.00	0.0610	10.97	482.9	393.63	0.0820	771.0	13.879	27.66	16.44	1.47
