Mar 15 2018 at 7:28:54
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Clear, high PAR, light wind
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.97	19.28	67.89	0.00	0.0657	12.41	546.2	444.53	0.0625	521.9	9.394	18.69	10.43	1.45
	1.98	19.28	67.86	0.00	0.0638	11.63	511.7	416.65	0.0613	512.1	9.217	18.35	10.15	1.45
	2.97	19.29	67.86	0.00	0.0636	11.59	510.1	415.36	0.0605	496.2	8.932	17.78	9.68	1.45
	3.98	19.28	67.86	0.00	0.0634	11.56	508.5	414.02	0.0619	512.1	9.218	18.35	10.15	1.45
	4.97	19.28	67.88	0.00	0.0633	11.52	506.8	412.51	0.0670	563.6	10.145	20.19	11.59	1.45
	5.98	19.28	67.89	0.00	0.0629	11.45	504.0	410.18	0.0701	603.6	10.865	21.62	12.63	1.45
	6.97	19.29	67.83	0.00	0.0636	11.57	509.1	414.75	0.0647	551.5	9.926	19.77	11.26	1.45
	7.98	19.29	67.88	0.00	0.0634	11.57	509.0	414.31	0.0650	548.3	9.869	19.64	11.18	1.45
	8.97	19.29	67.86	0.00	0.0641	11.89	523.3	426.09	0.0633	528.1	9.506	18.92	10.61	1.46
	9.98	19.29	67.86	0.00	0.0640	11.74	516.5	420.58	0.0638	517.9	9.323	18.56	10.32	1.45
	10.97	19.31	67.86	0.00	0.0644	11.83	520.5	423.83	0.0616	516.9	9.304	18.52	10.29	1.45
	11.98	19.29	67.86	0.00	0.0638	11.65	512.5	417.35	0.0621	516.6	9.299	18.51	10.28	1.45
	12.97	19.29	67.86	0.00	0.0635	11.49	505.4	411.53	0.0628	534.1	9.615	19.14	10.78	1.45
	13.98	19.29	67.84	0.00	0.0632	11.53	507.3	413.20	0.0636	534.0	9.612	19.14	10.78	1.45
	14.98	19.29	67.86	0.00	0.0629	11.48	505.2	411.42	0.0645	542.2	9.759	19.43	11.01	1.46
	15.98	19.31	67.86	0.00	0.0628	11.41	501.9	408.72	0.0669	604.3	10.878	21.65	12.65	1.45
	17.05	19.31	67.88	0.00	0.0639	11.70	515.0	419.20	0.0623	513.6	9.245	18.40	10.20	1.45
	17.98	19.31	67.86	0.00	0.0644	11.61	510.7	415.87	0.0621	526.6	9.478	18.87	10.57	1.45
	19.05	19.31	67.86	0.00	0.0636	11.68	513.8	418.39	0.0633	520.0	9.361	18.63	10.38	1.45
	19.98	19.29	67.86	0.00	0.0633	11.54	507.6	413.37	0.0640	535.2	9.633	19.17	10.81	1.46
	21.05	19.31	67.86	0.00	0.0630	11.44	503.1	409.73	0.0669	586.9	10.565	21.03	12.21	1.45
	21.98	19.31	67.86	0.00	0.0633	11.47	504.6	410.90	0.0661	564.9	10.168	20.24	11.63	1.45
	22.98	19.33	67.86	0.00	0.0635	11.58	509.6	414.99	0.0631	529.4	9.530	18.97	10.65	1.45
	23.97	19.33	67.86	0.00	0.0647	11.78	518.4	422.15	0.0640	546.8	9.842	19.59	11.14	1.45
	24.98	19.33	67.86	0.00	0.0637	11.65	512.5	417.39	0.0621	514.4	9.259	18.43	10.22	1.45
	25.97	19.33	67.86	0.00	0.0636	11.62	511.4	416.48	0.0617	513.2	9.237	18.39	10.18	1.46
	26.98	19.33	67.86	0.00	0.0634	11.57	509.3	414.74	0.0623	520.3	9.365	18.64	10.39	1.46
	27.97	19.34	67.86	0.00	0.0634	11.56	508.7	414.33	0.0627	514.1	9.253	18.42	10.21	1.45
	28.98	19.34	67.88	0.00	0.0634	11.54	507.8	413.41	0.0621	532.7	9.588	19.08	10.75	1.46
	29.97	19.33	67.86	0.00	0.0644	11.82	520.1	423.58	0.0626	522.7	9.408	18.73	10.46	1.46
	30.98	19.33	67.86	0.00	0.0642	11.69	514.6	419.04	0.0621	514.8	9.267	18.45	10.23	1.45
	31.97	19.34	67.86	0.00	0.0633	11.62	511.1	416.25	0.0629	526.5	9.478	18.87	10.57	1.46
	32.98	19.34	67.86	0.00	0.0631	11.44	503.5	410.06	0.0627	533.2	9.597	19.11	10.76	1.46
	33.97	19.33	67.86	0.00	0.0635	11.57	509.1	414.60	0.0628	525.0	9.451	18.81	10.53	1.46
	34.98	19.36	67.86	0.00	0.0640	11.44	503.3	409.90	0.0630	528.1	9.506	18.93	10.62	1.46
