Mar 15 2018 at 7:33:25
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Clear, high PAR, light wind
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.14	19.90	67.86	0.00	0.0637	11.62	511.5	417.34	0.0700	615.7	11.083	22.11	12.97	1.48
	1.14	19.90	67.83	0.00	0.0637	11.64	512.0	417.90	0.0704	612.7	11.029	22.01	12.90	1.48
	2.14	19.91	67.86	0.00	0.0637	11.63	511.9	417.68	0.0704	620.0	11.159	22.26	13.08	1.48
	3.14	19.89	67.86	0.00	0.0638	11.64	512.0	417.76	0.0703	616.6	11.099	22.14	12.99	1.48
	4.14	19.91	67.86	0.00	0.0637	11.64	512.0	417.80	0.0707	619.2	11.146	22.23	13.06	1.49
	5.14	19.91	67.88	0.00	0.0638	11.64	512.1	417.73	0.0708	620.1	11.162	22.26	13.08	1.48
	6.14	19.89	67.86	0.00	0.0637	11.64	512.1	417.84	0.0712	624.6	11.243	22.43	13.19	1.48
	7.14	19.91	67.86	0.00	0.0638	11.64	512.2	417.95	0.0713	625.4	11.257	22.45	13.21	1.48
	8.14	19.91	67.86	0.00	0.0637	11.64	512.2	418.00	0.0711	623.5	11.222	22.39	13.16	1.48
	9.14	19.93	67.86	0.00	0.0637	11.64	512.0	417.84	0.0719	629.0	11.322	22.59	13.30	1.48
	10.16	19.93	67.86	0.00	0.0637	11.64	512.0	417.84	0.0714	630.4	11.347	22.63	13.33	1.49
	11.14	19.93	67.89	0.00	0.0637	11.64	512.2	417.81	0.0718	631.0	11.359	22.65	13.35	1.48
	12.16	19.93	67.86	0.00	0.0637	11.63	511.8	417.68	0.0716	631.5	11.367	22.68	13.36	1.48
	13.14	19.93	67.86	0.00	0.0637	11.64	512.2	417.97	0.0718	632.4	11.383	22.71	13.38	1.48
	14.16	19.95	67.86	0.00	0.0637	11.64	512.3	418.09	0.0720	635.1	11.432	22.81	13.45	1.48
	15.14	19.95	67.86	0.00	0.0637	11.65	512.4	418.16	0.0720	635.8	11.444	22.83	13.46	1.48
	16.16	19.95	67.86	0.00	0.0638	11.65	512.5	418.26	0.0722	637.5	11.474	22.89	13.50	1.48
	17.14	19.95	67.86	0.00	0.0637	11.63	511.9	417.76	0.0722	639.3	11.508	22.96	13.55	1.48
	18.16	19.96	67.86	0.00	0.0638	11.64	512.3	418.13	0.0725	641.4	11.545	23.03	13.60	1.48
	19.14	19.93	67.86	0.00	0.0637	11.64	512.3	418.05	0.0725	641.5	11.546	23.03	13.60	1.48
	20.14	19.95	67.86	0.00	0.0638	11.65	512.6	418.37	0.0726	642.4	11.562	23.07	13.62	1.48
	21.14	19.95	67.84	0.00	0.0639	11.65	512.8	418.62	0.0727	643.2	11.578	23.11	13.64	1.48
	22.14	19.95	67.89	0.00	0.0638	11.65	512.5	418.13	0.0727	644.0	11.591	23.11	13.66	1.49
	23.14	19.96	67.86	0.00	0.0638	11.65	512.6	418.40	0.0729	646.0	11.629	23.20	13.71	1.48
	24.14	19.96	67.86	0.00	0.0638	11.65	512.7	418.47	0.0730	646.0	11.628	23.20	13.71	1.48
	25.14	19.96	67.86	0.00	0.0638	11.65	512.8	418.52	0.0729	647.1	11.649	23.24	13.74	1.48
