Mar 15 2018 at 7:06:30
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Minor fog/overcast, bright with light wind, beware condensation
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.61	16.54	67.86	0.00	0.0639	11.68	514.0	414.60	0.0599	488.1	8.786	17.32	9.30	1.39
	1.55	16.56	67.83	0.00	0.0639	11.67	513.5	414.39	0.0599	490.2	8.824	17.41	9.36	1.39
	2.55	16.56	67.83	0.00	0.0638	11.66	513.1	414.09	0.0599	491.0	8.838	17.43	9.39	1.39
	3.55	16.56	67.83	0.00	0.0639	11.67	513.7	414.54	0.0600	491.5	8.847	17.45	9.40	1.39
	4.55	16.56	67.83	0.00	0.0637	11.64	512.3	413.45	0.0602	493.8	8.888	17.53	9.47	1.39
	5.55	16.56	67.83	0.00	0.0638	11.66	513.2	414.16	0.0604	494.4	8.900	17.56	9.49	1.39
	6.55	16.56	67.83	0.00	0.0637	11.64	512.0	413.19	0.0604	493.2	8.878	17.51	9.45	1.39
	7.53	16.56	67.81	0.00	0.0637	11.66	512.8	414.00	0.0606	493.8	8.889	17.54	9.47	1.39
	8.55	16.57	67.83	0.00	0.0638	11.67	513.3	414.27	0.0606	496.2	8.931	17.62	9.54	1.39
	9.53	16.57	67.83	0.00	0.0638	11.66	513.0	414.00	0.0606	496.9	8.944	17.64	9.56	1.39
	10.55	16.56	67.86	0.00	0.0638	11.65	512.7	413.54	0.0609	499.6	8.993	17.73	9.64	1.39
	11.53	16.57	67.83	0.00	0.0637	11.65	512.5	413.60	0.0608	499.8	8.996	17.75	9.65	1.39
	12.55	16.56	67.83	0.00	0.0638	11.65	512.4	413.51	0.0607	497.8	8.961	17.68	9.59	1.39
	13.61	16.57	67.83	0.00	0.0637	11.64	512.2	413.33	0.0609	500.5	9.009	17.77	9.67	1.39
	14.55	16.57	67.83	0.00	0.0638	11.65	512.7	413.80	0.0608	499.6	8.992	17.74	9.64	1.39
