Mar 15 2018 at 7:13:53
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Redoing for high PAR environment
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.97	17.21	67.83	0.00	0.0652	11.99	527.7	426.77	0.0638	534.6	9.622	19.02	10.69	1.39
	1.97	17.20	67.83	0.00	0.0653	12.01	528.5	427.46	0.0635	531.0	9.559	18.90	10.59	1.39
	2.97	17.20	67.83	0.00	0.0653	12.00	528.1	427.11	0.0638	532.6	9.588	18.95	10.63	1.39
	3.97	17.21	67.83	0.00	0.0652	12.00	527.8	426.91	0.0639	534.4	9.619	19.02	10.68	1.39
	5.05	17.21	67.86	0.00	0.0653	12.00	528.2	427.05	0.0639	535.3	9.636	19.04	10.71	1.39
	5.97	17.20	67.83	0.00	0.0651	11.97	526.9	426.13	0.0640	537.3	9.672	19.12	10.76	1.39
	6.99	17.20	67.83	0.00	0.0651	11.96	526.5	425.78	0.0643	542.3	9.762	19.30	10.90	1.39
	7.97	17.21	67.83	0.00	0.0650	11.94	525.5	425.00	0.0648	545.1	9.811	19.40	10.98	1.39
	8.98	17.21	67.83	0.00	0.0651	11.97	526.5	425.82	0.0644	541.1	9.740	19.26	10.87	1.39
	9.97	17.21	67.83	0.00	0.0650	11.95	526.0	425.42	0.0647	545.9	9.825	19.43	11.00	1.39
	10.98	17.21	67.83	0.00	0.0650	11.95	526.0	425.40	0.0648	545.5	9.819	19.41	10.99	1.39
	11.97	17.20	67.83	0.00	0.0650	11.96	526.1	425.46	0.0652	548.8	9.879	19.53	11.08	1.39
	12.97	17.21	67.86	0.00	0.0649	11.94	525.3	424.68	0.0651	549.0	9.882	19.53	11.09	1.39
	13.97	17.21	67.83	0.00	0.0650	11.93	524.7	424.42	0.0652	551.9	9.935	19.64	11.17	1.39
	14.97	17.21	67.83	0.00	0.0649	11.93	525.0	424.61	0.0651	550.6	9.911	19.59	11.13	1.39
	15.97	17.23	67.86	0.00	0.0649	11.93	524.9	424.41	0.0654	553.8	9.968	19.70	11.22	1.39
	16.97	17.23	67.83	0.00	0.0649	11.92	524.4	424.14	0.0657	559.4	10.070	19.91	11.37	1.39
	17.98	17.25	67.83	0.00	0.0649	11.91	524.2	424.01	0.0656	554.5	9.982	19.74	11.24	1.39
	18.97	17.23	67.86	0.00	0.0650	11.92	524.3	423.89	0.0660	559.4	10.069	19.90	11.37	1.39
	19.98	17.23	67.83	0.00	0.0649	11.91	524.1	423.93	0.0659	559.2	10.065	19.90	11.37	1.39
	20.97	17.21	67.83	0.00	0.0648	11.87	522.4	422.56	0.0662	565.8	10.184	20.13	11.54	1.39
	21.98	17.23	67.86	0.00	0.0649	11.90	523.7	423.44	0.0662	563.8	10.148	20.06	11.49	1.39
	22.97	17.23	67.83	0.00	0.0648	11.89	523.2	423.18	0.0664	565.3	10.175	20.12	11.53	1.39
	23.98	17.25	67.83	0.00	0.0648	11.84	521.0	421.44	0.0666	573.4	10.321	20.41	11.75	1.39
	24.97	17.25	67.86	0.00	0.0647	11.87	522.1	422.16	0.0667	569.4	10.248	20.26	11.64	1.39
	25.98	17.25	67.83	0.00	0.0647	11.88	522.8	422.85	0.0667	570.2	10.264	20.29	11.66	1.39
	26.97	17.25	67.83	0.00	0.0647	11.87	522.2	422.43	0.0668	570.0	10.260	20.29	11.66	1.39
	27.97	17.25	67.83	0.00	0.0647	11.87	522.2	422.39	0.0669	572.0	10.296	20.36	11.71	1.39
	28.97	17.25	67.83	0.00	0.0647	11.87	522.1	422.34	0.0670	572.9	10.313	20.39	11.74	1.40
	29.97	17.25	67.83	0.00	0.0646	11.85	521.3	421.65	0.0674	576.0	10.367	20.50	11.82	1.39
	30.97	17.25	67.83	0.00	0.0644	11.81	519.8	420.47	0.0682	584.0	10.511	20.78	12.02	1.39
	31.97	17.25	67.83	0.00	0.0642	11.75	516.9	418.11	0.0685	598.2	10.767	21.29	12.39	1.39
	33.05	17.25	67.83	0.00	0.0643	11.73	516.1	417.46	0.0684	597.9	10.763	21.28	12.38	1.39
	33.97	17.25	67.83	0.00	0.0644	11.79	518.7	419.60	0.0680	587.2	10.570	20.90	12.11	1.40
	34.98	17.25	67.83	0.00	0.0643	11.79	518.5	419.45	0.0679	585.0	10.530	20.82	12.05	1.40
	35.97	17.26	67.83	0.00	0.0643	11.77	518.1	419.09	0.0682	588.4	10.591	20.94	12.14	1.39
	36.98	17.25	67.83	0.00	0.0643	11.77	518.1	419.07	0.0681	586.1	10.549	20.86	12.08	1.39
	37.97	17.26	67.83	0.00	0.0643	11.77	517.7	418.76	0.0681	587.8	10.580	20.92	12.12	1.40
	38.98	17.25	67.86	0.00	0.0642	11.76	517.6	418.51	0.0682	588.0	10.584	20.92	12.13	1.40
	39.97	17.25	67.83	0.00	0.0642	11.76	517.3	418.41	0.0682	588.6	10.594	20.95	12.14	1.40
	40.98	17.26	67.83	0.00	0.0640	11.72	515.9	417.33	0.0688	595.6	10.722	21.20	12.33	1.40
	41.97	17.26	67.83	0.00	0.0639	11.71	515.1	416.73	0.0689	594.7	10.704	21.17	12.30	1.40
	42.97	17.26	67.86	0.00	0.0640	11.70	514.7	416.24	0.0687	593.4	10.681	21.11	12.27	1.40
	43.97	17.26	67.83	0.00	0.0640	11.68	513.9	415.72	0.0686	594.6	10.703	21.17	12.30	1.40
	44.97	17.28	67.81	0.00	0.0637	11.64	511.9	414.30	0.0693	600.3	10.805	21.37	12.44	1.40
	45.97	17.28	67.83	0.00	0.0635	11.60	510.3	412.86	0.0695	602.7	10.849	21.45	12.51	1.40
	46.97	17.26	67.81	0.00	0.0635	11.58	509.4	412.25	0.0693	600.8	10.815	21.39	12.46	1.40
	48.05	17.26	67.83	0.00	0.0632	11.54	507.8	410.77	0.0693	600.5	10.809	21.37	12.45	1.40
	48.97	17.26	67.86	0.00	0.0632	11.51	506.5	409.59	0.0689	598.3	10.769	21.29	12.39	1.40
	49.98	17.26	67.83	0.00	0.0630	11.46	504.3	407.94	0.0690	597.3	10.752	21.26	12.37	1.40
	50.97	17.26	67.86	0.00	0.0628	11.42	502.6	406.43	0.0693	601.4	10.826	21.40	12.47	1.40
	51.98	17.28	67.83	0.00	0.0626	11.38	500.5	404.92	0.0691	599.8	10.796	21.35	12.43	1.40
	52.97	17.28	67.83	0.00	0.0623	11.31	497.6	402.54	0.0694	602.7	10.849	21.45	12.51	1.40
	53.98	17.30	67.86	0.00	0.0620	11.25	495.0	400.35	0.0695	604.7	10.885	21.52	12.56	1.40
