Mar 15 2018 at 7:02:39
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Minor fog/overcast, bright with light wind, beware condensation
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.88	16.22	67.83	0.00	0.0636	11.62	511.2	412.04	0.0593	481.2	8.662	17.07	9.07	1.38
	1.86	16.23	67.83	0.00	0.0635	11.56	508.6	410.00	0.0600	491.0	8.837	17.41	9.37	1.38
	2.88	16.23	67.83	0.00	0.0635	11.57	509.1	410.35	0.0597	490.6	8.831	17.40	9.36	1.38
	3.86	16.22	67.83	0.00	0.0635	11.58	509.4	410.60	0.0600	491.7	8.850	17.44	9.39	1.38
	4.88	16.23	67.81	0.00	0.0635	11.61	510.9	411.97	0.0595	482.9	8.693	17.13	9.12	1.38
	5.88	16.25	67.83	250.00	0.0635	11.60	510.4	411.46	0.0595	485.6	8.740	17.22	9.20	1.38
	6.95	16.25	67.83	250.00	0.0635	11.57	509.0	410.29	0.0592	487.1	8.768	17.28	9.25	1.38
	7.86	16.23	67.83	0.00	0.0636	11.63	511.6	412.43	0.0583	474.6	8.543	16.83	8.86	1.38
	8.86	16.25	67.83	0.00	0.0636	11.62	511.5	412.31	0.0584	474.5	8.540	16.83	8.86	1.38
	9.94	16.23	67.83	0.00	0.0635	11.57	509.1	410.33	0.0592	489.7	8.815	17.37	9.33	1.38
	10.86	16.25	67.86	0.00	0.0635	11.58	509.6	410.68	0.0598	489.3	8.808	17.35	9.32	1.38
	11.94	16.23	67.83	0.00	0.0635	11.60	510.3	411.33	0.0591	480.5	8.650	17.04	9.05	1.38
	12.86	16.25	67.83	0.00	0.0634	11.55	508.1	409.59	0.0602	499.4	8.989	17.71	9.62	1.38
	13.88	16.26	67.83	0.00	0.0636	11.60	510.2	411.31	0.0590	482.9	8.693	17.13	9.12	1.38
	14.86	16.25	67.83	0.00	0.0634	11.58	509.6	410.77	0.0596	485.8	8.744	17.23	9.21	1.38
	15.88	16.25	67.83	0.00	0.0633	11.56	508.7	410.03	0.0603	494.0	8.892	17.52	9.46	1.38
	16.86	16.25	67.83	0.00	0.0635	11.57	509.0	410.28	0.0599	492.5	8.866	17.47	9.42	1.38
	17.88	16.25	67.83	0.00	0.0633	11.55	508.4	409.83	0.0607	495.3	8.915	17.57	9.50	1.38
	18.86	16.25	67.81	0.00	0.0634	11.58	509.5	410.90	0.0598	487.0	8.767	17.28	9.25	1.38
	19.88	16.25	67.83	0.00	0.0634	11.58	509.7	410.88	0.0604	497.9	8.963	17.66	9.58	1.38
	20.86	16.25	67.83	0.00	0.0635	11.62	511.1	411.98	0.0597	475.7	8.562	16.87	8.90	1.38
	21.88	16.26	67.83	0.00	0.0634	11.60	510.4	411.49	0.0595	480.2	8.644	17.03	9.04	1.38
	22.86	16.23	67.83	0.00	0.0634	11.58	509.6	410.81	0.0600	487.3	8.771	17.28	9.25	1.38
	23.86	16.25	67.83	0.00	0.0635	11.60	510.3	411.35	0.0599	484.4	8.720	17.18	9.17	1.38
	24.86	16.25	67.83	0.00	0.0634	11.56	508.9	410.20	0.0605	493.3	8.879	17.50	9.44	1.38
	25.86	16.25	67.81	0.00	0.0636	11.58	509.5	410.89	0.0591	490.7	8.833	17.41	9.36	1.38
	26.88	16.26	67.81	0.00	0.0636	11.61	510.7	411.85	0.0594	485.8	8.745	17.24	9.21	1.38
	27.86	16.26	67.81	0.00	0.0637	11.61	511.0	412.08	0.0587	478.9	8.621	16.99	9.00	1.38
	28.88	16.26	67.83	0.00	0.0636	11.61	511.0	411.98	0.0592	481.1	8.660	17.06	9.07	1.38
	29.86	16.26	67.86	0.00	0.0633	11.57	508.9	410.12	0.0608	489.5	8.812	17.36	9.33	1.38
	30.88	16.28	67.83	0.00	0.0634	11.56	508.9	410.25	0.0605	497.1	8.947	17.63	9.55	1.38
	31.86	16.26	67.83	0.00	0.0638	11.57	509.1	410.43	0.0600	491.3	8.844	17.43	9.38	1.38
	32.88	16.28	67.83	0.00	0.0635	11.57	508.9	410.27	0.0601	495.7	8.922	17.58	9.51	1.38
