Mar 15 2018 at 6:50:36
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Minor fog/overcast, bright with light wind
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.30	14.90	67.81	0.00	0.0634	11.56	508.7	408.35	0.0621	512.5	9.225	18.10	9.94	1.40
	1.30	14.90	67.81	0.00	0.0634	11.55	508.3	408.00	0.0620	514.1	9.254	18.16	9.98	1.40
	2.30	14.93	67.81	0.00	0.0633	11.56	508.6	408.30	0.0622	513.8	9.248	18.15	9.98	1.40
	3.31	14.92	67.81	0.00	0.0633	11.56	508.5	408.23	0.0622	514.0	9.252	18.15	9.98	1.40
	4.30	14.92	67.81	0.00	0.0634	11.55	508.3	408.02	0.0621	517.4	9.313	18.27	10.08	1.40
	5.31	14.93	67.81	0.00	0.0632	11.54	507.6	407.48	0.0623	520.5	9.368	18.38	10.17	1.40
	8.33	14.92	67.78	0.00	0.0632	11.52	506.9	407.06	0.0631	523.4	9.422	18.49	10.25	1.40
	8.33	14.93	67.81	0.00	0.0633	11.53	507.5	407.43	0.0630	521.9	9.395	18.44	10.21	1.40
	8.33	14.95	67.83	0.00	0.0633	11.53	507.5	407.27	0.0628	521.9	9.394	18.43	10.21	1.40
	9.31	14.92	67.81	0.00	0.0633	11.53	507.5	407.35	0.0629	523.2	9.417	18.48	10.25	1.40
	10.30	14.93	67.81	0.00	0.0632	11.52	507.0	407.01	0.0631	525.5	9.459	18.56	10.31	1.40
	11.31	14.93	67.79	0.00	0.0632	11.51	506.6	406.79	0.0636	527.0	9.486	18.62	10.36	1.40
	12.30	14.93	67.81	0.00	0.0631	11.49	505.6	405.90	0.0636	533.9	9.610	18.86	10.55	1.40
	13.30	14.92	67.81	0.00	0.0631	11.50	505.9	406.07	0.0644	538.3	9.689	19.01	10.67	1.40
	14.30	14.95	67.81	0.00	0.0631	11.49	505.6	405.90	0.0640	539.8	9.717	19.07	10.72	1.40
	15.30	14.93	67.81	0.00	0.0631	11.49	505.5	405.76	0.0638	537.4	9.672	18.98	10.65	1.40
	16.38	14.95	67.78	0.00	0.0631	11.49	505.6	406.02	0.0641	535.0	9.629	18.90	10.58	1.40
	17.30	14.95	67.81	0.00	0.0631	11.49	505.4	405.74	0.0639	535.5	9.638	18.91	10.60	1.40
	18.31	14.95	67.81	0.00	0.0629	11.47	504.5	405.01	0.0649	542.7	9.768	19.17	10.80	1.40
	19.30	14.95	67.81	0.00	0.0630	11.46	504.3	404.85	0.0645	543.0	9.774	19.18	10.81	1.40
	20.31	14.93	67.81	0.00	0.0630	11.47	504.5	404.99	0.0644	539.7	9.714	19.06	10.71	1.40
	21.30	14.95	67.81	0.00	0.0629	11.45	504.0	404.62	0.0645	543.8	9.788	19.21	10.83	1.40
	22.31	14.97	67.81	0.00	0.0629	11.44	503.2	403.96	0.0649	550.4	9.907	19.44	11.01	1.40
	23.30	14.95	67.81	0.00	0.0630	11.45	503.7	404.38	0.0648	547.8	9.860	19.35	10.94	1.40
	24.31	14.95	67.81	0.00	0.0628	11.43	502.9	403.76	0.0652	551.5	9.926	19.48	11.04	1.40
	25.30	14.98	67.78	0.00	0.0628	11.44	503.4	404.31	0.0653	550.5	9.910	19.46	11.02	1.40
	26.31	14.97	67.81	0.00	0.0628	11.43	503.0	403.84	0.0653	551.0	9.917	19.46	11.03	1.40
	27.30	14.97	67.81	0.00	0.0629	11.43	502.9	403.76	0.0655	552.8	9.950	19.53	11.08	1.40
	28.30	14.97	67.81	0.00	0.0627	11.42	502.7	403.57	0.0654	551.2	9.921	19.47	11.03	1.40
	29.38	14.97	67.81	0.00	0.0628	11.42	502.4	403.35	0.0658	557.0	10.026	19.68	11.19	1.40
	30.30	14.98	67.81	0.00	0.0627	11.42	502.3	403.29	0.0656	556.5	10.016	19.66	11.18	1.40
	31.31	14.98	67.81	0.00	0.0627	11.41	502.1	403.12	0.0658	558.4	10.051	19.73	11.23	1.40
	32.30	14.98	67.83	0.00	0.0627	11.41	502.2	403.05	0.0658	558.0	10.043	19.70	11.22	1.40
	33.31	14.98	67.81	0.00	0.0626	11.40	501.5	402.64	0.0668	567.6	10.217	20.05	11.48	1.40
	34.30	14.98	67.81	0.00	0.0627	11.39	501.3	402.49	0.0661	563.8	10.149	19.92	11.37	1.40
	35.31	15.00	67.81	0.00	0.0626	11.39	501.1	402.38	0.0662	564.2	10.156	19.93	11.39	1.40
	36.30	15.01	67.81	0.00	0.0626	11.39	501.1	402.41	0.0662	562.6	10.126	19.88	11.34	1.40
	37.31	15.00	67.78	0.00	0.0627	11.39	501.0	402.44	0.0662	562.9	10.132	19.89	11.35	1.40
	38.30	15.00	67.81	0.00	0.0627	11.39	501.1	402.37	0.0664	564.0	10.151	19.92	11.38	1.40
	39.31	15.01	67.81	0.00	0.0626	11.37	500.4	401.85	0.0665	568.2	10.228	20.08	11.49	1.40
	40.30	15.00	67.81	0.00	0.0627	11.39	501.0	402.29	0.0665	561.5	10.107	19.84	11.31	1.40
	41.30	15.00	67.81	0.00	0.0626	11.37	500.1	401.57	0.0664	569.7	10.255	20.13	11.53	1.40
	42.31	15.00	67.81	0.00	0.0626	11.37	500.1	401.54	0.0667	570.5	10.270	20.16	11.55	1.40
	43.30	15.00	67.81	0.00	0.0625	11.37	500.1	401.58	0.0668	570.6	10.270	20.16	11.55	1.40
	44.31	15.00	67.81	0.00	0.0625	11.35	499.3	400.89	0.0673	576.2	10.371	20.36	11.70	1.40
	45.30	15.03	67.81	0.00	0.0626	11.36	499.9	401.43	0.0669	572.8	10.311	20.24	11.62	1.40
	46.31	15.01	67.78	0.00	0.0625	11.35	499.5	401.25	0.0670	572.7	10.309	20.24	11.61	1.40
	47.30	15.01	67.83	0.00	0.0626	11.36	499.7	401.11	0.0669	571.3	10.284	20.18	11.58	1.40
	48.31	15.01	67.81	0.00	0.0625	11.36	499.7	401.25	0.0669	571.7	10.290	20.20	11.58	1.40
	49.30	15.01	67.81	0.00	0.0625	11.35	499.6	401.14	0.0671	573.6	10.325	20.27	11.64	1.40
	50.31	15.03	67.81	0.00	0.0625	11.34	499.0	400.72	0.0672	575.8	10.364	20.34	11.69	1.40
	51.30	15.03	67.81	0.00	0.0625	11.35	499.3	400.95	0.0670	574.9	10.349	20.31	11.67	1.40
	52.31	15.03	67.81	0.00	0.0624	11.34	498.9	400.64	0.0671	577.0	10.387	20.39	11.73	1.40
	53.30	15.03	67.81	0.00	0.0625	11.35	499.4	401.03	0.0671	574.6	10.343	20.30	11.66	1.40
	54.30	15.03	67.81	0.00	0.0624	11.34	498.8	400.53	0.0672	576.7	10.380	20.38	11.72	1.40
	55.30	15.05	67.79	0.00	0.0624	11.32	498.3	400.30	0.0675	579.7	10.435	20.49	11.80	1.40
	56.30	15.03	67.81	0.00	0.0624	11.33	498.7	400.44	0.0675	577.2	10.389	20.39	11.73	1.40
	57.38	15.03	67.83	0.00	0.0624	11.31	497.9	399.64	0.0676	581.7	10.470	20.54	11.85	1.40
	58.30	15.05	67.81	0.00	0.0623	11.30	497.3	399.37	0.0681	584.5	10.520	20.65	11.92	1.40
	59.31	15.03	67.81	0.00	0.0624	11.31	497.9	399.79	0.0679	584.8	10.526	20.66	11.93	1.40
	60.30	15.03	67.81	0.00	0.0623	11.32	498.1	400.00	0.0679	583.3	10.500	20.61	11.89	1.40
	61.31	15.05	67.81	0.00	0.0623	11.31	497.6	399.61	0.0681	586.2	10.552	20.71	11.97	1.40
	62.30	15.05	67.81	0.00	0.0623	11.31	497.5	399.57	0.0680	585.8	10.544	20.70	11.96	1.40
	63.31	15.05	67.78	0.00	0.0623	11.31	497.6	399.75	0.0680	585.8	10.544	20.71	11.96	1.40
	64.30	15.05	67.81	0.00	0.0623	11.30	497.2	399.33	0.0680	586.6	10.559	20.73	11.98	1.40
	65.31	15.06	67.81	0.00	0.0623	11.31	497.5	399.56	0.0679	584.6	10.522	20.66	11.93	1.40
	66.30	15.06	67.81	0.00	0.0623	11.30	497.0	399.16	0.0681	587.5	10.575	20.76	12.00	1.40
	67.30	15.08	67.81	0.00	0.0622	11.29	496.7	398.95	0.0683	588.4	10.592	20.79	12.03	1.40
	68.30	15.05	67.81	0.00	0.0622	11.29	496.6	398.84	0.0685	589.8	10.616	20.84	12.06	1.40
	69.30	15.06	67.81	0.00	0.0622	11.28	496.2	398.52	0.0685	591.7	10.650	20.91	12.11	1.40
	70.38	15.06	67.81	0.00	0.0622	11.28	496.3	398.63	0.0685	589.6	10.613	20.84	12.06	1.40
	71.30	15.06	67.81	0.00	0.0621	11.26	495.3	397.79	0.0686	593.4	10.681	20.97	12.15	1.40
	72.31	15.08	67.81	0.00	0.0621	11.26	495.4	397.86	0.0686	592.0	10.656	20.92	12.12	1.40
	73.30	15.08	67.81	0.00	0.0621	11.26	495.3	397.77	0.0686	592.7	10.668	20.95	12.14	1.40
