Mar 15 2018 at 6:36:14
Frequency: 1Hz.
CO2
Zero:  Value:0.914415  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00445  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.772015  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.00616  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.53	13.22	67.81	0.00	0.0642	11.81	519.8	414.76	0.0599	489.7	8.815	17.20	9.17	1.38
	1.51	13.24	67.81	0.00	0.0639	11.67	513.6	409.90	0.0597	488.8	8.799	17.16	9.15	1.38
	2.53	13.21	67.81	0.00	0.0646	11.75	517.0	412.53	0.0585	480.0	8.639	16.85	8.87	1.38
	3.53	13.24	67.81	0.00	0.0645	11.86	521.7	416.34	0.0584	467.9	8.423	16.43	8.50	1.38
	4.53	13.22	67.83	0.00	0.0643	11.78	518.2	413.37	0.0591	485.5	8.739	17.04	9.05	1.38
	5.53	13.22	67.81	0.00	0.0639	11.69	514.2	410.32	0.0585	482.4	8.683	16.94	8.95	1.38
	6.53	13.24	67.81	0.00	0.0638	11.66	513.1	409.49	0.0597	486.8	8.763	17.09	9.09	1.38
	7.53	13.22	67.81	0.00	0.0638	11.69	514.5	410.57	0.0600	475.7	8.563	16.70	8.75	1.38
	8.52	13.21	67.81	0.00	0.0639	11.66	512.9	409.28	0.0591	483.9	8.711	16.99	9.00	1.38
	9.53	13.24	67.81	0.00	0.0637	11.65	512.5	409.02	0.0602	493.7	8.886	17.33	9.29	1.38
	10.52	13.22	67.78	0.00	0.0643	11.74	516.6	412.40	0.0575	459.9	8.277	16.15	8.24	1.38
	11.53	13.22	67.81	0.00	0.0645	11.68	513.8	409.98	0.0561	480.9	8.656	16.89	8.90	1.37
	12.52	13.25	67.81	0.00	0.0641	11.75	516.8	412.43	0.0574	454.2	8.176	15.95	8.06	1.38
	13.53	13.24	67.78	0.00	0.0639	11.71	515.3	411.42	0.0583	468.6	8.434	16.46	8.52	1.38
	14.52	13.24	67.79	0.00	0.0641	11.73	516.3	412.14	0.0577	461.0	8.297	16.19	8.28	1.38
	15.53	13.24	67.81	0.00	0.0643	11.79	518.8	414.01	0.0565	446.2	8.032	15.67	7.80	1.38
	16.59	13.25	67.81	0.00	0.0642	11.73	516.1	411.92	0.0582	463.0	8.334	16.26	8.35	1.38
	17.53	13.25	67.81	0.00	0.0640	11.69	514.4	410.54	0.0594	476.5	8.577	16.73	8.77	1.38
	18.53	13.25	67.81	0.00	0.0642	11.73	516.0	411.77	0.0590	481.9	8.674	16.92	8.94	1.38
	19.53	13.27	67.81	0.00	0.0640	11.72	515.6	411.52	0.0584	472.2	8.499	16.58	8.64	1.38
	20.53	13.24	67.81	0.00	0.0638	11.74	516.8	412.39	0.0595	464.1	8.354	16.30	8.38	1.38
	21.53	13.25	67.81	0.00	0.0638	11.71	515.0	411.03	0.0596	484.6	8.723	17.02	9.02	1.38
	22.53	13.24	67.81	0.00	0.0639	11.70	514.6	410.67	0.0591	476.5	8.576	16.73	8.77	1.38
	23.52	13.25	67.81	0.00	0.0638	11.68	514.1	410.31	0.0598	490.7	8.833	17.23	9.21	1.38
	24.53	13.24	67.81	0.00	0.0641	11.68	513.9	410.10	0.0588	500.1	9.002	17.56	9.49	1.38
	25.52	13.25	67.81	0.00	0.0640	11.73	516.2	411.97	0.0584	469.0	8.442	16.47	8.54	1.38
	26.53	13.25	67.81	0.00	0.0647	11.75	517.0	412.62	0.0579	471.3	8.484	16.55	8.61	1.38
	27.52	13.25	67.81	0.00	0.0641	11.79	518.6	413.88	0.0588	474.0	8.533	16.65	8.69	1.38
	28.53	13.28	67.81	0.00	0.0641	11.69	514.2	410.44	0.0588	477.2	8.589	16.76	8.79	1.38
	29.59	13.27	67.83	0.00	0.0639	11.68	513.7	409.88	0.0589	476.9	8.585	16.74	8.78	1.38
	30.53	13.27	67.81	0.00	0.0642	11.86	521.7	416.41	0.0572	463.0	8.334	16.26	8.35	1.38
	31.59	13.27	67.81	0.00	0.0640	11.67	513.4	409.78	0.0589	477.3	8.592	16.76	8.80	1.38
	32.53	13.27	67.79	0.00	0.0643	11.71	515.4	411.48	0.0572	468.3	8.430	16.45	8.51	1.38
	33.53	13.27	67.79	0.00	0.0639	11.66	512.8	409.44	0.0591	489.4	8.810	17.19	9.17	1.38
	34.53	13.27	67.81	0.00	0.0637	11.67	513.5	409.83	0.0594	477.6	8.597	16.77	8.80	1.38
	35.53	13.27	67.81	0.00	0.0636	11.65	512.8	409.28	0.0597	485.4	8.737	17.05	9.04	1.38
