Mar 15 2018 at 6:54:43
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Minor fog/overcast, bright with light wind, beware condensation
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.81	15.44	67.83	0.00	0.0636	11.61	510.9	410.72	0.0621	515.9	9.287	18.25	10.06	1.40
	1.81	15.45	67.81	0.00	0.0636	11.61	510.8	410.81	0.0621	514.8	9.266	18.22	10.03	1.40
	2.81	15.44	67.81	0.00	0.0636	11.60	510.5	410.53	0.0623	516.3	9.293	18.27	10.08	1.40
	3.81	15.45	67.81	0.00	0.0636	11.61	510.8	410.80	0.0624	519.9	9.359	18.40	10.18	1.40
	4.81	15.45	67.81	0.00	0.0636	11.61	511.0	410.94	0.0626	521.1	9.380	18.44	10.22	1.40
	5.80	15.45	67.83	0.00	0.0636	11.61	511.0	410.78	0.0626	520.3	9.366	18.41	10.19	1.40
	6.81	15.48	67.81	0.00	0.0635	11.61	510.9	410.88	0.0628	522.0	9.396	18.47	10.24	1.40
	7.80	15.45	67.81	0.00	0.0636	11.61	510.8	410.83	0.0627	522.2	9.400	18.48	10.25	1.40
	8.81	15.47	67.81	0.00	0.0635	11.61	510.7	410.71	0.0627	522.6	9.407	18.49	10.26	1.40
	9.80	15.47	67.81	0.00	0.0637	11.61	510.9	410.93	0.0627	521.4	9.386	18.45	10.23	1.40
	10.81	15.47	67.81	0.00	0.0636	11.62	511.2	411.17	0.0627	522.2	9.400	18.48	10.25	1.40
	11.88	15.47	67.81	0.00	0.0637	11.62	511.2	411.17	0.0629	523.7	9.427	18.53	10.29	1.40
	12.81	15.47	67.81	0.00	0.0637	11.62	511.4	411.28	0.0631	526.6	9.479	18.63	10.37	1.40
	13.81	15.48	67.81	0.00	0.0636	11.63	511.6	411.45	0.0630	525.8	9.464	18.61	10.35	1.40
	14.81	15.47	67.83	0.00	0.0637	11.62	511.4	411.14	0.0631	526.9	9.484	18.64	10.38	1.40
	15.89	15.47	67.81	250.00	0.0636	11.62	511.3	411.22	0.0631	526.1	9.470	18.62	10.36	1.40
	16.81	15.47	67.81	0.00	0.0637	11.62	511.3	411.23	0.0630	526.3	9.474	18.62	10.36	1.40
	17.81	15.50	67.81	0.00	0.0637	11.62	511.5	411.38	0.0632	527.1	9.488	18.65	10.39	1.40
	18.80	15.48	67.81	0.00	0.0637	11.62	511.5	411.39	0.0632	528.2	9.508	18.69	10.42	1.40
	19.81	15.48	67.81	0.00	0.0637	11.63	511.8	411.62	0.0633	528.0	9.504	18.69	10.41	1.40
	20.80	15.50	67.81	0.00	0.0637	11.63	511.6	411.52	0.0633	527.8	9.500	18.68	10.41	1.40
	21.81	15.50	67.81	0.00	0.0637	11.64	511.9	411.78	0.0633	528.5	9.514	18.71	10.43	1.40
	22.81	15.48	67.81	0.00	0.0636	11.63	511.8	411.66	0.0633	528.6	9.515	18.71	10.43	1.40
	23.81	15.48	67.81	0.00	0.0638	11.64	512.1	411.90	0.0633	529.4	9.529	18.73	10.45	1.40
