Mar 15 2018 at 10:24:49
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and high PAR
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.64	22.72	67.52	0.00	0.0623	11.30	497.1	411.58	0.0665	568.1	10.226	20.70	11.89	1.45
	1.64	22.72	67.52	0.00	0.0621	11.28	496.5	411.10	0.0665	570.1	10.262	20.77	11.94	1.45
	2.64	22.72	67.55	0.00	0.0619	11.26	495.4	410.07	0.0671	577.4	10.392	21.03	12.14	1.45
	3.64	22.72	67.50	0.00	0.0621	11.26	495.6	410.51	0.0672	576.9	10.384	21.02	12.12	1.45
	4.64	22.72	67.50	0.00	0.0620	11.24	494.7	409.72	0.0679	582.6	10.488	21.23	12.27	1.45
	5.64	22.76	67.52	0.00	0.0620	11.26	495.3	410.14	0.0678	578.0	10.405	21.06	12.16	1.45
	6.64	22.72	67.50	0.00	0.0621	11.22	493.9	409.08	0.0679	587.9	10.582	21.43	12.41	1.45
	7.64	22.72	67.50	0.00	0.0619	11.21	493.4	408.67	0.0682	589.5	10.611	21.48	12.45	1.45
	8.64	22.76	67.52	0.00	0.0619	11.22	493.5	408.63	0.0678	588.7	10.596	21.45	12.43	1.45
	9.64	22.74	67.52	0.00	0.0617	11.22	493.5	408.66	0.0678	584.9	10.529	21.31	12.33	1.45
	10.64	22.74	67.52	0.00	0.0617	11.20	492.9	408.14	0.0684	590.9	10.637	21.53	12.49	1.45
	11.72	22.72	67.50	0.00	0.0619	11.20	492.8	408.17	0.0685	590.3	10.625	21.51	12.47	1.45
	12.64	22.72	67.52	0.00	0.0617	11.19	492.2	407.49	0.0686	592.0	10.656	21.57	12.52	1.45
	13.66	22.74	67.50	0.00	0.0617	11.17	491.6	407.21	0.0688	596.5	10.737	21.74	12.63	1.45
	14.64	22.72	67.52	0.00	0.0616	11.16	491.1	406.60	0.0688	600.4	10.807	21.87	12.73	1.45
	15.66	22.72	67.52	0.00	0.0616	11.16	490.9	406.45	0.0691	600.2	10.803	21.86	12.73	1.45
	16.64	22.74	67.50	0.00	0.0617	11.15	490.4	406.22	0.0689	600.8	10.815	21.90	12.74	1.45
	17.66	22.72	67.50	0.00	0.0615	11.13	489.7	405.63	0.0695	604.7	10.885	22.04	12.84	1.45
	18.64	22.72	67.50	0.00	0.0615	11.14	490.3	406.14	0.0694	603.0	10.853	21.97	12.80	1.45
	19.66	22.74	67.48	0.00	0.0614	11.13	489.6	405.64	0.0696	605.6	10.900	22.08	12.86	1.45
	20.64	22.76	67.50	0.00	0.0613	11.12	489.4	405.45	0.0696	606.7	10.921	22.11	12.89	1.45
	21.64	22.74	67.47	0.00	0.0614	11.13	489.7	405.79	0.0698	607.6	10.938	22.15	12.92	1.45
	22.64	22.74	67.50	0.00	0.0615	11.10	488.5	404.62	0.0702	612.0	11.016	22.31	13.02	1.45
	23.64	22.75	67.52	0.00	0.0615	11.11	488.9	404.82	0.0700	610.7	10.993	22.25	12.99	1.45
	24.64	22.74	67.52	0.00	0.0613	11.10	488.5	404.51	0.0704	613.0	11.034	22.33	13.05	1.45
	25.64	22.74	67.50	0.00	0.0614	11.11	489.0	405.01	0.0704	615.1	11.073	22.42	13.10	1.45
	26.64	22.74	67.47	0.00	0.0614	11.11	488.6	404.88	0.0705	615.8	11.085	22.45	13.12	1.45
	27.64	22.74	67.50	0.00	0.0614	11.08	487.5	403.83	0.0707	619.8	11.157	22.59	13.22	1.45
	28.66	22.75	67.52	0.00	0.0612	11.08	487.4	403.60	0.0709	619.7	11.154	22.58	13.22	1.45
	29.64	22.74	67.52	0.00	0.0613	11.09	488.0	404.04	0.0708	620.3	11.165	22.60	13.23	1.45
	30.66	22.74	67.50	0.00	0.0615	11.08	487.4	403.73	0.0709	623.3	11.220	22.72	13.30	1.45
	31.64	22.74	67.50	0.00	0.0613	11.07	487.1	403.51	0.0712	626.1	11.270	22.82	13.37	1.45
