Mar 15 2018 at 10:28:39
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and high PAR
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.33	22.91	67.50	0.00	0.0613	11.12	489.2	405.49	0.0652	552.4	9.943	20.14	11.48	1.46
	1.33	22.93	67.52	0.00	0.0614	11.15	490.5	406.45	0.0657	549.1	9.883	20.02	11.38	1.46
	2.33	22.93	67.50	0.00	0.0616	11.13	489.8	406.01	0.0655	556.8	10.023	20.31	11.60	1.46
	3.33	22.93	67.50	0.00	0.0615	11.12	489.2	405.50	0.0653	559.8	10.076	20.41	11.68	1.46
	4.31	22.93	67.52	0.00	0.0617	11.18	492.1	407.75	0.0651	547.6	9.857	19.96	11.34	1.46
	5.33	22.91	67.50	0.00	0.0616	11.16	491.0	406.94	0.0654	553.3	9.960	20.18	11.50	1.46
	6.31	22.91	67.50	0.00	0.0619	11.16	491.0	406.95	0.0658	552.6	9.947	20.15	11.48	1.46
	7.33	22.93	67.50	0.00	0.0622	11.33	498.6	413.25	0.0664	569.5	10.251	20.77	11.94	1.46
	8.31	22.93	67.52	0.00	0.0620	11.26	495.3	410.39	0.0664	569.1	10.244	20.75	11.93	1.46
	9.33	22.94	67.50	0.00	0.0634	11.39	501.0	415.27	0.0631	531.5	9.567	19.39	10.90	1.46
	10.31	22.93	67.50	0.00	0.0617	11.24	494.5	409.87	0.0645	539.0	9.703	19.66	11.11	1.46
	11.33	22.93	67.50	0.00	0.0618	11.22	493.9	409.34	0.0633	539.3	9.707	19.67	11.11	1.46
	12.31	22.93	67.50	0.00	0.0627	11.48	505.2	418.71	0.0601	529.1	9.523	19.29	10.83	1.46
	13.33	22.91	67.50	0.00	0.0621	11.32	497.9	412.67	0.0636	527.9	9.502	19.25	10.79	1.46
	14.31	22.93	67.50	0.00	0.0617	11.24	494.6	409.95	0.0643	523.9	9.431	19.11	10.68	1.46
	15.33	22.94	67.50	0.00	0.0618	11.23	494.1	409.56	0.0639	535.3	9.635	19.52	11.00	1.46
	16.39	22.94	67.52	0.00	0.0618	11.22	493.7	409.04	0.0640	537.5	9.676	19.60	11.07	1.46
	17.34	22.94	67.50	250.00	0.0615	11.22	493.8	409.33	0.0645	532.9	9.593	19.44	10.94	1.46
	18.33	22.94	67.50	0.00	0.0615	11.17	491.3	407.28	0.0646	544.6	9.803	19.86	11.26	1.46
	19.33	22.94	67.50	0.00	0.0615	11.14	490.1	406.26	0.0661	556.9	10.025	20.31	11.60	1.46
	20.33	22.94	67.50	0.00	0.0617	11.22	493.6	409.18	0.0635	531.4	9.565	19.38	10.89	1.46
	21.33	22.94	67.50	0.00	0.0612	11.17	491.6	407.51	0.0658	550.0	9.899	20.06	11.41	1.46
	22.33	22.94	67.52	0.00	0.0613	11.12	489.2	405.32	0.0652	550.6	9.910	20.07	11.43	1.46
	23.33	22.92	67.50	0.00	0.0616	11.15	490.5	406.53	0.0643	542.6	9.767	19.79	11.21	1.46
	24.33	22.94	67.50	0.00	0.0613	11.09	488.0	404.48	0.0658	555.6	10.001	20.26	11.56	1.46
	25.31	22.94	67.50	0.00	0.0724	13.04	573.6	475.47	0.0666	568.3	10.229	20.73	11.91	1.46
	26.33	22.94	67.50	0.00	0.0644	12.04	529.6	438.95	0.0651	557.0	10.027	20.32	11.60	1.46
	27.31	22.94	67.50	0.00	0.0644	11.65	512.4	424.73	0.0681	581.0	10.458	21.19	12.24	1.46
	28.33	22.94	67.50	0.00	0.0634	11.51	506.6	419.93	0.0668	566.1	10.190	20.65	11.85	1.46
	29.31	22.94	67.50	0.00	0.0621	11.25	495.0	410.28	0.0624	532.6	9.586	19.42	10.93	1.46
	30.33	22.92	67.47	0.00	0.0635	11.57	509.2	422.15	0.0648	548.5	9.873	20.01	11.37	1.46
	31.31	22.94	67.50	0.00	0.0618	11.15	490.4	406.51	0.0648	547.9	9.863	19.98	11.35	1.46
