Mar 15 2018 at 10:34:25
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and high PAR
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.27	23.05	67.50	0.00	0.0609	11.02	484.7	401.93	0.0673	579.1	10.423	21.13	12.20	1.46
	1.25	23.08	67.50	0.00	0.0611	11.02	485.0	402.17	0.0677	580.1	10.442	21.17	12.23	1.46
	2.27	23.06	67.50	0.00	0.0609	11.02	484.8	402.00	0.0675	581.7	10.471	21.22	12.27	1.46
	3.25	23.06	67.50	0.00	0.0608	11.02	485.0	402.19	0.0677	582.5	10.485	21.25	12.29	1.46
	4.27	23.08	67.52	0.00	0.0611	11.02	485.0	402.07	0.0676	582.5	10.486	21.25	12.29	1.46
	5.25	23.06	67.55	0.00	0.0611	11.02	485.1	401.96	0.0679	583.7	10.506	21.28	12.32	1.46
	6.27	23.06	67.52	0.00	0.0610	11.02	485.0	402.03	0.0680	585.0	10.531	21.34	12.35	1.46
	7.25	23.06	67.50	0.00	0.0610	11.01	484.6	401.86	0.0679	583.3	10.500	21.28	12.31	1.46
	8.25	23.06	67.50	0.00	0.0610	11.03	485.2	402.37	0.0679	586.8	10.562	21.41	12.40	1.46
	9.25	23.06	67.52	0.00	0.0611	11.03	485.2	402.18	0.0681	587.3	10.571	21.42	12.41	1.46
	10.27	23.06	67.52	250.00	0.0612	11.03	485.3	402.24	0.0680	586.9	10.564	21.41	12.40	1.46
	11.25	23.05	67.49	0.00	0.0612	11.03	485.4	402.50	0.0682	588.1	10.585	21.46	12.43	1.46
	12.25	23.06	67.50	0.00	0.0611	11.03	485.2	402.33	0.0681	587.6	10.576	21.44	12.42	1.46
