Mar 15 2018 at 10:16:25
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and low PAR _ THUNDER
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.28	22.68	67.50	0.00	0.0613	11.08	487.6	403.84	0.0658	558.7	10.056	20.36	11.63	1.44
	1.30	22.68	67.52	0.00	0.0612	11.06	486.8	403.03	0.0658	559.4	10.069	20.38	11.65	1.44
	2.28	22.68	67.52	0.00	0.0610	11.05	486.0	402.33	0.0660	561.7	10.110	20.46	11.72	1.44
	3.30	22.66	67.52	0.00	0.0610	11.03	485.5	401.90	0.0662	563.3	10.140	20.52	11.76	1.44
	4.28	22.64	67.52	0.00	0.0610	11.01	484.6	401.10	0.0663	565.2	10.173	20.58	11.81	1.44
	5.28	22.68	67.52	0.00	0.0609	10.99	483.4	400.22	0.0667	569.3	10.248	20.74	11.92	1.44
	6.28	22.68	67.52	0.00	0.0607	10.95	481.7	398.82	0.0671	572.4	10.303	20.85	12.00	1.44
	7.28	22.68	67.50	0.00	0.0606	10.96	482.3	399.42	0.0672	577.3	10.392	21.04	12.13	1.44
	8.28	22.68	67.52	0.00	0.0608	10.95	481.9	398.92	0.0670	576.2	10.372	20.99	12.10	1.44
	9.28	22.68	67.50	0.00	0.0607	10.95	481.8	399.03	0.0673	577.1	10.388	21.03	12.13	1.44
	10.36	22.68	67.50	0.00	0.0606	10.92	480.7	398.06	0.0675	580.1	10.441	21.14	12.20	1.44
	11.28	22.68	67.52	0.00	0.0606	10.92	480.3	397.59	0.0678	581.9	10.474	21.20	12.25	1.44
	12.30	22.68	67.50	0.00	0.0605	10.90	479.8	397.36	0.0679	588.9	10.600	21.46	12.43	1.44
	13.28	22.66	67.50	0.00	0.0605	10.88	478.9	396.59	0.0683	590.7	10.633	21.52	12.48	1.44
	14.30	22.68	67.50	0.00	0.0605	10.89	479.2	396.87	0.0682	589.3	10.607	21.47	12.44	1.44
	15.28	22.66	67.52	0.00	0.0602	10.86	477.7	395.47	0.0687	592.7	10.668	21.59	12.53	1.44
	16.30	22.68	67.52	0.00	0.0603	10.87	478.4	396.07	0.0685	592.5	10.665	21.58	12.53	1.44
	17.28	22.68	67.52	0.00	0.0602	10.84	476.9	394.77	0.0688	596.9	10.743	21.74	12.64	1.44
	18.30	22.66	67.52	0.00	0.0601	10.84	476.8	394.67	0.0689	598.0	10.763	21.78	12.67	1.44
	19.28	22.68	67.52	0.00	0.0602	10.85	477.4	395.21	0.0691	597.4	10.753	21.76	12.65	1.44
	20.28	22.68	67.50	0.00	0.0601	10.82	476.0	394.23	0.0692	601.2	10.821	21.91	12.75	1.44
