Mar 15 2018 at 10:15:42
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and low PAR, light rain, THUNDER
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.01	22.70	67.52	0.00	0.0637	11.93	524.8	434.46	0.0670	570.1	10.261	20.77	11.94	1.44
	1.03	22.70	67.50	0.00	0.0631	11.56	508.8	421.39	0.0665	568.7	10.237	20.72	11.91	1.44
	2.02	22.70	67.50	0.00	0.0623	11.32	498.0	412.47	0.0663	567.7	10.219	20.69	11.88	1.44
	3.03	22.70	67.52	0.00	0.0625	11.33	498.3	412.59	0.0670	568.9	10.241	20.73	11.91	1.44
	4.01	22.70	67.52	0.00	0.0621	11.31	497.5	411.89	0.0667	567.5	10.215	20.67	11.87	1.44
	5.03	22.70	67.52	0.00	0.0621	11.34	499.0	413.12	0.0664	567.2	10.210	20.66	11.87	1.44
	6.01	22.70	67.50	0.00	0.0616	11.15	490.8	406.50	0.0651	559.1	10.064	20.38	11.65	1.44
	7.03	22.70	67.50	0.00	0.0620	11.21	493.3	408.58	0.0639	532.8	9.591	19.42	10.92	1.44
	8.02	22.70	67.52	0.00	0.0617	11.16	491.3	406.71	0.0650	549.7	9.895	20.03	11.39	1.44
	9.03	22.68	67.50	0.00	0.0617	11.20	492.8	408.11	0.0643	551.1	9.919	20.08	11.43	1.44
	10.02	22.72	67.52	0.00	0.0619	11.21	493.4	408.55	0.0645	539.1	9.704	19.64	11.10	1.44
	11.02	22.68	67.52	0.00	0.0615	11.18	491.7	407.06	0.0650	545.0	9.810	19.85	11.26	1.44
	12.02	22.68	67.52	0.00	0.0619	11.17	491.7	407.05	0.0642	547.6	9.857	19.95	11.33	1.44
	13.02	22.70	67.50	0.00	0.0620	11.33	498.6	412.96	0.0636	536.1	9.650	19.54	11.01	1.44
	14.03	22.70	67.50	0.00	0.0621	11.25	495.2	410.11	0.0631	522.2	9.400	19.03	10.62	1.44
	15.02	22.68	67.50	0.00	0.0623	11.24	494.7	409.67	0.0634	520.3	9.365	18.96	10.56	1.44
	16.03	22.68	67.50	0.00	0.0623	11.32	497.9	412.37	0.0641	538.3	9.690	19.62	11.07	1.44
	17.02	22.70	67.50	0.00	0.0625	11.24	494.4	409.49	0.0636	533.5	9.602	19.44	10.94	1.44
	18.03	22.70	67.52	0.00	0.0625	11.34	498.8	413.00	0.0645	542.4	9.763	19.76	11.19	1.44
	19.02	22.68	67.52	0.00	0.0620	11.29	496.9	411.35	0.0646	546.5	9.836	19.91	11.30	1.44
	20.03	22.67	67.50	0.00	0.0620	11.16	491.2	406.75	0.0652	548.8	9.878	20.00	11.36	1.44
	21.02	22.68	67.52	0.00	0.0616	11.18	492.0	407.28	0.0649	546.3	9.833	19.90	11.30	1.44
	22.03	22.68	67.50	0.00	0.0619	11.22	493.5	408.73	0.0652	550.2	9.904	20.05	11.40	1.44
	23.02	22.67	67.52	0.00	0.0615	11.11	489.0	404.78	0.0661	565.1	10.172	20.58	11.81	1.44
	24.03	22.68	67.52	0.00	0.0615	11.20	492.6	407.83	0.0657	549.8	9.896	20.03	11.39	1.44
	25.09	22.68	67.52	0.00	0.0614	11.13	489.9	405.55	0.0657	554.2	9.976	20.19	11.51	1.44
	26.02	22.68	67.52	0.00	0.0615	11.12	489.2	405.01	0.0661	560.9	10.097	20.43	11.70	1.44
	27.05	22.68	67.50	0.00	0.0618	11.20	492.8	408.10	0.0647	539.2	9.706	19.65	11.10	1.44
	28.03	22.70	67.50	0.00	0.0614	11.25	494.9	409.84	0.0648	525.7	9.463	19.16	10.72	1.44
