Mar 15 2018 at 10:19:55
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and low PAR _ THUNDER
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.70	22.75	67.50	0.00	0.0610	11.00	484.0	400.94	0.0664	568.4	10.230	20.72	11.90	1.46
	1.69	22.75	67.50	0.00	0.0608	11.00	483.8	400.79	0.0665	567.5	10.215	20.68	11.88	1.46
	2.70	22.73	67.50	0.00	0.0610	11.01	484.2	401.09	0.0666	569.6	10.252	20.76	11.93	1.45
	3.69	22.77	67.50	0.00	0.0611	11.02	484.9	401.67	0.0668	571.8	10.293	20.84	11.99	1.45
	4.70	22.75	67.52	0.00	0.0610	11.01	484.6	401.31	0.0668	571.3	10.284	20.82	11.98	1.46
	5.69	22.75	67.52	0.00	0.0611	11.02	484.7	401.40	0.0669	572.7	10.309	20.87	12.01	1.46
	6.70	22.73	67.50	0.00	0.0609	11.01	484.6	401.41	0.0668	572.3	10.301	20.86	12.00	1.46
	7.69	22.75	67.50	0.00	0.0610	11.02	484.9	401.65	0.0670	573.5	10.324	20.90	12.04	1.46
	8.70	22.73	67.50	0.00	0.0612	11.02	484.9	401.68	0.0669	573.8	10.329	20.91	12.04	1.46
	9.77	22.77	67.52	0.00	0.0611	11.02	485.0	401.68	0.0670	574.3	10.337	20.93	12.06	1.46
	10.69	22.75	67.47	0.00	0.0610	11.03	485.5	402.31	0.0672	575.5	10.359	20.98	12.09	1.46
	11.70	22.75	67.47	0.00	0.0611	11.04	485.6	402.40	0.0672	576.4	10.375	21.02	12.11	1.46
	12.69	22.77	67.52	0.00	0.0610	11.04	485.9	402.39	0.0672	577.7	10.399	21.05	12.15	1.46
	13.70	22.77	67.47	0.00	0.0612	11.04	485.9	402.71	0.0674	578.3	10.409	21.09	12.16	1.46
	14.69	22.77	67.52	0.00	0.0611	11.05	486.0	402.48	0.0674	578.4	10.412	21.08	12.17	1.46
	15.70	22.77	67.50	0.00	0.0611	11.06	486.8	403.24	0.0675	580.5	10.450	21.16	12.22	1.46
	16.69	22.79	67.50	0.00	0.0611	11.07	486.9	403.37	0.0676	581.2	10.462	21.19	12.24	1.46
	17.70	22.79	67.50	0.00	0.0612	11.06	486.7	403.24	0.0675	581.5	10.468	21.20	12.25	1.46
	18.69	22.79	67.50	0.00	0.0611	11.06	486.8	403.30	0.0676	581.7	10.471	21.21	12.25	1.46
	19.70	22.77	67.50	0.00	0.0614	11.08	487.5	403.87	0.0678	584.0	10.512	21.29	12.31	1.45
	20.69	22.77	67.50	0.00	0.0613	11.08	487.4	403.75	0.0676	583.5	10.503	21.27	12.30	1.46
	21.70	22.77	67.50	0.00	0.0613	11.08	487.5	403.85	0.0679	584.1	10.513	21.29	12.31	1.46
	22.70	22.79	67.50	0.00	0.0614	11.09	488.1	404.36	0.0680	586.0	10.549	21.36	12.37	1.46
	23.70	22.75	67.47	0.00	0.0612	11.09	487.8	404.23	0.0679	585.2	10.533	21.34	12.34	1.45
	24.70	22.77	67.50	0.00	0.0614	11.10	488.2	404.43	0.0680	586.7	10.561	21.39	12.38	1.46
	25.69	22.79	67.50	0.00	0.0615	11.10	488.6	404.75	0.0681	587.5	10.574	21.41	12.40	1.45
	26.70	22.79	67.50	0.00	0.0615	11.10	488.6	404.79	0.0682	587.9	10.583	21.43	12.41	1.46
	27.69	22.79	67.50	0.00	0.0612	11.11	488.6	404.81	0.0681	588.2	10.588	21.44	12.42	1.46
	28.70	22.79	67.50	0.00	0.0615	11.11	489.0	405.12	0.0682	589.5	10.611	21.49	12.45	1.46
	29.69	22.77	67.50	0.00	0.0615	11.10	488.6	404.74	0.0682	588.8	10.598	21.46	12.44	1.45
