Mar 15 2018 at 10:07:08
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and low PAR, light rain, redoing for high par
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.31	22.60	67.52	0.00	0.0620	11.24	494.5	409.24	0.0649	547.3	9.851	19.93	11.32	1.41
	1.23	22.60	67.52	0.00	0.0619	11.22	493.7	408.56	0.0651	549.9	9.897	20.02	11.39	1.41
	2.25	22.58	67.52	0.00	0.0618	11.22	493.8	408.63	0.0652	551.9	9.934	20.10	11.45	1.41
	3.23	22.58	67.52	0.00	0.0618	11.21	493.3	408.21	0.0655	556.0	10.007	20.24	11.56	1.41
	4.25	22.56	67.50	0.00	0.0618	11.21	493.2	408.23	0.0657	557.6	10.036	20.31	11.60	1.41
	5.23	22.58	67.52	0.00	0.0618	11.20	492.7	407.76	0.0656	556.7	10.020	20.27	11.58	1.41
	6.25	22.58	67.52	0.00	0.0617	11.19	492.3	407.40	0.0659	561.2	10.101	20.43	11.70	1.41
	7.23	22.58	67.52	0.00	0.0617	11.18	492.0	407.15	0.0661	563.0	10.134	20.50	11.75	1.41
	8.25	22.58	67.47	0.00	0.0615	11.16	490.9	406.54	0.0662	565.4	10.177	20.60	11.81	1.41
	9.23	22.58	67.50	0.00	0.0616	11.14	490.1	405.76	0.0662	565.9	10.186	20.61	11.82	1.41
	10.25	22.58	67.50	0.00	0.0614	11.14	490.0	405.62	0.0666	568.9	10.241	20.72	11.90	1.41
	11.23	22.60	67.50	0.00	0.0616	11.16	491.1	406.63	0.0666	568.8	10.238	20.72	11.90	1.41
	12.25	22.61	67.50	0.00	0.0615	11.14	490.1	405.82	0.0670	573.1	10.316	20.88	12.02	1.41
	13.23	22.60	67.50	0.00	0.0614	11.15	490.4	406.01	0.0674	571.8	10.293	20.83	11.98	1.41
	14.25	22.58	67.52	0.00	0.0614	11.11	489.0	404.69	0.0673	578.1	10.406	21.05	12.15	1.41
	15.31	22.60	67.52	0.00	0.0615	11.14	490.1	405.63	0.0671	574.1	10.334	20.91	12.04	1.41
	16.23	22.60	67.50	0.00	0.0614	11.12	489.3	405.09	0.0674	577.5	10.395	21.04	12.13	1.41
	17.31	22.60	67.52	0.00	0.0613	11.10	488.5	404.27	0.0674	580.7	10.453	21.15	12.22	1.41
