Mar 15 2018 at 10:02:56
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and low PAR, light rain
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.56	22.72	67.52	0.00	0.0615	11.15	490.7	406.25	0.0651	540.2	9.724	19.68	11.13	1.40
	1.56	22.74	67.50	0.00	0.0615	11.15	490.4	406.18	0.0620	531.3	9.563	19.36	10.88	1.41
	2.56	22.74	67.52	0.00	0.0618	11.14	490.3	405.95	0.0651	545.6	9.821	19.88	11.28	1.40
	3.56	22.72	67.52	0.00	0.0615	11.19	492.3	407.57	0.0661	558.1	10.045	20.33	11.62	1.41
	4.56	22.70	67.52	0.00	0.0617	11.17	491.5	406.92	0.0655	556.3	10.013	20.26	11.57	1.41
	5.56	22.72	67.50	0.00	0.0619	11.18	491.9	407.43	0.0650	549.8	9.896	20.04	11.39	1.41
	6.56	22.72	67.52	0.00	0.0616	11.16	491.1	406.56	0.0657	549.7	9.895	20.03	11.39	1.40
	7.56	22.74	67.50	0.00	0.0616	11.14	490.0	405.87	0.0655	560.7	10.093	20.43	11.69	1.41
	8.56	22.70	67.52	0.00	0.0617	11.13	489.7	405.45	0.0657	558.2	10.047	20.33	11.62	1.41
	9.56	22.74	67.55	0.00	0.0617	11.15	490.7	406.11	0.0647	541.1	9.740	19.71	11.16	1.41
	10.56	22.75	67.52	0.00	0.0616	11.25	495.0	409.88	0.0644	516.2	9.291	18.81	10.45	1.41
	11.58	22.75	67.50	0.00	0.0625	11.11	488.8	404.91	0.0601	537.6	9.677	19.60	11.06	1.41
	12.56	22.75	67.50	0.00	0.0619	11.83	520.4	431.12	0.0647	530.9	9.557	19.35	10.87	1.41
	13.58	22.75	67.52	0.00	0.0630	11.57	509.2	421.65	0.0629	528.2	9.507	19.24	10.79	1.41
	14.56	22.77	67.52	0.00	0.0619	11.21	493.4	408.60	0.0638	534.7	9.624	19.48	10.98	1.41
	15.56	22.75	67.52	0.00	0.0619	11.19	492.5	407.84	0.0654	551.3	9.923	20.08	11.44	1.41
	16.56	22.75	67.52	0.00	0.0621	11.22	493.5	408.68	0.0620	536.8	9.663	19.56	11.04	1.41
	17.56	22.75	67.52	0.00	0.0613	11.20	492.7	408.01	0.0633	543.8	9.788	19.81	11.23	1.41
	18.56	22.73	67.52	0.00	0.0619	11.33	498.3	412.59	0.0647	542.8	9.771	19.78	11.20	1.41
	19.56	22.74	67.55	0.00	0.0620	11.25	495.2	409.87	0.0646	542.4	9.763	19.75	11.19	1.41
	20.56	22.77	67.52	0.00	0.0622	11.24	494.4	409.43	0.0652	552.6	9.947	20.14	11.47	1.41
	21.56	22.74	67.50	0.00	0.0612	11.22	493.5	408.80	0.0637	547.9	9.861	19.97	11.34	1.41
	22.56	22.74	67.52	0.00	0.0623	11.13	489.6	405.39	0.0645	528.6	9.514	19.26	10.80	1.41
	23.56	22.75	67.50	0.00	0.0617	11.17	491.7	407.28	0.0638	535.1	9.631	19.50	10.99	1.41
	24.56	22.73	67.50	0.00	0.0645	11.91	524.3	434.25	0.0646	539.3	9.707	19.65	11.10	1.40
	25.56	22.77	67.50	0.00	0.0620	11.41	502.0	415.88	0.0642	543.5	9.783	19.81	11.22	1.41
	26.56	22.75	67.50	0.00	0.0629	11.50	505.9	419.04	0.0646	543.6	9.785	19.81	11.23	1.41
	27.56	22.75	67.52	0.00	0.0618	11.16	491.2	406.72	0.0643	536.0	9.648	19.53	11.01	1.41
	28.58	22.75	67.52	0.00	0.0624	11.23	494.0	409.03	0.0647	544.2	9.796	19.83	11.24	1.41
	29.56	22.72	67.52	0.00	0.0616	11.17	491.5	406.95	0.0633	528.3	9.509	19.25	10.79	1.41
	30.58	22.74	67.52	0.00	0.0619	11.25	495.2	410.03	0.0622	526.1	9.470	19.17	10.73	1.41
	31.56	22.74	67.52	0.00	0.0622	11.18	491.7	407.17	0.0641	530.6	9.550	19.33	10.86	1.40
	32.58	22.74	67.52	0.00	0.0620	11.26	495.5	410.30	0.0628	517.7	9.319	18.86	10.49	1.41
	33.56	22.74	67.50	0.00	0.0620	11.22	493.5	408.79	0.0630	531.5	9.567	19.37	10.89	1.41
	34.56	22.74	67.52	0.00	0.0629	11.47	504.7	417.89	0.0641	533.8	9.608	19.45	10.95	1.41
	35.56	22.72	67.50	0.00	0.0623	11.27	495.9	410.76	0.0636	533.7	9.606	19.45	10.95	1.41
	36.56	22.74	67.50	0.00	0.0620	11.21	493.2	408.52	0.0644	543.4	9.781	19.80	11.22	1.41
