Mar 15 2018 at 10:09:43
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and low PAR, light rain, THUNDER
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.19	22.65	67.50	0.00	0.0617	11.19	492.5	407.85	0.0677	582.6	10.487	21.23	12.27	1.42
	1.17	22.65	67.52	0.00	0.0618	11.20	492.8	407.94	0.0678	583.3	10.500	21.25	12.29	1.42
	2.19	22.65	67.50	0.00	0.0618	11.20	492.6	407.91	0.0679	584.1	10.514	21.28	12.31	1.42
	3.17	22.63	67.52	0.00	0.0617	11.20	492.8	407.89	0.0678	583.8	10.509	21.26	12.30	1.42
	4.19	22.65	67.50	0.00	0.0618	11.20	492.8	408.09	0.0678	585.2	10.533	21.32	12.34	1.42
	5.17	22.65	67.50	0.00	0.0618	11.20	492.9	408.19	0.0681	586.9	10.564	21.38	12.38	1.42
	6.19	22.65	67.52	0.00	0.0618	11.20	493.0	408.09	0.0680	586.6	10.560	21.37	12.37	1.42
	7.17	22.65	67.52	0.00	0.0618	11.21	493.2	408.30	0.0681	587.5	10.576	21.40	12.40	1.42
	8.19	22.63	67.50	0.00	0.0618	11.20	493.0	408.19	0.0681	586.6	10.559	21.37	12.37	1.42
	9.17	22.67	67.50	0.00	0.0618	11.20	493.0	408.27	0.0681	587.1	10.567	21.39	12.39	1.42
	10.19	22.65	67.50	0.00	0.0617	11.20	492.8	408.11	0.0680	587.7	10.578	21.41	12.40	1.42
	11.17	22.67	67.50	0.00	0.0618	11.20	492.6	407.97	0.0682	587.7	10.579	21.42	12.40	1.42
	12.19	22.68	67.50	0.00	0.0618	11.22	493.5	408.68	0.0682	589.3	10.608	21.47	12.44	1.42
	13.17	22.67	67.47	0.00	0.0619	11.21	493.4	408.71	0.0684	589.5	10.611	21.49	12.45	1.42
	14.19	22.67	67.50	0.00	0.0619	11.22	493.7	408.88	0.0684	591.7	10.650	21.56	12.51	1.42
	15.25	22.67	67.52	0.00	0.0619	11.23	493.9	408.88	0.0684	591.2	10.642	21.53	12.49	1.42
	16.17	22.70	67.50	0.00	0.0619	11.22	493.7	408.87	0.0683	590.7	10.633	21.53	12.48	1.42
	17.25	22.68	67.52	0.00	0.0619	11.23	494.3	409.24	0.0685	593.1	10.676	21.61	12.54	1.42
	18.17	22.68	67.52	0.00	0.0619	11.24	494.4	409.27	0.0685	593.1	10.675	21.60	12.54	1.42
	19.19	22.68	67.52	0.00	0.0619	11.24	494.4	409.27	0.0685	592.5	10.664	21.58	12.53	1.42
	20.17	22.70	67.47	0.00	0.0620	11.24	494.7	409.90	0.0686	593.9	10.691	21.65	12.56	1.42
	21.19	22.67	67.44	0.00	0.0620	11.24	494.6	409.88	0.0686	593.8	10.689	21.65	12.56	1.42
	22.17	22.67	67.50	0.00	0.0621	11.25	495.2	410.06	0.0688	595.5	10.718	21.70	12.60	1.42
	23.19	22.65	67.47	0.00	0.0620	11.25	495.1	410.09	0.0686	594.4	10.700	21.67	12.58	1.42
	24.17	22.67	67.52	0.00	0.0621	11.26	495.6	410.26	0.0687	596.3	10.734	21.72	12.63	1.42
	25.19	22.67	67.50	0.00	0.0621	11.26	495.6	410.43	0.0688	595.9	10.727	21.71	12.61	1.42
	26.17	22.67	67.50	0.00	0.0621	11.27	496.1	410.80	0.0688	596.6	10.738	21.74	12.63	1.42
	27.19	22.65	67.50	0.00	0.0621	11.27	496.1	410.77	0.0689	597.2	10.750	21.76	12.65	1.42
	28.17	22.65	67.50	0.00	0.0622	11.28	496.4	411.07	0.0690	598.1	10.766	21.79	12.67	1.42
	29.19	22.67	67.50	0.00	0.0622	11.28	496.5	411.15	0.0690	598.2	10.768	21.80	12.67	1.42
	30.17	22.68	67.52	0.00	0.0621	11.27	496.0	410.62	0.0689	597.1	10.748	21.75	12.65	1.42
	31.19	22.68	67.50	0.00	0.0621	11.28	496.4	411.14	0.0690	597.7	10.758	21.78	12.66	1.42
	32.17	22.67	67.52	0.00	0.0622	11.31	497.5	411.83	0.0691	600.5	10.809	21.87	12.73	1.42
	33.19	22.68	67.52	0.00	0.0623	11.30	497.1	411.50	0.0691	599.3	10.787	21.83	12.70	1.42
	34.25	22.68	67.52	0.00	0.0622	11.30	497.3	411.72	0.0691	600.5	10.809	21.87	12.73	1.42
	35.17	22.67	67.50	0.00	0.0623	11.31	497.6	412.05	0.0693	601.3	10.823	21.91	12.75	1.42
	36.19	22.67	67.50	0.00	0.0622	11.30	497.3	411.81	0.0691	600.7	10.813	21.89	12.74	1.42
	37.17	22.67	67.50	0.00	0.0622	11.30	497.2	411.75	0.0692	600.1	10.801	21.87	12.72	1.42
	38.19	22.67	67.50	0.00	0.0622	11.31	497.7	412.13	0.0692	602.0	10.835	21.93	12.77	1.42
	39.17	22.68	67.50	0.00	0.0623	11.31	497.7	412.17	0.0692	602.1	10.838	21.94	12.77	1.42
	40.19	22.67	67.50	0.00	0.0623	11.33	498.4	412.72	0.0694	603.4	10.861	21.99	12.80	1.42
	41.17	22.68	67.50	0.00	0.0623	11.33	498.3	412.69	0.0693	602.7	10.849	21.96	12.79	1.42
	42.19	22.68	67.50	0.00	0.0623	11.34	499.0	413.26	0.0693	603.6	10.865	21.99	12.81	1.42
	43.17	22.68	67.50	0.00	0.0624	11.33	498.7	412.99	0.0694	603.5	10.863	21.99	12.81	1.42
	44.19	22.67	67.52	0.00	0.0624	11.34	498.9	412.96	0.0694	603.8	10.868	21.99	12.81	1.42
	45.17	22.67	67.50	0.00	0.0625	11.35	499.5	413.69	0.0695	605.4	10.897	22.06	12.85	1.42
	46.19	22.68	67.52	0.00	0.0625	11.39	501.0	414.77	0.0696	606.4	10.914	22.09	12.88	1.42
	47.17	22.68	67.52	0.00	0.0625	11.36	499.9	413.87	0.0696	605.9	10.907	22.07	12.87	1.42
	48.19	22.67	67.50	0.00	0.0625	11.37	500.1	414.12	0.0696	606.2	10.911	22.09	12.87	1.42
	49.17	22.68	67.50	0.00	0.0626	11.38	500.9	414.80	0.0696	606.9	10.924	22.12	12.89	1.42
	50.19	22.67	67.50	0.00	0.0626	11.38	500.9	414.83	0.0696	607.0	10.926	22.12	12.89	1.42
	51.25	22.68	67.50	0.00	0.0626	11.39	501.1	414.98	0.0697	607.5	10.935	22.14	12.91	1.42
	52.17	22.68	67.50	0.00	0.0625	11.38	500.8	414.76	0.0697	608.0	10.944	22.15	12.92	1.42
	53.19	22.68	67.47	0.00	0.0625	11.38	500.9	414.95	0.0697	607.7	10.939	22.15	12.91	1.42
	54.17	22.68	67.52	0.00	0.0626	11.39	501.2	414.89	0.0697	608.2	10.947	22.15	12.93	1.42
	55.19	22.68	67.50	0.00	0.0626	11.39	501.2	415.05	0.0698	608.4	10.951	22.17	12.93	1.42
	56.17	22.68	67.52	0.00	0.0627	11.40	501.5	415.21	0.0699	609.2	10.965	22.19	12.95	1.42
	57.19	22.70	67.52	0.00	0.0626	11.40	501.8	415.44	0.0698	609.9	10.978	22.22	12.97	1.42
	58.17	22.70	67.52	0.00	0.0627	11.40	501.7	415.33	0.0699	609.7	10.974	22.21	12.96	1.42
	59.19	22.70	67.52	0.00	0.0626	11.40	501.7	415.33	0.0699	609.5	10.971	22.20	12.96	1.42
	60.17	22.70	67.52	0.00	0.0627	11.42	502.3	415.89	0.0699	610.6	10.990	22.24	12.99	1.42
	61.19	22.70	67.52	0.00	0.0627	11.41	502.1	415.72	0.0700	611.0	10.999	22.26	13.00	1.43
	62.17	22.70	67.52	0.00	0.0627	11.42	502.6	416.07	0.0700	611.5	11.007	22.28	13.01	1.42
	63.19	22.70	67.50	0.00	0.0627	11.42	502.3	416.03	0.0700	611.6	11.008	22.29	13.01	1.42
	64.17	22.70	67.50	0.00	0.0628	11.42	502.6	416.26	0.0700	611.5	11.008	22.29	13.01	1.42
	65.19	22.70	67.50	0.00	0.0627	11.42	502.7	416.35	0.0701	611.6	11.009	22.29	13.01	1.42
	66.17	22.72	67.50	0.00	0.0628	11.44	503.6	417.09	0.0702	613.1	11.036	22.34	13.05	1.42
	67.19	22.70	67.50	0.00	0.0628	11.43	503.1	416.69	0.0702	613.1	11.035	22.34	13.05	1.43
	68.25	22.72	67.50	0.00	0.0628	11.44	503.2	416.80	0.0702	613.6	11.045	22.36	13.06	1.42
