Mar 15 2018 at 9:53:45
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and low PAR, light rain
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.41	22.80	67.52	0.00	0.0625	11.36	499.9	414.03	0.0625	521.2	9.381	18.99	10.59	1.42
	1.41	22.82	67.50	0.00	0.0624	11.36	499.7	414.03	0.0626	521.1	9.380	19.00	10.59	1.42
	2.41	22.80	67.47	0.00	0.0625	11.34	499.2	413.71	0.0627	522.2	9.400	19.04	10.62	1.42
	3.48	22.80	67.52	0.00	0.0625	11.36	499.7	413.83	0.0629	524.3	9.438	19.11	10.68	1.42
	4.41	22.80	67.55	0.00	0.0625	11.36	500.1	414.01	0.0629	526.1	9.470	19.17	10.74	1.42
	5.41	22.80	67.50	0.00	0.0625	11.36	499.8	414.12	0.0629	525.2	9.453	19.15	10.71	1.42
	6.41	22.76	67.50	0.00	0.0625	11.36	499.7	413.93	0.0633	528.5	9.513	19.26	10.80	1.42
	7.41	22.80	67.50	0.00	0.0625	11.36	499.7	414.00	0.0633	528.9	9.520	19.28	10.81	1.42
	8.41	22.80	67.50	0.00	0.0624	11.36	499.6	413.96	0.0631	527.9	9.503	19.25	10.79	1.42
	9.47	22.80	67.50	0.00	0.0624	11.36	499.8	414.07	0.0633	530.2	9.544	19.33	10.85	1.42
	10.41	22.80	67.50	0.00	0.0625	11.36	499.7	414.03	0.0635	532.4	9.584	19.41	10.92	1.42
	11.41	22.80	67.50	0.00	0.0625	11.36	499.6	413.96	0.0636	532.8	9.591	19.42	10.93	1.42
	12.41	22.82	67.50	0.00	0.0624	11.35	499.5	413.83	0.0636	532.5	9.586	19.41	10.92	1.42
	13.41	22.82	67.47	0.00	0.0625	11.34	499.2	413.72	0.0636	532.0	9.576	19.40	10.90	1.42
	14.41	22.80	67.52	0.00	0.0625	11.35	499.4	413.57	0.0636	533.3	9.599	19.43	10.94	1.42
	15.41	22.80	67.50	0.00	0.0624	11.35	499.5	413.86	0.0639	536.0	9.647	19.54	11.01	1.42
	16.41	22.80	67.50	0.00	0.0624	11.36	499.9	414.20	0.0640	538.0	9.684	19.61	11.07	1.42
	17.41	22.80	67.52	0.00	0.0624	11.35	499.5	413.65	0.0638	535.7	9.643	19.52	11.01	1.42
	18.41	22.80	67.50	0.00	0.0624	11.36	499.8	414.10	0.0641	538.5	9.693	19.63	11.09	1.42
	19.41	22.79	67.52	0.00	0.0625	11.35	499.3	413.53	0.0640	537.0	9.665	19.57	11.04	1.42
	20.41	22.79	67.50	0.00	0.0625	11.37	500.4	414.55	0.0641	538.9	9.700	19.64	11.10	1.42
	21.41	22.80	67.50	0.00	0.0625	11.37	500.2	414.42	0.0642	540.2	9.724	19.69	11.13	1.42
	22.48	22.80	67.50	0.00	0.0625	11.35	499.6	413.93	0.0642	540.5	9.729	19.70	11.14	1.42
	23.41	22.80	67.50	0.00	0.0625	11.35	499.4	413.75	0.0644	541.3	9.743	19.73	11.16	1.42
	24.41	22.80	67.47	0.00	0.0624	11.35	499.4	413.92	0.0644	541.8	9.753	19.76	11.18	1.42
	25.41	22.80	67.50	0.00	0.0625	11.36	499.9	414.14	0.0645	542.7	9.769	19.79	11.20	1.42
	26.48	22.82	67.47	0.00	0.0625	11.36	499.9	414.30	0.0645	544.3	9.797	19.85	11.25	1.42
	27.41	22.80	67.50	0.00	0.0625	11.36	500.0	414.22	0.0645	545.5	9.819	19.89	11.28	1.42
	28.42	22.80	67.52	0.00	0.0624	11.35	499.4	413.60	0.0646	546.7	9.841	19.92	11.31	1.42
	29.41	22.79	67.50	0.00	0.0625	11.36	499.9	414.16	0.0648	548.3	9.869	19.99	11.36	1.42
	30.41	22.82	67.50	0.00	0.0625	11.35	499.6	413.96	0.0648	547.5	9.856	19.96	11.34	1.42
	31.41	22.80	67.50	0.00	0.0625	11.36	499.9	414.20	0.0648	547.7	9.858	19.97	11.34	1.42
	32.41	22.80	67.50	0.00	0.0625	11.36	499.8	414.06	0.0648	548.2	9.867	19.98	11.35	1.42
	33.41	22.79	67.50	0.00	0.0625	11.36	500.0	414.23	0.0650	550.2	9.904	20.06	11.41	1.42
	34.41	22.79	67.50	0.00	0.0625	11.37	500.4	414.60	0.0650	550.0	9.900	20.05	11.40	1.42
