Mar 15 2018 at 9:52:43
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and low PAR, dry
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.06	22.80	67.52	0.00	0.0622	11.27	496.0	410.80	0.0625	519.7	9.355	18.94	10.55	1.42
	1.06	22.79	67.50	0.00	0.0629	11.35	499.4	413.70	0.0617	513.8	9.248	18.73	10.38	1.42
	2.14	22.79	67.50	0.00	0.0622	11.29	496.7	411.51	0.0630	525.6	9.461	19.16	10.72	1.42
	3.06	22.80	67.52	0.00	0.0624	11.94	525.5	435.22	0.0602	498.6	8.975	18.17	9.93	1.42
	4.08	22.80	67.52	0.00	0.0622	11.33	498.6	412.98	0.0619	511.1	9.199	18.62	10.30	1.42
	5.06	22.80	67.47	0.00	0.0623	11.32	498.1	412.81	0.0614	508.3	9.150	18.54	10.22	1.42
	6.08	22.80	67.52	0.00	0.0623	11.31	497.6	412.08	0.0617	506.6	9.119	18.46	10.17	1.42
	7.06	22.80	67.50	0.00	0.0623	11.28	496.4	411.26	0.0620	509.6	9.173	18.58	10.26	1.42
	8.08	22.80	67.52	0.00	0.0625	11.28	496.4	411.11	0.0620	515.5	9.279	18.79	10.43	1.42
	9.06	22.80	67.55	0.00	0.0635	11.46	504.3	417.53	0.0619	516.7	9.300	18.82	10.46	1.42
	10.08	22.80	67.50	0.00	0.0621	11.29	496.7	411.50	0.0629	519.4	9.349	18.93	10.54	1.42
	11.06	22.80	67.52	0.00	0.0636	11.47	504.7	417.97	0.0609	500.2	9.004	18.23	9.98	1.42
	12.06	22.82	67.50	0.00	0.0631	11.45	503.7	417.36	0.0611	512.1	9.217	18.67	10.33	1.42
	13.06	22.80	67.52	0.00	0.0629	11.44	503.3	416.80	0.0598	488.8	8.799	17.81	9.64	1.42
	14.06	22.78	67.52	0.00	0.0630	11.40	501.7	415.49	0.0608	498.3	8.970	18.16	9.92	1.42
	15.06	22.82	67.50	0.00	0.0641	11.81	519.6	430.52	0.0606	495.3	8.915	18.06	9.83	1.42
	16.06	22.80	67.52	0.00	0.0626	11.39	501.1	415.06	0.0598	488.8	8.799	17.81	9.64	1.42
	17.06	22.78	67.50	0.00	0.0629	11.45	503.6	417.22	0.0611	498.9	8.980	18.19	9.94	1.42
	18.06	22.82	67.52	0.00	0.0623	11.35	499.4	413.61	0.0602	498.2	8.968	18.16	9.92	1.42
	19.06	22.82	67.50	0.00	0.0624	11.35	499.3	413.68	0.0605	501.7	9.031	18.29	10.03	1.42
	20.06	22.80	67.50	0.00	0.0623	11.30	497.0	411.80	0.0614	505.2	9.094	18.42	10.13	1.42
	21.14	22.80	67.52	0.00	0.0622	11.31	497.6	412.14	0.0615	507.5	9.135	18.49	10.20	1.42
	22.06	22.80	67.55	0.00	0.0623	11.28	496.5	411.02	0.0617	509.2	9.165	18.55	10.25	1.42
	23.06	22.80	67.52	0.00	0.0622	11.28	496.2	410.92	0.0620	513.0	9.234	18.69	10.36	1.42
	24.06	22.79	67.50	0.00	0.0621	11.31	497.6	412.22	0.0614	507.7	9.138	18.51	10.20	1.42
	25.06	22.80	67.50	0.00	0.0623	11.29	496.7	411.54	0.0615	510.4	9.187	18.60	10.28	1.42
	26.06	22.82	67.52	0.00	0.0623	11.44	503.3	416.88	0.0623	515.9	9.286	18.80	10.44	1.42
	27.06	22.80	67.50	0.00	0.0623	11.33	498.4	412.97	0.0606	519.7	9.354	18.94	10.55	1.42
	28.06	22.80	67.50	0.00	0.0634	11.36	499.7	414.05	0.0614	507.3	9.131	18.49	10.19	1.42
	29.06	22.80	67.50	0.00	0.0626	11.37	500.5	414.64	0.0603	498.3	8.970	18.17	9.92	1.42
	30.06	22.82	67.47	0.00	0.0622	11.41	501.8	415.96	0.0605	500.1	9.001	18.24	9.98	1.42
	31.06	22.82	67.52	0.00	0.0625	11.35	499.3	413.53	0.0604	496.5	8.938	18.09	9.87	1.42
	32.14	22.80	67.50	0.00	0.0623	11.32	498.2	412.80	0.0609	499.3	8.988	18.20	9.95	1.42
	33.06	22.82	67.50	0.00	0.0634	11.30	497.4	412.11	0.0617	510.5	9.189	18.61	10.29	1.42
	34.14	22.82	67.50	0.00	0.0622	11.39	501.0	415.11	0.0625	519.2	9.345	18.93	10.54	1.42
	35.06	22.80	67.50	0.00	0.0622	11.30	497.0	411.78	0.0626	520.4	9.368	18.97	10.57	1.42
	36.14	22.82	67.50	0.00	0.0620	11.27	496.1	411.02	0.0626	522.7	9.409	19.06	10.64	1.42
	37.06	22.84	67.50	0.00	0.0628	11.48	505.2	418.64	0.0629	525.3	9.455	19.15	10.71	1.42
	38.08	22.82	67.47	0.00	0.0691	11.97	526.6	436.48	0.0626	517.5	9.315	18.87	10.49	1.42
	39.06	22.80	67.52	0.00	0.0641	11.42	502.3	416.01	0.0618	506.2	9.111	18.45	10.16	1.42
