Mar 15 2018 at 9:57:12
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and low PAR, light rain
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.25	22.80	67.52	0.00	0.0623	11.30	497.3	411.83	0.0648	546.4	9.835	19.91	11.31	1.42
	1.25	22.80	67.50	0.00	0.0622	11.29	496.8	411.57	0.0647	546.4	9.835	19.92	11.30	1.41
	2.25	22.82	67.50	0.00	0.0622	11.29	496.9	411.68	0.0648	546.7	9.841	19.93	11.32	1.42
	3.25	22.80	67.50	0.00	0.0622	11.29	496.7	411.53	0.0648	546.7	9.841	19.93	11.31	1.42
	4.25	22.80	67.52	0.00	0.0623	11.39	501.0	414.94	0.0648	548.6	9.874	19.99	11.36	1.42
	5.25	22.80	67.50	0.00	0.0622	11.30	497.4	412.12	0.0649	549.0	9.883	20.01	11.38	1.42
	6.33	22.79	67.52	0.00	0.0623	11.31	497.7	412.18	0.0650	549.6	9.892	20.03	11.39	1.42
	7.25	22.79	67.52	0.00	0.0622	11.32	498.0	412.42	0.0649	550.0	9.901	20.04	11.40	1.42
	8.25	22.78	67.47	0.00	0.0622	11.30	497.2	412.08	0.0650	549.8	9.896	20.05	11.40	1.42
	9.25	22.77	67.47	0.00	0.0623	11.31	497.6	412.38	0.0651	550.4	9.908	20.07	11.41	1.42
	10.33	22.80	67.50	0.00	0.0624	11.35	499.3	413.68	0.0650	551.5	9.928	20.11	11.45	1.42
	11.25	22.82	67.50	0.00	0.0623	11.32	498.1	412.70	0.0651	551.4	9.925	20.10	11.44	1.42
	12.25	22.82	67.50	0.00	0.0625	11.34	498.8	413.25	0.0652	552.6	9.946	20.14	11.48	1.42
	13.25	22.82	67.50	0.00	0.0624	11.35	499.2	413.66	0.0652	553.7	9.967	20.19	11.51	1.41
	14.25	22.82	67.50	0.00	0.0623	11.32	498.3	412.84	0.0652	551.4	9.925	20.10	11.44	1.41
	15.25	22.82	67.50	0.00	0.0625	11.35	499.3	413.66	0.0653	553.2	9.957	20.17	11.49	1.42
	16.25	22.82	67.50	0.00	0.0624	11.34	499.0	413.46	0.0652	553.6	9.965	20.18	11.50	1.42
	17.25	22.84	67.52	0.00	0.0625	11.37	500.5	414.56	0.0654	555.2	9.994	20.23	11.55	1.41
	18.25	22.82	67.50	0.00	0.0625	11.37	500.5	414.68	0.0656	556.0	10.008	20.27	11.57	1.41
	19.25	22.82	67.45	0.00	0.0625	11.37	500.2	414.79	0.0656	556.4	10.014	20.30	11.58	1.41
	20.25	22.82	67.52	0.00	0.0625	11.37	500.2	414.26	0.0655	556.1	10.009	20.26	11.57	1.41
	21.25	22.82	67.50	0.00	0.0625	11.36	499.9	414.24	0.0655	556.2	10.012	20.28	11.58	1.42
	22.25	22.82	67.50	0.00	0.0626	11.37	500.4	414.60	0.0656	557.4	10.033	20.32	11.61	1.42
	23.33	22.82	67.50	0.00	0.0625	11.37	500.4	414.58	0.0655	556.9	10.025	20.30	11.59	1.41
	24.25	22.82	67.50	0.00	0.0630	11.44	503.4	417.12	0.0658	558.7	10.057	20.37	11.64	1.42
	25.25	22.82	67.50	0.00	0.0626	11.40	501.4	415.44	0.0658	558.2	10.047	20.35	11.63	1.41
	26.25	22.82	67.50	0.00	0.0626	11.40	501.7	415.66	0.0657	558.9	10.060	20.38	11.65	1.41
	27.33	22.84	67.50	0.00	0.0627	11.41	502.0	415.94	0.0656	557.1	10.028	20.31	11.60	1.42
	28.25	22.84	67.50	0.00	0.0627	11.41	502.3	416.18	0.0658	559.2	10.066	20.39	11.66	1.42
	29.27	22.84	67.50	0.00	0.0627	11.40	501.8	415.76	0.0659	560.0	10.080	20.42	11.68	1.41
	30.25	22.82	67.52	0.00	0.0627	11.41	502.2	415.95	0.0659	560.5	10.089	20.43	11.69	1.41
	31.25	22.84	67.52	0.00	0.0628	11.43	502.8	416.48	0.0660	560.8	10.094	20.44	11.70	1.41
	32.25	22.82	67.50	0.00	0.0628	11.43	502.9	416.68	0.0660	560.8	10.095	20.45	11.70	1.41
	33.25	22.82	67.50	0.00	0.0628	11.43	502.8	416.58	0.0658	560.6	10.092	20.44	11.69	1.42
	34.25	22.82	67.52	0.00	0.0628	11.43	502.9	416.48	0.0660	562.2	10.119	20.49	11.74	1.42
	35.25	22.82	67.52	0.00	0.0629	11.45	503.6	417.14	0.0661	562.7	10.129	20.51	11.75	1.41
	36.25	22.80	67.50	0.00	0.0631	11.48	505.0	418.41	0.0662	563.4	10.141	20.54	11.77	1.41
	37.25	22.84	67.50	0.00	0.0630	11.46	504.4	417.92	0.0662	563.4	10.141	20.54	11.77	1.41
	38.25	22.84	67.47	0.00	0.0629	11.46	504.3	418.01	0.0661	562.7	10.129	20.52	11.75	1.41
	39.25	22.84	67.50	0.00	0.0629	11.45	503.9	417.54	0.0662	564.2	10.155	20.57	11.79	1.42
	40.34	22.84	67.50	0.00	0.0628	11.45	503.9	417.53	0.0661	563.0	10.134	20.53	11.76	1.42
	41.25	22.80	67.47	0.00	0.0629	11.46	504.1	417.82	0.0663	564.3	10.158	20.58	11.79	1.41
	42.34	22.82	67.50	0.00	0.0630	11.47	504.7	418.15	0.0663	566.1	10.189	20.64	11.84	1.41
	43.27	22.82	67.50	0.00	0.0630	11.48	505.0	418.46	0.0664	565.9	10.187	20.63	11.84	1.42
	44.33	22.82	67.52	0.00	0.0630	11.50	505.8	418.92	0.0664	565.9	10.187	20.62	11.84	1.42
	45.27	22.82	67.52	0.00	0.0630	11.48	504.9	418.18	0.0664	566.5	10.198	20.65	11.85	1.42
	46.27	22.82	67.47	0.00	0.0630	11.48	505.0	418.54	0.0664	567.0	10.205	20.68	11.86	1.42
	47.27	22.82	67.50	0.00	0.0629	11.49	505.5	418.83	0.0664	567.9	10.222	20.70	11.89	1.41
	48.27	22.82	67.50	0.00	0.0630	11.49	505.6	418.92	0.0664	567.4	10.212	20.68	11.88	1.41
	49.27	22.82	67.50	0.00	0.0631	11.50	505.9	419.15	0.0666	567.9	10.222	20.70	11.89	1.41
	50.27	22.80	67.52	0.00	0.0632	11.54	507.6	420.43	0.0665	568.4	10.231	20.71	11.90	1.42
	51.27	22.80	67.50	0.00	0.0631	11.51	506.5	419.65	0.0665	568.8	10.239	20.74	11.91	1.42
	52.27	22.82	67.50	0.00	0.0632	11.51	506.5	419.69	0.0666	568.9	10.241	20.74	11.92	1.41
	53.27	22.82	67.50	0.00	0.0631	11.53	507.5	420.48	0.0665	569.3	10.248	20.76	11.93	1.42
	54.27	22.82	67.50	0.00	0.0632	11.53	507.2	420.27	0.0666	569.2	10.246	20.75	11.93	1.42
	55.27	22.78	67.50	0.00	0.0632	11.52	507.1	420.07	0.0667	569.6	10.253	20.76	11.93	1.41
	56.27	22.80	67.50	0.00	0.0631	11.52	506.8	419.88	0.0666	569.6	10.252	20.76	11.93	1.42
	57.34	22.82	67.52	0.00	0.0632	11.52	507.0	419.92	0.0667	570.4	10.268	20.79	11.96	1.42
	58.27	22.80	67.52	0.00	0.0633	11.53	507.4	420.18	0.0668	570.4	10.267	20.79	11.96	1.41
	59.34	22.82	67.50	0.00	0.0632	11.53	507.4	420.39	0.0667	571.7	10.291	20.84	11.99	1.41
	60.27	22.82	67.47	0.00	0.0632	11.53	507.4	420.60	0.0668	571.8	10.292	20.85	11.99	1.41
	61.34	22.82	67.50	0.00	0.0632	11.54	507.8	420.77	0.0669	573.1	10.315	20.89	12.03	1.41
	62.27	22.82	67.52	0.00	0.0632	11.53	507.5	420.35	0.0668	572.6	10.307	20.87	12.02	1.42
	63.28	22.82	67.50	250.00	0.0632	11.55	508.2	421.04	0.0669	573.9	10.330	20.92	12.05	1.42
	64.27	22.82	67.50	0.00	0.0633	11.54	507.8	420.76	0.0670	573.8	10.329	20.92	12.05	1.41
	65.28	22.84	67.50	0.00	0.0633	11.55	508.2	421.13	0.0670	574.6	10.344	20.95	12.07	1.41
	66.27	22.84	67.50	0.00	0.0633	11.55	508.1	421.00	0.0670	574.2	10.336	20.93	12.06	1.41
	67.27	22.84	67.50	0.00	0.0633	11.55	508.3	421.16	0.0670	574.3	10.337	20.94	12.06	1.42
	68.27	22.82	67.52	0.00	0.0633	11.55	508.1	420.87	0.0670	574.3	10.338	20.93	12.06	1.42
	69.27	22.84	67.50	0.00	0.0633	11.56	508.5	421.32	0.0670	575.3	10.355	20.97	12.09	1.42
	70.27	22.80	67.50	0.00	0.0633	11.55	508.3	421.14	0.0671	575.1	10.351	20.96	12.08	1.41
	71.27	22.84	67.52	0.00	0.0633	11.56	508.5	421.22	0.0671	575.5	10.360	20.98	12.09	1.41
	72.27	22.84	67.52	0.00	0.0633	11.55	508.1	420.89	0.0670	574.4	10.340	20.94	12.06	1.42
	73.27	22.88	67.52	0.00	0.0633	11.56	508.9	421.54	0.0671	575.5	10.359	20.98	12.09	1.42
	74.34	22.82	67.50	0.00	0.0633	11.57	509.0	421.75	0.0671	575.5	10.359	20.98	12.09	1.42
	75.27	22.84	67.50	0.00	0.0633	11.56	508.5	421.35	0.0670	575.1	10.352	20.97	12.08	1.42
	76.34	22.82	67.47	0.00	0.0633	11.55	508.4	421.34	0.0671	575.6	10.362	20.99	12.10	1.42
	77.27	22.82	67.50	0.00	0.0633	11.57	508.9	421.65	0.0671	576.0	10.368	21.00	12.10	1.41
	78.28	22.82	67.50	250.00	0.0634	11.59	509.8	422.40	0.0673	577.8	10.400	21.06	12.15	1.41
	79.27	22.82	67.50	0.00	0.0635	11.59	510.1	422.67	0.0671	576.9	10.384	21.03	12.13	1.42
	80.28	22.82	67.50	0.00	0.0634	11.59	509.9	422.46	0.0672	577.7	10.398	21.06	12.15	1.42
	81.27	22.82	67.50	0.00	0.0634	11.58	509.6	422.27	0.0673	578.0	10.403	21.07	12.16	1.42
	82.28	22.82	67.52	0.00	0.0634	11.59	509.7	422.19	0.0673	577.7	10.399	21.05	12.15	1.41
	83.27	22.82	67.50	0.00	0.0635	11.58	509.6	422.27	0.0674	577.9	10.402	21.07	12.15	1.41
	84.28	22.78	67.50	0.00	0.0635	11.60	510.2	422.67	0.0675	579.0	10.421	21.10	12.18	1.41
	85.27	22.84	67.52	0.00	0.0635	11.60	510.3	422.66	0.0674	579.1	10.424	21.11	12.19	1.42
	86.27	22.80	67.52	0.00	0.0635	11.60	510.6	422.85	0.0675	580.0	10.439	21.13	12.21	1.42
	87.27	22.82	67.50	0.00	0.0634	11.59	510.1	422.64	0.0674	579.5	10.430	21.13	12.20	1.42
	88.27	22.82	67.50	0.00	0.0635	11.59	510.2	422.72	0.0674	579.7	10.434	21.13	12.20	1.42
	89.27	22.82	67.50	0.00	0.0635	11.60	510.5	423.00	0.0675	580.1	10.442	21.15	12.21	1.42
	90.27	22.84	67.52	0.00	0.0635	11.60	510.4	422.79	0.0675	579.8	10.437	21.13	12.21	1.42
	91.27	22.84	67.50	0.00	0.0636	11.61	510.7	423.20	0.0675	580.4	10.447	21.16	12.22	1.42
	92.27	22.84	67.47	0.00	0.0636	11.62	511.1	423.70	0.0675	579.6	10.434	21.14	12.20	1.42
	93.34	22.86	67.50	0.00	0.0636	11.61	510.9	423.33	0.0674	579.1	10.424	21.12	12.19	1.41
	94.27	22.87	67.50	0.00	0.0636	11.61	510.7	423.24	0.0676	580.6	10.451	21.17	12.23	1.42
	95.34	22.86	67.52	0.00	0.0636	11.62	511.4	423.58	0.0677	580.8	10.454	21.17	12.23	1.41
	96.27	22.86	67.50	0.00	0.0635	11.62	511.2	423.65	0.0675	581.7	10.470	21.21	12.26	1.42
	97.28	22.84	67.50	0.00	0.0636	11.63	511.5	423.84	0.0676	581.7	10.470	21.21	12.25	1.42
	98.27	22.84	67.52	0.00	0.0636	11.64	512.1	424.18	0.0676	581.5	10.467	21.19	12.25	1.42
