Mar 15 2018 at 9:39:51
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and low PAR, dry
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.48	22.77	67.50	0.00	0.0617	11.20	492.6	408.06	0.0641	537.8	9.681	19.60	11.07	1.48
	1.50	22.77	67.52	0.00	0.0616	11.17	491.3	406.83	0.0643	540.8	9.735	19.71	11.15	1.48
	2.48	22.77	67.50	0.00	0.0617	11.17	491.5	407.21	0.0642	540.8	9.735	19.71	11.15	1.48
	3.50	22.75	67.50	0.00	0.0616	11.16	491.0	406.73	0.0647	542.0	9.756	19.75	11.18	1.48
	4.48	22.75	67.50	0.00	0.0616	11.17	491.7	407.28	0.0651	543.0	9.774	19.79	11.21	1.48
	5.50	22.77	67.52	0.00	0.0617	11.17	491.7	407.16	0.0645	543.1	9.775	19.79	11.21	1.48
	6.50	22.77	67.50	0.00	0.0616	11.16	491.1	406.84	0.0647	544.4	9.799	19.84	11.25	1.48
	7.48	22.75	67.50	0.00	0.0616	11.16	491.1	406.81	0.0643	544.1	9.794	19.83	11.24	1.48
	8.50	22.77	67.50	0.00	0.0615	11.16	490.8	406.61	0.0646	547.6	9.856	19.96	11.34	1.48
	9.48	22.77	67.50	0.00	0.0617	11.18	491.7	407.34	0.0643	542.3	9.762	19.77	11.19	1.48
	10.50	22.77	67.50	0.00	0.0617	11.22	493.9	409.13	0.0644	543.3	9.779	19.80	11.22	1.48
	11.48	22.75	67.50	0.00	0.0615	11.15	490.4	406.26	0.0646	546.4	9.835	19.91	11.30	1.48
	12.50	22.79	67.50	0.00	0.0616	11.15	490.6	406.47	0.0648	547.7	9.859	19.97	11.34	1.48
	13.48	22.77	67.50	0.00	0.0614	11.12	489.2	405.24	0.0649	548.8	9.878	20.00	11.37	1.48
	14.48	22.77	67.52	0.00	0.0616	11.15	490.6	406.23	0.0649	548.0	9.864	19.97	11.35	1.48
	15.48	22.77	67.52	0.00	0.0616	11.16	490.8	406.46	0.0652	553.0	9.954	20.15	11.49	1.48
	16.48	22.75	67.50	0.00	0.0616	11.14	490.3	406.12	0.0656	569.6	10.253	20.76	11.93	1.48
	17.48	22.75	67.52	0.00	0.0616	11.16	490.8	406.43	0.0650	551.9	9.934	20.11	11.45	1.48
	18.48	22.77	67.52	0.00	0.0617	11.17	491.7	407.18	0.0650	552.7	9.949	20.14	11.48	1.48
	19.48	22.77	67.50	0.00	0.0616	11.13	489.9	405.85	0.0653	556.6	10.020	20.29	11.58	1.48
	20.48	22.77	67.50	0.00	0.0616	11.15	490.7	406.48	0.0653	551.9	9.935	20.12	11.46	1.48
	21.48	22.75	67.50	0.00	0.0617	11.16	491.2	406.89	0.0655	555.2	9.994	20.24	11.54	1.48
	22.48	22.77	67.50	0.00	0.0617	11.18	492.1	407.67	0.0657	559.4	10.069	20.39	11.66	1.48
	23.50	22.77	67.50	0.00	0.0616	11.16	491.2	406.94	0.0660	562.4	10.123	20.50	11.74	1.48
	24.48	22.79	67.50	0.00	0.0617	11.19	492.2	407.73	0.0660	558.2	10.048	20.35	11.63	1.48
	25.56	22.77	67.50	0.00	0.0617	11.18	491.8	407.41	0.0658	563.1	10.136	20.52	11.76	1.48
	26.48	22.77	67.50	0.00	0.0617	11.17	491.6	407.25	0.0659	560.0	10.081	20.41	11.68	1.48
	27.48	22.75	67.50	0.00	0.0617	11.18	491.9	407.48	0.0662	567.6	10.216	20.69	11.88	1.48
	28.50	22.77	67.50	0.00	0.0618	11.17	491.7	407.31	0.0663	564.7	10.165	20.58	11.80	1.48
	29.50	22.79	67.52	0.00	0.0618	11.21	493.2	408.44	0.0660	560.8	10.094	20.43	11.70	1.48
	30.50	22.77	67.47	0.00	0.0617	11.21	493.0	408.61	0.0665	562.7	10.128	20.52	11.75	1.48
	31.50	22.75	67.50	0.00	0.0616	11.17	491.5	407.16	0.0663	569.6	10.252	20.76	11.93	1.48
	32.50	22.75	67.52	0.00	0.0617	11.18	491.7	407.16	0.0664	566.0	10.188	20.62	11.84	1.48
	33.50	22.75	67.50	0.00	0.0618	11.17	491.6	407.26	0.0661	564.8	10.167	20.59	11.80	1.48
	34.50	22.75	67.50	0.00	0.0618	11.17	491.5	407.11	0.0665	567.1	10.208	20.67	11.87	1.48
	35.50	22.77	67.50	0.00	0.0618	11.20	493.0	408.41	0.0665	565.1	10.172	20.60	11.81	1.48
	36.50	22.79	67.50	0.00	0.0617	11.18	492.0	407.61	0.0668	571.8	10.293	20.85	11.99	1.48
	37.50	22.79	67.50	0.00	0.0618	11.19	492.4	407.96	0.0665	577.8	10.400	21.06	12.15	1.48
	38.48	22.77	67.52	0.00	0.0618	11.19	492.6	407.90	0.0665	567.8	10.221	20.69	11.89	1.48
	39.50	22.77	67.50	0.00	0.0617	11.19	492.4	407.94	0.0669	572.5	10.305	20.87	12.01	1.48
	40.58	22.75	67.50	0.00	0.0617	11.18	492.1	407.60	0.0667	576.8	10.383	21.02	12.12	1.48
	41.50	22.77	67.50	0.00	0.0617	11.18	492.0	407.59	0.0675	576.7	10.380	21.02	12.12	1.48
	42.58	22.75	67.52	0.00	0.0617	11.18	491.9	407.33	0.0670	572.7	10.308	20.86	12.01	1.48
	43.50	22.77	67.50	0.00	0.0617	11.19	492.5	407.96	0.0668	571.9	10.294	20.85	11.99	1.48
	44.56	22.77	67.50	0.00	0.0617	11.18	491.9	407.51	0.0669	573.4	10.321	20.90	12.03	1.48
	45.48	22.77	67.47	0.00	0.0616	11.18	491.8	407.54	0.0669	573.2	10.317	20.90	12.03	1.48
