Mar 15 2018 at 9:46:49
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light fog and low PAR, dry
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.84	22.87	67.50	0.00	0.0623	11.34	499.1	413.60	0.0632	529.1	9.524	19.29	10.82	1.45
	1.84	22.89	67.50	0.00	0.0623	11.35	499.5	414.00	0.0633	529.9	9.538	19.32	10.85	1.45
	2.84	22.91	67.52	0.00	0.0625	11.35	499.3	413.69	0.0634	530.0	9.539	19.32	10.85	1.45
	3.84	22.91	67.50	0.00	0.0625	11.36	499.7	414.17	0.0633	530.6	9.551	19.35	10.87	1.45
	4.84	22.91	67.47	0.00	0.0625	11.36	499.9	414.47	0.0634	532.8	9.590	19.43	10.93	1.45
	5.83	22.91	67.50	0.00	0.0624	11.36	499.9	414.31	0.0633	531.0	9.557	19.36	10.88	1.45
	6.84	22.91	67.50	0.00	0.0625	11.37	500.1	414.48	0.0634	531.0	9.558	19.36	10.88	1.45
	7.83	22.89	67.50	0.00	0.0625	11.37	500.1	414.42	0.0635	531.4	9.566	19.38	10.89	1.45
	8.84	22.91	67.50	0.00	0.0625	11.36	500.1	414.45	0.0633	530.9	9.556	19.36	10.88	1.45
	9.83	22.91	67.52	0.00	0.0625	11.36	499.9	414.15	0.0634	531.2	9.561	19.36	10.88	1.45
	10.84	22.91	67.50	0.00	0.0625	11.37	500.4	414.71	0.0634	531.7	9.570	19.39	10.90	1.45
	11.84	22.91	67.52	0.00	0.0626	11.37	500.3	414.53	0.0634	531.7	9.571	19.38	10.90	1.44
