Mar 17 2018 at 9:46:21
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light rain, cloud cover, low temps
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.52	17.21	64.37	0.00	0.0622	11.41	502.2	428.07	0.0426	313.6	5.644	11.76	2.93	1.34
	1.50	17.20	64.35	0.00	0.0618	11.41	501.9	427.90	0.0433	317.3	5.712	11.91	3.09	1.34
	2.50	17.18	64.39	0.00	0.0620	11.39	501.1	426.87	0.0432	318.7	5.737	11.95	3.15	1.34
	3.50	17.20	64.37	0.00	0.0620	11.42	502.6	428.32	0.0426	314.7	5.665	11.80	2.98	1.34
	4.50	17.20	64.37	0.00	0.0619	11.41	502.1	427.95	0.0432	317.8	5.720	11.92	3.11	1.34
	5.50	17.23	64.37	0.00	0.0620	11.37	500.2	426.38	0.0437	325.7	5.863	12.21	3.46	1.34
	6.50	17.20	64.37	0.00	0.0620	11.39	501.4	427.29	0.0432	322.9	5.813	12.11	3.34	1.34
	7.51	17.20	64.37	0.00	0.0619	11.40	501.7	427.62	0.0438	324.6	5.842	12.17	3.41	1.34
	8.50	17.18	64.38	0.00	0.0618	11.40	501.7	427.54	0.0439	323.7	5.827	12.14	3.37	1.34
	9.52	17.20	64.40	0.00	0.0620	11.36	499.8	425.77	0.0441	327.7	5.898	12.28	3.55	1.34
	10.50	17.20	64.37	0.00	0.0619	11.39	501.2	427.18	0.0438	325.0	5.851	12.19	3.43	1.34
	11.52	17.21	64.37	0.00	0.0618	11.36	499.9	426.07	0.0443	328.6	5.916	12.32	3.59	1.34
	12.50	17.18	64.37	0.00	0.0618	11.35	499.3	425.52	0.0443	330.7	5.953	12.40	3.68	1.34
	13.52	17.20	64.37	0.00	0.0618	11.36	499.9	426.02	0.0449	333.2	5.998	12.49	3.78	1.34
	14.50	17.18	64.37	0.00	0.0618	11.37	500.2	426.28	0.0446	331.7	5.970	12.44	3.72	1.34
	15.52	17.21	64.37	0.00	0.0616	11.37	500.3	426.44	0.0454	334.3	6.018	12.54	3.83	1.34
	16.50	17.21	64.37	0.00	0.0618	11.35	499.5	425.73	0.0446	333.9	6.011	12.52	3.82	1.34
	17.52	17.21	64.37	0.00	0.0618	11.35	499.3	425.58	0.0446	336.0	6.048	12.60	3.90	1.34
	18.50	17.21	64.37	0.00	0.0618	11.37	500.1	426.28	0.0445	334.7	6.025	12.55	3.85	1.34
	19.52	17.21	64.37	0.00	0.0618	11.36	499.8	425.97	0.0451	342.9	6.172	12.86	4.19	1.34
