Mar 17 2018 at 9:48:58
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light rain, cloud cover, low temps
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.14	17.29	64.40	0.00	0.0604	11.04	485.9	414.07	0.0537	429.9	7.738	16.12	7.46	1.35
	1.12	17.29	64.37	0.00	0.0603	11.04	485.7	414.06	0.0539	432.9	7.792	16.24	7.56	1.35
	2.14	17.29	64.37	0.00	0.0602	11.01	484.6	413.13	0.0541	435.3	7.836	16.33	7.65	1.35
	3.12	17.29	64.37	0.00	0.0604	11.02	484.9	413.44	0.0541	434.9	7.828	16.31	7.63	1.35
	4.14	17.31	64.37	0.00	0.0603	11.03	485.2	413.65	0.0544	435.3	7.836	16.33	7.65	1.35
	5.20	17.28	64.37	0.00	0.0602	11.02	484.7	413.25	0.0544	434.7	7.825	16.31	7.62	1.35
	6.14	17.29	64.35	0.00	0.0602	11.00	484.0	412.78	0.0547	438.7	7.897	16.46	7.76	1.35
	7.20	17.31	64.40	0.00	0.0602	10.99	483.5	412.07	0.0545	438.8	7.898	16.45	7.76	1.34
	8.14	17.31	64.37	0.00	0.0602	10.99	483.5	412.22	0.0546	440.8	7.934	16.54	7.83	1.35
	9.14	17.31	64.37	0.00	0.0602	10.99	483.7	412.44	0.0548	439.5	7.911	16.49	7.79	1.34
	10.12	17.29	64.40	0.00	0.0601	10.97	482.7	411.33	0.0550	442.9	7.972	16.61	7.90	1.34
	11.14	17.29	64.37	0.00	0.0602	10.97	482.8	411.62	0.0550	443.9	7.989	16.65	7.93	1.35
	12.14	17.29	64.35	0.00	0.0601	10.95	481.9	411.04	0.0560	450.1	8.102	16.89	8.14	1.35
	13.14	17.29	64.37	0.00	0.0600	10.96	482.0	410.96	0.0556	448.3	8.069	16.82	8.08	1.35
	14.14	17.29	64.37	0.00	0.0602	10.98	483.3	412.02	0.0552	450.2	8.103	16.89	8.14	1.35
	15.14	17.29	64.39	0.00	0.0604	10.99	483.8	412.30	0.0552	446.7	8.041	16.75	8.02	1.34
	16.14	17.29	64.35	0.00	0.0602	10.95	481.9	411.02	0.0556	448.8	8.078	16.84	8.09	1.34
	17.14	17.31	64.37	0.00	0.0601	10.97	482.5	411.40	0.0555	447.5	8.056	16.79	8.05	1.35
	18.22	17.31	64.37	0.00	0.0600	10.96	482.3	411.21	0.0560	453.6	8.165	17.02	8.25	1.35
	19.14	17.31	64.37	0.00	0.0602	10.99	483.6	412.33	0.0558	450.4	8.107	16.90	8.15	1.34
	20.22	17.31	64.37	0.00	0.0601	10.97	482.5	411.40	0.0556	454.4	8.180	17.05	8.28	1.35
	21.14	17.31	64.37	0.00	0.0599	10.96	482.1	411.08	0.0555	451.6	8.129	16.94	8.19	1.35
	22.16	17.33	64.39	250.10	0.0600	10.98	483.2	411.86	0.0559	455.4	8.197	17.08	8.31	1.35
	23.12	17.31	64.40	0.00	0.0603	10.98	483.0	411.64	0.0560	454.1	8.174	17.03	8.27	1.35
	24.14	17.29	64.37	0.00	0.0601	10.94	481.4	410.44	0.0561	455.4	8.197	17.08	8.31	1.35
	25.12	17.31	64.35	0.00	0.0601	10.97	482.9	411.84	0.0557	453.6	8.164	17.02	8.25	1.34
