Mar 17 2018 at 9:58:23
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light rain, cloud cover, low temps
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.70	17.82	64.37	0.00	0.0604	11.00	484.2	413.54	0.0566	463.5	8.343	17.42	8.59	1.36
	1.70	17.84	64.37	0.00	0.0602	11.00	484.0	413.42	0.0572	465.6	8.380	17.50	8.66	1.37
	2.70	17.84	64.37	0.00	0.0604	11.01	484.5	413.83	0.0570	463.0	8.334	17.40	8.58	1.36
	3.70	17.84	64.37	0.00	0.0603	11.01	484.5	413.83	0.0570	464.4	8.360	17.46	8.63	1.35
	4.70	17.84	64.37	0.00	0.0604	10.99	483.4	412.88	0.0574	470.9	8.476	17.70	8.83	1.36
	5.70	17.84	64.37	0.00	0.0603	10.99	483.7	413.14	0.0572	470.6	8.470	17.69	8.82	1.36
	6.70	17.84	64.37	0.00	0.0603	11.01	484.4	413.77	0.0570	468.8	8.439	17.62	8.77	1.36
	7.70	17.84	64.37	0.00	0.0602	10.98	483.0	412.52	0.0576	473.8	8.529	17.81	8.92	1.36
	8.70	17.85	64.37	0.00	0.0603	10.99	483.6	413.09	0.0577	471.7	8.491	17.73	8.86	1.36
	9.78	17.85	64.37	0.00	0.0601	10.99	483.3	412.87	0.0579	474.4	8.539	17.83	8.94	1.36
	10.70	17.85	64.37	0.00	0.0602	10.98	483.2	412.78	0.0574	473.8	8.529	17.81	8.92	1.36
	11.72	17.84	64.37	0.00	0.0603	10.98	482.9	412.47	0.0580	483.4	8.701	18.17	9.22	1.36
	12.70	17.84	64.37	0.00	0.0602	10.99	483.4	412.89	0.0574	474.3	8.537	17.83	8.94	1.36
	13.72	17.87	64.37	0.00	0.0602	10.98	483.1	412.70	0.0579	478.3	8.609	17.98	9.06	1.37
	14.70	17.85	64.35	0.00	0.0601	10.98	483.3	412.97	0.0577	478.5	8.613	17.99	9.07	1.36
	15.70	17.85	64.39	0.00	0.0601	10.98	483.1	412.52	0.0580	478.6	8.615	17.98	9.07	1.36
	16.70	17.85	64.37	0.00	0.0603	10.97	482.5	412.19	0.0582	480.9	8.656	18.07	9.14	1.36
	17.70	17.84	64.37	0.00	0.0603	10.98	483.3	412.77	0.0580	479.0	8.622	18.00	9.08	1.36
	18.70	17.85	64.39	0.00	0.0602	10.98	483.1	412.55	0.0582	480.5	8.649	18.05	9.13	1.36
	19.72	17.85	64.37	0.00	0.0602	10.95	481.9	411.66	0.0588	485.3	8.735	18.24	9.28	1.36
	20.70	17.85	64.37	0.00	0.0602	10.96	482.1	411.84	0.0586	484.6	8.722	18.21	9.25	1.36
	21.72	17.85	64.35	0.00	0.0601	10.95	481.6	411.56	0.0591	489.3	8.807	18.40	9.40	1.36
	22.70	17.87	64.37	0.00	0.0601	10.96	482.5	412.14	0.0586	486.8	8.762	18.30	9.32	1.36
	23.72	17.87	64.35	0.00	0.0601	10.96	482.4	412.26	0.0584	485.8	8.745	18.27	9.29	1.37
	24.70	17.89	64.37	0.00	0.0600	10.96	482.2	411.95	0.0584	486.1	8.750	18.27	9.30	1.37
	25.70	17.87	64.37	0.00	0.0600	10.97	482.8	412.45	0.0583	485.9	8.747	18.26	9.30	1.37
	26.78	17.87	64.37	0.00	0.0602	10.97	482.6	412.25	0.0590	487.7	8.779	18.33	9.35	1.37
	27.70	17.87	64.35	0.00	0.0602	10.95	481.9	411.83	0.0591	489.4	8.810	18.40	9.40	1.37
	28.72	17.87	64.37	0.00	0.0601	10.96	482.2	411.93	0.0590	490.8	8.834	18.45	9.45	1.36
	29.70	17.85	64.37	0.00	0.0600	10.94	481.3	411.08	0.0596	493.5	8.882	18.55	9.53	1.36
	30.72	17.85	64.37	0.00	0.0601	10.96	482.1	411.85	0.0592	492.1	8.859	18.50	9.49	1.37
	31.70	17.87	64.35	0.00	0.0601	10.96	482.0	411.94	0.0591	492.2	8.859	18.51	9.49	1.37
	32.72	17.87	64.35	0.00	0.0600	10.96	482.4	412.26	0.0590	490.6	8.831	18.45	9.44	1.37
	33.70	17.89	64.35	0.00	0.0599	10.94	481.5	411.49	0.0590	493.7	8.886	18.56	9.53	1.37
	34.72	17.87	64.37	0.00	0.0601	10.93	480.8	410.70	0.0594	498.7	8.976	18.74	9.68	1.36
	35.70	17.87	64.37	0.00	0.0600	10.94	481.6	411.38	0.0592	492.8	8.870	18.52	9.51	1.36
	36.70	17.89	64.39	0.00	0.0600	10.94	481.3	411.03	0.0592	493.1	8.877	18.53	9.52	1.36
	37.78	17.85	64.37	0.00	0.0600	10.93	480.8	410.69	0.0598	497.7	8.959	18.71	9.65	1.37
	38.70	17.89	64.37	0.00	0.0599	10.94	481.4	411.24	0.0591	495.0	8.909	18.60	9.57	1.37
	39.70	17.87	64.37	0.00	0.0600	10.94	481.4	411.22	0.0596	496.1	8.931	18.65	9.61	1.36
	40.70	17.89	64.40	0.00	0.0599	10.94	481.3	411.03	0.0595	496.9	8.944	18.67	9.63	1.36
	41.78	17.89	64.42	0.00	0.0601	10.93	481.1	410.70	0.0601	500.1	9.001	18.78	9.72	1.36
	42.70	17.90	64.37	0.00	0.0599	10.93	481.0	410.95	0.0596	498.2	8.967	18.73	9.67	1.36
	43.72	17.90	64.37	0.00	0.0600	10.93	480.8	410.77	0.0597	499.2	8.985	18.76	9.70	1.36
	44.72	17.89	64.37	0.00	0.0599	10.91	480.1	410.16	0.0606	503.1	9.056	18.91	9.82	1.37
	45.72	17.89	64.37	0.00	0.0598	10.89	479.3	409.48	0.0602	507.5	9.135	19.08	9.94	1.36
	46.72	17.90	64.35	0.00	0.0600	10.90	479.8	410.06	0.0607	505.3	9.095	19.00	9.88	1.36
	47.72	17.89	64.37	0.00	0.0598	10.91	479.9	409.94	0.0601	503.4	9.061	18.92	9.82	1.36
	48.70	17.89	64.37	0.00	0.0598	10.91	480.1	410.11	0.0602	502.8	9.051	18.90	9.81	1.37
	49.72	17.89	64.37	0.00	0.0599	10.91	480.3	410.28	0.0599	503.8	9.068	18.94	9.84	1.36
	50.70	17.89	64.37	0.00	0.0600	10.92	480.4	410.39	0.0605	505.1	9.092	18.99	9.87	1.37
	51.72	17.87	64.37	0.00	0.0599	10.90	479.5	409.64	0.0607	509.2	9.166	19.14	9.99	1.36
	52.70	17.90	64.35	0.00	0.0597	10.90	479.6	409.91	0.0603	507.1	9.127	19.07	9.93	1.36
	53.72	17.90	64.37	0.00	0.0599	10.89	479.4	409.55	0.0606	507.0	9.125	19.06	9.93	1.36
	54.78	17.90	64.37	0.00	0.0599	10.90	479.5	409.67	0.0604	506.7	9.120	19.05	9.92	1.36
	55.72	17.89	64.37	0.00	0.0599	10.90	479.5	409.63	0.0605	506.7	9.120	19.05	9.92	1.36
	56.78	17.90	64.40	0.00	0.0599	10.89	479.3	409.32	0.0608	508.4	9.150	19.10	9.97	1.36
	57.70	17.90	64.37	0.00	0.0599	10.89	479.3	409.46	0.0607	506.9	9.124	19.05	9.93	1.36
	58.78	17.90	64.37	0.00	0.0600	10.90	479.5	409.65	0.0607	507.4	9.133	19.07	9.94	1.36
	59.70	17.90	64.37	0.00	0.0599	10.89	479.2	409.41	0.0609	509.8	9.177	19.16	10.01	1.36
	60.72	17.89	64.37	0.00	0.0597	10.88	478.9	409.14	0.0607	510.5	9.189	19.19	10.03	1.36
	61.70	17.90	64.37	0.00	0.0595	10.87	478.2	408.55	0.0606	510.3	9.186	19.18	10.03	1.36
	62.72	17.90	64.37	0.00	0.0598	10.87	478.3	408.63	0.0613	512.5	9.225	19.27	10.09	1.36
	63.70	17.90	64.37	0.00	0.0599	10.88	478.6	408.89	0.0610	511.1	9.200	19.21	10.05	1.37
	64.72	17.90	64.37	0.00	0.0596	10.86	478.0	408.41	0.0610	512.2	9.220	19.25	10.08	1.36
	65.70	17.90	64.37	0.00	0.0596	10.87	478.2	408.52	0.0610	512.5	9.225	19.27	10.09	1.36
	66.72	17.90	64.37	0.00	0.0596	10.86	477.9	408.29	0.0611	511.9	9.215	19.24	10.08	1.36
	67.70	17.90	64.37	0.00	0.0594	10.86	477.9	408.29	0.0607	511.5	9.207	19.23	10.06	1.36
	68.72	17.90	64.37	0.00	0.0597	10.86	477.7	408.09	0.0608	511.5	9.208	19.23	10.06	1.37
	69.70	17.92	64.37	0.00	0.0597	10.85	477.4	407.85	0.0609	515.0	9.271	19.36	10.17	1.36
	70.72	17.92	64.35	0.00	0.0596	10.84	477.2	407.86	0.0609	511.8	9.212	19.25	10.07	1.36
	71.70	17.94	64.37	0.00	0.0596	10.83	476.5	407.18	0.0612	513.4	9.242	19.30	10.12	1.36
	72.72	17.90	64.37	0.00	0.0595	10.82	476.3	406.92	0.0611	512.9	9.233	19.28	10.11	1.36
	73.72	17.92	64.37	0.00	0.0595	10.82	476.2	406.86	0.0610	511.8	9.212	19.24	10.07	1.37
	74.72	17.92	64.37	0.00	0.0594	10.82	476.3	406.94	0.0609	514.3	9.258	19.34	10.15	1.37
	75.72	17.92	64.35	0.00	0.0596	10.83	476.5	407.27	0.0610	511.0	9.199	19.22	10.05	1.36
