Mar 17 2018 at 9:44:42
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light rain, cloud cover, low temps
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.12	17.20	64.42	0.00	0.0623	11.47	504.9	429.99	0.0347	239.9	4.319	8.99	-0.79	1.34
	1.06	17.16	64.37	0.00	0.0623	11.49	505.7	430.96	0.0345	240.4	4.327	9.01	-0.77	1.34
	2.06	17.16	64.37	0.00	0.0623	11.50	505.9	431.11	0.0348	241.1	4.339	9.04	-0.73	1.34
	3.05	17.15	64.39	0.00	0.0622	11.50	505.8	430.87	0.0353	243.9	4.390	9.14	-0.57	1.34
	4.06	17.18	64.37	0.00	0.0621	11.44	503.5	429.10	0.0356	252.8	4.551	9.48	-0.08	1.34
	5.05	17.16	64.37	0.00	0.0646	11.98	527.3	449.31	0.0360	250.9	4.516	9.41	-0.18	1.34
	6.06	17.15	64.37	0.00	0.0629	11.56	508.8	433.59	0.0361	253.0	4.554	9.49	-0.07	1.34
	7.06	17.16	64.37	0.00	0.0621	11.49	505.5	430.74	0.0370	261.2	4.702	9.80	0.37	1.34
	8.06	17.16	64.37	0.00	0.0623	11.44	503.5	429.06	0.0382	269.4	4.849	10.10	0.80	1.34
	9.06	17.16	64.37	0.00	0.0623	11.47	504.7	430.06	0.0353	248.4	4.471	9.31	-0.32	1.34
	10.06	17.18	64.37	0.00	0.0627	11.63	511.6	436.03	0.0355	247.2	4.450	9.27	-0.38	1.34
	11.05	17.16	64.37	0.00	0.0628	11.64	512.0	436.30	0.0365	248.2	4.468	9.31	-0.33	1.34
	12.06	17.18	64.37	0.00	0.0624	11.49	505.5	430.79	0.0365	254.0	4.572	9.52	-0.01	1.34
	13.05	17.18	64.37	0.00	0.0622	11.42	502.5	428.20	0.0359	253.7	4.567	9.51	-0.03	1.34
	14.05	17.16	64.37	0.00	0.0621	11.48	504.9	430.27	0.0365	256.8	4.622	9.63	0.14	1.34
	15.06	17.18	64.37	0.00	0.0627	11.53	507.5	432.47	0.0366	259.6	4.674	9.74	0.29	1.34
	16.05	17.18	64.39	0.00	0.0621	11.43	502.8	428.32	0.0363	255.4	4.597	9.57	0.06	1.34
	21.70	17.16	64.37	0.00	0.0620	11.46	504.4	429.85	0.0376	278.7	5.016	10.45	1.27	1.34
	21.70	17.15	64.37	0.00	0.0620	11.42	502.4	428.11	0.0361	255.9	4.607	9.60	0.09	1.34
	21.72	17.16	64.38	0.00	0.0618	11.39	501.0	426.89	0.0376	264.4	4.759	9.91	0.54	1.34
	21.72	17.16	64.37	0.00	0.0618	11.36	500.0	426.08	0.0391	278.0	5.003	10.42	1.23	1.34
	21.72	17.18	64.40	0.00	0.0617	11.39	501.1	426.87	0.0393	277.6	4.997	10.41	1.22	1.34
	22.05	17.16	64.40	0.00	0.0620	11.41	502.1	427.74	0.0396	286.3	5.153	10.73	1.64	1.34
	23.06	17.16	64.37	0.00	0.0619	11.41	502.0	427.81	0.0407	294.2	5.296	11.03	2.03	1.34
	24.05	17.16	64.37	0.00	0.0627	11.55	508.0	432.89	0.0408	295.9	5.326	11.09	2.11	1.34
	25.06	17.16	64.37	0.00	0.0621	11.53	507.2	432.23	0.0413	290.4	5.228	10.89	1.85	1.34
	26.05	17.16	64.37	0.00	0.0625	11.45	503.6	429.18	0.0397	287.0	5.166	10.76	1.68	1.34
	27.06	17.16	64.39	0.00	0.0652	12.15	534.5	455.37	0.0390	281.6	5.069	10.56	1.42	1.34
	28.05	17.16	64.37	0.00	0.0634	11.69	514.3	438.25	0.0403	293.0	5.274	10.99	1.97	1.34
	29.05	17.16	64.37	0.00	0.0629	11.63	511.8	436.17	0.0413	293.5	5.283	11.01	1.99	1.34
	30.12	17.16	64.38	0.00	0.0633	11.62	511.4	435.80	0.0416	305.3	5.496	11.45	2.55	1.34
	31.05	17.15	64.40	0.00	0.0628	11.62	511.5	435.68	0.0417	301.5	5.428	11.30	2.37	1.34
	32.06	17.16	64.37	0.00	0.0627	11.58	509.5	434.21	0.0411	301.9	5.434	11.32	2.39	1.34
	33.06	17.16	64.39	0.00	0.0625	11.56	508.7	433.32	0.0394	281.6	5.070	10.56	1.42	1.34
	34.06	17.16	64.37	0.00	0.0626	11.59	510.1	434.71	0.0397	286.3	5.153	10.73	1.64	1.34
	35.06	17.16	64.39	0.00	0.0623	11.51	506.5	431.49	0.0387	281.6	5.068	10.55	1.41	1.34
	36.06	17.18	64.37	0.00	0.0623	11.50	505.9	431.16	0.0386	275.0	4.950	10.31	1.09	1.34
	37.06	17.18	64.37	0.00	0.0625	11.52	506.8	431.92	0.0401	287.1	5.167	10.76	1.68	1.34
	38.06	17.16	64.37	0.00	0.0625	11.53	507.3	432.31	0.0402	290.8	5.234	10.90	1.86	1.34
	39.06	17.18	64.37	0.00	0.0626	11.51	506.3	431.46	0.0393	281.9	5.075	10.57	1.43	1.34
	40.06	17.18	64.37	0.00	0.0627	11.55	508.3	433.17	0.0395	286.1	5.151	10.73	1.64	1.34
	41.06	17.16	64.37	0.00	0.0648	11.89	523.0	445.67	0.0393	285.8	5.144	10.71	1.62	1.34
	42.06	17.18	64.35	0.00	0.0664	12.79	562.6	479.68	0.0396	285.1	5.131	10.69	1.59	1.34
	43.06	17.18	64.37	0.00	0.0635	11.93	524.9	447.36	0.0402	291.0	5.237	10.91	1.87	1.34
