Mar 17 2018 at 9:52:39
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Light rain, cloud cover, low temps
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.03	17.48	64.37	0.00	0.0597	10.87	478.2	407.92	0.0584	480.2	8.644	18.03	9.10	1.35
	0.97	17.48	64.37	0.00	0.0598	10.87	478.3	408.00	0.0585	480.7	8.652	18.04	9.12	1.35
	2.03	17.46	64.37	0.00	0.0597	10.87	478.4	408.08	0.0583	481.7	8.670	18.08	9.15	1.35
	2.95	17.48	64.40	0.00	0.0597	10.87	478.4	407.97	0.0583	481.3	8.663	18.06	9.13	1.35
	3.97	17.46	64.39	0.00	0.0599	10.87	478.3	407.85	0.0584	482.5	8.685	18.10	9.17	1.35
	4.95	17.49	64.37	0.00	0.0596	10.88	478.7	408.43	0.0584	480.9	8.655	18.05	9.12	1.35
	5.97	17.48	64.37	0.00	0.0598	10.87	478.5	408.19	0.0584	482.4	8.683	18.11	9.17	1.35
	6.95	17.48	64.37	0.00	0.0597	10.88	478.6	408.31	0.0584	482.0	8.676	18.09	9.16	1.35
	7.97	17.46	64.37	0.00	0.0597	10.88	478.6	408.28	0.0585	484.4	8.720	18.18	9.23	1.35
	8.95	17.48	64.35	0.00	0.0598	10.88	478.7	408.55	0.0586	484.4	8.719	18.19	9.23	1.35
	9.97	17.48	64.42	0.00	0.0597	10.88	478.6	407.98	0.0586	485.0	8.731	18.19	9.25	1.35
	10.95	17.48	64.37	0.00	0.0599	10.88	478.8	408.48	0.0587	485.1	8.732	18.21	9.25	1.35
	11.97	17.48	64.37	0.00	0.0598	10.89	479.1	408.70	0.0589	486.3	8.753	18.25	9.29	1.35
	12.95	17.48	64.37	0.00	0.0598	10.89	479.0	408.62	0.0587	487.3	8.772	18.29	9.32	1.35
	13.97	17.51	64.39	0.00	0.0598	10.89	479.1	408.62	0.0590	489.1	8.804	18.36	9.38	1.35
	14.95	17.49	64.37	0.00	0.0596	10.89	479.0	408.62	0.0589	487.5	8.776	18.30	9.33	1.35
	15.97	17.49	64.40	0.00	0.0599	10.89	479.1	408.58	0.0590	487.8	8.780	18.30	9.34	1.35
	16.97	17.49	64.37	0.00	0.0598	10.89	479.1	408.71	0.0590	489.1	8.803	18.36	9.37	1.35
	17.97	17.47	64.35	0.00	0.0599	10.89	479.2	408.94	0.0591	489.7	8.815	18.39	9.39	1.35
	18.97	17.47	64.37	0.00	0.0599	10.89	479.3	408.90	0.0593	490.8	8.834	18.42	9.43	1.35
	19.97	17.49	64.37	0.00	0.0598	10.89	479.3	408.92	0.0592	492.4	8.863	18.48	9.48	1.35
	20.97	17.49	64.37	0.00	0.0599	10.89	479.2	408.81	0.0594	491.9	8.854	18.46	9.46	1.35
	21.95	17.49	64.37	0.00	0.0599	10.90	479.4	409.03	0.0591	491.9	8.853	18.46	9.46	1.35
	22.97	17.49	64.37	0.00	0.0597	10.89	479.3	408.92	0.0594	492.7	8.869	18.50	9.48	1.35
	23.97	17.51	64.37	0.00	0.0599	10.90	479.4	409.01	0.0594	492.9	8.872	18.50	9.49	1.35
	24.97	17.51	64.37	0.00	0.0598	10.90	479.5	409.13	0.0594	494.2	8.896	18.55	9.53	1.35
	25.95	17.51	64.37	0.00	0.0598	10.90	479.6	409.17	0.0595	494.2	8.895	18.55	9.53	1.35
	26.97	17.51	64.37	0.00	0.0599	10.91	479.8	409.39	0.0594	495.4	8.917	18.60	9.57	1.35
	27.97	17.51	64.37	0.00	0.0599	10.90	479.6	409.18	0.0595	495.1	8.911	18.58	9.56	1.35
	28.97	17.51	64.37	0.00	0.0599	10.89	479.4	408.99	0.0595	494.8	8.906	18.57	9.55	1.35
	29.97	17.51	64.37	0.00	0.0598	10.90	479.5	409.11	0.0594	495.5	8.918	18.60	9.57	1.35
	30.97	17.49	64.37	0.00	0.0597	10.90	479.7	409.27	0.0596	497.9	8.962	18.69	9.64	1.35
	31.95	17.51	64.37	0.00	0.0598	10.90	479.8	409.34	0.0597	496.6	8.939	18.64	9.60	1.35
	32.97	17.51	64.37	0.00	0.0600	10.91	479.8	409.39	0.0597	497.2	8.950	18.66	9.62	1.35
	34.05	17.49	64.37	0.00	0.0599	10.90	479.7	409.22	0.0598	498.8	8.978	18.72	9.67	1.35
	34.97	17.52	64.37	0.00	0.0597	10.90	479.4	409.05	0.0597	497.6	8.957	18.68	9.63	1.35
	35.98	17.51	64.37	0.00	0.0599	10.89	479.4	409.01	0.0596	497.4	8.953	18.67	9.63	1.35
	36.97	17.52	64.37	0.00	0.0599	10.90	479.4	409.07	0.0597	498.7	8.976	18.72	9.66	1.35
	37.98	17.52	64.37	0.00	0.0598	10.90	479.5	409.15	0.0598	499.5	8.990	18.75	9.69	1.35
	38.97	17.51	64.37	0.00	0.0598	10.90	479.5	409.11	0.0598	498.7	8.977	18.72	9.67	1.35
	39.98	17.52	64.40	0.00	0.0598	10.89	479.2	408.73	0.0598	498.8	8.978	18.72	9.67	1.35
	40.97	17.51	64.35	0.00	0.0599	10.89	479.3	409.08	0.0599	499.1	8.983	18.74	9.68	1.35
	41.98	17.51	64.39	0.00	0.0598	10.89	479.3	408.77	0.0599	498.7	8.977	18.72	9.67	1.35
	42.97	17.51	64.39	0.00	0.0598	10.89	479.3	408.80	0.0598	499.0	8.982	18.73	9.67	1.35
	43.98	17.51	64.37	0.00	0.0597	10.88	478.9	408.57	0.0599	498.0	8.963	18.69	9.64	1.35
	44.97	17.54	64.37	0.00	0.0597	10.89	479.1	408.77	0.0599	499.7	8.995	18.76	9.70	1.35
