Mar 17 2018 at 8:49:19
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Windy, High light, cold, drizzles, fading PAR
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.48	19.08	64.37	0.00	0.0595	10.82	476.1	408.43	0.0521	403.7	7.266	15.24	6.63	1.39
	1.42	19.08	64.37	0.00	0.0590	10.71	471.0	404.06	0.0526	417.9	7.522	15.77	7.14	1.39
	2.42	19.08	64.35	0.00	0.0590	10.73	472.1	405.10	0.0524	410.6	7.390	15.50	6.88	1.39
	3.41	19.08	64.35	0.00	0.0588	10.67	469.5	402.87	0.0533	426.8	7.683	16.12	7.45	1.39
	4.42	19.08	64.37	0.00	0.0586	10.61	466.7	400.30	0.0545	438.8	7.898	16.56	7.85	1.39
	5.41	19.08	64.37	0.00	0.0586	10.64	468.1	401.54	0.0545	436.2	7.851	16.46	7.76	1.39
	6.42	19.08	64.40	0.00	0.0589	10.70	470.9	403.76	0.0531	419.2	7.545	15.82	7.18	1.39
	7.41	19.08	64.37	0.00	0.0592	10.73	472.2	405.09	0.0514	413.2	7.437	15.59	6.97	1.39
	8.42	19.08	64.37	0.00	0.0594	10.80	475.1	407.55	0.0509	397.7	7.159	15.01	6.42	1.39
	9.41	19.08	64.37	0.00	0.0587	10.70	470.8	403.81	0.0541	426.0	7.668	16.08	7.42	1.39
	10.42	19.04	64.37	0.00	0.0591	10.73	472.0	404.85	0.0520	415.0	7.470	15.66	7.03	1.39
	11.41	19.04	64.37	0.00	0.0593	10.79	474.6	407.08	0.0519	402.3	7.241	15.18	6.58	1.39
	12.42	19.08	64.37	0.00	0.0589	10.67	469.7	402.89	0.0530	424.6	7.643	16.03	7.37	1.39
	13.41	19.08	64.37	0.00	0.0590	10.69	470.4	403.54	0.0528	423.5	7.622	15.98	7.33	1.39
	14.42	19.08	64.37	0.00	0.0593	10.76	473.4	406.11	0.0516	408.9	7.361	15.43	6.82	1.39
	15.42	19.08	64.37	0.00	0.0600	10.87	478.4	410.37	0.0514	408.3	7.350	15.41	6.80	1.39
	16.41	19.08	64.37	0.00	0.0618	11.42	502.4	430.92	0.0514	403.2	7.257	15.22	6.62	1.39
	17.41	19.08	64.37	0.00	0.0593	10.72	471.9	404.77	0.0523	417.5	7.516	15.76	7.13	1.39
	18.41	19.08	64.37	0.00	0.0590	10.72	471.6	404.51	0.0530	417.4	7.514	15.76	7.12	1.39
	19.42	19.08	64.37	0.00	0.0588	10.65	468.5	401.84	0.0541	432.7	7.789	16.33	7.65	1.39
	20.41	19.08	64.37	0.00	0.0586	10.63	467.6	401.14	0.0546	435.5	7.839	16.44	7.74	1.39
	21.42	19.08	64.37	0.00	0.0587	10.63	467.9	401.37	0.0541	436.3	7.854	16.47	7.77	1.39
	22.41	19.08	64.37	0.00	0.0587	10.63	467.7	401.15	0.0543	437.6	7.876	16.51	7.81	1.39
	23.41	19.08	64.37	0.00	0.0590	10.72	471.7	404.63	0.0539	419.7	7.555	15.84	7.20	1.39
	24.41	19.08	64.39	0.00	0.0588	10.65	468.5	401.70	0.0542	436.9	7.865	16.48	7.79	1.39
	25.41	19.08	64.37	0.00	0.0584	10.60	466.4	400.07	0.0557	446.1	8.029	16.84	8.09	1.39
	26.48	19.08	64.37	0.00	0.0587	10.64	468.0	401.45	0.0550	447.0	8.045	16.87	8.12	1.39
	27.41	19.09	64.37	0.00	0.0592	10.71	471.3	404.33	0.0525	426.8	7.683	16.11	7.45	1.39
	28.48	19.08	64.37	0.00	0.0594	10.77	474.1	406.67	0.0521	413.1	7.436	15.59	6.97	1.39
	29.41	19.08	64.37	0.00	0.0592	10.76	473.5	406.14	0.0522	414.2	7.455	15.63	7.01	1.39
	30.42	19.09	64.37	0.00	0.0593	10.76	473.6	406.27	0.0520	417.0	7.506	15.74	7.11	1.39
	31.41	19.09	64.35	0.00	0.0594	10.81	475.5	408.06	0.0519	407.3	7.331	15.38	6.76	1.39
	32.42	19.08	64.37	0.00	0.0592	10.84	476.8	409.00	0.0532	402.8	7.251	15.20	6.60	1.39
	33.41	19.06	64.37	0.00	0.0595	10.82	476.2	408.47	0.0510	399.5	7.192	15.08	6.48	1.39
	34.41	19.08	64.37	0.00	0.0593	10.76	473.5	406.19	0.0519	410.7	7.393	15.50	6.88	1.39
	35.41	19.08	64.37	0.00	0.0589	10.72	471.9	404.75	0.0539	423.1	7.617	15.97	7.32	1.39
	36.41	19.08	64.37	0.00	0.0590	10.70	470.9	403.91	0.0544	434.0	7.812	16.38	7.69	1.39
	37.41	19.09	64.35	0.00	0.0589	10.69	470.4	403.71	0.0537	432.8	7.790	16.34	7.65	1.39
	38.41	19.08	64.37	0.00	0.0590	10.69	470.2	403.34	0.0534	427.1	7.688	16.12	7.46	1.39
