Mar 17 2018 at 8:32:42
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Windy, High light, cold, drizzles, fading PAR
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.44	17.25	64.32	0.00	0.0619	11.37	500.4	426.88	0.0536	428.1	7.706	16.07	7.40	1.43
	1.44	17.26	64.29	0.00	0.0617	11.39	501.2	427.78	0.0538	429.4	7.729	16.13	7.44	1.43
	2.44	17.25	64.32	0.00	0.0616	11.32	498.1	424.93	0.0539	430.8	7.754	16.17	7.49	1.43
	3.45	17.25	64.32	0.00	0.0616	11.34	498.8	425.50	0.0541	433.8	7.809	16.28	7.59	1.43
	4.44	17.26	64.32	0.00	0.0616	11.33	498.4	425.22	0.0542	435.3	7.835	16.34	7.64	1.43
	5.45	17.28	64.32	0.00	0.0617	11.34	499.0	425.74	0.0544	436.7	7.860	16.39	7.69	1.43
	6.44	17.28	64.32	0.00	0.0617	11.34	499.0	425.74	0.0544	436.8	7.862	16.40	7.69	1.43
	7.45	17.28	64.32	0.00	0.0617	11.33	498.7	425.51	0.0545	438.6	7.895	16.46	7.75	1.43
	8.44	17.28	64.32	0.00	0.0616	11.33	498.6	425.43	0.0546	438.8	7.898	16.47	7.76	1.43
	9.45	17.29	64.32	0.00	0.0616	11.32	498.3	425.17	0.0549	440.1	7.922	16.52	7.81	1.43
	10.44	17.29	64.32	0.00	0.0616	11.32	497.9	424.82	0.0548	441.9	7.954	16.59	7.87	1.43
	11.45	17.28	64.32	0.00	0.0616	11.32	498.1	424.96	0.0550	442.9	7.972	16.63	7.90	1.43
	12.44	17.28	64.32	0.00	0.0615	11.30	497.4	424.40	0.0554	447.3	8.052	16.79	8.05	1.43
	13.45	17.29	64.32	0.00	0.0615	11.31	497.7	424.66	0.0557	450.1	8.102	16.90	8.14	1.42
	14.44	17.29	64.35	0.00	0.0616	11.30	497.2	424.04	0.0560	455.2	8.194	17.08	8.30	1.43
	15.45	17.29	64.32	0.00	0.0616	11.30	497.2	424.21	0.0559	454.6	8.183	17.07	8.28	1.43
	16.52	17.31	64.34	0.00	0.0615	11.30	497.0	423.94	0.0560	455.5	8.200	17.10	8.31	1.43
	17.45	17.31	64.32	0.00	0.0615	11.29	496.9	424.04	0.0560	455.2	8.194	17.09	8.30	1.43
	18.45	17.31	64.32	0.00	0.0615	11.29	496.7	423.85	0.0562	457.1	8.227	17.16	8.36	1.43
	19.45	17.33	64.32	0.00	0.0614	11.28	496.4	423.62	0.0566	461.6	8.308	17.33	8.51	1.43
	20.45	17.33	64.30	0.00	0.0614	11.28	496.3	423.62	0.0567	463.5	8.343	17.41	8.57	1.43
	21.45	17.33	64.32	0.00	0.0614	11.28	496.2	423.45	0.0568	463.5	8.344	17.40	8.57	1.43
	22.45	17.33	64.30	0.00	0.0614	11.27	495.7	423.16	0.0570	466.7	8.401	17.53	8.67	1.43
	23.45	17.31	64.32	0.00	0.0614	11.27	495.7	422.99	0.0573	467.7	8.419	17.56	8.70	1.43
	24.45	17.33	64.32	0.00	0.0614	11.26	495.5	422.86	0.0573	469.5	8.452	17.63	8.76	1.43
	25.44	17.34	64.32	0.00	0.0613	11.26	495.2	422.64	0.0573	470.1	8.461	17.65	8.78	1.43
	26.45	17.29	64.32	0.00	0.0613	11.26	495.3	422.60	0.0574	470.3	8.465	17.66	8.78	1.43
	27.45	17.34	64.32	0.00	0.0613	11.25	495.0	422.39	0.0577	473.4	8.521	17.78	8.88	1.43
	28.45	17.34	64.32	0.00	0.0613	11.25	494.9	422.35	0.0576	473.2	8.518	17.77	8.88	1.43
	29.45	17.34	64.32	0.00	0.0613	11.26	495.6	422.96	0.0577	474.5	8.540	17.82	8.92	1.43
	30.44	17.34	64.32	0.00	0.0613	11.25	495.2	422.57	0.0579	476.0	8.568	17.87	8.96	1.43
	31.44	17.36	64.27	0.00	0.0613	11.25	494.9	422.71	0.0580	477.7	8.599	17.95	9.02	1.43
	32.44	17.34	64.32	0.00	0.0613	11.25	494.9	422.37	0.0580	477.8	8.601	17.94	9.02	1.43
	33.44	17.36	64.32	0.00	0.0613	11.24	494.7	422.17	0.0581	478.5	8.613	17.97	9.04	1.43
	34.44	17.39	64.32	0.00	0.0612	11.24	494.7	422.24	0.0580	479.9	8.638	18.02	9.09	1.43
	35.44	17.38	64.32	0.00	0.0612	11.24	494.5	422.04	0.0584	482.9	8.692	18.13	9.18	1.43
	36.44	17.38	64.32	0.00	0.0613	11.24	494.6	422.14	0.0587	485.0	8.729	18.21	9.24	1.43
	37.44	17.38	64.35	0.00	0.0612	11.24	494.4	421.79	0.0587	485.5	8.738	18.22	9.26	1.43
	38.44	17.38	64.32	0.00	0.0613	11.23	494.3	421.88	0.0587	486.0	8.749	18.25	9.28	1.43
	39.44	17.38	64.34	0.00	0.0612	11.23	494.0	421.49	0.0586	485.6	8.742	18.23	9.26	1.43
	40.44	17.39	64.34	0.00	0.0612	11.23	493.9	421.43	0.0589	488.6	8.794	18.34	9.35	1.43
	41.44	17.38	64.32	0.00	0.0612	11.23	494.0	421.63	0.0589	486.5	8.758	18.27	9.29	1.43
	42.44	17.39	64.32	0.00	0.0611	11.22	493.7	421.37	0.0592	490.6	8.830	18.42	9.41	1.43
	43.52	17.39	64.32	0.00	0.0612	11.21	493.4	421.17	0.0593	492.2	8.860	18.49	9.46	1.43
	44.44	17.39	64.32	0.00	0.0612	11.21	493.3	421.01	0.0593	493.0	8.874	18.51	9.49	1.43
	45.52	17.39	64.29	0.00	0.0611	11.21	493.3	421.19	0.0595	494.6	8.902	18.58	9.53	1.43
	46.44	17.39	64.32	0.00	0.0612	11.21	493.0	420.81	0.0595	495.5	8.918	18.61	9.56	1.43
	47.45	17.39	64.32	0.00	0.0611	11.20	492.9	420.72	0.0597	497.4	8.954	18.68	9.62	1.43
	48.44	17.41	64.32	0.00	0.0611	11.20	492.7	420.58	0.0598	498.5	8.973	18.72	9.65	1.43
	49.45	17.41	64.32	0.00	0.0611	11.20	492.7	420.58	0.0599	499.0	8.983	18.74	9.67	1.43
	50.44	17.43	64.32	0.00	0.0611	11.20	492.8	420.64	0.0599	499.5	8.991	18.76	9.69	1.43
	51.45	17.43	64.32	0.00	0.0610	11.19	492.4	420.30	0.0600	501.8	9.032	18.85	9.75	1.43
	52.44	17.41	64.32	0.00	0.0611	11.19	492.4	420.30	0.0602	504.1	9.073	18.93	9.82	1.43
	53.45	17.41	64.30	0.00	0.0611	11.19	492.2	420.29	0.0603	504.1	9.075	18.94	9.82	1.43
	54.44	17.41	64.29	0.00	0.0611	11.18	492.1	420.24	0.0603	504.4	9.080	18.95	9.83	1.43
	55.45	17.43	64.32	0.00	0.0610	11.18	491.9	419.90	0.0604	506.5	9.117	19.02	9.89	1.43
	56.44	17.43	64.32	0.00	0.0610	11.18	492.1	420.07	0.0604	505.7	9.103	19.00	9.87	1.43
	57.45	17.44	64.29	0.00	0.0610	11.18	491.9	420.07	0.0605	507.2	9.129	19.06	9.91	1.43
	58.45	17.44	64.34	0.00	0.0610	11.17	491.6	419.52	0.0608	510.2	9.184	19.16	10.00	1.43
	59.45	17.44	64.32	0.00	0.0610	11.17	491.6	419.70	0.0608	510.0	9.181	19.16	10.00	1.43
	60.44	17.44	64.32	0.00	0.0610	11.17	491.4	419.53	0.0609	511.4	9.205	19.21	10.04	1.43
	61.45	17.44	64.32	0.00	0.0609	11.17	491.3	419.39	0.0611	512.8	9.231	19.26	10.08	1.43
	62.44	17.44	64.35	0.00	0.0610	11.16	491.1	419.09	0.0610	512.8	9.231	19.26	10.08	1.43
	63.45	17.44	64.32	0.00	0.0609	11.16	491.1	419.21	0.0612	514.9	9.267	19.34	10.14	1.43
	64.44	17.44	64.34	0.00	0.0610	11.16	491.1	419.13	0.0612	514.9	9.269	19.34	10.14	1.43
	65.45	17.46	64.32	0.00	0.0609	11.16	490.9	419.13	0.0612	515.5	9.279	19.36	10.16	1.43
	66.44	17.44	64.32	0.00	0.0609	11.15	490.6	418.85	0.0613	516.2	9.292	19.39	10.18	1.43
	67.45	17.44	64.32	0.00	0.0610	11.15	490.7	418.91	0.0615	518.5	9.332	19.47	10.24	1.43
	68.44	17.46	64.32	0.00	0.0610	11.15	490.6	418.87	0.0615	518.6	9.336	19.48	10.25	1.43
	69.45	17.48	64.32	0.00	0.0609	11.15	490.5	418.74	0.0616	520.5	9.370	19.55	10.30	1.43
	70.44	17.48	64.32	0.00	0.0609	11.15	490.5	418.77	0.0617	520.9	9.376	19.57	10.31	1.43
	71.45	17.49	64.29	0.00	0.0609	11.14	490.3	418.76	0.0618	522.5	9.405	19.64	10.36	1.43
	72.45	17.48	64.32	0.00	0.0609	11.14	490.2	418.54	0.0620	523.2	9.418	19.65	10.38	1.43
	73.45	17.46	64.32	0.00	0.0609	11.14	490.2	418.48	0.0620	524.2	9.435	19.69	10.41	1.43
	74.53	17.48	64.32	0.00	0.0609	11.14	490.0	418.38	0.0619	524.1	9.434	19.69	10.41	1.43
	75.45	17.49	64.35	0.00	0.0608	11.14	490.0	418.20	0.0620	525.2	9.454	19.72	10.44	1.43
	76.47	17.49	64.32	0.00	0.0609	11.13	489.8	418.24	0.0622	526.6	9.480	19.79	10.48	1.43
	77.45	17.49	64.32	0.00	0.0608	11.13	489.5	417.96	0.0623	528.0	9.504	19.84	10.52	1.43
	78.45	17.49	64.32	0.00	0.0608	11.13	489.7	418.12	0.0623	528.0	9.504	19.84	10.52	1.43
	79.45	17.49	64.34	0.00	0.0608	11.12	489.4	417.69	0.0625	530.4	9.547	19.92	10.58	1.43
	80.45	17.49	64.32	0.00	0.0607	11.12	489.3	417.75	0.0626	533.0	9.593	20.02	10.66	1.43
	81.45	17.51	64.32	0.00	0.0608	11.12	489.5	417.97	0.0625	530.6	9.550	19.93	10.59	1.43
	82.45	17.51	64.32	0.00	0.0608	11.13	489.5	418.01	0.0624	530.4	9.547	19.93	10.59	1.43
	83.45	17.51	64.29	0.00	0.0608	11.12	489.2	417.88	0.0627	533.0	9.594	20.03	10.66	1.43
	84.45	17.51	64.32	0.00	0.0607	11.12	489.2	417.73	0.0627	534.4	9.620	20.08	10.70	1.43
	85.45	17.52	64.32	0.00	0.0608	11.12	489.2	417.72	0.0628	533.9	9.610	20.06	10.69	1.43
	86.45	17.52	64.32	0.00	0.0607	11.11	489.0	417.59	0.0628	534.5	9.621	20.08	10.70	1.43
	87.45	17.52	64.32	0.00	0.0608	11.11	488.7	417.35	0.0629	535.9	9.647	20.14	10.74	1.43
	88.45	17.52	64.32	0.00	0.0608	11.11	488.9	417.46	0.0630	536.5	9.658	20.16	10.76	1.43
	89.44	17.52	64.32	0.00	0.0608	11.11	488.8	417.38	0.0631	537.7	9.678	20.20	10.79	1.43
	90.45	17.52	64.34	0.00	0.0607	11.11	488.7	417.13	0.0631	537.8	9.680	20.20	10.79	1.43
	91.44	17.54	64.32	0.00	0.0607	11.10	488.6	417.26	0.0630	537.3	9.671	20.19	10.78	1.43
	92.45	17.52	64.32	0.00	0.0606	11.10	488.5	417.17	0.0630	537.4	9.673	20.19	10.78	1.43
	93.44	17.54	64.32	0.00	0.0606	11.10	488.6	417.25	0.0633	539.8	9.716	20.28	10.85	1.43
	94.45	17.52	64.32	0.00	0.0607	11.10	488.5	417.13	0.0633	540.3	9.726	20.30	10.87	1.43
	95.44	17.54	64.29	0.00	0.0607	11.10	488.4	417.25	0.0632	539.8	9.716	20.29	10.85	1.43
	96.44	17.56	64.29	0.00	0.0606	11.10	488.4	417.30	0.0632	540.7	9.733	20.33	10.88	1.43
	97.44	17.56	64.32	0.00	0.0607	11.10	488.2	416.97	0.0634	541.8	9.753	20.36	10.91	1.43
	98.44	17.56	64.32	0.00	0.0607	11.10	488.3	417.00	0.0636	543.9	9.790	20.44	10.97	1.43
	99.44	17.57	64.32	0.00	0.0607	11.09	487.9	416.68	0.0638	546.4	9.836	20.53	11.04	1.43
	100.44	17.54	64.32	0.00	0.0606	11.09	488.0	416.74	0.0637	545.4	9.817	20.49	11.01	1.43
	101.44	17.57	64.32	0.00	0.0607	11.09	488.1	416.86	0.0638	546.6	9.838	20.54	11.04	1.43
	102.44	17.57	64.32	0.00	0.0607	11.09	487.9	416.67	0.0639	547.2	9.850	20.56	11.06	1.43
	103.44	17.59	64.32	0.00	0.0606	11.08	487.7	416.58	0.0638	547.1	9.848	20.56	11.06	1.43
	104.44	17.59	64.32	0.00	0.0606	11.09	487.8	416.67	0.0639	548.4	9.870	20.61	11.09	1.43
	105.45	17.56	64.32	0.00	0.0606	11.08	487.7	416.54	0.0640	549.2	9.886	20.64	11.11	1.43
	106.44	17.57	64.32	0.00	0.0606	11.08	487.7	416.52	0.0641	549.8	9.897	20.66	11.13	1.43
	107.53	17.57	64.32	0.00	0.0606	11.08	487.5	416.34	0.0641	549.2	9.886	20.64	11.11	1.43
	108.45	17.57	64.29	0.00	0.0605	11.08	487.4	416.46	0.0641	551.0	9.917	20.71	11.16	1.43
	109.53	17.59	64.32	0.00	0.0606	11.08	487.3	416.24	0.0642	551.8	9.932	20.74	11.18	1.43
	110.45	17.59	64.32	0.00	0.0606	11.08	487.3	416.22	0.0643	552.1	9.938	20.75	11.19	1.43
	111.47	17.59	64.32	0.00	0.0605	11.07	487.0	415.98	0.0643	553.9	9.971	20.82	11.24	1.43
	112.45	17.61	64.32	0.00	0.0605	11.07	487.2	416.13	0.0645	554.2	9.976	20.83	11.25	1.43
	113.47	17.61	64.32	0.00	0.0606	11.07	487.0	415.95	0.0645	556.0	10.008	20.90	11.30	1.43
	114.45	17.61	64.32	0.00	0.0605	11.07	487.0	415.95	0.0645	555.2	9.993	20.87	11.28	1.43
	115.47	17.61	64.32	0.00	0.0605	11.07	487.0	415.95	0.0645	555.7	10.002	20.88	11.29	1.43
	116.45	17.61	64.32	0.00	0.0605	11.06	486.6	415.64	0.0646	555.9	10.005	20.89	11.30	1.43
	117.47	17.61	64.32	0.00	0.0605	11.06	486.7	415.74	0.0647	557.0	10.026	20.93	11.33	1.43
	118.47	17.61	64.30	249.90	0.0605	11.06	486.8	415.97	0.0647	557.8	10.040	20.97	11.35	1.43
	119.47	17.61	64.32	0.00	0.0605	11.06	486.7	415.74	0.0647	558.0	10.044	20.97	11.35	1.43
	120.44	17.62	64.32	0.00	0.0606	11.06	486.6	415.68	0.0647	558.2	10.047	20.98	11.36	1.43
	121.45	17.62	64.32	0.00	0.0605	11.06	486.5	415.58	0.0648	558.6	10.054	20.99	11.37	1.43
	122.44	17.62	64.32	0.00	0.0605	11.06	486.5	415.56	0.0648	559.8	10.077	21.04	11.40	1.43
	123.45	17.62	64.32	0.00	0.0605	11.05	486.2	415.33	0.0649	560.3	10.085	21.06	11.42	1.43
	124.44	17.64	64.32	0.00	0.0605	11.05	486.3	415.42	0.0650	560.8	10.094	21.08	11.43	1.43
