Mar 17 2018 at 8:37:43
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Windy, High light, cold, drizzles, fading PAR
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.66	18.10	64.32	0.00	0.0596	10.83	476.7	407.84	0.0535	427.5	7.695	16.09	7.42	1.42
	1.66	18.12	64.32	0.00	0.0596	10.83	476.5	407.70	0.0537	428.5	7.712	16.13	7.46	1.42
	2.66	18.15	64.32	0.00	0.0595	10.83	476.7	407.91	0.0537	429.7	7.735	16.18	7.50	1.42
	3.66	18.12	64.32	0.00	0.0595	10.83	476.4	407.67	0.0539	430.6	7.751	16.21	7.53	1.42
	4.66	18.12	64.32	0.00	0.0596	10.84	477.0	408.11	0.0541	434.0	7.811	16.34	7.64	1.42
	5.64	18.12	64.32	0.00	0.0596	10.84	476.8	407.96	0.0543	434.1	7.814	16.34	7.65	1.42
	6.66	18.13	64.32	0.00	0.0595	10.84	477.1	408.23	0.0542	435.6	7.840	16.40	7.70	1.42
	7.64	18.13	64.32	0.00	0.0595	10.84	476.9	408.11	0.0541	434.1	7.813	16.34	7.65	1.42
	8.66	18.12	64.32	0.00	0.0596	10.84	476.8	408.01	0.0547	437.0	7.865	16.45	7.74	1.42
	9.64	18.13	64.29	0.00	0.0595	10.83	476.7	408.11	0.0542	435.7	7.843	16.41	7.70	1.42
	10.66	18.15	64.32	0.00	0.0595	10.84	476.8	408.04	0.0543	435.4	7.838	16.40	7.69	1.42
	11.64	18.15	64.32	0.00	0.0595	10.84	477.0	408.19	0.0545	438.6	7.894	16.51	7.80	1.42
	12.66	18.15	64.32	0.00	0.0596	10.84	477.0	408.15	0.0545	438.9	7.899	16.52	7.81	1.42
	13.64	18.15	64.30	0.00	0.0596	10.85	477.2	408.54	0.0548	441.4	7.944	16.62	7.89	1.42
	14.66	18.13	64.32	0.00	0.0596	10.84	476.9	408.08	0.0546	439.3	7.907	16.54	7.82	1.42
	15.64	18.15	64.32	0.00	0.0596	10.84	477.0	408.24	0.0546	439.3	7.907	16.54	7.82	1.42
	16.66	18.17	64.32	0.00	0.0597	10.85	477.5	408.67	0.0550	442.6	7.966	16.66	7.93	1.42
	17.64	18.13	64.32	0.00	0.0596	10.85	477.3	408.40	0.0551	444.0	7.991	16.72	7.98	1.42
	18.66	18.15	64.32	0.00	0.0596	10.85	477.3	408.43	0.0550	443.2	7.978	16.69	7.95	1.42
	19.64	18.17	64.32	0.00	0.0596	10.85	477.2	408.39	0.0550	442.9	7.973	16.68	7.94	1.42
	20.66	18.17	64.32	0.00	0.0596	10.85	477.6	408.74	0.0551	444.3	7.998	16.73	7.99	1.42
	21.64	18.17	64.32	0.00	0.0596	10.86	477.8	408.95	0.0553	447.4	8.054	16.85	8.09	1.42
	22.66	18.17	64.27	0.00	0.0597	10.86	477.7	409.19	0.0554	448.2	8.068	16.89	8.12	1.42
	23.64	18.17	64.32	0.00	0.0597	10.85	477.6	408.69	0.0555	447.4	8.053	16.85	8.09	1.42
	24.66	18.18	64.29	0.00	0.0597	10.86	477.9	409.14	0.0554	448.7	8.077	16.90	8.14	1.42
	25.64	18.18	64.32	0.00	0.0597	10.86	477.9	409.05	0.0555	449.2	8.086	16.92	8.15	1.42
	26.64	18.17	64.32	0.00	0.0596	10.86	477.8	408.94	0.0554	449.0	8.083	16.91	8.15	1.42
	27.64	18.18	64.32	0.00	0.0596	10.86	477.9	409.05	0.0555	449.7	8.094	16.93	8.17	1.42
	28.64	18.18	64.32	0.00	0.0598	10.87	478.1	409.18	0.0556	450.4	8.108	16.96	8.19	1.42
	29.66	18.17	64.32	0.00	0.0596	10.87	478.4	409.43	0.0556	451.8	8.132	17.01	8.23	1.42
	30.64	18.18	64.35	0.00	0.0598	10.87	478.2	409.14	0.0558	452.3	8.141	17.02	8.25	1.42
	31.66	18.18	64.29	0.00	0.0597	10.87	478.1	409.34	0.0558	452.1	8.139	17.03	8.25	1.42
	32.64	18.20	64.32	0.00	0.0597	10.88	478.7	409.72	0.0558	453.0	8.155	17.06	8.28	1.42
	33.66	18.20	64.29	0.00	0.0598	10.88	478.6	409.84	0.0560	453.8	8.168	17.10	8.30	1.42
	34.64	18.22	64.32	0.00	0.0597	10.88	478.6	409.67	0.0559	453.7	8.167	17.09	8.30	1.42
	35.66	18.20	64.30	0.00	0.0599	10.89	479.0	410.11	0.0562	456.1	8.209	17.18	8.38	1.42
	36.64	18.22	64.32	0.00	0.0598	10.89	479.4	410.30	0.0563	458.4	8.251	17.26	8.45	1.42
	37.66	18.22	64.32	0.00	0.0598	10.89	479.2	410.17	0.0561	457.5	8.236	17.23	8.42	1.42
	38.64	18.22	64.32	0.00	0.0598	10.89	479.3	410.24	0.0562	457.9	8.242	17.25	8.44	1.42
	39.66	18.23	64.29	0.00	0.0598	10.91	479.8	410.91	0.0565	461.4	8.306	17.39	8.55	1.42
	40.66	18.22	64.32	0.00	0.0598	10.90	479.5	410.45	0.0563	459.4	8.269	17.30	8.48	1.42
	41.66	18.23	64.30	0.00	0.0598	10.89	479.3	410.40	0.0565	459.5	8.270	17.31	8.49	1.42
	42.66	18.22	64.32	0.00	0.0598	10.90	479.7	410.63	0.0566	462.1	8.317	17.40	8.57	1.42
	43.66	18.22	64.32	0.00	0.0598	10.90	479.5	410.44	0.0565	460.7	8.292	17.35	8.53	1.42
	44.66	18.25	64.30	0.00	0.0598	10.90	479.8	410.87	0.0566	461.4	8.305	17.39	8.55	1.42
	45.66	18.23	64.32	0.00	0.0598	10.91	479.9	410.80	0.0565	461.4	8.305	17.38	8.55	1.42
	46.66	18.23	64.32	0.00	0.0598	10.90	479.7	410.61	0.0566	462.2	8.320	17.41	8.58	1.42
	47.66	18.25	64.34	0.00	0.0599	10.91	480.0	410.75	0.0567	464.0	8.352	17.47	8.63	1.42
	48.66	18.23	64.32	0.00	0.0599	10.91	480.1	410.93	0.0568	464.9	8.369	17.51	8.66	1.42
	49.66	18.23	64.34	0.00	0.0600	10.91	480.0	410.74	0.0569	464.4	8.358	17.48	8.64	1.42
	50.66	18.23	64.32	0.00	0.0599	10.91	480.2	411.06	0.0570	464.8	8.366	17.51	8.66	1.42
	51.66	18.25	64.32	0.00	0.0599	10.91	480.2	411.11	0.0571	465.7	8.382	17.54	8.69	1.42
	52.64	18.25	64.32	0.00	0.0599	10.91	480.1	410.97	0.0572	465.5	8.379	17.53	8.68	1.42
	53.66	18.27	64.32	0.00	0.0599	10.91	480.2	411.09	0.0571	466.8	8.402	17.58	8.72	1.42
	54.64	18.23	64.32	0.00	0.0600	10.91	480.2	411.05	0.0570	466.6	8.399	17.58	8.72	1.42
	55.66	18.25	64.32	0.00	0.0598	10.92	480.4	411.23	0.0571	467.7	8.419	17.62	8.75	1.42
	56.64	18.25	64.32	0.00	0.0599	10.92	480.6	411.38	0.0573	469.4	8.450	17.68	8.81	1.42
	57.66	18.25	64.32	0.00	0.0600	10.92	480.7	411.47	0.0573	469.9	8.459	17.70	8.82	1.42
	58.66	18.23	64.32	0.00	0.0599	10.93	480.8	411.52	0.0574	470.6	8.470	17.72	8.84	1.42
	59.66	18.25	64.34	0.00	0.0599	10.92	480.5	411.23	0.0573	470.2	8.463	17.70	8.83	1.42
	60.66	18.27	64.29	0.00	0.0600	10.92	480.7	411.67	0.0574	471.2	8.482	17.76	8.86	1.42
	61.66	18.27	64.32	0.00	0.0599	10.93	480.9	411.71	0.0575	472.6	8.508	17.80	8.91	1.42
	62.72	18.28	64.32	0.00	0.0600	10.93	480.7	411.59	0.0576	472.4	8.502	17.79	8.90	1.42
	63.66	18.27	64.32	0.00	0.0600	10.93	481.0	411.77	0.0575	472.6	8.507	17.80	8.91	1.42
	64.66	18.27	64.32	0.00	0.0600	10.95	481.6	412.33	0.0577	474.7	8.545	17.88	8.97	1.42
	65.64	18.28	64.32	0.00	0.0600	10.93	481.1	411.88	0.0577	473.8	8.529	17.85	8.94	1.42
	66.66	18.28	64.32	0.00	0.0599	10.94	481.4	412.12	0.0577	474.5	8.540	17.87	8.96	1.42
	67.64	18.30	64.32	0.00	0.0600	10.94	481.3	412.12	0.0579	475.3	8.555	17.91	8.99	1.42
	68.66	18.28	64.30	0.00	0.0600	10.94	481.5	412.37	0.0578	476.1	8.569	17.94	9.01	1.42
	69.64	18.28	64.29	0.00	0.0600	10.94	481.2	412.15	0.0578	475.3	8.556	17.91	8.99	1.42
	70.66	18.28	64.32	0.00	0.0600	10.95	481.9	412.57	0.0581	478.0	8.604	18.01	9.08	1.42
	71.66	18.30	64.32	0.00	0.0601	10.95	481.7	412.45	0.0581	478.9	8.620	18.04	9.10	1.42
	72.66	18.28	64.35	0.00	0.0601	10.95	481.8	412.34	0.0581	478.6	8.615	18.02	9.09	1.42
	73.66	18.30	64.29	0.00	0.0600	10.95	481.7	412.56	0.0581	477.7	8.599	18.00	9.07	1.42
	74.66	18.30	64.32	0.00	0.0601	10.95	481.6	412.36	0.0581	478.3	8.609	18.02	9.08	1.42
	75.64	18.33	64.32	0.00	0.0600	10.95	482.0	412.75	0.0581	479.6	8.633	18.07	9.13	1.42
	76.66	18.33	64.32	0.00	0.0601	10.95	481.9	412.61	0.0581	479.2	8.626	18.06	9.12	1.42
	77.64	18.32	64.32	0.00	0.0600	10.95	481.9	412.63	0.0582	480.2	8.644	18.09	9.15	1.42
	78.66	18.33	64.32	0.00	0.0600	10.96	482.1	412.86	0.0582	480.5	8.649	18.10	9.15	1.42
	79.64	18.32	64.32	0.00	0.0601	10.96	482.3	412.95	0.0583	481.4	8.665	18.14	9.18	1.42
