Mar 17 2018 at 8:19:51
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Windy, High light, cold, drizzles
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.53	15.35	64.32	0.00	0.0591	10.72	471.9	399.94	0.0576	471.7	8.490	17.59	8.73	1.40
	1.55	15.35	64.32	0.00	0.0590	10.75	473.2	401.03	0.0575	474.1	8.534	17.68	8.80	1.40
	2.53	15.37	64.32	0.00	0.0592	10.75	472.9	400.84	0.0579	476.3	8.573	17.76	8.87	1.40
	3.55	15.37	64.32	0.00	0.0592	10.77	473.9	401.71	0.0588	485.3	8.736	18.10	9.15	1.40
	4.53	15.37	64.29	0.00	0.0591	10.75	472.9	401.01	0.0587	488.8	8.798	18.24	9.26	1.40
	5.55	15.37	64.32	0.00	0.0591	10.73	472.1	400.17	0.0587	487.4	8.774	18.18	9.22	1.40
	6.61	15.37	64.32	0.00	0.0588	10.68	469.8	398.24	0.0582	482.6	8.687	18.00	9.07	1.40
	7.55	15.39	64.32	0.00	0.0589	10.69	470.2	398.54	0.0586	486.9	8.764	18.16	9.20	1.40
	8.61	15.37	64.32	0.00	0.0590	10.72	471.6	399.73	0.0597	496.7	8.940	18.52	9.49	1.40
	9.55	15.37	64.32	0.00	0.0591	10.72	471.6	399.73	0.0601	505.3	9.095	18.84	9.75	1.40
	10.55	15.37	64.32	0.00	0.0590	10.72	471.5	399.63	0.0599	498.6	8.975	18.59	9.55	1.40
	11.53	15.37	64.35	0.00	0.0590	10.70	470.8	398.90	0.0598	501.3	9.023	18.69	9.63	1.40
	12.55	15.39	64.32	0.00	0.0591	10.70	470.7	398.95	0.0615	510.3	9.186	19.03	9.90	1.40
	13.55	15.39	64.32	0.00	0.0591	10.71	471.2	399.43	0.0616	517.2	9.310	19.29	10.10	1.40
	14.55	15.40	64.32	0.00	0.0590	10.70	470.6	398.94	0.0610	514.9	9.269	19.21	10.03	1.40
	15.53	15.39	64.32	0.00	0.0590	10.70	470.8	399.05	0.0612	513.7	9.246	19.16	10.00	1.40
	16.55	15.39	64.29	0.00	0.0588	10.66	469.2	397.87	0.0611	527.8	9.501	19.69	10.40	1.40
	17.53	15.40	64.32	0.00	0.0589	10.68	469.9	398.29	0.0608	511.7	9.210	19.08	9.94	1.40
	18.55	15.40	64.32	0.00	0.0590	10.68	470.0	398.39	0.0608	510.8	9.195	19.05	9.92	1.40
	19.53	15.39	64.29	0.00	0.0589	10.67	469.7	398.29	0.0608	511.6	9.209	19.09	9.94	1.40
	20.55	15.40	64.32	0.00	0.0588	10.67	469.4	397.87	0.0611	512.7	9.229	19.12	9.97	1.40
	21.53	15.40	64.30	0.00	0.0587	10.62	467.5	396.42	0.0626	530.1	9.542	19.78	10.47	1.40
	22.55	15.39	64.30	0.00	0.0588	10.65	468.5	397.23	0.0620	524.0	9.433	19.55	10.30	1.40
	23.55	15.40	64.32	0.00	0.0588	10.64	468.3	396.97	0.0625	526.4	9.475	19.63	10.36	1.40
	24.53	15.40	64.32	0.00	0.0589	10.65	468.8	397.37	0.0618	526.0	9.468	19.62	10.35	1.40
	25.55	15.39	64.32	0.00	0.0587	10.65	468.5	397.15	0.0622	526.4	9.476	19.63	10.36	1.40
	26.53	15.42	64.29	0.00	0.0587	10.63	467.8	396.74	0.0631	534.1	9.613	19.93	10.58	1.40
	27.55	15.42	64.32	0.00	0.0587	10.63	467.9	396.65	0.0623	527.9	9.502	19.69	10.41	1.40
	28.53	15.42	64.32	0.00	0.0587	10.64	468.1	396.82	0.0622	527.3	9.492	19.67	10.39	1.40
	29.53	15.42	64.32	0.00	0.0586	10.63	467.7	396.49	0.0623	528.4	9.511	19.71	10.42	1.40
	30.53	15.42	64.32	0.00	0.0587	10.63	467.7	396.51	0.0625	529.3	9.528	19.74	10.45	1.40
	31.53	15.44	64.32	0.00	0.0587	10.62	467.3	396.18	0.0627	532.1	9.578	19.85	10.53	1.40
	32.53	15.42	64.29	0.00	0.0586	10.62	467.2	396.22	0.0627	532.0	9.576	19.85	10.52	1.40
	33.53	15.42	64.32	0.00	0.0586	10.59	466.2	395.20	0.0632	538.9	9.700	20.10	10.72	1.41
	34.53	15.44	64.32	0.00	0.0586	10.60	466.6	395.59	0.0629	536.3	9.654	20.01	10.65	1.40
	35.53	15.44	64.32	0.00	0.0585	10.60	466.4	395.39	0.0633	540.4	9.727	20.16	10.76	1.40
	36.61	15.44	64.27	0.00	0.0585	10.59	466.2	395.51	0.0635	540.2	9.723	20.17	10.75	1.40
	37.53	15.42	64.32	0.00	0.0585	10.59	466.0	395.06	0.0633	540.8	9.734	20.17	10.77	1.40
	38.55	15.44	64.32	0.00	0.0586	10.59	466.1	395.14	0.0633	541.5	9.746	20.20	10.79	1.40
	39.53	15.45	64.32	0.00	0.0586	10.59	465.9	395.04	0.0636	544.5	9.800	20.31	10.87	1.41
