Mar 17 2018 at 8:28:45
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Windy, High light, cold, drizzles, REDO foro weak signall and high CO2 conc
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.67	16.57	64.32	0.00	0.0594	10.81	475.6	404.79	0.0569	472.3	8.502	17.69	8.81	1.42
	1.73	16.57	64.29	0.00	0.0595	10.81	475.7	405.06	0.0573	468.3	8.429	17.54	8.68	1.42
	2.67	16.57	64.32	0.00	0.0595	10.82	476.0	405.16	0.0569	465.2	8.374	17.42	8.59	1.42
	3.67	16.57	64.32	0.00	0.0595	10.81	475.8	404.98	0.0569	465.9	8.385	17.45	8.61	1.42
	4.67	16.57	64.34	0.00	0.0594	10.81	475.7	404.78	0.0571	468.1	8.425	17.52	8.68	1.42
	5.67	16.57	64.32	0.00	0.0595	10.81	475.7	404.87	0.0573	470.1	8.462	17.61	8.74	1.42
	6.67	16.57	64.29	0.00	0.0594	10.79	474.9	404.33	0.0574	470.8	8.474	17.64	8.76	1.42
	7.67	16.57	64.29	0.00	0.0594	10.79	474.8	404.30	0.0576	472.4	8.503	17.70	8.81	1.42
	8.67	16.59	64.32	0.00	0.0594	10.80	475.2	404.46	0.0576	473.1	8.515	17.72	8.83	1.42
	9.67	16.59	64.29	0.00	0.0593	10.81	475.7	405.09	0.0576	474.9	8.548	17.79	8.89	1.42
	10.66	16.59	64.29	0.00	0.0594	10.81	475.7	405.05	0.0578	476.0	8.567	17.83	8.93	1.42
	11.67	16.59	64.29	0.00	0.0594	10.81	475.5	404.86	0.0579	476.7	8.581	17.86	8.95	1.42
	12.66	16.59	64.27	0.00	0.0595	10.81	475.6	405.17	0.0583	478.2	8.608	17.92	9.00	1.42
	13.67	16.61	64.32	0.00	0.0595	10.81	475.8	404.99	0.0584	489.5	8.810	18.33	9.34	1.42
	14.66	16.61	64.29	0.00	0.0594	10.81	475.7	405.05	0.0582	480.0	8.641	17.99	9.05	1.42
	15.67	16.61	64.29	0.00	0.0595	10.81	475.5	404.93	0.0583	481.2	8.661	18.03	9.09	1.42
	16.67	16.61	64.32	0.00	0.0595	10.82	476.1	405.27	0.0587	484.3	8.717	18.14	9.18	1.42
	17.66	16.61	64.32	0.00	0.0595	10.82	476.0	405.17	0.0586	484.6	8.723	18.15	9.19	1.42
	18.67	16.61	64.37	0.00	0.0595	10.81	475.7	404.63	0.0588	486.8	8.763	18.22	9.26	1.42
	19.66	16.61	64.32	0.00	0.0594	10.81	475.6	404.85	0.0588	486.4	8.755	18.22	9.25	1.42
	20.67	16.61	64.29	0.00	0.0595	10.82	475.9	405.24	0.0592	492.9	8.871	18.47	9.44	1.42
	21.66	16.61	64.29	0.00	0.0595	10.82	476.1	405.41	0.0590	490.7	8.833	18.39	9.38	1.42
	22.67	16.61	64.27	0.00	0.0595	10.82	476.0	405.45	0.0589	488.7	8.796	18.32	9.32	1.42
	23.66	16.62	64.29	0.00	0.0595	10.83	476.3	405.65	0.0593	491.7	8.851	18.42	9.41	1.42
	24.67	16.62	64.29	0.00	0.0596	10.83	476.5	405.81	0.0592	491.6	8.848	18.42	9.41	1.42
	25.66	16.62	64.27	0.00	0.0595	10.83	476.6	406.01	0.0592	492.4	8.863	18.46	9.43	1.42
	26.67	16.62	64.29	0.00	0.0595	10.84	476.9	406.11	0.0595	495.0	8.911	18.55	9.51	1.42
	27.66	16.61	64.34	0.00	0.0596	10.83	476.5	405.49	0.0594	493.5	8.883	18.48	9.46	1.42
	28.67	16.62	64.29	0.00	0.0595	10.83	476.6	405.91	0.0595	494.2	8.896	18.52	9.48	1.42
	29.73	16.62	64.29	0.00	0.0595	10.84	476.8	406.07	0.0595	495.9	8.927	18.58	9.54	1.42
	30.67	16.61	64.30	0.00	0.0596	10.84	477.0	406.18	0.0598	498.5	8.972	18.68	9.61	1.42
	31.69	16.64	64.32	0.00	0.0597	10.84	477.1	406.14	0.0599	500.7	9.012	18.75	9.68	1.42
	32.67	16.62	64.32	0.00	0.0595	10.85	477.2	406.24	0.0598	499.0	8.982	18.69	9.63	1.42
	33.69	16.61	64.28	0.00	0.0597	10.84	477.1	406.43	0.0599	499.5	8.990	18.72	9.64	1.42
	34.67	16.64	64.29	0.00	0.0595	10.84	477.1	406.34	0.0599	500.9	9.016	18.77	9.69	1.42
	35.67	16.64	64.32	0.00	0.0596	10.84	476.9	406.04	0.0601	502.3	9.042	18.82	9.73	1.42
	36.67	16.66	64.29	0.00	0.0596	10.85	477.2	406.43	0.0602	502.7	9.049	18.84	9.74	1.42
	37.67	16.66	64.29	0.00	0.0596	10.85	477.3	406.56	0.0602	503.3	9.059	18.86	9.76	1.42
	38.67	16.66	64.29	0.00	0.0596	10.85	477.4	406.64	0.0603	505.1	9.092	18.93	9.81	1.42
	39.67	16.66	64.32	0.00	0.0596	10.85	477.3	406.34	0.0605	507.1	9.127	18.99	9.87	1.42
	40.66	16.66	64.32	0.00	0.0598	10.85	477.3	406.34	0.0605	506.5	9.116	18.97	9.85	1.42
	41.67	16.66	64.32	0.00	0.0595	10.86	477.7	406.72	0.0606	508.5	9.152	19.05	9.91	1.42
	42.66	16.66	64.32	0.00	0.0596	10.86	477.6	406.63	0.0606	508.0	9.144	19.03	9.90	1.42
	43.67	16.66	64.29	0.00	0.0597	10.85	477.6	406.75	0.0605	508.7	9.156	19.06	9.92	1.42
	44.73	16.64	64.32	0.00	0.0597	10.86	477.7	406.64	0.0607	509.3	9.167	19.08	9.93	1.42
	45.67	16.67	64.32	0.00	0.0596	10.85	477.5	406.59	0.0607	510.5	9.189	19.12	9.97	1.42
	46.67	16.67	64.29	0.00	0.0597	10.86	477.6	406.82	0.0609	510.9	9.197	19.15	9.98	1.42
	47.67	16.67	64.35	0.00	0.0597	10.87	478.2	406.99	0.0611	515.0	9.271	19.29	10.10	1.42
	48.67	16.67	64.32	0.00	0.0597	10.86	477.8	406.80	0.0611	512.6	9.226	19.20	10.03	1.42
	49.67	16.67	64.29	0.00	0.0596	10.86	477.8	406.97	0.0608	512.3	9.222	19.20	10.02	1.42
	50.67	16.67	64.32	0.00	0.0597	10.86	477.9	406.91	0.0611	513.5	9.243	19.24	10.06	1.42
	51.67	16.69	64.29	0.00	0.0596	10.86	477.8	406.96	0.0610	514.3	9.257	19.27	10.08	1.42
	52.67	16.71	64.29	0.00	0.0596	10.86	478.0	407.17	0.0612	514.9	9.268	19.30	10.10	1.42
	53.67	16.67	64.32	0.00	0.0597	10.86	478.0	406.95	0.0613	515.1	9.271	19.30	10.10	1.42
	54.67	16.69	64.30	0.00	0.0597	10.86	478.0	407.17	0.0613	516.2	9.292	19.35	10.14	1.43
	55.75	16.72	64.32	0.00	0.0596	10.86	478.1	407.10	0.0615	516.5	9.298	19.35	10.15	1.42
	56.67	16.69	64.29	0.00	0.0598	10.87	478.3	407.46	0.0615	518.5	9.334	19.43	10.21	1.42
	57.67	16.69	64.32	0.00	0.0598	10.88	478.5	407.43	0.0616	519.8	9.356	19.47	10.24	1.42
	58.67	16.67	64.32	0.00	0.0598	10.87	478.2	407.18	0.0616	518.9	9.341	19.44	10.22	1.42
	59.67	16.69	64.32	0.00	0.0596	10.87	478.3	407.24	0.0617	519.5	9.352	19.46	10.23	1.42
	60.67	16.69	64.32	0.00	0.0597	10.87	478.4	407.40	0.0616	521.3	9.383	19.53	10.28	1.43
	61.67	16.69	64.29	0.00	0.0599	10.87	478.4	407.51	0.0618	522.0	9.395	19.56	10.30	1.43
	62.67	16.71	64.29	0.00	0.0597	10.87	478.3	407.48	0.0619	524.8	9.446	19.67	10.38	1.42
	63.67	16.71	64.32	0.00	0.0597	10.87	478.4	407.39	0.0618	522.7	9.409	19.58	10.33	1.42
	64.67	16.69	64.32	0.00	0.0597	10.87	478.2	407.16	0.0619	522.4	9.404	19.57	10.32	1.42
	65.67	16.71	64.29	0.00	0.0598	10.88	478.6	407.66	0.0620	523.5	9.423	19.62	10.35	1.42
	66.67	16.71	64.29	0.00	0.0597	10.88	478.7	407.79	0.0620	524.9	9.449	19.68	10.39	1.43
	67.67	16.75	64.32	0.00	0.0598	10.88	478.9	407.88	0.0621	527.2	9.489	19.75	10.46	1.42
	68.67	16.72	64.29	0.00	0.0598	10.88	478.8	407.91	0.0622	525.7	9.463	19.71	10.41	1.42
	69.67	16.74	64.29	0.00	0.0598	10.88	478.9	408.00	0.0622	527.2	9.489	19.76	10.46	1.42
	70.67	16.72	64.29	0.00	0.0597	10.88	478.9	407.98	0.0622	527.2	9.489	19.76	10.45	1.42
	71.69	16.74	64.32	0.00	0.0599	10.88	478.9	407.83	0.0623	527.3	9.491	19.76	10.46	1.42
	72.75	16.72	64.32	0.00	0.0599	10.89	479.0	407.96	0.0624	528.5	9.512	19.80	10.49	1.43
	73.67	16.72	64.32	0.00	0.0597	10.89	479.1	407.96	0.0623	529.6	9.533	19.84	10.52	1.43
	74.69	16.74	64.29	0.00	0.0598	10.89	479.1	408.16	0.0625	529.3	9.528	19.84	10.52	1.42
	75.67	16.74	64.32	0.00	0.0597	10.89	479.3	408.20	0.0624	530.5	9.548	19.88	10.55	1.42
	76.69	16.74	64.29	0.00	0.0598	10.90	479.5	408.51	0.0626	531.2	9.562	19.91	10.57	1.42
	77.67	16.74	64.32	0.00	0.0599	10.89	479.3	408.21	0.0627	531.2	9.562	19.90	10.57	1.42
	78.69	16.74	64.32	0.00	0.0598	10.90	479.5	408.35	0.0628	533.9	9.610	20.01	10.64	1.43
	79.67	16.74	64.29	0.00	0.0598	10.90	479.5	408.55	0.0627	533.0	9.594	19.98	10.62	1.42
	80.69	16.75	64.29	0.00	0.0599	10.90	479.7	408.67	0.0627	532.8	9.590	19.97	10.61	1.42
