Mar 17 2018 at 8:18:28
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Windy, High light, cold, drizzles
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.66	15.19	64.32	0.00	0.0595	10.87	478.2	405.05	0.0535	416.6	7.498	15.53	6.90	1.40
	1.64	15.21	64.32	0.00	0.0591	10.96	482.2	408.45	0.0567	448.3	8.069	16.71	7.97	1.40
	2.64	15.21	64.32	0.00	0.0591	10.72	471.9	399.75	0.0553	440.5	7.929	16.42	7.71	1.40
	3.64	15.19	64.32	0.00	0.0593	10.77	473.9	401.42	0.0529	428.4	7.711	15.97	7.30	1.40
	4.64	15.21	64.29	0.00	0.0587	10.74	472.4	400.37	0.0559	432.0	7.776	16.11	7.43	1.40
	5.64	15.21	64.29	0.00	0.0589	10.60	466.3	395.16	0.0557	481.1	8.660	17.94	9.01	1.40
	6.64	15.21	64.32	0.00	0.0603	10.73	472.0	399.84	0.0547	453.1	8.155	16.89	8.13	1.40
	7.66	15.21	64.29	0.00	0.0591	10.83	476.6	403.93	0.0545	431.1	7.760	16.07	7.40	1.40
	8.64	15.22	64.32	0.00	0.0600	10.76	473.3	401.00	0.0549	448.9	8.080	16.73	7.99	1.40
	9.66	15.22	64.32	0.00	0.0588	10.83	476.7	403.87	0.0562	416.0	7.489	15.51	6.88	1.40
	10.64	15.22	64.32	0.00	0.0591	10.68	469.8	398.03	0.0557	456.7	8.221	17.02	8.25	1.40
	11.66	15.22	64.32	0.00	0.0586	10.70	471.0	399.02	0.0592	474.7	8.544	17.69	8.82	1.40
	12.64	15.22	64.32	0.00	0.0618	11.02	485.0	410.88	0.0530	412.8	7.430	15.39	6.76	1.40
	13.66	15.22	64.32	0.00	0.0590	10.71	471.3	399.30	0.0577	473.9	8.530	17.67	8.79	1.40
	14.64	15.22	64.32	0.00	0.0588	10.62	467.4	395.99	0.0588	497.9	8.962	18.56	9.52	1.40
	15.64	15.21	64.32	0.00	0.0622	11.25	495.0	419.30	0.0535	432.1	7.778	16.11	7.43	1.40
	16.64	15.21	64.32	0.00	0.0601	11.12	489.2	414.37	0.0532	422.8	7.611	15.76	7.11	1.40
	17.64	15.21	64.32	0.00	0.0620	11.32	498.3	422.10	0.0531	413.3	7.439	15.40	6.78	1.40
	18.64	15.22	64.32	0.00	0.0590	10.98	483.3	409.42	0.0550	426.6	7.680	15.90	7.25	1.40
	19.64	15.21	64.32	0.00	0.0609	11.39	501.1	424.46	0.0535	423.7	7.627	15.79	7.15	1.40
	20.72	15.21	64.34	0.00	0.0597	10.96	482.1	408.27	0.0546	433.6	7.804	16.15	7.48	1.40
	21.64	15.24	64.32	0.00	0.0595	10.78	474.3	401.80	0.0550	445.4	8.018	16.60	7.88	1.40
	22.66	15.24	64.32	0.00	0.0591	10.73	472.2	400.03	0.0560	447.5	8.055	16.68	7.95	1.40
	23.64	15.24	64.32	0.00	0.0592	10.82	476.3	403.49	0.0555	428.0	7.705	15.96	7.30	1.40
	24.66	15.24	64.32	0.00	0.0599	10.73	472.1	400.01	0.0531	467.9	8.421	17.44	8.60	1.40
	25.64	15.26	64.32	0.00	0.0607	10.67	469.3	397.62	0.0549	481.6	8.668	17.95	9.03	1.40
	26.66	15.26	64.32	0.00	0.0592	10.80	475.1	402.55	0.0565	463.3	8.340	17.27	8.46	1.40
	27.64	15.27	64.32	0.00	0.0598	10.96	482.3	408.62	0.0529	409.5	7.370	15.27	6.65	1.40
	28.64	15.26	64.32	0.00	0.0601	10.82	476.2	403.46	0.0509	420.5	7.570	15.68	7.04	1.40
	29.64	15.26	64.27	0.00	0.0601	10.97	482.7	409.31	0.0528	408.7	7.356	15.25	6.62	1.40
	30.64	15.26	64.32	0.00	0.0597	10.96	482.3	408.60	0.0535	395.2	7.113	14.73	6.13	1.40
	31.64	15.26	64.32	0.00	0.0595	10.81	475.5	402.90	0.0528	431.7	7.770	16.09	7.42	1.40
	32.64	15.24	64.27	0.00	0.0598	10.86	477.7	405.07	0.0505	397.3	7.151	14.82	6.21	1.40
	33.64	15.26	64.32	0.00	0.0593	10.76	473.3	401.00	0.0535	427.4	7.692	15.93	7.27	1.40
	34.64	15.27	64.29	0.00	0.0592	10.73	472.2	400.29	0.0544	441.6	7.949	16.47	7.75	1.40
	35.64	15.27	64.32	0.00	0.0592	10.76	473.3	401.02	0.0548	440.9	7.937	16.44	7.73	1.40
	36.64	15.27	64.32	0.00	0.0601	10.96	482.4	408.74	0.0500	381.8	6.873	14.23	5.64	1.40
	37.64	15.27	64.29	0.00	0.0599	10.88	478.8	405.89	0.0510	404.2	7.276	15.08	6.46	1.40
	38.64	15.27	64.32	0.00	0.0593	10.89	479.3	406.11	0.0553	399.1	7.185	14.88	6.28	1.40
	39.64	15.27	64.32	0.00	0.0597	10.90	479.8	406.52	0.0517	408.0	7.345	15.21	6.60	1.40
	40.64	15.27	64.32	0.00	0.0592	10.82	476.0	403.35	0.0558	430.6	7.751	16.05	7.38	1.40
	41.64	15.27	64.32	0.00	0.0598	10.72	471.5	399.50	0.0512	465.9	8.386	17.37	8.54	1.40
	42.64	15.27	64.32	0.00	0.0598	10.88	478.6	405.52	0.0515	406.3	7.313	15.15	6.54	1.40
	43.66	15.27	64.32	0.00	0.0595	10.84	477.1	404.29	0.0519	409.2	7.366	15.26	6.64	1.40
	44.64	15.29	64.32	0.00	0.0598	10.89	479.2	406.04	0.0514	394.2	7.095	14.70	6.10	1.40
	45.66	15.29	64.32	0.00	0.0598	10.92	480.4	407.10	0.0519	408.8	7.359	15.24	6.63	1.40
	46.62	15.29	64.29	0.00	0.0597	10.86	477.8	405.01	0.0526	423.0	7.613	15.78	7.12	1.40
	47.64	15.31	64.29	0.00	0.0596	10.83	476.4	403.86	0.0518	408.2	7.348	15.23	6.61	1.40
	48.64	15.29	64.32	0.00	0.0590	10.74	472.8	400.61	0.0542	429.2	7.726	16.00	7.34	1.40
	49.64	15.31	64.32	0.00	0.0588	10.58	465.4	394.41	0.0562	502.4	9.043	18.73	9.66	1.40
