Mar 17 2018 at 8:24:22
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Windy, High light, cold, drizzles
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.25	15.97	64.29	0.00	0.0642	11.94	525.3	446.32	0.0569	462.8	8.330	17.30	8.48	1.42
	1.25	15.97	64.32	0.00	0.0641	11.94	525.3	446.15	0.0567	463.1	8.336	17.31	8.49	1.42
	2.25	15.94	64.32	0.00	0.0642	11.94	525.2	446.07	0.0572	466.1	8.390	17.42	8.58	1.42
	3.25	15.97	64.35	0.00	0.0642	11.93	524.9	445.65	0.0569	464.3	8.358	17.35	8.53	1.42
	4.25	15.97	64.29	0.00	0.0642	11.93	525.0	446.12	0.0575	471.6	8.489	17.63	8.76	1.42
	5.24	15.97	64.32	0.00	0.0641	11.94	525.2	446.08	0.0572	469.4	8.450	17.54	8.69	1.42
	6.25	15.97	64.35	0.00	0.0642	11.94	525.2	445.91	0.0573	469.9	8.458	17.55	8.70	1.42
	7.25	16.00	64.32	0.00	0.0642	11.93	525.0	445.97	0.0579	476.6	8.578	17.81	8.91	1.42
	8.25	15.99	64.29	0.00	0.0642	11.94	525.4	446.49	0.0576	474.7	8.545	17.75	8.86	1.42
	9.25	15.99	64.32	0.00	0.0642	11.94	525.3	446.23	0.0580	474.8	8.546	17.75	8.86	1.42
	10.25	15.97	64.29	0.00	0.0642	11.94	525.2	446.26	0.0580	476.8	8.582	17.83	8.92	1.42
	11.25	15.99	64.32	0.00	0.0642	11.94	525.3	446.22	0.0585	481.4	8.665	17.99	9.06	1.42
	12.25	15.99	64.32	0.00	0.0642	11.94	525.5	446.35	0.0581	479.2	8.626	17.91	9.00	1.42
	13.25	15.97	64.29	0.00	0.0642	11.94	525.5	446.50	0.0582	479.9	8.637	17.94	9.01	1.42
	14.25	15.99	64.27	0.00	0.0642	11.94	525.5	446.73	0.0584	480.7	8.653	17.98	9.04	1.42
	15.25	15.99	64.32	0.00	0.0642	11.95	525.7	446.52	0.0584	482.6	8.686	18.03	9.10	1.42
	16.48	16.00	64.34	0.00	0.0642	11.95	525.8	446.52	0.0586	483.9	8.710	18.08	9.14	1.42
	17.25	16.00	64.32	0.00	0.0644	11.95	526.0	446.78	0.0587	486.2	8.751	18.17	9.21	1.42
	18.23	16.00	64.32	0.00	0.0643	11.95	525.9	446.75	0.0588	486.3	8.754	18.18	9.21	1.42
	19.25	16.00	64.29	0.00	0.0642	11.95	525.9	446.94	0.0588	486.6	8.759	18.19	9.22	1.42
	20.23	16.00	64.32	0.00	0.0643	11.96	526.4	447.12	0.0593	492.1	8.859	18.39	9.39	1.42
	21.25	16.02	64.29	0.00	0.0643	11.96	526.1	447.08	0.0590	490.1	8.822	18.33	9.33	1.42
	22.33	16.00	64.29	0.00	0.0643	11.96	526.3	447.28	0.0592	491.5	8.847	18.38	9.37	1.42
	23.25	16.02	64.29	0.00	0.0644	11.97	526.8	447.70	0.0594	496.0	8.929	18.55	9.51	1.42
