Mar 17 2018 at 8:04:40
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Windy, High light, cold
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.47	13.19	64.32	0.00	0.0597	10.87	478.1	402.22	0.0540	434.5	7.822	16.08	7.41	1.36
	1.47	13.19	64.32	0.00	0.0597	10.86	477.8	401.99	0.0543	436.2	7.851	16.14	7.47	1.36
	2.47	13.17	64.29	0.00	0.0595	10.86	477.9	402.17	0.0545	438.5	7.893	16.24	7.54	1.36
	3.47	13.20	64.32	0.00	0.0596	10.85	477.3	401.54	0.0549	442.3	7.961	16.37	7.67	1.36
	4.45	13.19	64.34	0.00	0.0595	10.85	477.3	401.40	0.0551	440.6	7.931	16.30	7.61	1.36
	5.53	13.20	64.32	0.00	0.0595	10.82	476.0	400.44	0.0556	453.5	8.162	16.78	8.04	1.36
	6.45	13.19	64.29	0.00	0.0597	10.82	476.1	400.64	0.0558	452.2	8.139	16.74	7.99	1.36
	7.53	13.20	64.32	0.00	0.0596	10.82	475.9	400.37	0.0558	453.5	8.163	16.79	8.04	1.36
	8.45	13.20	64.32	0.00	0.0595	10.82	476.1	400.54	0.0558	452.9	8.152	16.76	8.02	1.36
	9.47	13.20	64.32	0.00	0.0594	10.80	475.2	399.75	0.0562	458.3	8.250	16.96	8.19	1.36
	10.45	13.20	64.29	0.00	0.0593	10.81	475.8	400.41	0.0559	456.1	8.210	16.89	8.12	1.36
	11.47	13.19	64.29	0.00	0.0594	10.80	475.2	399.86	0.0565	460.2	8.284	17.04	8.25	1.36
	12.45	13.20	64.29	0.00	0.0595	10.80	475.2	399.90	0.0563	460.0	8.279	17.03	8.25	1.36
	13.47	13.22	64.32	0.00	0.0593	10.79	474.8	399.43	0.0568	463.9	8.351	17.17	8.37	1.36
	14.45	13.20	64.29	0.00	0.0592	10.78	474.5	399.33	0.0570	464.7	8.365	17.21	8.40	1.36
	15.45	13.22	64.29	0.00	0.0593	10.76	473.6	398.56	0.0574	469.8	8.456	17.40	8.56	1.36
	16.45	13.22	64.32	0.00	0.0592	10.78	474.2	398.94	0.0571	469.6	8.453	17.38	8.55	1.36
	17.45	13.22	64.32	0.00	0.0592	10.77	473.7	398.49	0.0574	472.3	8.502	17.48	8.64	1.36
	18.45	13.22	64.32	0.00	0.0592	10.76	473.5	398.36	0.0575	475.5	8.559	17.60	8.74	1.36
	19.45	13.22	64.32	0.00	0.0593	10.76	473.6	398.42	0.0588	476.6	8.579	17.64	8.77	1.36
	20.47	13.22	64.29	0.00	0.0591	10.73	472.1	397.36	0.0595	504.5	9.080	18.68	9.62	1.36
	21.47	13.22	64.32	0.00	0.0592	10.74	472.7	397.66	0.0584	482.5	8.685	17.86	8.95	1.36
	22.47	13.24	64.32	0.00	0.0591	10.74	472.7	397.70	0.0581	482.0	8.677	17.84	8.94	1.36
	23.47	13.25	64.29	0.00	0.0592	10.76	473.5	398.53	0.0582	478.2	8.607	17.71	8.82	1.36
	28.14	13.24	64.29	0.00	0.0589	10.74	472.5	397.71	0.0587	483.1	8.695	17.89	8.97	1.36
	28.14	13.24	64.32	0.00	0.0591	10.73	472.1	397.20	0.0588	488.4	8.791	18.08	9.14	1.36
	28.14	13.24	64.32	0.00	0.0589	10.73	472.0	397.10	0.0590	493.0	8.875	18.25	9.28	1.36
	28.14	13.24	64.32	0.00	0.0590	10.72	471.8	396.93	0.0591	491.7	8.851	18.20	9.24	1.36
	28.55	13.25	64.29	0.00	0.0589	10.72	471.8	397.10	0.0590	492.8	8.870	18.25	9.27	1.36
	29.47	13.25	64.29	0.00	0.0590	10.72	471.6	396.91	0.0595	497.4	8.954	18.42	9.41	1.36
	30.55	13.27	64.29	0.00	0.0591	10.73	472.3	397.55	0.0592	489.3	8.808	18.12	9.16	1.36
	31.47	13.25	64.32	0.00	0.0591	10.72	471.8	396.92	0.0591	490.8	8.835	18.17	9.21	1.36
	32.47	13.25	64.32	0.00	0.0591	10.71	471.1	396.33	0.0596	497.1	8.948	18.40	9.40	1.36
	33.47	13.25	64.32	0.00	0.0590	10.71	471.1	396.40	0.0600	500.6	9.010	18.53	9.50	1.36
	34.47	13.25	64.29	0.00	0.0590	10.70	470.9	396.33	0.0599	499.8	8.997	18.51	9.48	1.36
	35.47	13.25	64.32	0.00	0.0589	10.69	470.2	395.62	0.0602	505.9	9.106	18.73	9.66	1.36
	36.47	13.27	64.32	0.00	0.0590	10.69	470.4	395.79	0.0602	502.7	9.048	18.61	9.56	1.36
	37.47	13.27	64.29	0.00	0.0590	10.70	470.7	396.18	0.0601	501.1	9.019	18.56	9.52	1.36
	38.47	13.27	64.32	0.00	0.0590	10.67	469.3	394.91	0.0608	511.9	9.214	18.95	9.84	1.36
	39.47	13.27	64.29	0.00	0.0588	10.67	469.5	395.18	0.0606	507.4	9.133	18.79	9.70	1.36
	40.47	13.27	64.29	0.00	0.0588	10.67	469.3	395.07	0.0605	507.4	9.133	18.79	9.70	1.36
	41.47	13.28	64.32	0.00	0.0587	10.65	468.8	394.45	0.0608	511.7	9.210	18.95	9.83	1.36
	42.47	13.28	64.29	0.00	0.0587	10.64	468.1	394.06	0.0609	512.1	9.217	18.97	9.84	1.36
	43.47	13.27	64.32	0.00	0.0587	10.63	467.8	393.58	0.0609	512.0	9.217	18.96	9.84	1.36
	44.47	13.28	64.32	0.00	0.0587	10.64	468.3	394.04	0.0608	509.3	9.168	18.86	9.76	1.36
	45.45	13.28	64.35	0.00	0.0588	10.63	467.9	393.55	0.0608	513.2	9.238	18.99	9.87	1.36
	46.47	13.30	64.32	0.00	0.0587	10.63	467.6	393.45	0.0613	514.0	9.253	19.03	9.90	1.36
	47.45	13.27	64.29	0.00	0.0587	10.61	466.8	392.91	0.0613	516.9	9.305	19.15	9.98	1.36
	48.47	13.28	64.29	0.00	0.0586	10.62	467.1	393.24	0.0613	514.3	9.257	19.05	9.91	1.37
	49.45	13.28	64.32	0.00	0.0585	10.60	466.5	392.51	0.0614	516.8	9.302	19.13	9.98	1.37
	50.47	13.32	64.32	0.00	0.0585	10.60	466.5	392.61	0.0614	515.1	9.272	19.07	9.93	1.36
	51.53	13.28	64.29	0.00	0.0585	10.57	465.2	391.64	0.0616	520.9	9.377	19.29	10.10	1.36
	52.47	13.32	64.29	0.00	0.0584	10.57	465.2	391.66	0.0617	518.0	9.324	19.19	10.02	1.36
	53.53	13.32	64.32	0.00	0.0583	10.55	464.3	390.75	0.0616	521.4	9.385	19.31	10.11	1.36
	54.47	13.30	64.32	0.00	0.0583	10.55	464.4	390.76	0.0616	517.8	9.320	19.17	10.01	1.37
	55.47	13.30	64.32	0.00	0.0582	10.54	463.8	390.33	0.0617	521.1	9.381	19.30	10.10	1.36
	56.45	13.32	64.29	0.00	0.0582	10.53	463.3	390.04	0.0620	523.1	9.416	19.38	10.16	1.36
	57.47	13.30	64.32	0.00	0.0582	10.51	462.6	389.32	0.0615	521.0	9.378	19.29	10.10	1.37
	58.45	13.32	64.32	0.00	0.0580	10.49	461.8	388.61	0.0616	520.6	9.371	19.28	10.09	1.36
	59.47	13.32	64.29	0.00	0.0581	10.48	461.2	388.29	0.0615	519.6	9.352	19.25	10.06	1.37
	60.45	13.32	64.32	0.00	0.0580	10.46	460.1	387.21	0.0614	521.1	9.379	19.29	10.10	1.37
	61.47	13.32	64.32	0.00	0.0579	10.45	459.6	386.80	0.0615	517.3	9.311	19.15	9.99	1.37
	62.45	13.32	64.29	0.00	0.0576	10.42	458.5	386.02	0.0616	515.4	9.277	19.09	9.94	1.37
	63.47	13.32	64.29	0.00	0.0577	10.39	457.2	384.89	0.0615	518.2	9.327	19.20	10.02	1.37
	64.45	13.33	64.29	0.00	0.0575	10.36	455.9	383.87	0.0613	516.5	9.296	19.13	9.97	1.36
	65.47	13.33	64.32	0.00	0.0574	10.33	454.6	382.56	0.0612	514.3	9.257	19.04	9.91	1.37
	66.45	13.33	64.32	0.00	0.0573	10.29	453.0	381.21	0.0612	514.7	9.264	19.06	9.92	1.37
	67.47	13.33	64.32	0.00	0.0570	10.25	451.1	379.61	0.0612	516.4	9.296	19.12	9.97	1.37
	68.45	13.35	64.30	0.00	0.0568	10.21	449.1	378.09	0.0610	513.7	9.247	19.03	9.89	1.37
	69.47	13.33	64.35	0.00	0.0566	10.16	446.9	375.98	0.0612	515.6	9.281	19.09	9.95	1.37
	70.45	13.33	64.29	0.00	0.0564	10.09	444.1	373.91	0.0613	517.2	9.310	19.16	9.99	1.37
	71.47	13.35	64.32	0.00	0.0560	10.02	440.9	371.12	0.0612	515.8	9.285	19.10	9.95	1.37
	72.45	13.33	64.35	0.00	0.0556	9.95	437.7	368.20	0.0612	515.6	9.281	19.09	9.95	1.37
	73.47	13.33	64.32	0.00	0.0552	9.85	433.6	364.88	0.0612	517.3	9.312	19.16	10.00	1.37
	74.45	13.35	64.29	0.00	0.0549	9.78	430.2	362.26	0.0609	512.2	9.220	18.98	9.85	1.37
