Mar 17 2018 at 8:12:29
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Windy, High light, cold, redoing for previous condensation
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.66	14.33	64.29	0.00	0.0604	11.04	485.7	410.39	0.0537	430.1	7.742	15.99	7.32	1.39
	1.67	14.35	64.29	0.00	0.0604	11.04	485.6	410.33	0.0537	430.8	7.754	16.02	7.34	1.39
	2.75	14.35	64.29	0.00	0.0604	11.02	484.9	409.74	0.0540	435.1	7.832	16.18	7.49	1.39
	3.67	14.37	64.29	0.00	0.0604	11.01	484.6	409.48	0.0542	437.8	7.881	16.28	7.58	1.39
	4.73	14.35	64.29	0.00	0.0604	11.02	484.7	409.54	0.0546	438.7	7.896	16.31	7.61	1.39
	5.67	14.33	64.29	0.00	0.0604	11.02	484.8	409.57	0.0550	441.4	7.945	16.41	7.70	1.39
	6.66	14.35	64.29	0.00	0.0603	11.00	484.1	409.00	0.0551	444.0	7.991	16.50	7.78	1.39
	7.67	14.37	64.32	0.00	0.0604	10.98	483.1	408.10	0.0554	449.9	8.098	16.72	7.98	1.39
	8.73	14.37	64.29	0.00	0.0601	10.99	483.4	408.43	0.0560	450.8	8.114	16.76	8.01	1.39
	9.67	14.37	64.29	0.00	0.0601	10.98	483.0	408.16	0.0559	452.1	8.138	16.81	8.05	1.39
	10.67	14.37	64.29	0.00	0.0601	10.95	481.8	407.13	0.0563	464.3	8.358	17.26	8.45	1.39
	11.67	14.37	64.29	0.00	0.0600	10.93	480.9	406.34	0.0568	473.1	8.516	17.59	8.72	1.39
	12.67	14.37	64.29	0.00	0.0600	10.97	482.7	407.87	0.0562	456.7	8.221	16.98	8.20	1.39
	13.66	14.37	64.32	0.00	0.0599	10.95	481.7	406.88	0.0575	466.9	8.405	17.35	8.53	1.39
	14.67	14.37	64.27	0.00	0.0599	10.94	481.4	406.94	0.0573	468.4	8.431	17.42	8.57	1.39
	15.66	14.38	64.29	0.00	0.0600	10.93	481.1	406.57	0.0572	471.3	8.484	17.52	8.67	1.39
	16.67	14.38	64.29	0.00	0.0599	10.94	481.6	406.94	0.0574	468.3	8.429	17.41	8.57	1.39
	17.66	14.37	64.29	0.00	0.0600	10.94	481.3	406.68	0.0576	471.3	8.483	17.52	8.66	1.39
	18.66	14.38	64.29	0.00	0.0601	10.94	481.3	406.75	0.0576	469.3	8.447	17.45	8.60	1.39
	19.66	14.40	64.32	0.00	0.0599	10.93	481.0	406.33	0.0578	473.0	8.514	17.58	8.72	1.39
	20.66	14.41	64.29	0.00	0.0600	10.92	480.3	405.94	0.0582	480.5	8.649	17.87	8.95	1.39
	21.66	14.40	64.29	0.00	0.0600	10.91	480.2	405.83	0.0583	481.3	8.663	17.89	8.98	1.39
	22.66	14.40	64.27	0.00	0.0599	10.91	480.2	405.99	0.0578	481.6	8.669	17.92	8.99	1.39
	23.66	14.43	64.29	0.00	0.0599	10.92	480.4	405.98	0.0584	481.4	8.666	17.90	8.98	1.39
	24.66	14.40	64.29	0.00	0.0598	10.91	479.8	405.50	0.0586	485.7	8.743	18.06	9.11	1.39
	25.66	14.43	64.32	0.00	0.0599	10.90	479.8	405.33	0.0587	486.8	8.762	18.10	9.15	1.39
	26.66	14.41	64.32	0.00	0.0598	10.89	479.1	404.73	0.0591	491.7	8.851	18.28	9.30	1.39
	27.66	14.41	64.29	0.00	0.0599	10.89	479.1	404.89	0.0594	491.4	8.845	18.27	9.29	1.39
	28.66	14.41	64.29	0.00	0.0598	10.89	479.0	404.82	0.0594	493.1	8.876	18.34	9.34	1.39
	29.66	14.43	64.29	0.00	0.0598	10.89	479.2	404.97	0.0596	491.6	8.849	18.28	9.29	1.39
	30.66	14.41	64.29	0.00	0.0598	10.88	478.6	404.48	0.0595	496.5	8.938	18.46	9.44	1.39
	31.67	14.43	64.29	0.00	0.0597	10.87	478.5	404.40	0.0597	497.4	8.952	18.50	9.47	1.39
	32.67	14.43	64.29	0.00	0.0597	10.87	478.5	404.38	0.0600	499.5	8.991	18.57	9.53	1.39
	33.67	14.43	64.32	0.00	0.0598	10.88	478.7	404.49	0.0601	498.2	8.968	18.52	9.49	1.39
	34.67	14.45	64.29	0.00	0.0597	10.84	476.8	403.01	0.0606	514.1	9.254	19.12	9.96	1.39
	35.67	14.43	64.29	0.00	0.0596	10.86	477.8	403.85	0.0604	505.2	9.094	18.79	9.70	1.39
	36.66	14.43	64.29	0.00	0.0596	10.86	477.6	403.69	0.0608	507.4	9.134	18.87	9.77	1.39
	37.67	14.45	64.29	0.00	0.0596	10.85	477.4	403.50	0.0608	511.0	9.199	19.01	9.87	1.39
	38.66	14.43	64.32	0.00	0.0598	10.84	477.1	403.03	0.0608	510.9	9.196	18.99	9.87	1.39
	39.67	14.45	64.29	0.00	0.0595	10.84	476.9	403.10	0.0613	514.6	9.263	19.14	9.98	1.39
	40.66	14.45	64.29	0.00	0.0595	10.84	476.8	403.04	0.0613	514.8	9.267	19.15	9.98	1.39
	41.67	14.43	64.29	0.00	0.0595	10.82	476.2	402.51	0.0617	519.0	9.342	19.30	10.10	1.39
	42.66	14.46	64.32	0.00	0.0597	10.83	476.3	402.48	0.0614	518.4	9.331	19.27	10.09	1.39
	43.67	14.46	64.29	0.00	0.0596	10.82	476.0	402.36	0.0615	520.5	9.369	19.36	10.15	1.39
	44.66	14.45	64.32	0.00	0.0595	10.82	476.1	402.24	0.0617	521.3	9.384	19.38	10.17	1.39
	45.67	14.46	64.32	0.00	0.0594	10.81	475.8	402.03	0.0615	523.4	9.421	19.46	10.23	1.39
	46.66	14.46	64.29	0.00	0.0594	10.81	475.7	402.06	0.0620	525.3	9.456	19.54	10.28	1.39
