Mar 17 2018 at 8:00:40
Frequency: 1Hz.
CO2
Zero:  Value:0.914415  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00445  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.772015  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.00616  Date:28 Jun 2004	 at 08:29:05	
Windy, High light, cold
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.12	12.74	64.32	0.00	0.0598	10.94	481.2	404.12	0.0498	380.7	6.852	14.07	5.47	1.35
	1.14	12.72	64.32	0.00	0.0605	11.00	484.1	406.58	0.0472	358.3	6.449	13.24	4.60	1.35
	2.12	12.75	64.32	0.00	0.0599	10.91	480.1	403.25	0.0504	387.9	6.983	14.34	5.74	1.35
	3.14	12.75	64.29	0.00	0.0599	10.86	478.0	401.62	0.0508	401.8	7.232	14.85	6.25	1.35
	4.12	12.75	64.32	0.00	0.0603	10.91	479.8	403.02	0.0505	396.7	7.140	14.66	6.06	1.35
	5.14	12.75	64.35	0.00	0.0599	11.00	483.9	406.27	0.0491	362.4	6.523	13.39	4.76	1.35
	6.14	12.77	64.32	0.00	0.0605	10.95	481.9	404.80	0.0479	372.1	6.697	13.75	5.14	1.35
	7.14	12.75	64.32	0.00	0.0594	10.86	477.7	401.19	0.0519	410.2	7.383	15.16	6.55	1.35
	8.12	12.75	64.32	0.00	0.0599	10.94	481.2	404.17	0.0512	391.7	7.051	14.48	5.88	1.35
	9.12	12.75	64.35	0.00	0.0599	10.86	477.8	401.17	0.0524	412.9	7.433	15.25	6.65	1.35
	10.12	12.78	64.32	0.00	0.0597	10.85	477.4	400.99	0.0506	409.0	7.361	15.12	6.51	1.35
	11.12	12.75	64.32	0.00	0.0595	10.86	478.0	401.44	0.0514	403.6	7.264	14.91	6.31	1.35
	12.14	12.75	64.34	0.00	0.0600	11.00	483.9	406.30	0.0481	360.9	6.495	13.33	4.70	1.35
	13.14	12.74	64.32	0.00	0.0596	10.89	479.3	402.57	0.0506	394.3	7.097	14.57	5.97	1.35
	14.14	12.75	64.32	0.00	0.0599	10.93	481.1	404.10	0.0496	378.2	6.808	13.98	5.37	1.35
	15.14	12.75	64.32	0.00	0.0596	10.91	480.2	403.30	0.0500	384.9	6.927	14.22	5.63	1.35
	16.22	12.77	64.34	0.00	0.0598	10.89	479.0	402.17	0.0510	391.9	7.054	14.48	5.89	1.35
	17.14	12.77	64.32	0.00	0.0599	10.91	479.9	403.12	0.0502	386.7	6.961	14.29	5.70	1.35
	20.66	12.77	64.32	0.00	0.0598	10.96	482.0	404.88	0.0498	376.3	6.773	13.91	5.30	1.35
	20.66	12.79	64.32	0.00	0.0604	11.05	486.0	408.25	0.0465	343.6	6.185	12.70	4.00	1.35
	20.66	12.79	64.32	0.00	0.0604	10.96	482.2	405.08	0.0485	372.4	6.703	13.76	5.15	1.35
	21.14	12.77	64.32	0.00	0.0600	10.95	481.9	404.75	0.0494	385.4	6.937	14.24	5.65	1.35
	22.14	12.77	64.32	0.00	0.0602	11.15	490.5	411.98	0.0504	389.0	7.001	14.37	5.78	1.35
	23.12	12.77	64.32	0.00	0.0609	11.04	485.9	408.12	0.0497	377.2	6.789	13.94	5.34	1.35
	24.14	12.75	64.32	0.00	0.0607	10.95	482.0	404.81	0.0487	383.1	6.896	14.16	5.56	1.35
	25.12	12.79	64.32	0.00	0.0599	10.93	480.8	403.93	0.0504	386.8	6.962	14.30	5.70	1.35
	26.14	12.77	64.32	0.00	0.0601	10.94	481.4	404.35	0.0472	386.2	6.951	14.27	5.68	1.35
	27.12	12.79	64.32	0.00	0.0600	10.96	482.1	404.93	0.0485	371.2	6.682	13.72	5.11	1.35
	28.14	12.79	64.29	0.00	0.0601	10.88	478.9	402.44	0.0489	393.3	7.080	14.54	5.94	1.35
	29.12	12.79	64.32	0.00	0.0599	10.93	480.8	403.84	0.0503	379.2	6.826	14.02	5.41	1.35
	30.14	12.77	64.32	0.00	0.0596	10.88	478.9	402.29	0.0498	392.9	7.073	14.52	5.93	1.35
	31.12	12.80	64.32	0.00	0.0596	10.89	479.0	402.39	0.0495	395.6	7.120	14.62	6.02	1.35
	32.14	12.79	64.32	0.00	0.0601	10.99	483.6	406.19	0.0472	359.6	6.473	13.29	4.65	1.35
	33.12	12.80	64.32	0.00	0.0603	10.96	482.3	405.18	0.0488	372.8	6.710	13.78	5.17	1.35
