Mar 17 2018 at 8:08:10
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Windy, High light, cold, condensation
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.78	13.67	64.32	0.00	0.0592	10.77	473.9	399.30	0.0573	470.9	8.475	17.46	8.62	1.38
	1.70	13.67	64.32	0.00	0.0592	10.77	473.9	399.38	0.0578	475.6	8.562	17.64	8.77	1.38
	2.78	13.67	64.29	0.00	0.0592	10.77	473.9	399.50	0.0577	474.5	8.541	17.60	8.73	1.38
	3.70	13.67	64.29	0.00	0.0593	10.76	473.6	399.19	0.0581	477.8	8.600	17.72	8.83	1.38
	4.70	13.69	64.32	0.00	0.0593	10.77	474.0	399.38	0.0585	482.1	8.677	17.87	8.96	1.38
	5.70	13.67	64.29	0.00	0.0593	10.77	474.0	399.57	0.0581	477.9	8.602	17.73	8.84	1.38
	6.78	13.67	64.29	0.00	0.0593	10.77	474.0	399.52	0.0583	480.4	8.646	17.82	8.91	1.38
	7.70	13.69	64.29	0.00	0.0593	10.77	473.8	399.40	0.0583	481.4	8.665	17.86	8.94	1.38
	8.72	13.69	64.32	0.00	0.0594	10.78	474.2	399.61	0.0589	486.6	8.759	18.04	9.10	1.38
	9.70	13.69	64.29	0.00	0.0594	10.80	475.4	400.77	0.0590	493.9	8.891	18.32	9.32	1.38
	10.72	13.69	64.29	0.00	0.0594	10.80	475.1	400.51	0.0590	489.0	8.802	18.14	9.18	1.38
	11.70	13.70	64.29	0.00	0.0593	10.78	474.3	399.82	0.0588	487.8	8.780	18.09	9.14	1.38
	12.72	13.70	64.29	0.00	0.0594	10.78	474.5	400.02	0.0591	488.5	8.793	18.12	9.16	1.38
	13.70	13.70	64.27	0.00	0.0592	10.78	474.4	400.06	0.0589	488.9	8.800	18.14	9.17	1.38
	14.72	13.70	64.29	0.00	0.0594	10.79	474.6	400.14	0.0593	491.2	8.841	18.22	9.24	1.38
	17.84	13.70	64.29	0.00	0.0593	10.78	474.5	399.99	0.0589	489.6	8.814	18.16	9.20	1.38
	17.88	13.69	64.29	0.00	0.0594	10.78	474.5	400.03	0.0591	491.4	8.845	18.23	9.25	1.38
	17.88	13.72	64.29	0.00	0.0593	10.79	474.6	400.16	0.0590	491.3	8.844	18.23	9.25	1.38
	18.72	13.70	64.30	0.00	0.0594	10.80	475.2	400.55	0.0596	496.7	8.940	18.42	9.41	1.38
	19.70	13.72	64.34	0.00	0.0593	10.80	475.2	400.32	0.0600	498.6	8.974	18.48	9.47	1.38
	20.72	13.70	64.29	0.00	0.0593	10.79	474.8	400.29	0.0593	494.8	8.906	18.35	9.35	1.38
	21.70	13.72	64.29	0.00	0.0594	10.80	475.1	400.51	0.0596	495.4	8.918	18.38	9.37	1.38
	22.72	13.72	64.29	0.00	0.0595	10.79	474.9	400.38	0.0598	498.0	8.963	18.47	9.45	1.38
	23.70	13.72	64.29	0.00	0.0595	10.80	475.4	400.79	0.0602	502.3	9.042	18.63	9.58	1.38
	24.72	13.71	64.30	0.00	0.0594	10.80	475.0	400.46	0.0596	497.8	8.961	18.46	9.44	1.38
	25.70	13.74	64.29	0.00	0.0594	10.81	475.6	400.98	0.0598	499.6	8.993	18.53	9.50	1.38
	26.72	13.74	64.29	0.00	0.0595	10.81	475.5	400.87	0.0599	500.8	9.014	18.58	9.53	1.38
	27.70	13.74	64.29	0.00	0.0595	10.80	475.3	400.74	0.0600	499.6	8.993	18.53	9.50	1.38
	28.72	13.72	64.29	0.00	0.0594	10.81	475.5	400.90	0.0604	500.4	9.007	18.56	9.52	1.38
	29.72	13.74	64.29	0.00	0.0595	10.81	475.6	401.01	0.0603	504.1	9.073	18.70	9.63	1.38
	30.72	13.75	64.29	0.00	0.0595	10.81	475.5	400.92	0.0601	502.0	9.036	18.62	9.57	1.38
	31.72	13.75	64.29	0.00	0.0594	10.80	475.4	400.81	0.0602	502.0	9.037	18.63	9.57	1.38
	32.72	13.75	64.29	0.00	0.0595	10.81	475.8	401.23	0.0604	505.9	9.107	18.77	9.69	1.38
	33.72	13.75	64.32	0.00	0.0594	10.81	475.5	400.81	0.0601	503.1	9.056	18.66	9.60	1.38
	34.70	13.75	64.29	0.00	0.0596	10.82	476.3	401.58	0.0605	507.5	9.136	18.83	9.73	1.38
	35.72	13.74	64.29	0.00	0.0595	10.83	476.4	401.66	0.0608	509.2	9.166	18.89	9.78	1.38
	36.70	13.75	64.32	0.00	0.0596	10.83	476.3	401.48	0.0606	510.6	9.191	18.94	9.82	1.38
	37.72	13.75	64.29	0.00	0.0595	10.82	476.0	401.38	0.0605	507.4	9.134	18.83	9.73	1.38
	38.70	13.75	64.32	0.00	0.0595	10.82	476.1	401.30	0.0607	507.8	9.141	18.83	9.74	1.38
	39.72	13.77	64.32	0.00	0.0594	10.82	476.2	401.40	0.0605	508.4	9.151	18.85	9.76	1.38
	40.70	13.77	64.29	0.00	0.0596	10.83	476.6	401.92	0.0607	511.2	9.201	18.97	9.84	1.38
	41.70	13.77	64.29	0.00	0.0595	10.83	476.5	401.81	0.0608	511.3	9.203	18.97	9.84	1.38
	42.70	13.77	64.24	0.00	0.0596	10.83	476.6	402.19	0.0610	511.9	9.214	19.01	9.86	1.38
	43.70	13.77	64.29	0.00	0.0595	10.83	476.4	401.71	0.0608	510.2	9.184	18.93	9.81	1.38
	44.70	13.78	64.32	0.00	0.0595	10.83	476.7	401.83	0.0609	512.6	9.227	19.01	9.88	1.38
	45.70	13.77	64.29	0.00	0.0595	10.83	476.6	401.92	0.0610	512.8	9.231	19.03	9.89	1.38
	46.70	13.78	64.29	0.00	0.0596	10.83	476.7	401.95	0.0611	511.7	9.210	18.98	9.86	1.38
	47.70	13.77	64.32	0.00	0.0597	10.84	476.8	401.93	0.0610	513.2	9.238	19.04	9.90	1.38
	48.80	13.78	64.29	0.00	0.0596	10.84	476.9	402.19	0.0611	514.3	9.257	19.08	9.93	1.38
	49.72	13.78	64.29	0.00	0.0596	10.84	477.1	402.36	0.0613	515.9	9.287	19.14	9.98	1.38
	50.72	13.80	64.29	0.00	0.0596	10.84	476.9	402.16	0.0612	514.8	9.267	19.10	9.95	1.38
	51.72	13.78	64.29	0.00	0.0597	10.85	477.3	402.50	0.0614	516.7	9.300	19.17	10.00	1.38
	52.80	13.78	64.32	0.00	0.0595	10.84	477.1	402.20	0.0612	515.3	9.275	19.11	9.96	1.38
	53.72	13.80	64.29	0.00	0.0596	10.84	477.1	402.33	0.0612	516.1	9.290	19.15	9.98	1.38
	54.80	13.80	64.29	0.00	0.0597	10.85	477.4	402.61	0.0615	518.5	9.332	19.24	10.05	1.38
	55.72	13.80	64.32	0.00	0.0597	10.85	477.3	402.36	0.0614	518.0	9.323	19.21	10.04	1.38
	56.72	13.82	64.29	0.00	0.0595	10.85	477.2	402.45	0.0615	517.4	9.314	19.20	10.02	1.38
	57.72	13.80	64.29	0.00	0.0597	10.85	477.3	402.53	0.0617	519.9	9.359	19.29	10.10	1.38
	58.72	13.83	64.32	0.00	0.0597	10.86	477.9	402.86	0.0616	521.2	9.381	19.33	10.13	1.38
	59.72	13.80	64.32	0.00	0.0596	10.85	477.3	402.33	0.0616	519.0	9.342	19.25	10.07	1.38
	60.72	13.82	64.29	0.00	0.0597	10.85	477.5	402.69	0.0616	519.7	9.354	19.28	10.09	1.38
