"2018-03-17 at 18:34"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-17 18:34:45 397.59 19.45 8.97 51.02 59.12 0.0488 0.0655
2018-03-17 18:34:46 392.87 19.48 9.02 50.99 59.25 0.0489 0.0659
2018-03-17 18:34:47 393.65 19.46 9.02 51.02 59.29 0.0485 0.0654
2018-03-17 18:34:48 401.22 19.34 8.90 51.02 59.20 0.0497 0.0653
2018-03-17 18:34:49 409.28 19.50 9.02 51.04 59.18 0.0501 0.0658
2018-03-17 18:34:50 408.39 19.52 9.03 51.02 59.18 0.0501 0.0657
2018-03-17 18:34:51 412.84 19.55 9.05 51.02 59.14 0.0505 0.0658
2018-03-17 18:34:52 414.56 19.58 9.07 51.02 59.13 0.0505 0.0658
2018-03-17 18:34:53 415.17 19.57 9.06 51.02 59.14 0.0506 0.0658
2018-03-17 18:34:54 415.49 19.54 9.04 51.03 59.12 0.0506 0.0657
2018-03-17 18:34:55 418.02 19.57 9.06 51.04 59.11 0.0509 0.0658
2018-03-17 18:34:56 418.57 19.59 9.07 51.04 59.12 0.0509 0.0658
2018-03-17 18:34:57 420.51 19.56 9.05 51.03 59.13 0.0511 0.0658
2018-03-17 18:34:58 422.49 19.58 9.08 51.02 59.15 0.0513 0.0658
2018-03-17 18:34:59 423.15 19.61 9.08 51.02 59.09 0.0514 0.0659
2018-03-17 18:35:00 426.71 19.62 9.08 51.02 59.06 0.0516 0.0658
2018-03-17 18:35:01 427.74 19.63 9.09 51.02 59.06 0.0517 0.0658
2018-03-17 18:35:02 428.38 19.65 9.09 51.02 59.01 0.0517 0.0659
2018-03-17 18:35:03 430.01 19.72 9.14 51.03 59.01 0.0518 0.0660
2018-03-17 18:35:04 431.03 19.71 9.14 51.04 59.04 0.0520 0.0660
2018-03-17 18:35:05 432.48 19.71 9.15 51.03 59.07 0.0521 0.0660
2018-03-17 18:35:06 435.02 19.74 9.18 51.02 59.08 0.0524 0.0662
