"2018-03-17 at 18:29"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-17 18:29:21 414.96 20.82 9.96 51.02 59.04 0.0505 0.0685
2018-03-17 18:29:22 415.08 20.77 9.93 51.03 59.05 0.0505 0.0685
2018-03-17 18:29:23 416.53 20.77 9.92 51.02 59.03 0.0507 0.0685
2018-03-17 18:29:24 417.54 20.76 9.90 51.02 58.97 0.0507 0.0684
2018-03-17 18:29:25 418.78 20.75 9.89 51.02 58.97 0.0508 0.0683
2018-03-17 18:29:26 419.10 20.72 9.87 51.02 58.99 0.0509 0.0684
2018-03-17 18:29:27 421.41 20.71 9.88 51.02 59.03 0.0511 0.0684
2018-03-17 18:29:28 421.13 20.66 9.85 51.02 59.04 0.0511 0.0682
2018-03-17 18:29:29 422.49 20.63 9.82 51.04 59.01 0.0512 0.0681
2018-03-17 18:29:30 424.13 20.59 9.78 51.02 58.99 0.0513 0.0681
2018-03-17 18:29:31 425.34 20.62 9.79 51.02 58.95 0.0513 0.0680
2018-03-17 18:29:32 426.43 20.58 9.76 51.02 58.95 0.0515 0.0680
2018-03-17 18:29:33 428.42 20.54 9.74 51.02 58.97 0.0517 0.0678
2018-03-17 18:29:34 429.76 20.51 9.72 51.02 58.97 0.0518 0.0678
2018-03-17 18:29:35 429.71 20.54 9.74 51.02 58.98 0.0517 0.0679
2018-03-17 18:29:36 431.76 20.48 9.71 51.04 59.00 0.0521 0.0678
2018-03-17 18:29:37 432.89 20.51 9.73 51.04 59.02 0.0521 0.0678
2018-03-17 18:29:38 433.54 20.48 9.71 51.03 59.02 0.0522 0.0678
2018-03-17 18:29:39 434.31 20.45 9.69 51.02 59.03 0.0522 0.0677
2018-03-17 18:29:40 436.10 20.43 9.67 50.99 59.00 0.0524 0.0677
2018-03-17 18:29:41 436.36 20.37 9.63 51.02 59.02 0.0525 0.0675
2018-03-17 18:29:42 436.56 20.35 9.60 51.02 58.97 0.0524 0.0674
2018-03-17 18:29:43 438.62 20.31 9.57 51.03 58.96 0.0526 0.0673
2018-03-17 18:29:44 440.44 20.29 9.56 51.04 58.98 0.0527 0.0673
2018-03-17 18:29:45 441.23 20.25 9.54 51.02 59.01 0.0529 0.0673
2018-03-17 18:29:46 442.96 20.24 9.53 51.02 59.02 0.0530 0.0672
2018-03-17 18:29:47 443.62 20.19 9.49 51.02 59.02 0.0531 0.0671
2018-03-17 18:29:48 446.62 20.17 9.48 51.02 59.04 0.0533 0.0671
2018-03-17 18:29:49 446.39 20.12 9.45 51.02 59.03 0.0533 0.0669
2018-03-17 18:29:50 447.02 20.10 9.43 51.03 59.02 0.0534 0.0669
2018-03-17 18:29:51 448.92 20.10 9.43 51.04 59.00 0.0535 0.0669
2018-03-17 18:29:52 450.30 20.09 9.42 51.02 58.99 0.0536 0.0668
2018-03-17 18:29:53 450.72 20.08 9.41 51.02 59.00 0.0536 0.0669
2018-03-17 18:29:54 452.07 20.04 9.39 51.02 59.03 0.0538 0.0668
2018-03-17 18:29:55 454.37 20.01 9.37 51.02 59.04 0.0540 0.0667
2018-03-17 18:29:56 454.50 19.97 9.35 51.02 59.06 0.0541 0.0666
2018-03-17 18:29:57 456.51 19.94 9.32 51.04 59.07 0.0542 0.0665
2018-03-17 18:29:58 457.12 19.93 9.31 51.04 59.06 0.0543 0.0666
2018-03-17 18:29:59 458.23 19.90 9.28 51.03 59.03 0.0543 0.0664
2018-03-17 18:30:00 459.22 19.91 9.29 51.02 59.03 0.0545 0.0665
2018-03-17 18:30:01 461.34 19.92 9.30 51.02 59.04 0.0546 0.0665
2018-03-17 18:30:02 461.85 19.88 9.26 51.02 59.02 0.0546 0.0664
2018-03-17 18:30:03 463.63 19.88 9.27 51.02 59.01 0.0548 0.0664
2018-03-17 18:30:04 464.57 19.87 9.26 51.02 59.02 0.0549 0.0664
2018-03-17 18:30:05 465.39 19.89 9.28 51.03 59.03 0.0550 0.0664
2018-03-17 18:30:06 466.02 19.84 9.25 51.03 59.05 0.0550 0.0663
2018-03-17 18:30:07 466.92 19.86 9.26 51.02 59.08 0.0552 0.0665
2018-03-17 18:30:08 468.35 19.83 9.25 51.02 59.09 0.0552 0.0664
2018-03-17 18:30:09 469.83 19.82 9.24 51.02 59.08 0.0554 0.0663
2018-03-17 18:30:10 471.40 19.80 9.22 51.02 59.08 0.0555 0.0663
2018-03-17 18:30:11 471.83 19.76 9.18 51.02 59.04 0.0555 0.0661
2018-03-17 18:30:12 472.63 19.77 9.17 51.03 58.98 0.0556 0.0661
2018-03-17 18:30:13 474.33 19.75 9.16 51.04 58.99 0.0557 0.0661
2018-03-17 18:30:14 475.51 19.76 9.18 51.03 59.03 0.0557 0.0661
2018-03-17 18:30:15 476.84 19.76 9.18 51.02 59.02 0.0559 0.0661
2018-03-17 18:30:16 476.49 19.70 9.13 51.02 59.02 0.0559 0.0660
2018-03-17 18:30:17 478.23 19.68 9.12 51.02 59.04 0.0561 0.0660
2018-03-17 18:30:18 479.15 19.71 9.15 51.02 59.05 0.0561 0.0660
2018-03-17 18:30:19 481.13 19.68 9.13 51.03 59.06 0.0563 0.0660
2018-03-17 18:30:20 482.25 19.67 9.12 51.04 59.06 0.0565 0.0660
2018-03-17 18:30:21 482.95 19.66 9.12 51.03 59.09 0.0565 0.0659
2018-03-17 18:30:22 484.01 19.63 9.10 51.02 59.08 0.0566 0.0659
2018-03-17 18:30:23 484.44 19.66 9.12 51.02 59.10 0.0567 0.0660
2018-03-17 18:30:24 486.02 19.61 9.07 51.02 59.06 0.0567 0.0658
2018-03-17 18:30:25 487.47 19.63 9.08 51.02 59.01 0.0568 0.0658
2018-03-17 18:30:26 489.00 19.63 9.07 51.02 59.01 0.0570 0.0659
2018-03-17 18:30:28 489.78 19.62 9.07 51.03 59.01 0.0570 0.0657
2018-03-17 18:30:29 491.50 19.56 9.04 51.04 59.04 0.0572 0.0657
2018-03-17 18:30:30 491.67 19.56 9.03 51.02 59.03 0.0572 0.0656
2018-03-17 18:30:31 493.08 19.59 9.05 51.02 59.04 0.0573 0.0658
