"2018-03-16 at 17:39"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-16 17:39:12 417.16 18.17 8.39 51.00 60.86 0.0523 0.0642
2018-03-16 17:39:13 418.64 18.12 8.36 51.02 60.87 0.0525 0.0640
2018-03-16 17:39:14 419.29 18.10 8.33 51.02 60.86 0.0525 0.0640
2018-03-16 17:39:15 420.98 18.06 8.30 51.02 60.86 0.0527 0.0638
2018-03-16 17:39:16 423.27 18.02 8.27 51.02 60.86 0.0529 0.0638
2018-03-16 17:39:17 425.41 18.00 8.26 51.02 60.89 0.0531 0.0638
2018-03-16 17:39:18 426.05 17.95 8.20 51.02 60.82 0.0530 0.0634
2018-03-16 17:39:19 427.54 17.96 8.20 51.02 60.78 0.0533 0.0637
2018-03-16 17:39:20 428.69 17.93 8.18 51.00 60.81 0.0533 0.0635
2018-03-16 17:39:21 430.11 17.90 8.16 51.00 60.83 0.0535 0.0635
2018-03-16 17:39:22 430.33 17.91 8.17 51.02 60.84 0.0535 0.0635
2018-03-16 17:39:23 431.99 17.86 8.13 51.03 60.85 0.0536 0.0634
2018-03-16 17:39:24 433.02 17.87 8.14 51.02 60.87 0.0537 0.0634
2018-03-16 17:39:25 432.99 17.88 8.15 51.02 60.85 0.0538 0.0635
2018-03-16 17:39:26 434.92 17.89 8.15 51.02 60.83 0.0539 0.0634
2018-03-16 17:39:27 435.02 17.90 8.17 51.02 60.83 0.0539 0.0635
2018-03-16 17:39:28 435.87 17.92 8.18 50.99 60.83 0.0540 0.0635
2018-03-16 17:39:29 435.85 17.95 8.20 51.02 60.85 0.0540 0.0636
2018-03-16 17:39:30 435.57 17.97 8.22 51.02 60.85 0.0539 0.0637
2018-03-16 17:39:31 435.60 17.97 8.22 51.03 60.85 0.0540 0.0636
2018-03-16 17:39:32 436.68 17.98 8.23 51.02 60.85 0.0541 0.0637
2018-03-16 17:39:33 438.10 17.99 8.24 51.02 60.86 0.0542 0.0637
2018-03-16 17:39:34 438.53 17.98 8.24 51.00 60.87 0.0543 0.0637
2018-03-16 17:39:35 439.40 17.99 8.24 50.99 60.87 0.0543 0.0637
2018-03-16 17:39:36 441.08 17.99 8.24 51.00 60.87 0.0545 0.0637
2018-03-16 17:39:37 440.99 17.97 8.23 51.02 60.87 0.0545 0.0637
2018-03-16 17:39:38 441.55 17.98 8.24 51.03 60.87 0.0545 0.0637
2018-03-16 17:39:39 442.65 17.97 8.22 51.03 60.86 0.0547 0.0637
2018-03-16 17:39:40 444.70 17.99 8.24 51.02 60.85 0.0548 0.0637
2018-03-16 17:39:41 445.57 18.01 8.27 51.02 60.87 0.0549 0.0638
