"2018-03-16 at 17:31"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-16 17:31:41 409.07 19.85 9.31 51.04 59.30 0.0502 0.0666
2018-03-16 17:31:42 408.47 19.81 9.28 51.02 59.30 0.0501 0.0666
2018-03-16 17:31:43 409.12 19.82 9.29 51.02 59.26 0.0502 0.0665
2018-03-16 17:31:44 410.26 19.81 9.28 51.02 59.28 0.0503 0.0665
2018-03-16 17:31:45 410.46 19.76 9.24 51.00 59.26 0.0503 0.0663
2018-03-16 17:31:46 409.64 19.73 9.22 51.00 59.25 0.0502 0.0663
2018-03-16 17:31:47 411.35 19.75 9.23 51.02 59.25 0.0504 0.0663
2018-03-16 17:31:48 412.49 19.73 9.21 51.03 59.26 0.0505 0.0663
2018-03-16 17:31:49 413.31 19.73 9.22 51.02 59.26 0.0506 0.0663
2018-03-16 17:31:50 412.18 19.71 9.21 51.02 59.28 0.0505 0.0663
2018-03-16 17:31:51 413.80 19.71 9.21 51.02 59.30 0.0506 0.0663
2018-03-16 17:31:52 413.80 19.71 9.21 51.02 59.30 0.0506 0.0663
2018-03-16 17:31:53 414.79 19.73 9.22 50.99 59.29 0.0508 0.0664
2018-03-16 17:31:54 415.09 19.68 9.19 50.99 59.30 0.0507 0.0662
2018-03-16 17:31:55 415.30 19.70 9.20 51.02 59.26 0.0507 0.0662
2018-03-16 17:31:56 416.10 19.71 9.20 51.02 59.27 0.0509 0.0663
2018-03-16 17:31:57 416.95 19.71 9.20 51.02 59.28 0.0509 0.0663
2018-03-16 17:31:58 417.89 19.70 9.20 51.02 59.28 0.0510 0.0663
2018-03-16 17:31:59 419.31 19.72 9.21 51.02 59.27 0.0511 0.0663
2018-03-16 17:32:00 418.82 19.69 9.18 50.99 59.26 0.0511 0.0662
2018-03-16 17:32:01 420.14 19.72 9.21 50.99 59.26 0.0511 0.0663
2018-03-16 17:32:02 420.07 19.71 9.21 51.02 59.29 0.0512 0.0663
2018-03-16 17:32:03 420.62 19.70 9.20 51.02 59.30 0.0513 0.0663
2018-03-16 17:32:04 421.24 19.70 9.20 51.03 59.30 0.0513 0.0663
2018-03-16 17:32:05 421.58 19.71 9.21 51.02 59.30 0.0513 0.0663
2018-03-16 17:32:06 423.30 19.71 9.21 51.02 59.29 0.0515 0.0663
2018-03-16 17:32:07 423.66 19.71 9.21 51.00 59.30 0.0516 0.0663
2018-03-16 17:32:08 424.52 19.71 9.21 50.99 59.30 0.0516 0.0663
2018-03-16 17:32:09 424.68 19.69 9.20 50.99 59.33 0.0516 0.0663
2018-03-16 17:32:10 425.66 19.70 9.21 51.02 59.31 0.0517 0.0663
2018-03-16 17:32:11 425.98 19.72 9.22 51.03 59.30 0.0518 0.0663
2018-03-16 17:32:12 428.19 19.73 9.23 51.03 59.30 0.0520 0.0664
2018-03-16 17:32:13 427.39 19.72 9.21 51.02 59.28 0.0518 0.0663
2018-03-16 17:32:14 429.61 19.75 9.24 51.02 59.28 0.0521 0.0664
2018-03-16 17:32:15 429.42 19.75 9.23 50.99 59.28 0.0520 0.0664
2018-03-16 17:32:16 428.85 19.72 9.22 50.99 59.29 0.0520 0.0663
2018-03-16 17:32:17 430.47 19.71 9.21 50.99 59.29 0.0522 0.0663
2018-03-16 17:32:18 431.54 19.70 9.21 51.00 59.32 0.0522 0.0663
2018-03-16 17:32:19 431.62 19.66 9.18 51.03 59.33 0.0523 0.0662
2018-03-16 17:32:20 431.59 19.65 9.17 51.02 59.32 0.0522 0.0662
2018-03-16 17:32:22 433.72 19.64 9.16 51.02 59.32 0.0525 0.0661
2018-03-16 17:32:23 432.96 19.61 9.14 50.99 59.30 0.0524 0.0661
2018-03-16 17:32:24 433.62 19.65 9.17 51.00 59.31 0.0524 0.0661
2018-03-16 17:32:25 434.75 19.59 9.12 51.00 59.31 0.0525 0.0660
2018-03-16 17:32:26 434.54 19.58 9.12 51.02 59.35 0.0525 0.0660
2018-03-16 17:32:27 435.32 19.53 9.08 51.03 59.34 0.0526 0.0659
2018-03-16 17:32:28 435.34 19.49 9.06 51.02 59.35 0.0526 0.0658
2018-03-16 17:32:29 436.48 19.49 9.05 51.02 59.32 0.0527 0.0658
2018-03-16 17:32:30 437.85 19.45 9.02 50.99 59.31 0.0528 0.0656
2018-03-16 17:32:31 438.48 19.42 8.99 51.00 59.31 0.0529 0.0656
2018-03-16 17:32:32 438.33 19.37 8.95 51.02 59.32 0.0529 0.0655
2018-03-16 17:32:33 438.75 19.38 8.96 51.02 59.32 0.0529 0.0655
2018-03-16 17:32:34 439.26 19.34 8.94 51.03 59.32 0.0530 0.0654
2018-03-16 17:32:35 439.29 19.33 8.93 51.02 59.33 0.0529 0.0654
2018-03-16 17:32:36 440.79 19.32 8.92 51.02 59.32 0.0531 0.0654
2018-03-16 17:32:37 440.95 19.30 8.90 51.02 59.32 0.0531 0.0654
2018-03-16 17:32:38 441.07 19.27 8.89 51.02 59.35 0.0532 0.0653
2018-03-16 17:32:39 442.07 19.27 8.89 51.00 59.35 0.0532 0.0653
2018-03-16 17:32:40 442.35 19.25 8.87 51.00 59.36 0.0532 0.0653
2018-03-16 17:32:41 442.94 19.23 8.87 51.03 59.38 0.0533 0.0652
2018-03-16 17:32:42 442.76 19.22 8.85 51.02 59.36 0.0533 0.0652
2018-03-16 17:32:43 443.53 19.27 8.89 51.02 59.35 0.0533 0.0653
2018-03-16 17:32:44 444.05 19.26 8.87 51.02 59.33 0.0533 0.0652
