"2018-03-16 at 17:24"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-16 17:24:31 428.92 19.49 9.00 50.99 59.11 0.0518 0.0656
2018-03-16 17:24:32 428.12 19.48 8.99 50.99 59.13 0.0517 0.0656
2018-03-16 17:24:33 430.17 19.47 8.98 50.99 59.11 0.0520 0.0656
2018-03-16 17:24:34 430.86 19.47 8.98 50.99 59.13 0.0520 0.0655
2018-03-16 17:24:35 431.30 19.44 8.97 50.99 59.14 0.0520 0.0655
2018-03-16 17:24:36 432.16 19.46 8.98 51.00 59.13 0.0522 0.0655
2018-03-16 17:24:37 432.82 19.46 8.98 51.03 59.12 0.0522 0.0655
2018-03-16 17:24:38 432.82 19.46 8.98 51.03 59.12 0.0522 0.0655
2018-03-16 17:24:39 432.75 19.44 8.96 50.99 59.13 0.0522 0.0655
2018-03-16 17:24:40 433.56 19.43 8.95 50.99 59.11 0.0523 0.0654
2018-03-16 17:24:41 435.52 19.42 8.94 50.99 59.11 0.0524 0.0654
2018-03-16 17:24:42 434.31 19.37 8.91 50.99 59.12 0.0523 0.0653
2018-03-16 17:24:43 435.26 19.36 8.90 50.99 59.12 0.0525 0.0653
2018-03-16 17:24:44 436.04 19.31 8.86 51.00 59.11 0.0524 0.0651
2018-03-16 17:24:45 436.36 19.26 8.82 51.03 59.13 0.0525 0.0651
2018-03-16 17:24:46 437.62 19.23 8.80 51.00 59.13 0.0526 0.0649
2018-03-16 17:24:47 437.36 19.20 8.77 50.99 59.10 0.0525 0.0649
2018-03-16 17:24:48 438.28 19.19 8.77 50.99 59.12 0.0527 0.0649
2018-03-16 17:24:49 438.84 19.13 8.72 50.99 59.12 0.0527 0.0647
2018-03-16 17:24:50 439.08 19.10 8.70 51.00 59.13 0.0528 0.0646
2018-03-16 17:24:51 439.95 19.07 8.68 51.02 59.13 0.0528 0.0646
2018-03-16 17:24:52 440.11 19.05 8.66 51.03 59.13 0.0528 0.0646
2018-03-16 17:24:53 440.74 19.02 8.64 51.03 59.14 0.0529 0.0645
2018-03-16 17:24:54 441.55 18.96 8.59 50.99 59.14 0.0530 0.0643
2018-03-16 17:24:55 442.47 18.96 8.60 50.99 59.15 0.0530 0.0643
2018-03-16 17:24:56 442.35 18.92 8.57 50.99 59.15 0.0531 0.0643
2018-03-16 17:24:57 442.10 18.89 8.54 50.99 59.15 0.0530 0.0642
2018-03-16 17:24:58 442.17 18.88 8.54 50.99 59.15 0.0531 0.0642
2018-03-16 17:24:59 443.49 18.84 8.51 51.02 59.16 0.0532 0.0640
2018-03-16 17:25:00 444.01 18.83 8.49 51.03 59.15 0.0532 0.0641
2018-03-16 17:25:01 445.50 18.80 8.47 50.99 59.16 0.0533 0.0640
2018-03-16 17:25:02 445.89 18.78 8.46 50.99 59.15 0.0533 0.0639
2018-03-16 17:25:03 445.07 18.76 8.44 50.99 59.15 0.0533 0.0639
2018-03-16 17:25:04 445.79 18.74 8.43 50.99 59.15 0.0534 0.0638
2018-03-16 17:25:05 446.16 18.75 8.43 50.99 59.15 0.0534 0.0638
2018-03-16 17:25:07 446.52 18.73 8.42 51.03 59.16 0.0534 0.0638
2018-03-16 17:25:08 447.83 18.73 8.43 51.03 59.17 0.0536 0.0638
2018-03-16 17:25:09 448.38 18.73 8.42 50.99 59.16 0.0536 0.0638
2018-03-16 17:25:10 447.68 18.73 8.42 50.99 59.16 0.0535 0.0638
2018-03-16 17:25:11 447.78 18.69 8.39 50.99 59.16 0.0536 0.0637
2018-03-16 17:25:12 448.39 18.67 8.38 50.99 59.18 0.0536 0.0637
2018-03-16 17:25:13 449.24 18.66 8.37 50.99 59.17 0.0537 0.0637
2018-03-16 17:25:14 449.94 18.66 8.37 51.00 59.17 0.0537 0.0637
2018-03-16 17:25:15 450.44 18.65 8.36 51.04 59.17 0.0538 0.0636
2018-03-16 17:25:16 450.61 18.64 8.36 51.02 59.17 0.0538 0.0636
2018-03-16 17:25:17 451.04 18.64 8.36 51.02 59.18 0.0538 0.0636
2018-03-16 17:25:18 451.05 18.63 8.35 50.99 59.21 0.0539 0.0636
2018-03-16 17:25:19 452.16 18.64 8.36 50.99 59.22 0.0540 0.0637
2018-03-16 17:25:20 452.17 18.63 8.36 50.99 59.23 0.0539 0.0636
2018-03-16 17:25:21 451.12 18.61 8.35 50.99 59.24 0.0539 0.0636
2018-03-16 17:25:22 452.74 18.63 8.36 51.04 59.25 0.0541 0.0637
2018-03-16 17:25:23 452.85 18.61 8.35 51.02 59.26 0.0541 0.0636
2018-03-16 17:25:24 454.28 18.62 8.36 51.02 59.26 0.0542 0.0637
2018-03-16 17:25:25 455.52 18.66 8.39 51.00 59.25 0.0543 0.0638
2018-03-16 17:25:26 455.73 18.66 8.39 50.99 59.25 0.0543 0.0638
2018-03-16 17:25:27 455.39 18.67 8.39 50.99 59.26 0.0543 0.0637
2018-03-16 17:25:28 455.59 18.69 8.41 51.02 59.26 0.0543 0.0638
2018-03-16 17:25:29 456.45 18.70 8.43 51.04 59.26 0.0544 0.0639
2018-03-16 17:25:30 455.92 18.70 8.42 51.03 59.27 0.0543 0.0639
2018-03-16 17:25:31 456.37 18.71 8.43 51.02 59.27 0.0544 0.0639
2018-03-16 17:25:32 457.32 18.74 8.45 51.00 59.26 0.0545 0.0640
2018-03-16 17:25:33 458.32 18.74 8.45 50.99 59.26 0.0546 0.0639
