"2018-03-12 at 21:18"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-12 21:18:28 428.08 23.17 12.08 51.02 61.05 0.0535 0.0763
2018-03-12 21:18:29 428.44 23.24 12.13 51.02 61.09 0.0536 0.0765
2018-03-12 21:18:30 429.83 23.21 12.11 51.04 61.09 0.0537 0.0764
2018-03-12 21:18:31 428.20 23.22 12.09 51.02 60.99 0.0535 0.0763
2018-03-12 21:18:32 430.29 23.29 12.13 51.02 60.95 0.0536 0.0764
2018-03-12 21:18:33 431.77 23.31 12.14 51.02 60.95 0.0537 0.0765
2018-03-12 21:18:34 432.20 23.36 12.16 50.99 60.91 0.0538 0.0765
2018-03-12 21:18:35 433.06 23.38 12.18 51.02 60.94 0.0539 0.0766
2018-03-12 21:18:36 433.19 23.37 12.18 51.02 60.95 0.0539 0.0766
2018-03-12 21:18:37 434.34 23.41 12.21 51.04 60.96 0.0540 0.0767
2018-03-12 21:18:38 434.98 23.47 12.24 51.02 60.95 0.0540 0.0768
2018-03-12 21:18:39 436.47 23.51 12.27 51.02 60.95 0.0542 0.0769
2018-03-12 21:18:40 435.83 23.52 12.28 50.99 60.96 0.0541 0.0770
2018-03-12 21:18:41 437.91 23.56 12.31 51.02 60.97 0.0543 0.0771
2018-03-12 21:18:42 437.11 23.52 12.27 51.02 60.94 0.0542 0.0769
2018-03-12 21:18:43 437.69 23.59 12.32 51.02 60.92 0.0543 0.0771
2018-03-12 21:18:44 438.69 23.54 12.28 51.02 60.90 0.0543 0.0770
2018-03-12 21:18:45 439.05 23.54 12.28 51.02 60.92 0.0544 0.0770
2018-03-12 21:18:46 441.33 23.56 12.31 51.02 60.98 0.0546 0.0771
2018-03-12 21:18:47 442.31 23.58 12.34 51.02 61.05 0.0548 0.0772
2018-03-12 21:18:48 442.32 23.55 12.32 50.96 61.03 0.0548 0.0771
2018-03-12 21:18:49 441.46 23.54 12.30 51.02 61.02 0.0547 0.0771
2018-03-12 21:18:50 442.16 23.53 12.31 51.02 61.03 0.0548 0.0771
2018-03-12 21:18:51 442.62 23.51 12.28 51.02 61.01 0.0548 0.0770
2018-03-12 21:18:52 444.09 23.54 12.29 51.02 60.97 0.0549 0.0770
2018-03-12 21:18:53 444.92 23.54 12.28 51.02 60.92 0.0549 0.0770
2018-03-12 21:18:54 444.29 23.46 12.22 51.02 60.88 0.0548 0.0768
2018-03-12 21:18:55 447.03 23.54 12.28 51.02 60.91 0.0551 0.0770
2018-03-12 21:18:56 447.77 23.47 12.24 50.99 60.95 0.0552 0.0768
2018-03-12 21:18:57 449.16 23.53 12.28 51.02 60.95 0.0553 0.0770
2018-03-12 21:18:58 448.80 23.47 12.25 51.02 60.95 0.0553 0.0768
