"2018-03-12 at 21:20"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-12 21:20:55 413.66 22.24 11.44 51.02 61.01 0.0521 0.0741
2018-03-12 21:20:56 414.46 22.37 11.52 51.02 60.98 0.0522 0.0744
2018-03-12 21:20:57 415.29 22.46 11.59 51.02 60.99 0.0523 0.0746
2018-03-12 21:20:58 417.09 22.60 11.69 51.02 61.02 0.0524 0.0749
2018-03-12 21:20:59 417.71 22.64 11.72 51.02 61.03 0.0525 0.0750
2018-03-12 21:21:00 418.57 22.71 11.77 51.02 61.06 0.0526 0.0752
2018-03-12 21:21:01 419.36 22.81 11.83 51.02 61.02 0.0527 0.0754
2018-03-12 21:21:02 421.18 22.84 11.85 51.02 61.01 0.0528 0.0755
2018-03-12 21:21:03 422.12 22.87 11.87 50.99 61.02 0.0529 0.0756
2018-03-12 21:21:04 423.68 22.91 11.91 51.02 61.06 0.0531 0.0757
2018-03-12 21:21:05 421.16 22.96 11.93 51.02 61.03 0.0528 0.0758
2018-03-12 21:21:06 424.00 22.99 11.95 51.04 61.01 0.0531 0.0758
2018-03-12 21:21:07 425.31 23.05 11.99 51.02 61.02 0.0532 0.0760
2018-03-12 21:21:08 426.38 23.11 12.04 51.02 61.06 0.0533 0.0762
2018-03-12 21:21:09 425.56 23.08 12.02 51.02 61.05 0.0533 0.0761
2018-03-12 21:21:10 427.09 23.13 12.05 50.99 61.09 0.0534 0.0762
2018-03-12 21:21:11 428.01 23.15 12.06 51.02 61.06 0.0535 0.0762
2018-03-12 21:21:12 429.34 23.19 12.11 51.02 61.13 0.0537 0.0764
2018-03-12 21:21:13 428.46 23.15 12.07 51.02 61.07 0.0536 0.0763
2018-03-12 21:21:14 430.86 23.20 12.11 51.02 61.09 0.0538 0.0764
2018-03-12 21:21:15 430.15 23.22 12.12 51.02 61.09 0.0537 0.0764
2018-03-12 21:21:16 430.86 23.19 12.10 51.02 61.09 0.0538 0.0764
2018-03-12 21:21:17 432.59 23.28 12.15 50.96 61.06 0.0539 0.0766
2018-03-12 21:21:18 432.77 23.23 12.11 51.02 61.03 0.0539 0.0764
2018-03-12 21:21:19 432.71 23.30 12.16 51.02 61.06 0.0539 0.0766
2018-03-12 21:21:20 434.92 23.26 12.13 51.02 61.05 0.0541 0.0765
2018-03-12 21:21:21 435.12 23.28 12.14 51.02 61.02 0.0541 0.0765
2018-03-12 21:21:22 434.98 23.34 12.18 51.02 61.02 0.0541 0.0766
2018-03-12 21:21:23 436.97 23.36 12.17 51.02 60.92 0.0542 0.0766
2018-03-12 21:21:24 435.11 23.25 12.06 51.02 60.76 0.0539 0.0761
2018-03-12 21:21:25 437.82 23.28 12.07 50.99 60.73 0.0541 0.0762
2018-03-12 21:21:26 436.62 23.29 12.07 51.02 60.72 0.0540 0.0762
2018-03-12 21:21:27 438.73 23.35 12.10 51.02 60.71 0.0542 0.0763
2018-03-12 21:21:28 439.74 23.38 12.13 51.04 60.71 0.0542 0.0764
2018-03-12 21:21:29 442.73 23.41 12.16 51.02 60.76 0.0546 0.0765
2018-03-12 21:21:30 441.53 23.36 12.12 51.02 60.75 0.0545 0.0763
2018-03-12 21:21:31 442.50 23.40 12.15 51.02 60.76 0.0546 0.0765
2018-03-12 21:21:32 442.97 23.40 12.15 50.99 60.75 0.0546 0.0764
2018-03-12 21:21:33 443.89 23.42 12.17 51.02 60.76 0.0547 0.0765
2018-03-12 21:21:34 444.30 23.39 12.15 51.02 60.79 0.0547 0.0765
2018-03-12 21:21:35 445.37 23.43 12.19 51.04 60.81 0.0549 0.0766
2018-03-12 21:21:36 445.89 23.41 12.17 51.02 60.80 0.0549 0.0765
2018-03-12 21:21:37 447.53 23.43 12.18 51.02 60.82 0.0551 0.0766
2018-03-12 21:21:38 448.30 23.42 12.17 51.02 60.80 0.0551 0.0765
2018-03-12 21:21:39 447.90 23.42 12.18 50.99 60.81 0.0551 0.0766
2018-03-12 21:21:40 448.52 23.46 12.21 51.02 60.82 0.0551 0.0767
2018-03-12 21:21:41 449.53 23.46 12.21 51.02 60.86 0.0553 0.0767
2018-03-12 21:21:42 449.92 23.45 12.20 51.02 60.83 0.0553 0.0767
2018-03-12 21:21:43 449.74 23.50 12.23 51.07 60.84 0.0553 0.0768
2018-03-12 21:21:44 451.45 23.50 12.25 51.02 60.90 0.0555 0.0769
2018-03-12 21:21:45 452.80 23.53 12.27 51.02 60.89 0.0556 0.0769
2018-03-12 21:21:46 453.15 23.50 12.25 51.02 60.90 0.0556 0.0768
2018-03-12 21:21:47 453.02 23.47 12.24 51.02 60.91 0.0556 0.0768
2018-03-12 21:21:48 454.19 23.50 12.25 51.02 60.91 0.0557 0.0769
2018-03-12 21:21:49 453.94 23.46 12.23 51.02 60.91 0.0557 0.0768
2018-03-12 21:21:50 453.94 23.53 12.27 51.04 60.91 0.0557 0.0769
2018-03-12 21:21:51 456.24 23.49 12.26 51.02 60.95 0.0560 0.0769
2018-03-12 21:21:52 456.98 23.51 12.28 51.02 60.98 0.0561 0.0770
2018-03-12 21:21:53 457.01 23.50 12.28 51.02 60.99 0.0561 0.0770
2018-03-12 21:21:54 458.61 23.48 12.26 50.99 60.97 0.0562 0.0769
2018-03-12 21:21:55 459.40 23.52 12.29 51.02 60.99 0.0563 0.0770
2018-03-12 21:21:56 458.06 23.49 12.28 51.02 61.03 0.0562 0.0770
2018-03-12 21:21:57 460.31 23.49 12.28 51.02 61.03 0.0564 0.0770
2018-03-12 21:21:58 460.30 23.52 12.29 51.02 61.01 0.0564 0.0770
2018-03-12 21:21:59 461.07 23.52 12.29 51.02 61.01 0.0564 0.0770
2018-03-12 21:22:00 462.09 23.52 12.30 51.02 61.03 0.0566 0.0771
2018-03-12 21:22:01 461.78 23.50 12.28 51.02 61.02 0.0565 0.0770
2018-03-12 21:22:03 463.22 23.55 12.32 50.99 61.03 0.0567 0.0771
2018-03-12 21:22:04 463.72 23.59 12.34 51.02 61.02 0.0567 0.0772
2018-03-12 21:22:05 464.89 23.56 12.33 51.02 61.05 0.0568 0.0772
2018-03-12 21:22:06 464.47 23.55 12.32 51.02 61.06 0.0568 0.0771
2018-03-12 21:22:07 466.29 23.62 12.37 51.02 61.06 0.0570 0.0773
2018-03-12 21:22:08 465.76 23.57 12.33 51.02 61.02 0.0569 0.0772
2018-03-12 21:22:09 468.15 23.66 12.40 51.02 61.07 0.0571 0.0774
2018-03-12 21:22:10 467.60 23.63 12.38 50.99 61.07 0.0571 0.0774
2018-03-12 21:22:11 467.75 23.66 12.40 51.02 61.09 0.0571 0.0774
2018-03-12 21:22:12 468.29 23.63 12.39 51.02 61.12 0.0572 0.0774
2018-03-12 21:22:13 469.58 23.67 12.42 51.04 61.13 0.0573 0.0775
2018-03-12 21:22:14 470.28 23.64 12.40 51.02 61.13 0.0574 0.0774
2018-03-12 21:22:15 469.36 23.64 12.39 51.02 61.09 0.0573 0.0774
2018-03-12 21:22:16 471.52 23.67 12.41 51.02 61.10 0.0575 0.0775
2018-03-12 21:22:17 472.68 23.71 12.45 50.99 61.14 0.0576 0.0776
2018-03-12 21:22:18 472.01 23.68 12.42 51.02 61.12 0.0575 0.0775
2018-03-12 21:22:19 471.64 23.70 12.44 51.02 61.13 0.0575 0.0776
2018-03-12 21:22:20 475.94 23.73 12.46 51.04 61.14 0.0579 0.0777
2018-03-12 21:22:21 473.65 23.70 12.43 51.02 61.10 0.0577 0.0775
2018-03-12 21:22:22 477.47 23.77 12.48 51.02 61.12 0.0580 0.0777
2018-03-12 21:22:23 475.89 23.72 12.45 51.02 61.13 0.0579 0.0776
2018-03-12 21:22:24 475.14 23.72 12.45 50.99 61.12 0.0578 0.0776
2018-03-12 21:22:25 478.27 23.81 12.51 51.02 61.14 0.0581 0.0778
2018-03-12 21:22:26 477.74 23.74 12.47 51.02 61.13 0.0580 0.0777
