"2018-03-12 at 22:29"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-12 22:29:03 432.14 22.22 11.03 50.99 59.40 0.0524 0.0722
2018-03-12 22:29:04 430.06 22.17 10.97 51.02 59.33 0.0521 0.0720
2018-03-12 22:29:05 431.82 22.26 11.05 51.02 59.41 0.0524 0.0723
2018-03-12 22:29:06 432.85 22.23 11.06 51.04 59.51 0.0525 0.0724
2018-03-12 22:29:07 432.91 22.17 11.02 51.02 59.52 0.0526 0.0722
2018-03-12 22:29:08 433.77 22.20 11.04 51.02 59.51 0.0526 0.0723
2018-03-12 22:29:09 432.50 22.15 11.00 51.02 59.48 0.0525 0.0721
2018-03-12 22:29:10 434.04 22.17 11.00 51.02 59.43 0.0526 0.0721
2018-03-12 22:29:11 435.55 22.16 11.00 51.02 59.45 0.0527 0.0721
2018-03-12 22:29:12 434.90 22.17 11.01 51.02 59.47 0.0527 0.0722
2018-03-12 22:29:13 436.50 22.14 10.99 51.02 59.47 0.0528 0.0721
2018-03-12 22:29:14 436.03 22.17 11.03 51.02 59.55 0.0529 0.0723
2018-03-12 22:29:15 435.55 22.10 10.97 51.02 59.51 0.0528 0.0721
2018-03-12 22:29:16 438.33 22.12 10.97 51.02 59.43 0.0530 0.0720
2018-03-12 22:29:18 439.16 22.15 10.96 50.99 59.34 0.0530 0.0720
2018-03-12 22:29:19 437.58 22.14 10.96 51.02 59.37 0.0528 0.0720
2018-03-12 22:29:20 439.36 22.18 11.03 51.02 59.51 0.0531 0.0722
2018-03-12 22:29:21 440.08 22.15 11.02 51.02 59.56 0.0532 0.0722
2018-03-12 22:29:22 440.24 22.13 11.00 51.04 59.52 0.0532 0.0721
2018-03-12 22:29:23 440.99 22.11 10.98 51.02 59.49 0.0533 0.0721
2018-03-12 22:29:24 443.08 22.18 11.03 51.02 59.52 0.0535 0.0723
2018-03-12 22:29:25 442.14 22.11 10.97 50.99 59.47 0.0533 0.0721
2018-03-12 22:29:26 442.86 22.16 10.97 51.02 59.32 0.0533 0.0720
2018-03-12 22:29:27 442.62 22.11 10.91 51.02 59.22 0.0531 0.0718
2018-03-12 22:29:28 444.53 22.11 10.90 51.02 59.19 0.0533 0.0717
2018-03-12 22:29:29 444.07 22.13 10.92 51.04 59.21 0.0533 0.0718
2018-03-12 22:29:30 446.42 22.20 10.99 51.02 59.32 0.0536 0.0721
2018-03-12 22:29:31 445.99 22.11 10.95 51.02 59.39 0.0536 0.0719
2018-03-12 22:29:32 445.18 22.08 10.94 51.02 59.41 0.0535 0.0719
2018-03-12 22:29:33 448.60 22.12 10.97 50.99 59.45 0.0539 0.0720
2018-03-12 22:29:34 444.82 22.06 10.93 51.02 59.45 0.0536 0.0719
2018-03-12 22:29:35 448.61 22.08 10.95 51.02 59.48 0.0539 0.0720
2018-03-12 22:29:36 449.68 22.08 10.96 51.02 59.49 0.0540 0.0720
2018-03-12 22:29:37 447.20 21.94 10.82 51.02 59.36 0.0537 0.0715
2018-03-12 22:29:38 450.05 22.03 10.91 51.02 59.45 0.0540 0.0718
2018-03-12 22:29:39 451.92 21.97 10.88 51.02 59.48 0.0542 0.0717
2018-03-12 22:29:40 452.19 21.98 10.88 51.02 59.45 0.0542 0.0717
2018-03-12 22:29:41 449.88 21.87 10.76 51.02 59.32 0.0539 0.0713
2018-03-12 22:29:42 451.85 22.01 10.88 50.99 59.36 0.0541 0.0717
2018-03-12 22:29:43 452.97 22.00 10.89 51.02 59.44 0.0543 0.0718
2018-03-12 22:29:44 452.38 21.91 10.82 51.02 59.43 0.0542 0.0715
2018-03-12 22:29:45 455.55 21.96 10.87 51.02 59.47 0.0545 0.0717
2018-03-12 22:29:46 453.25 21.92 10.85 51.02 59.52 0.0544 0.0717
2018-03-12 22:29:47 455.44 21.92 10.85 51.02 59.49 0.0545 0.0716
2018-03-12 22:29:48 454.98 21.81 10.73 51.02 59.33 0.0543 0.0712
2018-03-12 22:29:49 455.38 21.91 10.80 51.02 59.34 0.0544 0.0714
2018-03-12 22:29:50 456.79 21.87 10.80 51.02 59.45 0.0546 0.0715
2018-03-12 22:29:51 456.22 21.83 10.78 51.02 59.48 0.0546 0.0714
2018-03-12 22:29:52 460.95 21.93 10.85 51.02 59.48 0.0550 0.0716
2018-03-12 22:29:53 458.06 21.76 10.71 51.02 59.40 0.0547 0.0712
2018-03-12 22:29:54 460.68 21.88 10.79 51.02 59.40 0.0549 0.0714
2018-03-12 22:29:55 457.66 21.78 10.74 51.02 59.47 0.0547 0.0713
2018-03-12 22:29:56 462.12 21.91 10.85 51.02 59.51 0.0551 0.0716
2018-03-12 22:29:57 456.89 21.70 10.67 51.02 59.38 0.0545 0.0710
2018-03-12 22:29:58 462.19 21.86 10.80 51.02 59.45 0.0551 0.0715
2018-03-12 22:29:59 460.98 21.77 10.74 51.02 59.48 0.0550 0.0713
2018-03-12 22:30:00 462.97 21.80 10.74 51.02 59.41 0.0551 0.0713
2018-03-12 22:30:01 461.30 21.79 10.72 51.02 59.34 0.0549 0.0712
2018-03-12 22:30:02 465.84 21.81 10.76 51.02 59.44 0.0554 0.0713
2018-03-12 22:30:03 465.07 21.83 10.78 51.02 59.48 0.0553 0.0714
2018-03-12 22:30:04 461.98 21.70 10.65 51.02 59.33 0.0549 0.0710
2018-03-12 22:30:05 465.60 21.75 10.70 51.02 59.36 0.0553 0.0711
2018-03-12 22:30:06 465.50 21.76 10.71 51.02 59.40 0.0553 0.0712
2018-03-12 22:30:07 466.54 21.74 10.72 51.02 59.49 0.0555 0.0712
2018-03-12 22:30:08 465.51 21.69 10.68 51.02 59.49 0.0554 0.0711
2018-03-12 22:30:09 468.67 21.75 10.73 51.02 59.51 0.0557 0.0713
2018-03-12 22:30:10 468.11 21.68 10.68 51.02 59.51 0.0556 0.0711
2018-03-12 22:30:11 468.66 21.68 10.69 51.02 59.53 0.0557 0.0711
2018-03-12 22:30:12 467.52 21.64 10.66 51.02 59.52 0.0556 0.0710
2018-03-12 22:30:13 469.46 21.67 10.69 51.04 59.55 0.0558 0.0711
2018-03-12 22:30:14 468.12 21.57 10.61 51.02 59.51 0.0556 0.0709
2018-03-12 22:30:15 470.90 21.61 10.63 51.02 59.49 0.0559 0.0709
2018-03-12 22:30:16 471.08 21.57 10.60 51.02 59.48 0.0559 0.0708
2018-03-12 22:30:17 473.30 21.56 10.59 51.02 59.45 0.0560 0.0708
2018-03-12 22:30:18 471.27 21.55 10.59 51.02 59.49 0.0559 0.0708
2018-03-12 22:30:19 473.86 21.56 10.61 51.02 59.52 0.0561 0.0709
2018-03-12 22:30:20 473.64 21.57 10.61 51.02 59.52 0.0561 0.0709
2018-03-12 22:30:21 473.54 21.48 10.53 51.02 59.45 0.0561 0.0706
2018-03-12 22:30:22 474.75 21.50 10.54 51.02 59.44 0.0561 0.0706
2018-03-12 22:30:23 474.72 21.49 10.50 51.02 59.32 0.0560 0.0705
2018-03-12 22:30:24 476.23 21.51 10.53 50.99 59.37 0.0562 0.0706
2018-03-12 22:30:25 477.49 21.51 10.56 50.99 59.48 0.0564 0.0707
2018-03-12 22:30:26 478.03 21.51 10.57 51.02 59.53 0.0565 0.0707
2018-03-12 22:30:27 477.26 21.48 10.55 51.02 59.52 0.0564 0.0707
2018-03-12 22:30:28 478.22 21.51 10.56 51.04 59.47 0.0565 0.0707
2018-03-12 22:30:30 478.14 21.50 10.56 51.02 59.51 0.0565 0.0707
2018-03-12 22:30:31 479.81 21.55 10.60 51.02 59.52 0.0567 0.0708
2018-03-12 22:30:32 480.14 21.53 10.60 51.02 59.58 0.0567 0.0708
2018-03-12 22:30:33 479.01 21.53 10.60 51.02 59.57 0.0566 0.0708
2018-03-12 22:30:34 480.65 21.54 10.60 51.02 59.56 0.0568 0.0709
2018-03-12 22:30:35 481.47 21.51 10.57 51.02 59.51 0.0568 0.0707
2018-03-12 22:30:36 482.46 21.53 10.58 51.02 59.51 0.0569 0.0707
2018-03-12 22:30:37 480.63 21.49 10.53 51.02 59.40 0.0566 0.0706
