"2018-03-12 at 22:31"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-12 22:31:38 413.31 21.45 10.39 51.02 58.96 0.0503 0.0700
2018-03-12 22:31:39 415.70 21.52 10.44 51.02 58.99 0.0505 0.0702
2018-03-12 22:31:40 415.39 21.46 10.40 51.02 58.99 0.0505 0.0700
2018-03-12 22:31:41 416.98 21.50 10.44 51.02 59.02 0.0507 0.0702
2018-03-12 22:31:42 417.84 21.50 10.44 51.02 59.03 0.0508 0.0702
2018-03-12 22:31:43 417.50 21.50 10.43 51.02 59.00 0.0507 0.0701
2018-03-12 22:31:44 418.81 21.49 10.42 51.02 59.00 0.0508 0.0701
2018-03-12 22:31:45 418.85 21.51 10.45 51.02 59.04 0.0509 0.0702
2018-03-12 22:31:46 419.61 21.54 10.47 51.02 59.06 0.0509 0.0703
2018-03-12 22:31:47 420.04 21.50 10.43 51.02 59.00 0.0509 0.0701
2018-03-12 22:31:48 420.60 21.53 10.45 51.02 59.00 0.0510 0.0702
2018-03-12 22:31:49 420.94 21.53 10.46 51.02 59.02 0.0510 0.0702
2018-03-12 22:31:50 422.14 21.53 10.46 51.02 59.03 0.0512 0.0702
2018-03-12 22:31:52 423.49 21.50 10.43 51.02 59.02 0.0513 0.0701
2018-03-12 22:31:53 425.54 21.54 10.46 51.02 59.02 0.0514 0.0702
2018-03-12 22:31:54 424.16 21.46 10.43 51.02 59.09 0.0514 0.0701
2018-03-12 22:31:55 426.66 21.46 10.42 51.02 59.06 0.0516 0.0701
2018-03-12 22:31:56 425.38 21.43 10.38 51.02 59.00 0.0514 0.0700
2018-03-12 22:31:57 426.42 21.47 10.42 51.02 59.02 0.0515 0.0701
2018-03-12 22:31:58 426.94 21.42 10.38 51.04 59.02 0.0516 0.0700
2018-03-12 22:31:59 428.18 21.45 10.42 51.02 59.10 0.0518 0.0701
2018-03-12 22:32:00 429.98 21.45 10.43 51.02 59.15 0.0520 0.0702
2018-03-12 22:32:01 427.93 21.40 10.38 51.02 59.06 0.0517 0.0700
2018-03-12 22:32:02 429.79 21.35 10.34 51.02 59.06 0.0519 0.0698
2018-03-12 22:32:03 430.46 21.39 10.35 51.02 58.98 0.0518 0.0698
2018-03-12 22:32:04 431.16 21.39 10.34 51.02 58.94 0.0519 0.0698
2018-03-12 22:32:05 432.62 21.41 10.35 51.04 58.95 0.0520 0.0699
2018-03-12 22:32:06 433.74 21.43 10.37 51.02 58.96 0.0521 0.0699
2018-03-12 22:32:07 433.24 21.40 10.35 51.02 58.96 0.0521 0.0698
2018-03-12 22:32:08 434.60 21.40 10.36 51.02 58.98 0.0522 0.0699
2018-03-12 22:32:09 433.78 21.38 10.34 51.02 58.98 0.0521 0.0698
2018-03-12 22:32:10 434.51 21.36 10.33 51.02 58.99 0.0522 0.0698
2018-03-12 22:32:11 434.74 21.38 10.34 51.02 58.99 0.0522 0.0698
2018-03-12 22:32:12 437.76 21.38 10.34 51.02 58.99 0.0525 0.0698
2018-03-12 22:32:13 436.63 21.35 10.33 51.04 59.02 0.0524 0.0698
2018-03-12 22:32:14 438.73 21.40 10.36 51.02 59.00 0.0526 0.0699
2018-03-12 22:32:15 438.77 21.32 10.31 51.02 59.02 0.0526 0.0697
2018-03-12 22:32:16 438.91 21.34 10.32 50.99 59.00 0.0526 0.0698
2018-03-12 22:32:17 440.33 21.35 10.33 51.02 58.99 0.0527 0.0698
2018-03-12 22:32:18 440.60 21.33 10.32 51.02 59.02 0.0528 0.0698
2018-03-12 22:32:19 442.91 21.35 10.33 51.02 59.02 0.0530 0.0698
2018-03-12 22:32:20 441.10 21.32 10.31 51.02 59.02 0.0528 0.0697
2018-03-12 22:32:21 442.17 21.35 10.34 51.02 59.07 0.0530 0.0699
2018-03-12 22:32:22 442.79 21.33 10.32 51.02 59.04 0.0530 0.0698
2018-03-12 22:32:23 444.58 21.39 10.36 51.02 58.99 0.0531 0.0699
2018-03-12 22:32:24 443.94 21.32 10.31 50.99 59.02 0.0531 0.0697
2018-03-12 22:32:25 445.34 21.36 10.34 50.99 59.02 0.0532 0.0698
2018-03-12 22:32:26 444.47 21.28 10.27 51.02 58.99 0.0531 0.0696
2018-03-12 22:32:27 448.15 21.35 10.34 51.02 59.04 0.0535 0.0698
2018-03-12 22:32:28 447.57 21.32 10.31 51.02 59.02 0.0534 0.0697
2018-03-12 22:32:29 448.80 21.35 10.33 51.02 59.03 0.0535 0.0698
2018-03-12 22:32:30 448.77 21.30 10.29 51.02 59.02 0.0535 0.0697
2018-03-12 22:32:31 449.87 21.28 10.28 50.99 59.03 0.0536 0.0697
2018-03-12 22:32:32 451.34 21.31 10.31 50.99 59.03 0.0537 0.0697
2018-03-12 22:32:33 450.64 21.26 10.27 51.02 59.02 0.0537 0.0696
2018-03-12 22:32:34 451.62 21.31 10.31 51.02 59.03 0.0538 0.0697
2018-03-12 22:32:35 452.78 21.30 10.30 51.04 59.03 0.0539 0.0697
2018-03-12 22:32:36 452.36 21.25 10.26 51.02 59.00 0.0538 0.0696
2018-03-12 22:32:37 455.50 21.33 10.32 51.02 59.03 0.0541 0.0698
2018-03-12 22:32:38 454.34 21.29 10.30 51.02 59.06 0.0540 0.0697
2018-03-12 22:32:39 454.74 21.26 10.27 50.99 59.00 0.0540 0.0696
2018-03-12 22:32:40 455.86 21.25 10.25 51.02 58.99 0.0541 0.0695
2018-03-12 22:32:41 457.18 21.27 10.28 51.02 59.04 0.0542 0.0696
2018-03-12 22:32:42 457.35 21.33 10.32 51.02 59.00 0.0542 0.0697
2018-03-12 22:32:43 457.89 21.26 10.26 51.04 59.00 0.0543 0.0696
2018-03-12 22:32:44 458.02 21.31 10.31 51.02 59.04 0.0543 0.0697
2018-03-12 22:32:45 460.09 21.25 10.26 51.02 59.02 0.0545 0.0696
2018-03-12 22:32:46 461.54 21.27 10.27 51.02 59.00 0.0546 0.0696
2018-03-12 22:32:47 460.56 21.21 10.22 50.99 58.97 0.0545 0.0694
2018-03-12 22:32:48 463.66 21.29 10.28 51.02 58.99 0.0548 0.0696
2018-03-12 22:32:49 462.48 21.20 10.22 51.02 59.00 0.0547 0.0694
2018-03-12 22:32:50 462.18 21.19 10.22 51.02 59.00 0.0546 0.0694
2018-03-12 22:32:51 466.14 21.27 10.29 51.02 59.07 0.0551 0.0697
2018-03-12 22:32:52 463.54 21.19 10.20 51.02 58.96 0.0547 0.0694
2018-03-12 22:32:53 465.91 21.25 10.25 50.99 58.98 0.0549 0.0695
2018-03-12 22:32:54 465.25 21.23 10.23 51.02 58.95 0.0549 0.0695
2018-03-12 22:32:55 465.75 21.20 10.20 51.02 58.95 0.0549 0.0694
2018-03-12 22:32:56 468.16 21.26 10.26 51.02 59.00 0.0552 0.0696
2018-03-12 22:32:57 466.81 21.17 10.19 51.04 58.98 0.0550 0.0693
2018-03-12 22:32:58 469.75 21.22 10.23 51.02 58.98 0.0553 0.0695
2018-03-12 22:32:59 469.77 21.16 10.19 51.02 58.98 0.0553 0.0693
2018-03-12 22:33:00 469.67 21.22 10.25 51.02 59.05 0.0553 0.0695
2018-03-12 22:33:01 469.72 21.17 10.24 51.02 59.14 0.0554 0.0695
2018-03-12 22:33:02 471.64 21.18 10.24 51.02 59.14 0.0556 0.0695
2018-03-12 22:33:04 472.84 21.23 10.28 51.02 59.15 0.0557 0.0697
2018-03-12 22:33:05 471.39 21.14 10.20 51.02 59.09 0.0555 0.0694
2018-03-12 22:33:06 470.88 21.10 10.15 51.02 58.99 0.0554 0.0692
2018-03-12 22:33:07 473.11 21.14 10.17 51.02 58.97 0.0556 0.0693
