"2018-03-14 at 15:08"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 15:08:58 416.77 21.01 9.47 51.02 56.62 0.0486 0.0664
2018-03-14 15:08:59 418.24 20.98 9.44 51.02 56.59 0.0487 0.0663
2018-03-14 15:09:00 416.68 20.95 9.42 51.02 56.59 0.0485 0.0662
2018-03-14 15:09:01 417.13 20.94 9.41 51.02 56.59 0.0486 0.0662
2018-03-14 15:09:02 417.85 20.91 9.38 50.99 56.55 0.0486 0.0661
2018-03-14 15:09:03 418.97 20.94 9.41 51.02 56.58 0.0487 0.0662
2018-03-14 15:09:04 418.52 20.90 9.38 51.02 56.59 0.0487 0.0661
2018-03-14 15:09:05 419.85 20.85 9.36 51.02 56.61 0.0488 0.0660
2018-03-14 15:09:06 418.47 20.84 9.35 51.04 56.60 0.0487 0.0660
2018-03-14 15:09:07 420.65 20.83 9.34 51.02 56.59 0.0489 0.0659
2018-03-14 15:09:08 420.25 20.79 9.30 51.02 56.56 0.0488 0.0658
2018-03-14 15:09:09 420.34 20.74 9.26 50.99 56.56 0.0488 0.0657
2018-03-14 15:09:10 421.12 20.76 9.29 50.99 56.59 0.0489 0.0658
2018-03-14 15:09:11 420.64 20.70 9.25 50.99 56.61 0.0489 0.0657
2018-03-14 15:09:12 422.46 20.71 9.26 51.02 56.63 0.0491 0.0657
2018-03-14 15:09:13 421.36 20.69 9.24 51.02 56.61 0.0489 0.0656
2018-03-14 15:09:14 421.65 20.70 9.25 51.02 56.60 0.0490 0.0657
2018-03-14 15:09:15 423.36 20.77 9.30 51.02 56.62 0.0491 0.0658
2018-03-14 15:09:16 423.00 20.74 9.28 50.99 56.62 0.0491 0.0658
2018-03-14 15:09:17 424.32 20.78 9.30 50.99 56.60 0.0492 0.0658
2018-03-14 15:09:18 423.16 20.75 9.29 50.99 56.63 0.0491 0.0658
2018-03-14 15:09:19 423.84 20.77 9.30 50.99 56.62 0.0492 0.0658
2018-03-14 15:09:20 424.90 20.84 9.35 51.02 56.62 0.0493 0.0660
2018-03-14 15:09:21 424.89 20.86 9.37 51.02 56.62 0.0493 0.0660
2018-03-14 15:09:22 424.48 20.90 9.40 51.02 56.63 0.0492 0.0661
2018-03-14 15:09:23 426.65 20.89 9.38 51.02 56.60 0.0494 0.0661
2018-03-14 15:09:24 425.28 20.89 9.38 51.02 56.60 0.0493 0.0661
2018-03-14 15:09:25 426.38 20.88 9.38 50.99 56.61 0.0494 0.0661
2018-03-14 15:09:26 426.41 20.89 9.39 51.02 56.61 0.0494 0.0661
2018-03-14 15:09:27 426.93 20.87 9.37 51.02 56.63 0.0494 0.0661
2018-03-14 15:09:28 427.52 20.82 9.34 51.04 56.63 0.0495 0.0659
2018-03-14 15:09:29 426.99 20.83 9.34 51.02 56.59 0.0494 0.0659
2018-03-14 15:09:30 428.14 20.81 9.33 51.02 56.59 0.0495 0.0659
2018-03-14 15:09:31 428.61 20.86 9.36 50.99 56.60 0.0496 0.0660
2018-03-14 15:09:32 428.75 20.86 9.36 51.02 56.62 0.0496 0.0660
2018-03-14 15:09:33 429.33 20.89 9.39 50.99 56.63 0.0496 0.0661
2018-03-14 15:09:34 429.67 20.84 9.35 51.02 56.60 0.0497 0.0660
2018-03-14 15:09:35 430.98 20.91 9.40 51.04 56.63 0.0498 0.0661
2018-03-14 15:09:36 430.54 20.88 9.38 51.02 56.64 0.0498 0.0661
2018-03-14 15:09:37 428.94 20.90 9.39 51.02 56.60 0.0496 0.0661
2018-03-14 15:09:38 431.94 20.90 9.40 51.02 56.62 0.0499 0.0661
2018-03-14 15:09:39 431.11 20.93 9.42 50.99 56.63 0.0498 0.0662
2018-03-14 15:09:40 431.71 20.85 9.36 50.99 56.63 0.0499 0.0660
2018-03-14 15:09:41 432.84 20.91 9.40 50.99 56.63 0.0500 0.0662
2018-03-14 15:09:42 432.64 20.89 9.39 51.02 56.64 0.0499 0.0661
2018-03-14 15:09:43 432.42 20.86 9.37 51.02 56.63 0.0499 0.0660
2018-03-14 15:09:44 432.48 20.89 9.39 51.02 56.63 0.0499 0.0661
2018-03-14 15:09:45 433.43 20.86 9.37 50.99 56.63 0.0500 0.0661
2018-03-14 15:09:46 432.82 20.87 9.36 50.99 56.60 0.0499 0.0660
2018-03-14 15:09:47 434.31 20.88 9.37 50.99 56.59 0.0500 0.0660
2018-03-14 15:09:48 435.32 20.89 9.38 51.02 56.59 0.0501 0.0661
2018-03-14 15:09:49 434.18 20.87 9.37 51.02 56.63 0.0501 0.0661
2018-03-14 15:09:50 434.43 20.85 9.36 51.04 56.63 0.0501 0.0660
2018-03-14 15:09:51 435.31 20.83 9.34 51.02 56.59 0.0501 0.0659
2018-03-14 15:09:52 436.69 20.87 9.37 51.02 56.59 0.0502 0.0660
2018-03-14 15:09:53 435.85 20.85 9.35 50.99 56.60 0.0502 0.0660
2018-03-14 15:09:54 437.01 20.85 9.36 50.99 56.62 0.0503 0.0660
2018-03-14 15:09:55 436.89 20.85 9.37 50.99 56.65 0.0503 0.0661
2018-03-14 15:09:56 437.26 20.89 9.39 51.02 56.64 0.0503 0.0661
2018-03-14 15:09:57 436.42 20.88 9.39 51.04 56.67 0.0503 0.0661
2018-03-14 15:09:58 436.38 20.86 9.37 51.02 56.63 0.0502 0.0660
2018-03-14 15:09:59 436.16 20.84 9.35 51.02 56.60 0.0502 0.0660
2018-03-14 15:10:00 438.65 20.86 9.36 51.02 56.59 0.0504 0.0660
2018-03-14 15:10:01 438.27 20.84 9.35 51.02 56.63 0.0504 0.0660
2018-03-14 15:10:03 438.97 20.82 9.34 50.99 56.63 0.0505 0.0660
2018-03-14 15:10:04 437.73 20.83 9.34 50.99 56.60 0.0503 0.0659
2018-03-14 15:10:05 440.68 20.91 9.40 51.02 56.64 0.0506 0.0662
2018-03-14 15:10:06 438.51 20.92 9.42 51.02 56.64 0.0504 0.0662
2018-03-14 15:10:07 438.67 20.88 9.38 51.02 56.62 0.0504 0.0661
2018-03-14 15:10:08 439.35 20.92 9.40 51.02 56.58 0.0505 0.0661
2018-03-14 15:10:09 440.85 21.00 9.46 51.02 56.58 0.0506 0.0663
2018-03-14 15:10:10 440.58 20.97 9.44 50.99 56.61 0.0506 0.0663
2018-03-14 15:10:11 441.63 21.02 9.48 51.02 56.63 0.0507 0.0664
2018-03-14 15:10:12 441.61 20.97 9.44 51.02 56.63 0.0507 0.0663
2018-03-14 15:10:13 441.34 21.03 9.49 51.04 56.64 0.0507 0.0664
2018-03-14 15:10:14 440.46 21.04 9.51 51.02 56.65 0.0506 0.0665
2018-03-14 15:10:15 443.76 21.13 9.56 51.02 56.63 0.0509 0.0666
2018-03-14 15:10:16 443.17 21.09 9.52 50.99 56.59 0.0508 0.0665
2018-03-14 15:10:17 441.18 21.06 9.49 50.99 56.56 0.0506 0.0664
2018-03-14 15:10:18 443.94 21.15 9.57 50.99 56.61 0.0509 0.0667
2018-03-14 15:10:19 443.05 21.13 9.55 51.02 56.61 0.0508 0.0666
2018-03-14 15:10:20 443.17 21.17 9.58 51.04 56.62 0.0508 0.0667
2018-03-14 15:10:21 443.47 21.14 9.57 51.02 56.64 0.0509 0.0667
2018-03-14 15:10:22 444.14 21.19 9.60 51.02 56.62 0.0509 0.0668
2018-03-14 15:10:23 445.58 21.15 9.56 51.02 56.58 0.0510 0.0666
2018-03-14 15:10:24 444.91 21.24 9.63 50.99 56.61 0.0510 0.0669
2018-03-14 15:10:25 443.40 21.18 9.59 50.99 56.60 0.0508 0.0667
2018-03-14 15:10:26 445.48 21.22 9.61 50.99 56.59 0.0510 0.0668
2018-03-14 15:10:27 444.27 21.24 9.63 51.02 56.60 0.0509 0.0669
2018-03-14 15:10:28 446.19 21.20 9.59 51.02 56.58 0.0510 0.0667
2018-03-14 15:10:29 447.20 21.23 9.62 51.02 56.60 0.0511 0.0668
2018-03-14 15:10:30 445.72 21.18 9.57 51.02 56.55 0.0510 0.0667
2018-03-14 15:10:31 446.74 21.18 9.59 50.99 56.59 0.0511 0.0667
2018-03-14 15:10:32 446.90 21.18 9.59 50.99 56.62 0.0511 0.0668
2018-03-14 15:10:33 447.29 21.17 9.58 51.02 56.63 0.0512 0.0667
2018-03-14 15:10:34 448.68 21.13 9.56 51.02 56.64 0.0513 0.0667
2018-03-14 15:10:35 447.49 21.15 9.58 51.04 56.64 0.0512 0.0667
2018-03-14 15:10:36 447.89 21.05 9.49 51.02 56.60 0.0512 0.0664
2018-03-14 15:10:37 449.21 21.13 9.56 51.02 56.62 0.0513 0.0666
2018-03-14 15:10:38 450.13 21.06 9.50 50.99 56.59 0.0514 0.0664
2018-03-14 15:10:39 449.88 21.05 9.50 51.02 56.61 0.0514 0.0665
2018-03-14 15:10:40 449.80 21.06 9.51 50.99 56.63 0.0514 0.0665
2018-03-14 15:10:41 449.64 20.95 9.41 51.02 56.53 0.0513 0.0661
2018-03-14 15:10:42 451.01 21.02 9.46 51.04 56.55 0.0514 0.0663
2018-03-14 15:10:43 449.96 20.97 9.44 51.02 56.60 0.0514 0.0663
2018-03-14 15:10:44 452.77 21.00 9.47 51.02 56.63 0.0516 0.0664
2018-03-14 15:10:45 449.76 20.93 9.41 50.99 56.60 0.0514 0.0662
2018-03-14 15:10:46 453.05 21.01 9.46 50.99 56.59 0.0516 0.0663
2018-03-14 15:10:47 450.30 20.94 9.40 51.02 56.52 0.0513 0.0661
