"2018-03-14 at 15:24"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 15:24:37 413.54 23.96 11.25 51.02 55.90 0.0477 0.0719
2018-03-14 15:24:38 416.12 24.07 11.39 51.02 56.15 0.0481 0.0724
2018-03-14 15:24:39 411.82 23.92 11.26 51.02 56.03 0.0476 0.0719
2018-03-14 15:24:40 415.32 24.07 11.35 51.02 56.00 0.0479 0.0722
2018-03-14 15:24:41 413.12 23.89 11.21 51.02 55.91 0.0476 0.0717
2018-03-14 15:24:42 415.76 24.03 11.30 51.02 55.93 0.0479 0.0720
2018-03-14 15:24:43 414.49 24.04 11.31 51.02 55.95 0.0478 0.0721
2018-03-14 15:24:44 416.82 24.06 11.35 51.04 56.04 0.0481 0.0722
2018-03-14 15:24:45 413.29 23.87 11.20 51.02 55.93 0.0477 0.0717
2018-03-14 15:24:46 415.45 24.04 11.29 51.02 55.88 0.0478 0.0720
2018-03-14 15:24:47 414.15 23.97 11.26 51.02 55.91 0.0477 0.0719
2018-03-14 15:24:48 419.20 24.24 11.49 51.02 56.13 0.0484 0.0727
2018-03-14 15:24:49 412.08 23.96 11.28 50.99 56.01 0.0477 0.0720
2018-03-14 15:24:50 419.29 24.08 11.36 51.02 56.04 0.0483 0.0723
2018-03-14 15:24:51 413.99 23.91 11.24 51.04 55.97 0.0478 0.0718
2018-03-14 15:24:52 417.98 24.13 11.38 51.04 55.99 0.0481 0.0723
2018-03-14 15:24:53 416.38 24.13 11.39 51.02 56.01 0.0480 0.0724
2018-03-14 15:24:54 415.82 23.95 11.25 51.02 55.93 0.0479 0.0719
2018-03-14 15:24:55 416.47 23.99 11.27 50.99 55.92 0.0479 0.0720
2018-03-14 15:24:56 418.03 24.06 11.33 51.02 55.97 0.0481 0.0722
2018-03-14 15:24:57 415.38 23.96 11.22 51.02 55.81 0.0478 0.0718
2018-03-14 15:24:58 416.43 23.95 11.20 51.02 55.73 0.0478 0.0716
2018-03-14 15:24:59 419.26 24.07 11.29 51.04 55.81 0.0481 0.0720
2018-03-14 15:25:00 417.70 23.99 11.28 51.02 55.95 0.0481 0.0720
2018-03-14 15:25:01 418.02 23.95 11.26 51.02 55.96 0.0481 0.0719
2018-03-14 15:25:02 416.14 23.86 11.15 51.02 55.75 0.0478 0.0715
2018-03-14 15:25:03 418.28 24.07 11.27 51.02 55.74 0.0479 0.0719
2018-03-14 15:25:04 419.67 24.02 11.27 51.02 55.84 0.0481 0.0719
2018-03-14 15:25:05 419.23 24.19 11.41 51.02 55.96 0.0482 0.0724
2018-03-14 15:25:06 418.75 24.00 11.31 51.04 56.04 0.0482 0.0721
2018-03-14 15:25:07 418.58 24.01 11.29 51.02 55.93 0.0481 0.0720
2018-03-14 15:25:08 420.33 24.17 11.36 51.02 55.82 0.0482 0.0722
2018-03-14 15:25:09 418.60 24.12 11.30 51.02 55.73 0.0480 0.0720
2018-03-14 15:25:11 419.01 24.18 11.36 50.99 55.80 0.0481 0.0722
2018-03-14 15:25:12 421.59 24.26 11.43 51.02 55.88 0.0483 0.0725
2018-03-14 15:25:13 420.09 24.24 11.45 51.02 55.98 0.0483 0.0725
2018-03-14 15:25:14 419.22 24.25 11.45 51.04 56.00 0.0482 0.0726
2018-03-14 15:25:15 419.44 24.31 11.49 51.04 55.99 0.0483 0.0727
2018-03-14 15:25:16 420.04 24.40 11.53 51.02 55.93 0.0483 0.0728
2018-03-14 15:25:17 422.07 24.36 11.49 51.02 55.89 0.0484 0.0727
2018-03-14 15:25:18 420.31 24.33 11.45 51.02 55.77 0.0481 0.0725
2018-03-14 15:25:19 422.46 24.58 11.61 51.02 55.82 0.0484 0.0731
2018-03-14 15:25:20 421.37 24.52 11.60 51.02 55.89 0.0483 0.0730
2018-03-14 15:25:21 422.20 24.47 11.57 51.04 55.90 0.0484 0.0729
2018-03-14 15:25:22 423.23 24.64 11.71 51.04 56.04 0.0486 0.0734
2018-03-14 15:25:23 419.33 24.43 11.56 51.02 55.96 0.0482 0.0729
2018-03-14 15:25:24 423.14 24.62 11.67 51.02 55.94 0.0485 0.0733
2018-03-14 15:25:25 418.42 24.41 11.53 51.02 55.90 0.0481 0.0728
2018-03-14 15:25:26 423.08 24.51 11.59 50.99 55.91 0.0485 0.0730
2018-03-14 15:25:27 420.40 24.51 11.57 51.02 55.85 0.0482 0.0729
2018-03-14 15:25:28 423.70 24.58 11.62 51.02 55.85 0.0485 0.0731
2018-03-14 15:25:29 423.82 24.65 11.66 51.04 55.85 0.0485 0.0732
2018-03-14 15:25:30 422.63 24.56 11.65 51.04 56.01 0.0485 0.0732
2018-03-14 15:25:31 422.61 24.44 11.55 51.02 55.89 0.0484 0.0729
2018-03-14 15:25:32 422.82 24.61 11.68 51.02 56.00 0.0486 0.0733
2018-03-14 15:25:33 424.41 24.55 11.67 51.02 56.11 0.0488 0.0733
2018-03-14 15:25:34 420.85 24.39 11.54 51.02 56.00 0.0484 0.0729
2018-03-14 15:25:35 425.77 24.71 11.75 51.02 56.03 0.0488 0.0736
2018-03-14 15:25:36 422.45 24.53 11.61 51.02 55.93 0.0485 0.0731
2018-03-14 15:25:37 424.39 24.61 11.66 51.04 55.92 0.0486 0.0732
2018-03-14 15:25:38 423.41 24.54 11.61 51.02 55.92 0.0485 0.0731
2018-03-14 15:25:39 424.19 24.43 11.54 51.02 55.88 0.0486 0.0728
2018-03-14 15:25:40 425.62 24.61 11.68 51.02 56.00 0.0488 0.0733
2018-03-14 15:25:41 422.20 24.32 11.48 50.99 55.90 0.0484 0.0726
2018-03-14 15:25:42 426.39 24.64 11.67 51.02 55.90 0.0488 0.0733
2018-03-14 15:25:43 423.98 24.62 11.65 51.02 55.85 0.0485 0.0732
2018-03-14 15:25:44 422.68 24.55 11.59 51.04 55.80 0.0484 0.0730
2018-03-14 15:25:45 426.93 24.74 11.73 51.02 55.91 0.0488 0.0735
2018-03-14 15:25:46 425.66 24.64 11.63 51.02 55.76 0.0486 0.0731
2018-03-14 15:25:47 424.58 24.72 11.67 51.02 55.73 0.0485 0.0732
2018-03-14 15:25:48 427.87 24.77 11.73 50.99 55.82 0.0488 0.0735
2018-03-14 15:25:49 430.55 25.00 11.94 51.02 56.07 0.0493 0.0742
2018-03-14 15:25:50 423.75 24.78 11.82 51.02 56.13 0.0488 0.0739
2018-03-14 15:25:51 425.20 24.85 11.85 51.04 56.09 0.0488 0.0739
2018-03-14 15:25:52 426.47 25.01 11.89 51.02 55.88 0.0488 0.0740
2018-03-14 15:25:53 426.75 25.08 11.92 51.02 55.84 0.0488 0.0741
2018-03-14 15:25:54 427.41 25.16 11.99 51.02 55.92 0.0489 0.0744
2018-03-14 15:25:55 428.46 25.26 12.06 50.99 55.93 0.0490 0.0746
2018-03-14 15:25:56 425.54 25.27 12.07 51.02 55.97 0.0488 0.0747
2018-03-14 15:25:57 428.77 25.48 12.22 51.02 56.04 0.0491 0.0752
2018-03-14 15:25:58 425.94 25.31 12.11 51.04 56.03 0.0488 0.0748
2018-03-14 15:25:59 426.39 25.46 12.19 51.02 56.00 0.0489 0.0751
2018-03-14 15:26:00 429.32 25.44 12.21 51.02 56.11 0.0492 0.0752
2018-03-14 15:26:01 428.40 25.55 12.27 51.02 56.10 0.0491 0.0754
2018-03-14 15:26:02 427.87 25.52 12.20 50.99 55.91 0.0489 0.0751
2018-03-14 15:26:03 429.18 25.63 12.27 51.02 55.90 0.0490 0.0753
2018-03-14 15:26:04 426.56 25.51 12.19 51.02 55.86 0.0488 0.0750
2018-03-14 15:26:05 429.97 25.84 12.39 51.04 55.89 0.0491 0.0757
2018-03-14 15:26:06 428.41 25.76 12.38 51.02 56.04 0.0491 0.0757
2018-03-14 15:26:07 430.00 25.68 12.33 51.02 56.01 0.0492 0.0756
2018-03-14 15:26:08 426.25 25.45 12.18 51.02 55.96 0.0488 0.0750
2018-03-14 15:26:09 429.98 25.72 12.36 51.02 56.04 0.0492 0.0757
2018-03-14 15:26:10 428.35 25.71 12.35 50.99 56.04 0.0491 0.0756
2018-03-14 15:26:11 429.23 25.65 12.34 51.02 56.11 0.0492 0.0756
2018-03-14 15:26:12 426.49 25.56 12.23 51.02 55.90 0.0488 0.0752
2018-03-14 15:26:13 430.14 25.79 12.36 51.02 55.89 0.0491 0.0756
2018-03-14 15:26:14 429.56 25.74 12.36 51.02 56.01 0.0491 0.0757
2018-03-14 15:26:15 430.84 25.68 12.35 51.02 56.09 0.0493 0.0756
2018-03-14 15:26:16 428.00 25.62 12.31 51.02 56.07 0.0491 0.0755
2018-03-14 15:26:17 430.77 25.70 12.34 50.99 56.03 0.0493 0.0756
2018-03-14 15:26:18 431.70 25.74 12.37 51.02 56.04 0.0494 0.0757
2018-03-14 15:26:19 430.76 25.64 12.30 51.02 55.98 0.0492 0.0754
2018-03-14 15:26:20 428.66 25.67 12.29 51.02 55.89 0.0490 0.0754
2018-03-14 15:26:21 430.70 25.71 12.31 51.04 55.88 0.0491 0.0754
2018-03-14 15:26:22 430.75 25.79 12.38 51.02 55.97 0.0492 0.0757
2018-03-14 15:26:24 432.10 25.69 12.36 51.02 56.10 0.0494 0.0757
2018-03-14 15:26:25 427.09 25.42 12.17 51.02 55.99 0.0489 0.0750
2018-03-14 15:26:26 435.64 25.85 12.46 50.99 56.12 0.0498 0.0760
2018-03-14 15:26:27 426.78 25.42 12.21 51.02 56.13 0.0490 0.0752
2018-03-14 15:26:28 433.03 25.61 12.31 51.02 56.11 0.0495 0.0755
2018-03-14 15:26:29 429.93 25.56 12.25 51.04 55.96 0.0491 0.0752
2018-03-14 15:26:30 431.54 25.55 12.20 51.02 55.84 0.0492 0.0750
2018-03-14 15:26:31 432.87 25.53 12.22 51.02 55.95 0.0494 0.0752
