"2018-03-14 at 15:27"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 15:27:32 400.01 25.04 11.97 51.02 56.11 0.0467 0.0744
2018-03-14 15:27:33 406.04 25.22 12.09 50.99 56.16 0.0473 0.0748
2018-03-14 15:27:34 401.49 25.06 11.98 51.02 56.08 0.0468 0.0744
2018-03-14 15:27:35 403.17 25.10 12.00 51.04 56.08 0.0469 0.0744
2018-03-14 15:27:36 402.96 25.02 11.92 51.04 55.96 0.0468 0.0741
2018-03-14 15:27:37 402.43 24.99 11.85 51.04 55.78 0.0466 0.0738
2018-03-14 15:27:38 405.20 25.02 11.87 51.02 55.80 0.0469 0.0739
2018-03-14 15:27:39 402.00 25.04 11.90 51.02 55.86 0.0467 0.0740
2018-03-14 15:27:40 404.87 25.10 11.96 50.99 55.93 0.0470 0.0743
2018-03-14 15:27:41 405.48 25.08 12.00 51.02 56.12 0.0472 0.0745
2018-03-14 15:27:42 405.67 25.15 12.12 51.02 56.39 0.0474 0.0749
2018-03-14 15:27:43 402.88 25.03 11.99 51.02 56.19 0.0470 0.0744
2018-03-14 15:27:44 404.10 25.18 12.09 51.02 56.24 0.0472 0.0748
2018-03-14 15:27:45 407.33 25.16 12.08 51.02 56.26 0.0475 0.0748
2018-03-14 15:27:46 404.70 25.22 12.06 51.02 56.06 0.0471 0.0747
2018-03-14 15:27:47 406.38 25.22 12.06 50.99 56.01 0.0472 0.0746
2018-03-14 15:27:48 404.71 25.03 11.91 51.02 55.90 0.0469 0.0741
2018-03-14 15:27:49 404.62 25.09 11.92 51.02 55.81 0.0468 0.0741
2018-03-14 15:27:50 407.58 25.19 11.99 51.04 55.83 0.0471 0.0743
2018-03-14 15:27:51 407.36 25.05 11.90 51.04 55.84 0.0471 0.0740
2018-03-14 15:27:52 405.95 25.08 11.96 51.02 55.97 0.0471 0.0743
2018-03-14 15:27:53 409.06 25.13 12.02 51.02 56.09 0.0475 0.0745
2018-03-14 15:27:54 406.24 25.01 11.92 51.02 55.99 0.0471 0.0741
2018-03-14 15:27:55 407.13 25.05 11.95 50.99 56.01 0.0472 0.0743
2018-03-14 15:27:56 408.07 25.15 12.02 51.02 56.06 0.0473 0.0745
2018-03-14 15:27:57 407.43 25.17 12.04 51.02 56.08 0.0473 0.0746
2018-03-14 15:27:58 405.74 25.14 11.98 51.04 55.91 0.0470 0.0743
2018-03-14 15:27:59 407.42 25.16 11.97 51.02 55.84 0.0471 0.0743
2018-03-14 15:28:00 411.39 25.37 12.13 51.02 55.94 0.0475 0.0748
2018-03-14 15:28:01 407.87 25.16 12.00 51.02 55.95 0.0472 0.0744
2018-03-14 15:28:02 408.69 25.26 12.07 50.99 55.96 0.0473 0.0746
2018-03-14 15:28:03 407.51 25.29 12.08 51.02 55.96 0.0472 0.0747
2018-03-14 15:28:04 408.89 25.29 12.07 51.02 55.93 0.0473 0.0746
2018-03-14 15:28:05 408.19 25.29 12.07 51.02 55.92 0.0472 0.0746
2018-03-14 15:28:06 411.18 25.36 12.15 51.04 56.08 0.0476 0.0750
2018-03-14 15:28:07 411.77 25.39 12.20 51.02 56.16 0.0478 0.0751
2018-03-14 15:28:08 406.54 25.16 11.98 51.02 55.86 0.0470 0.0743
2018-03-14 15:28:09 409.75 25.42 12.13 51.02 55.85 0.0473 0.0748
2018-03-14 15:28:10 409.56 25.40 12.10 50.99 55.78 0.0472 0.0747
2018-03-14 15:28:11 411.16 25.41 12.12 51.02 55.85 0.0474 0.0748
2018-03-14 15:28:12 408.87 25.40 12.14 51.02 55.93 0.0473 0.0749
2018-03-14 15:28:13 407.81 25.43 12.16 51.04 55.94 0.0472 0.0749
2018-03-14 15:28:14 413.05 25.68 12.34 51.02 56.05 0.0478 0.0756
2018-03-14 15:28:15 411.75 25.59 12.32 51.02 56.18 0.0478 0.0756
2018-03-14 15:28:16 407.72 25.44 12.19 51.02 56.03 0.0473 0.0751
2018-03-14 15:28:17 411.12 25.65 12.32 50.99 56.04 0.0476 0.0755
2018-03-14 15:28:18 412.35 25.71 12.38 51.02 56.15 0.0478 0.0758
2018-03-14 15:28:19 408.93 25.49 12.24 51.02 56.09 0.0475 0.0753
2018-03-14 15:28:20 409.48 25.54 12.21 51.04 55.86 0.0473 0.0751
2018-03-14 15:28:21 410.31 25.63 12.23 51.04 55.77 0.0473 0.0751
2018-03-14 15:28:22 414.13 25.80 12.36 51.02 55.88 0.0477 0.0756
2018-03-14 15:28:23 412.49 25.77 12.35 51.02 55.89 0.0476 0.0756
2018-03-14 15:28:24 410.87 25.69 12.29 50.99 55.84 0.0474 0.0753
2018-03-14 15:28:25 411.46 25.78 12.35 51.02 55.88 0.0475 0.0756
2018-03-14 15:28:26 413.41 25.76 12.37 51.02 56.00 0.0478 0.0757
2018-03-14 15:28:27 410.90 25.69 12.30 51.02 55.89 0.0475 0.0754
2018-03-14 15:28:28 414.07 25.72 12.37 51.04 56.07 0.0479 0.0757
2018-03-14 15:28:29 414.48 25.73 12.37 51.02 56.06 0.0479 0.0757
2018-03-14 15:28:30 412.42 25.68 12.28 51.02 55.83 0.0475 0.0753
2018-03-14 15:28:31 413.03 25.77 12.32 50.96 55.80 0.0476 0.0755
2018-03-14 15:28:32 412.76 25.74 12.33 51.02 55.88 0.0476 0.0755
2018-03-14 15:28:33 415.09 25.80 12.39 51.02 55.97 0.0479 0.0757
2018-03-14 15:28:34 412.67 25.65 12.29 51.02 55.92 0.0476 0.0754
2018-03-14 15:28:35 412.86 25.64 12.28 51.04 55.92 0.0476 0.0753
2018-03-14 15:28:36 414.24 25.60 12.27 51.02 55.97 0.0478 0.0753
2018-03-14 15:28:37 416.88 25.76 12.38 51.02 56.03 0.0481 0.0757
2018-03-14 15:28:38 414.49 25.58 12.27 51.02 56.01 0.0479 0.0753
