"2018-03-14 at 15:30"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 15:30:56 402.67 24.92 12.10 51.02 56.84 0.0475 0.0750
2018-03-14 15:30:57 403.30 24.90 12.06 51.04 56.76 0.0475 0.0749
2018-03-14 15:30:58 405.05 24.91 12.08 51.02 56.83 0.0477 0.0750
2018-03-14 15:30:59 403.87 24.90 12.09 51.02 56.87 0.0477 0.0750
2018-03-14 15:31:00 403.90 24.89 12.09 51.02 56.87 0.0477 0.0750
2018-03-14 15:31:01 405.59 24.84 12.06 50.99 56.88 0.0478 0.0749
2018-03-14 15:31:02 404.70 24.83 12.04 51.02 56.86 0.0477 0.0748
2018-03-14 15:31:03 404.99 24.86 12.06 51.02 56.85 0.0478 0.0749
2018-03-14 15:31:04 404.31 24.82 12.01 51.04 56.76 0.0476 0.0747
2018-03-14 15:31:05 407.39 24.94 12.09 51.02 56.79 0.0479 0.0750
2018-03-14 15:31:06 406.43 24.84 12.04 51.02 56.80 0.0478 0.0748
2018-03-14 15:31:07 406.25 24.96 12.12 51.02 56.85 0.0479 0.0751
2018-03-14 15:31:08 404.84 24.94 12.11 50.99 56.84 0.0477 0.0751
2018-03-14 15:31:09 407.33 25.16 12.24 51.02 56.83 0.0479 0.0755
2018-03-14 15:31:10 408.08 25.15 12.24 51.02 56.85 0.0480 0.0755
2018-03-14 15:31:11 408.66 25.17 12.24 51.02 56.82 0.0480 0.0755
2018-03-14 15:31:12 407.96 25.25 12.30 51.04 56.86 0.0480 0.0757
2018-03-14 15:31:13 407.80 25.22 12.28 51.02 56.87 0.0480 0.0757
2018-03-14 15:31:14 409.18 25.29 12.31 51.02 56.80 0.0481 0.0757
2018-03-14 15:31:15 408.61 25.29 12.31 51.02 56.79 0.0480 0.0757
2018-03-14 15:31:16 408.68 25.33 12.33 50.99 56.82 0.0481 0.0758
2018-03-14 15:31:17 409.13 25.38 12.37 51.02 56.84 0.0481 0.0760
2018-03-14 15:31:18 410.54 25.42 12.41 51.02 56.88 0.0483 0.0761
2018-03-14 15:31:19 409.98 25.42 12.40 51.04 56.86 0.0482 0.0761
2018-03-14 15:31:20 408.86 25.40 12.38 51.04 56.82 0.0481 0.0760
2018-03-14 15:31:21 411.62 25.48 12.43 51.02 56.82 0.0483 0.0761
2018-03-14 15:31:22 410.12 25.53 12.46 51.02 56.83 0.0482 0.0763
2018-03-14 15:31:23 412.26 25.58 12.49 50.99 56.83 0.0484 0.0764
2018-03-14 15:31:24 409.74 25.47 12.41 51.02 56.76 0.0481 0.0761
2018-03-14 15:31:25 412.00 25.49 12.42 51.02 56.79 0.0483 0.0761
2018-03-14 15:31:26 410.13 25.51 12.44 51.04 56.81 0.0482 0.0762
2018-03-14 15:31:27 412.58 25.54 12.46 51.02 56.79 0.0484 0.0762
2018-03-14 15:31:28 412.92 25.56 12.47 51.02 56.80 0.0484 0.0763
2018-03-14 15:31:29 413.04 25.55 12.46 51.02 56.79 0.0484 0.0763
2018-03-14 15:31:30 412.80 25.52 12.44 50.99 56.79 0.0484 0.0762
2018-03-14 15:31:31 413.92 25.51 12.44 51.02 56.79 0.0485 0.0762
2018-03-14 15:31:32 412.54 25.49 12.43 51.02 56.81 0.0484 0.0762
2018-03-14 15:31:33 412.14 25.46 12.40 51.02 56.75 0.0483 0.0760
2018-03-14 15:31:34 414.76 25.52 12.45 51.04 56.80 0.0486 0.0762
2018-03-14 15:31:35 415.56 25.56 12.48 51.02 56.83 0.0487 0.0763
2018-03-14 15:31:36 414.98 25.55 12.47 51.02 56.82 0.0486 0.0763
2018-03-14 15:31:37 414.04 25.61 12.49 51.02 56.76 0.0485 0.0763
2018-03-14 15:31:38 415.55 25.60 12.50 50.99 56.82 0.0487 0.0764
2018-03-14 15:31:39 414.36 25.58 12.48 51.02 56.78 0.0485 0.0763
2018-03-14 15:31:40 416.97 25.63 12.51 51.02 56.80 0.0488 0.0764
2018-03-14 15:31:41 416.52 25.67 12.53 51.04 56.78 0.0487 0.0765
2018-03-14 15:31:42 416.37 25.62 12.49 51.04 56.76 0.0487 0.0764
2018-03-14 15:31:43 415.68 25.69 12.53 51.02 56.72 0.0486 0.0765
2018-03-14 15:31:44 418.69 25.77 12.59 51.02 56.77 0.0489 0.0767
2018-03-14 15:31:45 417.98 25.70 12.55 50.99 56.78 0.0488 0.0766
2018-03-14 15:31:46 416.55 25.78 12.59 51.02 56.76 0.0487 0.0767
2018-03-14 15:31:48 417.41 25.83 12.62 51.02 56.76 0.0488 0.0768
2018-03-14 15:31:49 419.20 25.93 12.69 51.04 56.79 0.0489 0.0770
2018-03-14 15:31:50 418.18 25.95 12.69 51.04 56.74 0.0488 0.0770
2018-03-14 15:31:51 418.04 25.97 12.71 51.02 56.79 0.0489 0.0771
2018-03-14 15:31:52 419.47 26.05 12.76 51.02 56.80 0.0490 0.0773
2018-03-14 15:31:53 417.96 26.07 12.78 51.02 56.82 0.0489 0.0774
2018-03-14 15:31:54 419.74 26.18 12.83 50.99 56.80 0.0490 0.0776
2018-03-14 15:31:55 417.86 26.07 12.76 51.02 56.75 0.0488 0.0773
2018-03-14 15:31:56 418.46 26.19 12.83 51.02 56.77 0.0489 0.0775
2018-03-14 15:31:57 419.74 26.17 12.82 51.04 56.77 0.0490 0.0775
2018-03-14 15:31:58 419.90 26.24 12.87 51.02 56.79 0.0490 0.0777
2018-03-14 15:31:59 420.43 26.17 12.82 51.02 56.78 0.0490 0.0775
2018-03-14 15:32:00 421.42 26.24 12.86 51.02 56.78 0.0491 0.0776
2018-03-14 15:32:01 420.91 26.17 12.82 50.99 56.76 0.0491 0.0775
2018-03-14 15:32:02 421.54 26.13 12.80 51.02 56.79 0.0492 0.0774
2018-03-14 15:32:03 421.33 26.14 12.80 51.02 56.78 0.0491 0.0774
2018-03-14 15:32:04 421.38 26.10 12.79 51.04 56.79 0.0491 0.0774
2018-03-14 15:32:05 421.91 26.02 12.74 51.02 56.80 0.0492 0.0772
2018-03-14 15:32:06 422.10 26.10 12.79 51.02 56.79 0.0492 0.0774
2018-03-14 15:32:07 422.45 26.02 12.73 51.02 56.76 0.0492 0.0772
2018-03-14 15:32:08 423.26 26.00 12.73 50.99 56.79 0.0493 0.0772
2018-03-14 15:32:09 422.07 26.00 12.71 51.02 56.72 0.0491 0.0771
2018-03-14 15:32:10 422.02 25.98 12.70 51.02 56.74 0.0492 0.0771
2018-03-14 15:32:11 422.67 26.00 12.73 51.04 56.79 0.0492 0.0772
2018-03-14 15:32:12 424.20 26.09 12.78 51.04 56.80 0.0494 0.0774
2018-03-14 15:32:13 424.73 26.14 12.81 51.02 56.76 0.0494 0.0774
2018-03-14 15:32:14 423.39 26.11 12.77 51.02 56.73 0.0493 0.0773
2018-03-14 15:32:15 425.13 26.13 12.79 50.99 56.72 0.0494 0.0774
2018-03-14 15:32:16 425.11 26.18 12.82 51.02 56.75 0.0494 0.0775
2018-03-14 15:32:17 422.87 26.19 12.83 51.02 56.76 0.0492 0.0775
2018-03-14 15:32:18 428.99 26.29 12.88 51.02 56.75 0.0498 0.0777
2018-03-14 15:32:19 424.48 26.13 12.79 51.04 56.73 0.0494 0.0774
2018-03-14 15:32:20 425.85 26.18 12.83 51.04 56.76 0.0495 0.0775
2018-03-14 15:32:21 426.64 26.22 12.85 51.02 56.76 0.0496 0.0776
2018-03-14 15:32:22 425.74 26.09 12.76 51.02 56.69 0.0494 0.0772
2018-03-14 15:32:23 427.08 26.15 12.80 50.99 56.75 0.0496 0.0774
2018-03-14 15:32:24 425.83 26.05 12.73 51.02 56.70 0.0494 0.0772
2018-03-14 15:32:25 428.67 26.12 12.79 51.02 56.77 0.0498 0.0774
2018-03-14 15:32:26 425.86 25.88 12.64 51.04 56.73 0.0495 0.0769
2018-03-14 15:32:27 428.74 25.97 12.70 51.04 56.76 0.0497 0.0771
2018-03-14 15:32:28 427.28 25.99 12.72 51.02 56.77 0.0496 0.0771
2018-03-14 15:32:29 426.88 25.75 12.55 51.02 56.68 0.0495 0.0765
2018-03-14 15:32:30 428.27 25.78 12.58 50.99 56.72 0.0497 0.0766
2018-03-14 15:32:31 428.09 25.82 12.62 51.02 56.76 0.0497 0.0768
2018-03-14 15:32:32 428.18 25.73 12.57 51.02 56.80 0.0497 0.0766
2018-03-14 15:32:33 428.70 25.78 12.59 51.02 56.77 0.0498 0.0767
2018-03-14 15:32:34 428.17 25.62 12.48 51.04 56.70 0.0496 0.0763
2018-03-14 15:32:35 430.63 25.71 12.54 51.02 56.75 0.0499 0.0765
2018-03-14 15:32:36 431.50 25.76 12.58 51.02 56.76 0.0500 0.0767
2018-03-14 15:32:37 429.62 25.60 12.48 51.02 56.75 0.0498 0.0763
2018-03-14 15:32:38 431.62 25.66 12.53 50.99 56.79 0.0500 0.0765
2018-03-14 15:32:39 431.07 25.65 12.51 51.02 56.77 0.0500 0.0764
2018-03-14 15:32:40 430.48 25.62 12.50 51.02 56.79 0.0499 0.0764
2018-03-14 15:32:41 430.58 25.55 12.47 51.04 56.83 0.0500 0.0763
2018-03-14 15:32:42 430.83 25.47 12.40 51.02 56.75 0.0499 0.0760
2018-03-14 15:32:43 432.94 25.47 12.41 51.02 56.78 0.0501 0.0761
2018-03-14 15:32:44 431.17 25.40 12.36 51.02 56.73 0.0499 0.0759
2018-03-14 15:32:45 432.62 25.40 12.36 51.02 56.73 0.0501 0.0759
2018-03-14 15:32:46 431.79 25.34 12.33 51.02 56.76 0.0500 0.0758
2018-03-14 15:32:47 432.71 25.37 12.36 51.02 56.80 0.0501 0.0759
2018-03-14 15:32:48 432.17 25.32 12.31 51.04 56.75 0.0500 0.0757
2018-03-14 15:32:49 432.74 25.38 12.37 51.04 56.82 0.0501 0.0759
2018-03-14 15:32:50 431.98 25.42 12.39 51.02 56.80 0.0501 0.0760
2018-03-14 15:32:51 433.87 25.42 12.40 51.02 56.84 0.0503 0.0761
2018-03-14 15:32:52 434.26 25.48 12.43 50.99 56.82 0.0503 0.0761
2018-03-14 15:32:53 434.53 25.50 12.43 51.02 56.79 0.0503 0.0761
2018-03-14 15:32:54 433.83 25.49 12.44 51.02 56.85 0.0503 0.0762
2018-03-14 15:32:55 434.50 25.51 12.45 51.02 56.83 0.0503 0.0762
2018-03-14 15:32:56 434.83 25.48 12.41 51.02 56.75 0.0503 0.0761
2018-03-14 15:32:57 433.42 25.35 12.32 51.02 56.71 0.0501 0.0757
2018-03-14 15:32:58 436.12 25.53 12.44 51.02 56.76 0.0504 0.0762
2018-03-14 15:32:59 434.78 25.36 12.34 51.02 56.75 0.0502 0.0758
2018-03-14 15:33:01 436.59 25.33 12.33 51.02 56.77 0.0504 0.0758
2018-03-14 15:33:02 436.49 25.31 12.32 51.02 56.80 0.0504 0.0758
2018-03-14 15:33:03 435.17 25.22 12.27 51.02 56.83 0.0504 0.0756
2018-03-14 15:33:04 435.44 25.04 12.14 51.04 56.76 0.0503 0.0751
