"2018-03-14 at 18:46"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 18:46:38 446.05 18.10 8.25 51.03 60.50 0.0546 0.0637
2018-03-14 18:46:39 450.22 18.13 8.27 51.04 60.52 0.0551 0.0637
2018-03-14 18:46:40 448.22 18.11 8.26 51.02 60.52 0.0546 0.0637
2018-03-14 18:46:41 446.29 18.14 8.27 51.02 60.48 0.0547 0.0637
2018-03-14 18:46:42 448.06 18.15 8.27 51.02 60.44 0.0547 0.0637
2018-03-14 18:46:43 450.52 18.21 8.32 51.02 60.42 0.0549 0.0638
2018-03-14 18:46:44 449.64 18.17 8.27 51.02 60.35 0.0547 0.0637
2018-03-14 18:46:45 451.66 18.25 8.32 51.02 60.31 0.0551 0.0638
2018-03-14 18:46:46 453.43 18.25 8.32 51.02 60.31 0.0551 0.0638
2018-03-14 18:46:48 454.39 18.27 8.35 51.02 60.35 0.0552 0.0639
2018-03-14 18:46:49 452.51 18.26 8.34 51.02 60.37 0.0551 0.0639
2018-03-14 18:46:50 454.39 18.29 8.37 51.02 60.39 0.0553 0.0640
2018-03-14 18:46:51 454.10 18.30 8.38 51.02 60.37 0.0552 0.0640
2018-03-14 18:46:52 455.54 18.34 8.41 51.02 60.37 0.0553 0.0641
2018-03-14 18:46:53 458.07 18.33 8.41 51.02 60.38 0.0556 0.0641
2018-03-14 18:46:54 454.76 18.32 8.39 51.03 60.37 0.0552 0.0640
2018-03-14 18:46:55 456.49 18.33 8.40 51.02 60.37 0.0555 0.0641
2018-03-14 18:46:56 456.55 18.34 8.41 51.02 60.36 0.0554 0.0641
2018-03-14 18:46:57 457.08 18.38 8.44 51.02 60.36 0.0554 0.0642
2018-03-14 18:46:58 458.23 18.33 8.40 51.02 60.35 0.0555 0.0640
2018-03-14 18:46:59 455.87 18.37 8.43 51.02 60.35 0.0553 0.0642
2018-03-14 18:47:00 459.35 18.47 8.51 51.02 60.36 0.0556 0.0644
2018-03-14 18:47:01 458.17 18.34 8.38 51.03 60.27 0.0555 0.0640
2018-03-14 18:47:02 460.69 18.39 8.42 51.04 60.25 0.0557 0.0641
2018-03-14 18:47:03 461.81 18.41 8.44 51.02 60.25 0.0558 0.0642
2018-03-14 18:47:04 460.84 18.42 8.44 51.02 60.22 0.0556 0.0641
2018-03-14 18:47:05 460.36 18.40 8.43 51.02 60.23 0.0557 0.0641
2018-03-14 18:47:06 463.47 18.44 8.47 51.02 60.26 0.0560 0.0643
2018-03-14 18:47:07 461.78 18.42 8.43 51.02 60.20 0.0557 0.0642
2018-03-14 18:47:08 462.52 18.50 8.50 51.02 60.20 0.0558 0.0644
2018-03-14 18:47:09 463.12 18.47 8.47 51.03 60.21 0.0559 0.0642
2018-03-14 18:47:10 464.63 18.50 8.50 51.02 60.22 0.0560 0.0644
2018-03-14 18:47:11 464.12 18.49 8.49 51.02 60.22 0.0559 0.0643
2018-03-14 18:47:12 462.84 18.45 8.46 51.02 60.21 0.0558 0.0642
2018-03-14 18:47:13 463.78 18.50 8.51 51.00 60.23 0.0560 0.0644
2018-03-14 18:47:14 466.01 18.50 8.51 51.00 60.25 0.0562 0.0644
2018-03-14 18:47:15 467.33 18.49 8.50 51.02 60.24 0.0563 0.0644
2018-03-14 18:47:16 468.25 18.53 8.54 51.03 60.29 0.0563 0.0645
2018-03-14 18:47:17 468.69 18.55 8.55 51.02 60.29 0.0564 0.0646
2018-03-14 18:47:18 466.48 18.54 8.56 51.02 60.31 0.0562 0.0646
2018-03-14 18:47:19 468.73 18.57 8.59 51.02 60.33 0.0565 0.0646
2018-03-14 18:47:20 468.98 18.56 8.58 51.00 60.33 0.0565 0.0646
2018-03-14 18:47:21 469.86 18.57 8.59 51.00 60.34 0.0566 0.0647
2018-03-14 18:47:22 471.94 18.58 8.59 51.02 60.35 0.0568 0.0647
2018-03-14 18:47:23 469.07 18.58 8.59 51.03 60.32 0.0564 0.0646
2018-03-14 18:47:24 471.19 18.64 8.64 51.02 60.34 0.0568 0.0649
2018-03-14 18:47:25 472.50 18.64 8.65 51.02 60.37 0.0568 0.0648
2018-03-14 18:47:26 471.91 18.62 8.63 51.02 60.34 0.0567 0.0647
2018-03-14 18:47:27 472.12 18.64 8.65 51.02 60.35 0.0568 0.0649
2018-03-14 18:47:28 472.12 18.64 8.65 51.02 60.35 0.0568 0.0649
2018-03-14 18:47:29 474.69 18.67 8.67 51.02 60.35 0.0570 0.0649
2018-03-14 18:47:30 473.20 18.63 8.63 51.02 60.32 0.0568 0.0647
2018-03-14 18:47:31 475.00 18.71 8.70 51.02 60.35 0.0570 0.0650
2018-03-14 18:47:32 474.95 18.72 8.72 51.03 60.38 0.0571 0.0651
2018-03-14 18:47:33 475.02 18.69 8.69 51.02 60.38 0.0570 0.0650
2018-03-14 18:47:34 476.06 18.75 8.73 51.02 60.37 0.0572 0.0651
2018-03-14 18:47:35 475.08 18.75 8.74 51.02 60.38 0.0571 0.0652
2018-03-14 18:47:36 476.79 18.78 8.76 51.02 60.36 0.0572 0.0651
2018-03-14 18:47:37 477.51 18.78 8.77 51.02 60.39 0.0573 0.0652
2018-03-14 18:47:38 478.59 18.77 8.76 51.02 60.40 0.0573 0.0652
2018-03-14 18:47:39 478.23 18.79 8.78 51.03 60.41 0.0574 0.0653
2018-03-14 18:47:40 479.35 18.79 8.78 51.02 60.41 0.0574 0.0653
2018-03-14 18:47:41 479.27 18.84 8.82 51.02 60.42 0.0574 0.0653
2018-03-14 18:47:42 478.77 18.82 8.80 51.02 60.42 0.0574 0.0653
2018-03-14 18:47:43 480.11 18.89 8.85 51.02 60.40 0.0575 0.0655
