"2018-03-14 at 18:29"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 18:29:29 474.93 16.92 7.25 51.02 60.47 0.0572 0.0606
2018-03-14 18:29:30 481.74 16.90 7.24 51.03 60.48 0.0577 0.0606
2018-03-14 18:29:31 480.74 16.88 7.22 51.03 60.49 0.0576 0.0606
2018-03-14 18:29:32 480.87 16.88 7.22 51.02 60.47 0.0576 0.0605
2018-03-14 18:29:33 480.87 16.88 7.22 51.02 60.47 0.0576 0.0605
2018-03-14 18:29:34 481.33 16.82 7.16 51.02 60.44 0.0576 0.0603
2018-03-14 18:29:35 482.70 16.81 7.15 51.02 60.44 0.0578 0.0603
2018-03-14 18:29:36 484.48 16.82 7.16 51.02 60.44 0.0579 0.0604
2018-03-14 18:29:37 484.40 16.81 7.15 51.02 60.47 0.0579 0.0603
2018-03-14 18:29:38 484.39 16.78 7.13 51.02 60.49 0.0580 0.0603
2018-03-14 18:29:39 484.76 16.77 7.12 51.02 60.48 0.0580 0.0603
