"2018-03-14 at 18:32"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 18:32:48 418.30 17.41 7.61 51.02 60.24 0.0518 0.0617
2018-03-14 18:32:49 418.85 17.40 7.60 51.02 60.22 0.0519 0.0616
2018-03-14 18:32:50 419.05 17.41 7.60 51.02 60.18 0.0519 0.0617
2018-03-14 18:32:51 419.76 17.44 7.63 51.02 60.21 0.0520 0.0617
2018-03-14 18:32:52 421.85 17.45 7.64 51.04 60.22 0.0522 0.0617
2018-03-14 18:32:53 423.08 17.42 7.62 51.02 60.23 0.0522 0.0617
2018-03-14 18:32:54 423.82 17.40 7.60 51.02 60.21 0.0524 0.0616
2018-03-14 18:32:55 422.88 17.41 7.62 51.00 60.26 0.0523 0.0617
2018-03-14 18:32:56 425.59 17.43 7.63 51.00 60.27 0.0526 0.0617
2018-03-14 18:32:58 427.12 17.42 7.63 50.99 60.27 0.0527 0.0618
2018-03-14 18:32:59 427.72 17.43 7.63 51.02 60.25 0.0528 0.0617
2018-03-14 18:33:00 432.18 17.37 7.59 51.03 60.28 0.0532 0.0616
2018-03-14 18:33:01 432.06 17.39 7.60 51.02 60.27 0.0531 0.0617
2018-03-14 18:33:02 430.23 17.43 7.65 51.02 60.30 0.0530 0.0618
2018-03-14 18:33:03 433.18 17.40 7.62 51.02 60.32 0.0534 0.0617
2018-03-14 18:33:04 434.69 17.40 7.63 51.02 60.35 0.0534 0.0617
2018-03-14 18:33:05 433.93 17.42 7.65 51.02 60.36 0.0533 0.0618
2018-03-14 18:33:06 433.97 17.41 7.64 51.02 60.36 0.0534 0.0618
2018-03-14 18:33:07 434.81 17.42 7.66 51.02 60.39 0.0535 0.0618
2018-03-14 18:33:08 436.81 17.42 7.66 51.02 60.42 0.0537 0.0618
2018-03-14 18:33:09 435.73 17.42 7.66 51.02 60.40 0.0535 0.0618
2018-03-14 18:33:10 437.03 17.44 7.67 51.02 60.36 0.0537 0.0619
2018-03-14 18:33:11 438.44 17.40 7.63 51.02 60.38 0.0538 0.0618
2018-03-14 18:33:12 439.45 17.44 7.67 51.02 60.38 0.0539 0.0619
2018-03-14 18:33:13 439.81 17.40 7.64 51.02 60.40 0.0540 0.0618
2018-03-14 18:33:14 439.22 17.43 7.67 51.02 60.42 0.0539 0.0619
2018-03-14 18:33:15 439.97 17.41 7.65 51.03 60.43 0.0540 0.0618
2018-03-14 18:33:16 440.49 17.44 7.68 51.02 60.42 0.0540 0.0619
2018-03-14 18:33:17 441.68 17.41 7.65 51.02 60.39 0.0542 0.0618
2018-03-14 18:33:18 442.64 17.41 7.65 51.02 60.40 0.0540 0.0618
2018-03-14 18:33:19 439.87 17.43 7.67 50.99 60.41 0.0540 0.0619
