"2018-03-14 at 16:58"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 16:58:21 417.11 19.32 8.48 50.99 57.58 0.0495 0.0636
2018-03-14 16:58:22 419.28 19.30 8.47 50.99 57.60 0.0495 0.0635
2018-03-14 16:58:23 419.28 19.30 8.47 50.99 57.60 0.0495 0.0635
2018-03-14 16:58:24 420.71 19.30 8.48 51.02 57.62 0.0499 0.0636
2018-03-14 16:58:25 420.62 19.27 8.45 51.03 57.62 0.0497 0.0635
2018-03-14 16:58:26 421.99 19.27 8.45 51.02 57.62 0.0499 0.0635
2018-03-14 16:58:28 421.73 19.29 8.46 51.00 57.62 0.0498 0.0636
2018-03-14 16:58:29 423.19 19.32 8.49 50.99 57.61 0.0500 0.0636
2018-03-14 16:58:30 422.99 19.25 8.43 50.99 57.60 0.0500 0.0634
2018-03-14 16:58:31 423.94 19.24 8.42 50.99 57.57 0.0500 0.0633
2018-03-14 16:58:32 424.91 19.27 8.44 50.99 57.58 0.0502 0.0636
2018-03-14 16:58:33 425.96 19.28 8.46 51.02 57.62 0.0502 0.0635
2018-03-14 16:58:34 424.72 19.22 8.40 51.04 57.60 0.0501 0.0633
2018-03-14 16:58:35 425.61 19.23 8.42 51.03 57.61 0.0502 0.0634
2018-03-14 16:58:36 425.66 19.21 8.39 50.99 57.57 0.0501 0.0633
2018-03-14 16:58:37 427.16 19.23 8.42 50.99 57.60 0.0503 0.0634
2018-03-14 16:58:38 426.77 19.20 8.40 50.99 57.61 0.0503 0.0633
2018-03-14 16:58:39 427.65 19.20 8.41 50.99 57.64 0.0504 0.0634
2018-03-14 16:58:40 427.24 19.18 8.39 51.04 57.65 0.0504 0.0633
2018-03-14 16:58:41 427.84 19.17 8.38 51.04 57.65 0.0504 0.0633
2018-03-14 16:58:42 428.33 19.18 8.39 51.04 57.64 0.0504 0.0633
2018-03-14 16:58:43 428.93 19.18 8.39 51.02 57.65 0.0506 0.0634
2018-03-14 16:58:44 427.56 19.17 8.39 50.99 57.68 0.0504 0.0633
2018-03-14 16:58:45 429.00 19.15 8.37 50.99 57.66 0.0506 0.0633
2018-03-14 16:58:46 431.24 19.18 8.39 51.00 57.62 0.0507 0.0633
2018-03-14 16:58:47 429.96 19.17 8.37 51.03 57.62 0.0506 0.0633
2018-03-14 16:58:48 430.89 19.15 8.36 51.04 57.62 0.0507 0.0632
2018-03-14 16:58:49 433.11 19.18 8.39 51.03 57.65 0.0509 0.0633
2018-03-14 16:58:50 434.82 19.16 8.38 51.02 57.66 0.0515 0.0633
2018-03-14 16:58:51 447.77 19.19 8.39 50.99 57.63 0.0517 0.0633
2018-03-14 16:58:52 434.37 19.24 8.45 51.02 57.69 0.0511 0.0636
2018-03-14 16:58:53 441.66 19.19 8.40 51.02 57.65 0.0517 0.0633
2018-03-14 16:58:54 437.69 19.21 8.41 51.02 57.65 0.0511 0.0634
2018-03-14 16:58:55 440.33 19.23 8.43 51.04 57.67 0.0519 0.0634
2018-03-14 16:58:56 451.36 19.19 8.40 51.04 57.67 0.0524 0.0634
2018-03-14 16:58:57 440.83 19.21 8.41 51.03 57.64 0.0512 0.0634
2018-03-14 16:58:58 436.00 19.24 8.43 50.99 57.65 0.0512 0.0635
2018-03-14 16:58:59 437.77 19.22 8.42 51.00 57.67 0.0513 0.0634
2018-03-14 16:59:00 435.42 19.21 8.42 50.99 57.68 0.0510 0.0634
2018-03-14 16:59:01 435.37 19.21 8.42 51.02 57.69 0.0512 0.0634
2018-03-14 16:59:02 436.34 19.22 8.44 51.04 57.71 0.0512 0.0635
2018-03-14 16:59:03 435.53 19.21 8.43 51.04 57.70 0.0511 0.0635
2018-03-14 16:59:04 437.43 19.19 8.40 51.03 57.68 0.0513 0.0634
2018-03-14 16:59:05 438.99 19.19 8.40 51.02 57.64 0.0514 0.0634
2018-03-14 16:59:06 437.05 19.16 8.37 50.99 57.64 0.0511 0.0632
2018-03-14 16:59:07 438.10 19.17 8.38 50.99 57.65 0.0514 0.0633
2018-03-14 16:59:08 438.92 19.15 8.37 51.02 57.66 0.0514 0.0632
2018-03-14 16:59:09 452.61 19.17 8.39 51.03 57.67 0.0527 0.0633
2018-03-14 16:59:10 440.68 19.15 8.37 51.04 57.66 0.0514 0.0633
2018-03-14 16:59:11 439.64 19.11 8.34 51.03 57.66 0.0514 0.0631
2018-03-14 16:59:12 439.52 19.11 8.34 51.02 57.65 0.0515 0.0632
2018-03-14 16:59:13 438.51 19.07 8.33 51.00 57.73 0.0513 0.0631
2018-03-14 16:59:14 441.56 19.13 8.43 51.00 57.96 0.0522 0.0638
2018-03-14 16:59:15 445.00 19.10 8.49 51.02 58.28 0.0525 0.0638
2018-03-14 16:59:16 442.66 19.01 8.45 51.02 58.37 0.0522 0.0636
2018-03-14 16:59:17 441.42 19.02 8.45 51.03 58.37 0.0523 0.0637
2018-03-14 16:59:18 443.00 19.07 8.50 51.02 58.44 0.0524 0.0639
2018-03-14 16:59:19 441.90 19.00 8.44 51.02 58.41 0.0523 0.0636
2018-03-14 16:59:20 442.59 18.97 8.42 51.02 58.40 0.0524 0.0636
2018-03-14 16:59:21 443.62 18.97 8.41 51.02 58.38 0.0524 0.0635
2018-03-14 16:59:22 442.83 18.92 8.37 51.02 58.38 0.0524 0.0635
2018-03-14 16:59:23 445.92 18.93 8.38 51.02 58.37 0.0526 0.0635
2018-03-14 16:59:24 445.32 18.89 8.35 51.02 58.39 0.0527 0.0634
2018-03-14 16:59:25 446.56 18.92 8.38 51.02 58.41 0.0527 0.0635
2018-03-14 16:59:26 444.95 18.90 8.36 51.02 58.39 0.0526 0.0634
2018-03-14 16:59:27 445.70 18.90 8.37 51.02 58.42 0.0526 0.0634
2018-03-14 16:59:28 445.89 18.88 8.35 51.02 58.41 0.0527 0.0634
2018-03-14 16:59:29 447.05 18.86 8.34 51.02 58.42 0.0528 0.0634
2018-03-14 16:59:30 449.05 18.91 8.37 51.02 58.41 0.0530 0.0634
2018-03-14 16:59:31 448.38 18.87 8.34 51.02 58.41 0.0529 0.0634
2018-03-14 16:59:32 448.45 18.85 8.33 51.03 58.42 0.0529 0.0634
2018-03-14 16:59:33 448.35 18.87 8.34 51.02 58.40 0.0528 0.0634
2018-03-14 16:59:34 449.14 18.90 8.35 51.02 58.36 0.0529 0.0634
2018-03-14 16:59:35 450.03 18.88 8.34 51.02 58.38 0.0531 0.0634
2018-03-14 16:59:36 450.91 18.87 8.34 51.02 58.39 0.0531 0.0634
2018-03-14 16:59:37 450.38 18.85 8.32 51.02 58.40 0.0531 0.0633
2018-03-14 16:59:38 452.64 18.86 8.33 51.02 58.41 0.0533 0.0634
2018-03-14 16:59:40 452.57 18.86 8.33 51.04 58.41 0.0532 0.0633
2018-03-14 16:59:41 451.36 18.82 8.30 51.02 58.41 0.0531 0.0633
2018-03-14 16:59:42 452.36 18.84 8.32 51.02 58.42 0.0533 0.0633
2018-03-14 16:59:43 453.98 18.84 8.32 51.02 58.41 0.0534 0.0633
2018-03-14 16:59:44 454.01 18.82 8.31 51.02 58.42 0.0534 0.0633
2018-03-14 16:59:45 454.41 18.83 8.32 51.02 58.43 0.0534 0.0633
2018-03-14 16:59:46 454.44 18.82 8.31 51.02 58.43 0.0534 0.0633
2018-03-14 16:59:47 454.37 18.81 8.31 51.03 58.46 0.0534 0.0633
2018-03-14 16:59:48 453.88 18.77 8.28 51.02 58.45 0.0535 0.0632
2018-03-14 16:59:49 455.66 18.81 8.30 51.02 58.46 0.0536 0.0632
2018-03-14 16:59:50 455.87 18.76 8.26 51.02 58.42 0.0536 0.0632
2018-03-14 16:59:51 457.43 18.82 8.30 51.02 58.40 0.0537 0.0632
2018-03-14 16:59:52 458.02 18.80 8.29 51.02 58.43 0.0538 0.0632
2018-03-14 16:59:53 459.11 18.80 8.29 51.02 58.44 0.0538 0.0632
2018-03-14 16:59:54 458.38 18.79 8.29 51.03 58.46 0.0538 0.0632
2018-03-14 16:59:55 458.33 18.76 8.26 51.02 58.44 0.0538 0.0632
2018-03-14 16:59:56 459.68 18.81 8.31 51.02 58.48 0.0539 0.0633
2018-03-14 16:59:57 459.37 18.79 8.29 51.02 58.45 0.0538 0.0632
2018-03-14 16:59:58 459.10 18.77 8.26 51.02 58.42 0.0538 0.0632
2018-03-14 16:59:59 459.38 18.79 8.29 51.02 58.43 0.0539 0.0633
2018-03-14 17:00:00 461.05 18.78 8.28 51.02 58.44 0.0540 0.0631
2018-03-14 17:00:01 461.79 18.76 8.27 51.02 58.44 0.0541 0.0632
2018-03-14 17:00:02 462.45 18.78 8.28 51.03 58.46 0.0541 0.0632
2018-03-14 17:00:03 461.51 18.74 8.25 51.02 58.46 0.0541 0.0631
2018-03-14 17:00:04 461.77 18.77 8.27 51.02 58.44 0.0541 0.0631
2018-03-14 17:00:05 462.39 18.73 8.24 51.02 58.42 0.0541 0.0631
2018-03-14 17:00:06 463.31 18.75 8.25 51.02 58.43 0.0543 0.0631
2018-03-14 17:00:07 464.02 18.77 8.27 51.02 58.45 0.0543 0.0632
2018-03-14 17:00:08 464.92 18.77 8.27 51.02 58.43 0.0543 0.0631
2018-03-14 17:00:09 465.42 18.75 8.25 51.04 58.43 0.0544 0.0632
2018-03-14 17:00:10 464.80 18.80 8.29 51.02 58.45 0.0542 0.0632
2018-03-14 17:00:11 464.66 18.80 8.29 51.02 58.43 0.0543 0.0632
2018-03-14 17:00:12 464.66 18.80 8.29 51.02 58.43 0.0543 0.0632
2018-03-14 17:00:13 467.76 18.79 8.28 51.02 58.44 0.0547 0.0632
2018-03-14 17:00:14 466.02 18.77 8.27 51.02 58.42 0.0544 0.0632
2018-03-14 17:00:15 467.97 18.77 8.27 51.02 58.45 0.0546 0.0632
