"2018-03-14 at 17:16"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-14 17:16:12 426.23 18.06 7.90 51.03 59.21 0.0517 0.0623
2018-03-14 17:16:13 426.23 18.08 7.95 51.02 59.33 0.0517 0.0624
2018-03-14 17:16:14 425.31 18.00 7.87 51.02 59.31 0.0515 0.0621
2018-03-14 17:16:15 426.99 18.03 7.86 51.02 59.18 0.0517 0.0621
2018-03-14 17:16:16 427.88 18.09 7.90 51.02 59.12 0.0519 0.0623
2018-03-14 17:16:17 428.45 18.10 7.91 51.02 59.14 0.0517 0.0622
2018-03-14 17:16:18 427.39 18.11 7.93 51.03 59.17 0.0518 0.0624
2018-03-14 17:16:19 429.83 18.08 7.90 51.02 59.14 0.0519 0.0621
2018-03-14 17:16:20 428.63 18.05 7.82 51.02 58.93 0.0515 0.0620
2018-03-14 17:16:21 430.17 18.14 7.89 51.02 58.91 0.0518 0.0622
2018-03-14 17:16:22 430.09 18.18 7.93 51.02 58.97 0.0518 0.0623
2018-03-14 17:16:23 429.12 18.11 7.89 51.00 59.03 0.0518 0.0621
2018-03-14 17:16:24 430.92 18.07 7.85 51.00 59.00 0.0519 0.0621
2018-03-14 17:16:25 432.49 18.13 7.91 51.02 59.04 0.0521 0.0623
2018-03-14 17:16:26 433.38 18.14 7.93 51.02 59.06 0.0521 0.0623
2018-03-14 17:16:27 430.45 18.08 7.87 51.02 59.04 0.0519 0.0621
2018-03-14 17:16:28 433.39 18.15 7.95 51.02 59.10 0.0522 0.0623
2018-03-14 17:16:29 433.95 18.12 7.93 51.02 59.13 0.0523 0.0623
2018-03-14 17:16:30 434.23 18.13 7.93 51.02 59.11 0.0523 0.0624
2018-03-14 17:16:31 433.86 18.14 7.94 51.02 59.14 0.0523 0.0624
2018-03-14 17:16:32 436.17 18.17 7.99 51.02 59.21 0.0526 0.0625
2018-03-14 17:16:33 434.97 18.14 7.96 51.03 59.20 0.0524 0.0624
2018-03-14 17:16:34 435.99 18.17 7.97 51.02 59.16 0.0525 0.0624
2018-03-14 17:16:35 436.69 18.15 7.96 51.02 59.16 0.0527 0.0625
2018-03-14 17:16:36 436.89 18.18 7.97 51.02 59.12 0.0524 0.0624
2018-03-14 17:16:37 437.45 18.20 7.99 51.02 59.15 0.0527 0.0625
2018-03-14 17:16:38 437.97 18.23 8.03 51.02 59.19 0.0527 0.0626
2018-03-14 17:16:39 436.78 18.16 7.98 51.02 59.20 0.0526 0.0625
2018-03-14 17:16:40 438.59 18.20 8.02 51.04 59.23 0.0527 0.0625
2018-03-14 17:16:41 438.05 18.12 7.94 51.03 59.19 0.0527 0.0624
2018-03-14 17:16:42 438.93 18.24 8.05 51.02 59.23 0.0529 0.0628
2018-03-14 17:16:43 438.50 18.19 8.01 51.02 59.26 0.0528 0.0626
2018-03-14 17:16:44 441.08 18.26 8.07 51.02 59.27 0.0529 0.0627
2018-03-14 17:16:45 439.16 18.19 8.02 51.02 59.27 0.0530 0.0627
2018-03-14 17:16:46 438.94 18.20 8.02 51.02 59.26 0.0528 0.0627
2018-03-14 17:16:47 443.26 18.32 8.16 51.03 59.42 0.0534 0.0631
2018-03-14 17:16:48 439.64 18.16 8.02 51.02 59.39 0.0529 0.0625
2018-03-14 17:16:49 440.78 18.22 8.05 51.02 59.33 0.0531 0.0628
2018-03-14 17:16:50 443.64 18.26 8.06 51.02 59.24 0.0532 0.0627
2018-03-14 17:16:51 442.27 18.18 7.97 51.02 59.09 0.0529 0.0624
2018-03-14 17:16:52 441.93 18.26 7.99 50.99 58.96 0.0529 0.0626
2018-03-14 17:16:53 444.84 18.36 8.07 51.02 58.96 0.0531 0.0627
2018-03-14 17:16:54 443.69 18.29 8.03 51.02 58.99 0.0531 0.0626
2018-03-14 17:16:56 445.01 18.30 8.05 51.03 59.04 0.0532 0.0627
2018-03-14 17:16:57 446.08 18.28 8.04 51.02 59.05 0.0532 0.0626
2018-03-14 17:16:58 445.98 18.27 8.03 51.02 59.09 0.0534 0.0628
2018-03-14 17:16:59 445.85 18.29 8.07 51.02 59.15 0.0533 0.0627
2018-03-14 17:17:00 445.43 18.28 8.06 51.00 59.14 0.0533 0.0627
2018-03-14 17:17:01 447.57 18.29 8.06 51.00 59.12 0.0535 0.0628
2018-03-14 17:17:02 447.73 18.33 8.10 51.02 59.17 0.0535 0.0629
2018-03-14 17:17:03 446.33 18.26 8.04 51.03 59.13 0.0533 0.0626
2018-03-14 17:17:04 449.73 18.38 8.14 51.04 59.13 0.0537 0.0630
2018-03-14 17:17:05 450.11 18.34 8.10 51.02 59.11 0.0537 0.0629
2018-03-14 17:17:06 449.22 18.31 8.08 51.00 59.13 0.0536 0.0628
2018-03-14 17:17:07 449.94 18.36 8.11 51.00 59.12 0.0536 0.0629
2018-03-14 17:17:08 448.48 18.32 8.09 51.02 59.11 0.0536 0.0628
2018-03-14 17:17:09 453.17 18.45 8.21 51.02 59.22 0.0541 0.0632
2018-03-14 17:17:10 450.21 18.29 8.09 51.03 59.23 0.0538 0.0628
2018-03-14 17:17:11 450.64 18.36 8.14 51.02 59.22 0.0538 0.0629
2018-03-14 17:17:12 450.98 18.37 8.15 51.02 59.24 0.0539 0.0630
2018-03-14 17:17:13 454.33 18.38 8.21 51.02 59.40 0.0544 0.0633
2018-03-14 17:17:14 451.31 18.27 8.07 51.02 59.22 0.0537 0.0625
2018-03-14 17:17:15 452.35 18.28 8.05 51.02 59.10 0.0540 0.0628
2018-03-14 17:17:16 452.10 18.33 8.08 51.02 59.09 0.0537 0.0628
2018-03-14 17:17:17 454.13 18.37 8.13 51.02 59.13 0.0542 0.0630
2018-03-14 17:17:18 453.79 18.31 8.06 51.02 59.06 0.0538 0.0625
2018-03-14 17:17:19 453.31 18.31 8.05 51.02 59.01 0.0540 0.0628
2018-03-14 17:17:20 455.76 18.35 8.07 51.02 58.97 0.0539 0.0625
2018-03-14 17:17:21 455.61 18.31 8.03 51.02 58.90 0.0540 0.0626
2018-03-14 17:17:22 456.39 18.34 8.07 51.02 58.98 0.0542 0.0627
2018-03-14 17:17:23 458.29 18.37 8.10 51.02 59.03 0.0543 0.0628
2018-03-14 17:17:24 455.66 18.32 8.04 51.03 58.95 0.0540 0.0626
2018-03-14 17:17:25 456.69 18.34 8.05 51.04 58.92 0.0541 0.0626
2018-03-14 17:17:26 457.84 18.32 8.05 51.02 58.99 0.0542 0.0626
2018-03-14 17:17:27 457.90 18.36 8.08 51.02 58.99 0.0543 0.0628
2018-03-14 17:17:28 459.58 18.34 8.08 51.02 59.03 0.0544 0.0626
2018-03-14 17:17:29 458.50 18.27 8.02 51.02 59.03 0.0543 0.0626
2018-03-14 17:17:30 459.25 18.32 8.07 51.02 59.05 0.0544 0.0627
2018-03-14 17:17:31 459.68 18.35 8.10 51.02 59.06 0.0546 0.0629
2018-03-14 17:17:32 461.56 18.33 8.09 51.04 59.11 0.0546 0.0628
2018-03-14 17:17:33 462.52 18.34 8.11 51.02 59.16 0.0549 0.0629
2018-03-14 17:17:34 462.16 18.33 8.08 51.02 59.08 0.0546 0.0627
2018-03-14 17:17:35 461.19 18.34 8.08 51.02 59.01 0.0545 0.0628
2018-03-14 17:17:36 462.44 18.39 8.11 51.02 59.02 0.0547 0.0629
2018-03-14 17:17:37 460.26 18.31 8.06 51.02 59.03 0.0545 0.0627
2018-03-14 17:17:38 461.05 18.32 8.06 51.02 59.05 0.0546 0.0627
2018-03-14 17:17:39 463.63 18.34 8.09 51.03 59.07 0.0548 0.0627
2018-03-14 17:17:40 464.21 18.34 8.08 51.02 59.01 0.0548 0.0628
2018-03-14 17:17:41 463.35 18.38 8.11 51.02 59.03 0.0548 0.0629
2018-03-14 17:17:42 464.88 18.40 8.14 51.02 59.09 0.0549 0.0629
2018-03-14 17:17:43 464.36 18.36 8.12 51.02 59.13 0.0549 0.0628
2018-03-14 17:17:44 466.76 18.37 8.13 51.02 59.15 0.0553 0.0631
2018-03-14 17:17:45 466.71 18.32 8.10 51.02 59.18 0.0551 0.0628
2018-03-14 17:17:46 466.71 18.32 8.10 51.02 59.18 0.0551 0.0628
2018-03-14 17:17:47 467.31 18.34 8.12 51.02 59.18 0.0551 0.0629
2018-03-14 17:17:48 465.54 18.32 8.08 51.04 59.11 0.0550 0.0627
2018-03-14 17:17:49 467.01 18.35 8.11 51.02 59.12 0.0553 0.0629
2018-03-14 17:17:50 467.75 18.42 8.18 51.02 59.19 0.0553 0.0631
2018-03-14 17:17:51 468.96 18.38 8.19 51.02 59.33 0.0556 0.0632
2018-03-14 17:17:52 468.93 18.34 8.17 51.02 59.37 0.0555 0.0630
2018-03-14 17:17:53 466.21 18.26 8.06 51.02 59.22 0.0552 0.0628
2018-03-14 17:17:54 472.48 18.47 8.24 51.02 59.26 0.0558 0.0633
2018-03-14 17:17:55 467.66 18.33 8.11 51.03 59.20 0.0552 0.0628
2018-03-14 17:17:56 468.69 18.36 8.12 51.02 59.16 0.0553 0.0629
2018-03-14 17:17:57 469.50 18.37 8.12 51.02 59.11 0.0554 0.0629
2018-03-14 17:17:58 471.53 18.40 8.14 51.02 59.08 0.0555 0.0630
2018-03-14 17:17:59 471.55 18.41 8.15 51.00 59.10 0.0556 0.0630
2018-03-14 17:18:00 471.68 18.37 8.13 51.00 59.14 0.0555 0.0629
2018-03-14 17:18:01 472.54 18.39 8.15 51.02 59.16 0.0558 0.0631
2018-03-14 17:18:02 473.12 18.37 8.14 51.03 59.18 0.0556 0.0628
2018-03-14 17:18:03 471.30 18.34 8.10 51.02 59.09 0.0556 0.0629
2018-03-14 17:18:04 473.77 18.43 8.15 51.02 59.00 0.0554 0.0628
2018-03-14 17:18:05 473.38 18.41 8.12 51.02 58.98 0.0557 0.0630
2018-03-14 17:18:06 477.70 18.44 8.18 51.02 59.09 0.0563 0.0631
2018-03-14 17:18:08 443.72 18.33 8.08 51.02 59.07 0.0511 0.0627
2018-03-14 17:18:09 396.81 18.39 8.13 51.02 59.09 0.0489 0.0631
